artifact_role,path,expected_sha256,actual_sha256,status,blocking_reason
preoutcome:20B_preoutcome_contract.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/20B_preoutcome_contract.md,59b362a9852567b4b14b37cd9632d928b6ea9a0a0da5c7a32a92a9770fabde0b,59b362a9852567b4b14b37cd9632d928b6ea9a0a0da5c7a32a92a9770fabde0b,pass,
preoutcome:arm_and_track_registry.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/arm_and_track_registry.csv,f506c1d4ea10ce3b6d12dffdc3b891695366d9ed7767d6b738ee94c6949d0388,f506c1d4ea10ce3b6d12dffdc3b891695366d9ed7767d6b738ee94c6949d0388,pass,
preoutcome:board_ridge_transform_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/board_ridge_transform_freeze.csv,13d7deb9aea6a9e4fad8b449b7eddd10bba6021b5212fd82aa5bcad29bbae3c7,13d7deb9aea6a9e4fad8b449b7eddd10bba6021b5212fd82aa5bcad29bbae3c7,pass,
preoutcome:bucket_weighting_holding_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/bucket_weighting_holding_freeze.csv,00aaf01d122d80ad82b2d3aac351db3acf73b469771307033d9abfce37ad4f38,00aaf01d122d80ad82b2d3aac351db3acf73b469771307033d9abfce37ad4f38,pass,
preoutcome:decision_calendar_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/decision_calendar_freeze.csv,3150f5b525ff1ee031681d983e80943712c22bacaef439296a53c2cb3f6d422e,3150f5b525ff1ee031681d983e80943712c22bacaef439296a53c2cb3f6d422e,pass,
preoutcome:exact_route_status_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/exact_route_status_freeze.csv,6e3bc13912a43d7b84d88d2e248f19fb8967ee81bbe925b87599794841d98b2b,6e3bc13912a43d7b84d88d2e248f19fb8967ee81bbe925b87599794841d98b2b,pass,
preoutcome:formula_execution_registry.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/formula_execution_registry.csv,d724783c772fc36217e6eac705244b8e34e4088b0d9146245377327e395a684a,d724783c772fc36217e6eac705244b8e34e4088b0d9146245377327e395a684a,pass,
preoutcome:input_artifact_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/input_artifact_audit.csv,f5fe85975ca0624ee677cec6de0a11ab0a33cf1af60709cca847590e9e8e27fa,f5fe85975ca0624ee677cec6de0a11ab0a33cf1af60709cca847590e9e8e27fa,pass,
preoutcome:outcome_access_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/outcome_access_audit.csv,ac52ad923e89a9b96aacac66bf12eccb9a52d6ba63d7ed76362d5aa7305d79ed,ac52ad923e89a9b96aacac66bf12eccb9a52d6ba63d7ed76362d5aa7305d79ed,pass,
preoutcome:outcome_resolution_semantics_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/outcome_resolution_semantics_freeze.csv,5eb0d20d08125f68c6399be826f035ad81e3fc57a47b614af56174e3a4d9bf4b,5eb0d20d08125f68c6399be826f035ad81e3fc57a47b614af56174e3a4d9bf4b,pass,
preoutcome:preoutcome_contract_20b.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/preoutcome_contract_20b.json,e10ebd0bd3e5f558b9727a771f92355197f69086e5e429cf07f3eaade3a47d08,e10ebd0bd3e5f558b9727a771f92355197f69086e5e429cf07f3eaade3a47d08,pass,
preoutcome:preoutcome_manifest_20b.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/preoutcome_manifest_20b.json,1490584a21001cd6fb91a2f2aac170863adb3f47430071e867dd9e3aea1389e4,1490584a21001cd6fb91a2f2aac170863adb3f47430071e867dd9e3aea1389e4,pass,
preoutcome:residual_regression_and_score_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/residual_regression_and_score_freeze.csv,b80f408b8c0d002dacd71613ff425eaaea036ab3c66f8b471cdde3f2e92b15af,b80f408b8c0d002dacd71613ff425eaaea036ab3c66f8b471cdde3f2e92b15af,pass,
preoutcome:resolved_config.yaml,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/resolved_config.yaml,9c60354378887343b4e7fd197a5068d9f59d60ebf61a1bb95a7c6f6d44cf132c,9c60354378887343b4e7fd197a5068d9f59d60ebf61a1bb95a7c6f6d44cf132c,pass,
preoutcome:statistical_and_fold_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/statistical_and_fold_freeze.csv,0930e56eaca91882b5f82b7ef0062ee924607a6a6847e9f00916e3816380b9e7,0930e56eaca91882b5f82b7ef0062ee924607a6a6847e9f00916e3816380b9e7,pass,
preoutcome:trendpv_ols_ema_initialization_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/trendpv_ols_ema_initialization_freeze.csv,e656d28400a0d5dc7ae5df03a42490c49ae90b06d17988ecb70a59e70b4a3cf2,e656d28400a0d5dc7ae5df03a42490c49ae90b06d17988ecb70a59e70b4a3cf2,pass,
preoutcome:universe_and_denominator_freeze.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/universe_and_denominator_freeze.csv,fc15142f9fefd50328da134f0377d3a8074f861c73d844e2f30c35ff53c030b7,fc15142f9fefd50328da134f0377d3a8074f861c73d844e2f30c35ff53c030b7,pass,
preoutcome:upstream_20a_integrity_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/upstream_20a_integrity_audit.csv,1564d43e26a1d3285e5f4b5b7eec3481f527336863953a2ba5c1dc3e3948d9eb,1564d43e26a1d3285e5f4b5b7eec3481f527336863953a2ba5c1dc3e3948d9eb,pass,
preoutcome:upstream_metadata_resolution_registry.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/preoutcome/upstream_metadata_resolution_registry.csv,9c623a3757ebdd68dc4f5e7c614963136ee86ca6ad56b2bd319553314cd71b7a,9c623a3757ebdd68dc4f5e7c614963136ee86ca6ad56b2bd319553314cd71b7a,pass,
historical:arm_summary_statistics.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/arm_summary_statistics.csv,d58f817f2095e2e544b05d513ebe7f33d6698c714d22effcd76e772ae1014b9b,d58f817f2095e2e544b05d513ebe7f33d6698c714d22effcd76e772ae1014b9b,pass,
historical:early_late_direction_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/early_late_direction_readout.csv,f884435212ab5039863dd4029d8cfd93e80137b7a315b3506e4670fb0652cc05,f884435212ab5039863dd4029d8cfd93e80137b7a315b3506e4670fb0652cc05,pass,
historical:exact_route_status.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/exact_route_status.csv,de2da01f068e723570c99513fb7ad17638b9fdd362266b7ff2db1c027f41e537,de2da01f068e723570c99513fb7ad17638b9fdd362266b7ff2db1c027f41e537,pass,
historical:historical_decision_snapshot.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/historical_decision_snapshot.json,d198caa883618fd2bb583333e17e9be3de60e4ae4702079e35972c6d6d18bc3c,d198caa883618fd2bb583333e17e9be3de60e4ae4702079e35972c6d6d18bc3c,pass,
historical:historical_manifest_20b.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/historical_manifest_20b.json,4080855f5a97ecfaba0d11dbf2ac0607a927086ef3e57cfd40dfbcdf89474bda,4080855f5a97ecfaba0d11dbf2ac0607a927086ef3e57cfd40dfbcdf89474bda,pass,
historical:human_historical_run_authorization.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/human_historical_run_authorization.json,dfccd184502cadb04f7b05045c31b3df5ce869f72c77785ddc53e32aca095907,dfccd184502cadb04f7b05045c31b3df5ce869f72c77785ddc53e32aca095907,pass,
historical:instrument_month_signal_bucket_assignment.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/instrument_month_signal_bucket_assignment.parquet,99f4d543318a343b9a1832b2e7f6c3b00ad841f80af68270c994054dd4e86721,99f4d543318a343b9a1832b2e7f6c3b00ad841f80af68270c994054dd4e86721,pass,
historical:month_instrument_dominance_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/month_instrument_dominance_audit.csv,6bcd5c6158b9cd9a4ca134552f2d1eb492d10d5957e24e0383ea8e90e9eb4167,6bcd5c6158b9cd9a4ca134552f2d1eb492d10d5957e24e0383ea8e90e9eb4167,pass,
historical:monthly_bucket_returns.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/monthly_bucket_returns.csv.gz,7469d9a46dd86c54181ea909bc495b12b16637d1cf99bfa31352a518b1b303ed,7469d9a46dd86c54181ea909bc495b12b16637d1cf99bfa31352a518b1b303ed,pass,
historical:monthly_signal_support.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/monthly_signal_support.csv,882c85ab630b35daf9bcdc6e5c293bc6cf0820bd6636074a43eb58203301d66d,882c85ab630b35daf9bcdc6e5c293bc6cf0820bd6636074a43eb58203301d66d,pass,
historical:outcome_access_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/outcome_access_audit.csv,afb9149dda6f77cc19d6d9edb34d2b83d3156afb711595d79a712ceb52ad7593,afb9149dda6f77cc19d6d9edb34d2b83d3156afb711595d79a712ceb52ad7593,pass,
historical:outcome_resolution_audit.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/outcome_resolution_audit.csv.gz,6231d9f6fc6828b0803b71b4a7a52ef199db6792b1ec9616b7e152495616bba6,6231d9f6fc6828b0803b71b4a7a52ef199db6792b1ec9616b7e152495616bba6,pass,
historical:p4_p5_board_attribution_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/p4_p5_board_attribution_readout.csv,cca52adf32bf99352233636cb5734b1fcce850f64b8a1fab303b56789ac37796,cca52adf32bf99352233636cb5734b1fcce850f64b8a1fab303b56789ac37796,pass,
historical:paper_benchmark_context.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/paper_benchmark_context.csv,386d978aec4d2c3bd55b20689975c7c260461704d1f868404674fd8d4b09d67b,386d978aec4d2c3bd55b20689975c7c260461704d1f868404674fd8d4b09d67b,pass,
historical:residual_board_ridge_audit.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/residual_board_ridge_audit.csv.gz,ada43d33a4d90f301bc78425b08aacc50180d6109bb231baf21f6e2e0a3196f2,ada43d33a4d90f301bc78425b08aacc50180d6109bb231baf21f6e2e0a3196f2,pass,
historical:residual_overlapping_cohort_assignment.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/residual_overlapping_cohort_assignment.parquet,a851f1be46d5b600519c5d3df848670f3f88733e4773cfc29e619383b8fc1ace,a851f1be46d5b600519c5d3df848670f3f88733e4773cfc29e619383b8fc1ace,pass,
historical:residual_overlapping_portfolio_returns.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/residual_overlapping_portfolio_returns.csv.gz,c6f659bdbdc651de335ddb818e7b9941b20bd605088869c6e113db86ec40534d,c6f659bdbdc651de335ddb818e7b9941b20bd605088869c6e113db86ec40534d,pass,
historical:residual_time_series_regression_audit.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/residual_time_series_regression_audit.csv.gz,fb137ac8fcffed2dd9e9d95f6c36a8229cfded6183c397cbba7fd6156a941586,fb137ac8fcffed2dd9e9d95f6c36a8229cfded6183c397cbba7fd6156a941586,pass,
historical:sort_monotonicity_readout.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/sort_monotonicity_readout.csv,f7af65da1db89f656c006af294a40c3da696f50750dfb99fc10ff79481a59dd8,f7af65da1db89f656c006af294a40c3da696f50750dfb99fc10ff79481a59dd8,pass,
historical:trendpv_coefficient_path.csv.gz,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/trendpv_coefficient_path.csv.gz,9868e8e76fc283c20f06c54b9b5c85cefa87244b3d11a71566339613a0cf4a10,9868e8e76fc283c20f06c54b9b5c85cefa87244b3d11a71566339613a0cf4a10,pass,
historical:trendpv_component_diagnostic.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/historical/trendpv_component_diagnostic.csv,fbcc2114d6bb1d3d4645c08bc25139c700e8531b1f2934f9db9c01a75ad3a615,fbcc2114d6bb1d3d4645c08bc25139c700e8531b1f2934f9db9c01a75ad3a615,pass,
final:20B_trendpv_residual_momentum_design_and_replication_diagnostic_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/20B_trendpv_residual_momentum_design_and_replication_diagnostic_decision.csv,322aac8de0f5ccd456e9b90830644edcd2c473bfec48baf1cab348fee11e9992,322aac8de0f5ccd456e9b90830644edcd2c473bfec48baf1cab348fee11e9992,pass,
final:20B_trendpv_residual_momentum_design_and_replication_diagnostic_report.md,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/20B_trendpv_residual_momentum_design_and_replication_diagnostic_report.md,370904e7e69ab947f74c7e9cbfe98732ee9a3bcd53df5d39aa2623ea6ad66f26,NOT_OPENED,known_postseal_narrative_hash_waiver,
final:manifest_20b_trendpv_residual_momentum_design_and_replication_diagnostic.json,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/20_ohlcv_positive_beta_exposure_research/outputs/20B_trendpv_residual_momentum_design_and_replication_diagnostic_v5/manifest_20b_trendpv_residual_momentum_design_and_replication_diagnostic.json,e99d797c81729ab6c51e6de027218d81cbd7d9244cb556989af62b8916f83e6b,e99d797c81729ab6c51e6de027218d81cbd7d9244cb556989af62b8916f83e6b,pass,
dependency_lock_and_runtime,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER,2dd435cc93aab9058e322075ea3f9a35a289e28274396414e9c9200f70715de9,2dd435cc93aab9058e322075ea3f9a35a289e28274396414e9c9200f70715de9,pass,
