split,event_scope,event_stage,family_group,family_id,component_id,non_null_event_count,null_event_count,weighted_non_null_event_count,component_true_rate,component_true_count
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,volume_stall_flag,133,3,133.0,0.16541353383458646,22
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,failed_breakout_flag,55,81,55.0,0.8727272727272727,48
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,dense_upper_shadow_flag,136,0,136.0,0.6691176470588235,91
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,down_volume_dominance_flag,136,0,136.0,0.2426470588235294,33
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,ma20_break_no_reclaim_flag,85,51,85.0,0.2,17
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,large_bearish_engulf_flag,136,0,136.0,0.22058823529411764,30
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,volatility_up_no_price_flag,106,30,106.0,0.2169811320754717,23
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,low_upside_efficiency_flag,106,30,106.0,0.19811320754716982,21
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,lower_low_lower_high_flag,136,0,136.0,0.14705882352941177,20
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,gap_up_fade_flag,136,0,136.0,0.27205882352941174,37
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,volume_stall_flag,66,3,66.0,0.19696969696969696,13
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,failed_breakout_flag,24,45,24.0,0.9166666666666666,22
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,dense_upper_shadow_flag,66,3,66.0,0.7121212121212122,47
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,down_volume_dominance_flag,66,3,66.0,0.16666666666666666,11
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,ma20_break_no_reclaim_flag,36,33,36.0,0.2222222222222222,8
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,large_bearish_engulf_flag,66,3,66.0,0.24242424242424243,16
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,volatility_up_no_price_flag,53,16,53.0,0.3018867924528302,16
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,low_upside_efficiency_flag,53,16,53.0,0.2641509433962264,14
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,lower_low_lower_high_flag,66,3,66.0,0.13636363636363635,9
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,gap_up_fade_flag,66,3,66.0,0.19696969696969696,13
