split,event_scope,event_stage,family_group,family_id,bad_score_bucket,event_count,weighted_event_count,unique_instrument_count,unique_signal_date_count,p_good,p_bad,p_neutral,p_good_minus_p_bad,big_winner_rate
train,r03_clean_fresh_family_event,fresh_2,per_family,oscillator,3_4,37,37.0,32,30,0.02702702702702703,0.972972972972973,0.0,-0.945945945945946,0.2702702702702703
train,r03_clean_fresh_family_event,fresh_2,per_family,oscillator,5_6,5,5.0,5,5,0.2,0.6,0.2,-0.39999999999999997,0.0
train,r03_clean_fresh_family_event,fresh_2,per_family,oscillator,7plus,4,4.0,4,4,0.25,0.75,0.0,-0.5,0.5
train,r03_clean_fresh_family_event,fresh_2,per_family,price_trend,0_2,27,27.0,25,27,0.07407407407407407,0.9259259259259259,0.0,-0.8518518518518519,0.18518518518518517
train,r03_clean_fresh_family_event,fresh_2,per_family,price_trend,3_4,28,28.0,27,27,0.10714285714285714,0.8928571428571429,0.0,-0.7857142857142858,0.25
train,r03_clean_fresh_family_event,fresh_2,per_family,price_trend,5_6,4,4.0,4,4,0.25,0.75,0.0,-0.5,0.25
train,r03_clean_fresh_family_event,fresh_2,per_family,price_trend,7plus,3,3.0,3,3,0.0,1.0,0.0,-1.0,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_2,per_family,pullback_drawdown,0_2,16,16.0,15,15,0.0625,0.9375,0.0,-0.875,0.1875
train,r03_clean_fresh_family_event,fresh_2,per_family,pullback_drawdown,3_4,21,21.0,18,20,0.047619047619047616,0.9523809523809523,0.0,-0.9047619047619047,0.23809523809523808
train,r03_clean_fresh_family_event,fresh_2,per_family,pullback_drawdown,5_6,2,2.0,2,2,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_2,per_family,pullback_drawdown,7plus,1,1.0,1,1,1.0,0.0,0.0,1.0,0.0
train,r03_clean_fresh_family_event,fresh_2,per_family,range_breakout,0_2,12,12.0,11,12,0.08333333333333333,0.9166666666666666,0.0,-0.8333333333333333,0.16666666666666666
train,r03_clean_fresh_family_event,fresh_2,per_family,range_breakout,3_4,9,9.0,8,9,0.0,1.0,0.0,-1.0,0.1111111111111111
train,r03_clean_fresh_family_event,fresh_2,per_family,range_breakout,5_6,2,2.0,2,2,0.0,1.0,0.0,-1.0,0.5
train,r03_clean_fresh_family_event,fresh_2,per_family,range_breakout,7plus,2,2.0,2,2,0.0,1.0,0.0,-1.0,0.5
train,r03_clean_fresh_family_event,fresh_2,per_family,volatility_band,0_2,61,61.0,52,54,0.01639344262295082,0.9836065573770492,0.0,-0.9672131147540983,0.3114754098360656
train,r03_clean_fresh_family_event,fresh_2,per_family,volatility_band,3_4,34,34.0,32,33,0.08823529411764706,0.9117647058823529,0.0,-0.8235294117647058,0.29411764705882354
train,r03_clean_fresh_family_event,fresh_2,per_family,volatility_band,5_6,6,6.0,6,5,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_2,per_family,volatility_band,7plus,5,5.0,4,5,0.2,0.8,0.0,-0.6000000000000001,0.6
train,r03_clean_fresh_family_event,fresh_2,per_family,volume_money,0_2,40,40.0,32,39,0.05,0.95,0.0,-0.8999999999999999,0.35
train,r03_clean_fresh_family_event,fresh_2,per_family,volume_money,3_4,32,32.0,31,30,0.03125,0.96875,0.0,-0.9375,0.3125
train,r03_clean_fresh_family_event,fresh_2,per_family,volume_money,5_6,8,8.0,7,8,0.0,0.875,0.125,-0.875,0.25
train,r03_clean_fresh_family_event,fresh_2,per_family,volume_money,7plus,6,6.0,6,6,0.16666666666666666,0.8333333333333334,0.0,-0.6666666666666667,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,0_2,17,17.0,16,17,0.11764705882352941,0.8823529411764706,0.0,-0.7647058823529411,0.058823529411764705
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,3_4,17,17.0,16,16,0.0,0.9411764705882353,0.058823529411764705,-0.9411764705882353,0.058823529411764705
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,5_6,3,3.0,3,3,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,momentum_rps,7plus,1,1.0,1,1,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,0_2,26,26.0,25,25,0.0,1.0,0.0,-1.0,0.19230769230769232
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,3_4,19,19.0,18,18,0.05263157894736842,0.9473684210526315,0.0,-0.894736842105263,0.21052631578947367
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,5_6,8,8.0,7,7,0.0,0.875,0.125,-0.875,0.125
train,r03_clean_fresh_family_event,fresh_3,per_family,oscillator,7plus,3,3.0,3,3,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,0_2,16,16.0,15,16,0.0625,0.9375,0.0,-0.875,0.25
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,3_4,16,16.0,16,15,0.1875,0.75,0.0625,-0.5625,0.25
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,5_6,5,5.0,5,2,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,price_trend,7plus,2,2.0,2,2,0.5,0.5,0.0,0.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,0_2,7,7.0,7,7,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,3_4,2,2.0,2,2,0.5,0.5,0.0,0.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,pullback_drawdown,5_6,3,3.0,3,2,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,range_breakout,0_2,2,2.0,2,2,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,0_2,24,24.0,23,21,0.08333333333333333,0.9166666666666666,0.0,-0.8333333333333333,0.25
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,3_4,14,14.0,13,13,0.14285714285714285,0.8571428571428571,0.0,-0.7142857142857142,0.2857142857142857
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,5_6,3,3.0,3,3,0.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,volatility_band,7plus,2,2.0,2,2,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,0_2,16,16.0,16,16,0.125,0.875,0.0,-0.75,0.1875
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,3_4,16,16.0,15,15,0.125,0.875,0.0,-0.75,0.25
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,5_6,6,6.0,6,6,0.0,1.0,0.0,-1.0,0.16666666666666666
train,r03_clean_fresh_family_event,fresh_3,per_family,volume_money,7plus,4,4.0,4,4,0.25,0.75,0.0,-0.5,0.25
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,0_2,10,10.0,9,10,0.3,0.7,0.0,-0.39999999999999997,0.2
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,3_4,4,4.0,4,3,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_4plus,per_family,momentum_rps,5_6,3,3.0,3,3,0.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,0_2,14,14.0,13,14,0.07142857142857142,0.9285714285714286,0.0,-0.8571428571428572,0.35714285714285715
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,3_4,3,3.0,3,3,0.0,1.0,0.0,-1.0,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_4plus,per_family,oscillator,5_6,3,3.0,3,3,0.3333333333333333,0.6666666666666666,0.0,-0.3333333333333333,0.3333333333333333
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,0_2,5,5.0,5,5,0.2,0.8,0.0,-0.6000000000000001,0.2
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,3_4,7,7.0,7,6,0.2857142857142857,0.7142857142857143,0.0,-0.4285714285714286,0.0
train,r03_clean_fresh_family_event,fresh_4plus,per_family,price_trend,5_6,2,2.0,2,2,0.0,0.5,0.5,-0.5,0.5
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,0_2,1,1.0,1,1,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,3_4,2,2.0,2,2,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_4plus,per_family,pullback_drawdown,5_6,3,3.0,3,3,0.0,0.6666666666666666,0.3333333333333333,-0.6666666666666666,0.0
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,0_2,4,4.0,4,4,0.25,0.75,0.0,-0.5,0.5
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,3_4,4,4.0,4,4,0.0,1.0,0.0,-1.0,0.25
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volatility_band,5_6,3,3.0,3,3,0.0,1.0,0.0,-1.0,0.6666666666666666
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,0_2,3,3.0,3,3,0.0,1.0,0.0,-1.0,0.6666666666666666
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,3_4,5,5.0,5,5,0.0,1.0,0.0,-1.0,0.2
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,5_6,1,1.0,1,1,0.0,1.0,0.0,-1.0,0.0
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,7plus,3,3.0,3,3,0.0,1.0,0.0,-1.0,0.3333333333333333
train,r03_seed_family_event,seed_family,per_family,momentum_rps,0_2,145,145.0,108,119,0.020689655172413793,0.9793103448275862,0.0,-0.9586206896551723,0.3724137931034483
train,r03_seed_family_event,seed_family,per_family,momentum_rps,3_4,126,126.0,103,99,0.047619047619047616,0.9523809523809523,0.0,-0.9047619047619047,0.30952380952380953
train,r03_seed_family_event,seed_family,per_family,momentum_rps,5_6,32,32.0,29,28,0.125,0.875,0.0,-0.75,0.40625
train,r03_seed_family_event,seed_family,per_family,momentum_rps,7plus,17,17.0,16,17,0.0,1.0,0.0,-1.0,0.29411764705882354
train,r03_seed_family_event,seed_family,per_family,oscillator,0_2,93,93.0,77,82,0.03225806451612903,0.967741935483871,0.0,-0.935483870967742,0.3333333333333333
train,r03_seed_family_event,seed_family,per_family,oscillator,3_4,88,88.0,73,69,0.045454545454545456,0.9545454545454546,0.0,-0.9090909090909092,0.2727272727272727
train,r03_seed_family_event,seed_family,per_family,oscillator,5_6,23,23.0,23,21,0.21739130434782608,0.782608695652174,0.0,-0.5652173913043479,0.391304347826087
train,r03_seed_family_event,seed_family,per_family,oscillator,7plus,9,9.0,9,9,0.1111111111111111,0.8888888888888888,0.0,-0.7777777777777777,0.2222222222222222
train,r03_seed_family_event,seed_family,per_family,price_trend,0_2,152,152.0,107,119,0.02631578947368421,0.9736842105263158,0.0,-0.9473684210526316,0.3618421052631579
train,r03_seed_family_event,seed_family,per_family,price_trend,3_4,151,151.0,119,107,0.039735099337748346,0.9602649006622517,0.0,-0.9205298013245033,0.2781456953642384
train,r03_seed_family_event,seed_family,per_family,price_trend,5_6,35,35.0,33,31,0.14285714285714285,0.8571428571428571,0.0,-0.7142857142857142,0.4
train,r03_seed_family_event,seed_family,per_family,price_trend,7plus,20,20.0,19,19,0.1,0.9,0.0,-0.8,0.25
train,r03_seed_family_event,seed_family,per_family,pullback_drawdown,0_2,151,151.0,108,118,0.006622516556291391,0.9933774834437086,0.0,-0.9867549668874172,0.33774834437086093
train,r03_seed_family_event,seed_family,per_family,pullback_drawdown,3_4,165,165.0,129,118,0.06060606060606061,0.9393939393939394,0.0,-0.8787878787878789,0.2909090909090909
train,r03_seed_family_event,seed_family,per_family,pullback_drawdown,5_6,37,37.0,32,32,0.05405405405405406,0.9459459459459459,0.0,-0.8918918918918919,0.32432432432432434
train,r03_seed_family_event,seed_family,per_family,pullback_drawdown,7plus,23,23.0,22,20,0.08695652173913043,0.9130434782608695,0.0,-0.826086956521739,0.30434782608695654
train,r03_seed_family_event,seed_family,per_family,range_breakout,0_2,219,219.0,132,158,0.045662100456621,0.954337899543379,0.0,-0.908675799086758,0.319634703196347
train,r03_seed_family_event,seed_family,per_family,range_breakout,3_4,182,182.0,136,133,0.054945054945054944,0.945054945054945,0.0,-0.8901098901098901,0.27472527472527475
train,r03_seed_family_event,seed_family,per_family,range_breakout,5_6,49,49.0,44,44,0.12244897959183673,0.8775510204081632,0.0,-0.7551020408163265,0.30612244897959184
train,r03_seed_family_event,seed_family,per_family,range_breakout,7plus,22,22.0,20,21,0.045454545454545456,0.9545454545454546,0.0,-0.9090909090909092,0.22727272727272727
train,r03_seed_family_event,seed_family,per_family,volatility_band,0_2,105,105.0,85,89,0.0380952380952381,0.9619047619047619,0.0,-0.9238095238095239,0.2761904761904762
train,r03_seed_family_event,seed_family,per_family,volatility_band,3_4,129,129.0,111,94,0.046511627906976744,0.9534883720930233,0.0,-0.9069767441860466,0.24031007751937986
train,r03_seed_family_event,seed_family,per_family,volatility_band,5_6,31,31.0,29,27,0.16129032258064516,0.8387096774193549,0.0,-0.6774193548387097,0.3225806451612903
train,r03_seed_family_event,seed_family,per_family,volatility_band,7plus,16,16.0,15,14,0.0,1.0,0.0,-1.0,0.375
train,r03_seed_family_event,seed_family,per_family,volume_money,0_2,87,87.0,75,74,0.04597701149425287,0.9540229885057471,0.0,-0.9080459770114941,0.25287356321839083
train,r03_seed_family_event,seed_family,per_family,volume_money,3_4,80,80.0,66,63,0.0375,0.9625,0.0,-0.925,0.2375
train,r03_seed_family_event,seed_family,per_family,volume_money,5_6,22,22.0,22,21,0.18181818181818182,0.8181818181818182,0.0,-0.6363636363636365,0.36363636363636365
train,r03_seed_family_event,seed_family,per_family,volume_money,7plus,11,11.0,11,11,0.0,1.0,0.0,-1.0,0.2727272727272727
train,r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,0_2,3394,1510.0,210,466,0.05562913907284768,0.9443708609271523,0.0,-0.8887417218543046,0.2913907284768212
train,r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,3_4,2801,1247.0,224,412,0.06575781876503609,0.9326383319967922,0.0016038492381716118,-0.8668805132317562,0.27666399358460303
train,r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,5_6,792,384.0,153,204,0.08593750000000004,0.9010416666666666,0.013020833333333334,-0.8151041666666666,0.21354166666666674
train,r02_signal_episode_start,r02_episode_start,all_families_dedup_weighted,ALL,7plus,484,246.0,118,138,0.06910569105691057,0.9308943089430894,0.0,-0.8617886178861789,0.3089430894308943
train,r03_clean_fresh_family_event,fresh_1,all_families_dedup_weighted,ALL,0_2,429,200.0,117,155,0.03,0.97,0.0,-0.94,0.2950000000000001
train,r03_clean_fresh_family_event,fresh_1,all_families_dedup_weighted,ALL,3_4,361,161.0,115,128,0.08695652173913042,0.906832298136646,0.006211180124223602,-0.8198757763975156,0.2360248447204969
train,r03_clean_fresh_family_event,fresh_1,all_families_dedup_weighted,ALL,5_6,86,43.00000000000001,40,38,0.0697674418604651,0.9302325581395348,0.0,-0.8604651162790696,0.1395348837209302
train,r03_clean_fresh_family_event,fresh_1,all_families_dedup_weighted,ALL,7plus,58,29.0,24,28,0.13793103448275862,0.8620689655172413,0.0,-0.7241379310344827,0.3103448275862069
train,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,0_2,234,144.0,89,114,0.05555555555555555,0.9444444444444444,0.0,-0.8888888888888888,0.2777777777777778
train,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,3_4,188,117.0,89,92,0.05982905982905983,0.9401709401709402,0.0,-0.8803418803418803,0.23931623931623933
train,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,5_6,30,22.0,18,18,0.13636363636363635,0.7727272727272727,0.09090909090909091,-0.6363636363636364,0.09090909090909091
train,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,7plus,21,15.0,13,15,0.2,0.8,0.0,-0.6000000000000001,0.26666666666666666
train,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,0_2,108,76.0,63,67,0.07894736842105263,0.9210526315789473,0.0,-0.8421052631578947,0.2236842105263158
train,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,3_4,84,61.0,54,51,0.06557377049180328,0.9180327868852459,0.01639344262295082,-0.8524590163934427,0.22950819672131148
train,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,5_6,28,23.0,20,18,0.0,0.9130434782608695,0.08695652173913043,-0.9130434782608695,0.08695652173913043
train,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,7plus,12,9.0,9,9,0.2222222222222222,0.7777777777777778,0.0,-0.5555555555555556,0.1111111111111111
train,r03_clean_fresh_family_event,fresh_4plus,all_families_dedup_weighted,ALL,0_2,37,29.0,24,29,0.1724137931034483,0.8275862068965517,0.0,-0.6551724137931034,0.3448275862068966
train,r03_clean_fresh_family_event,fresh_4plus,all_families_dedup_weighted,ALL,3_4,25,21.0,18,18,0.09523809523809523,0.9047619047619048,0.0,-0.8095238095238095,0.14285714285714285
