split,event_scope,event_stage,family_group,family_id,filter_policy,denominator_policy,baseline_event_count,baseline_weighted_event_count,passed_event_count,dropped_event_count,dropped_weighted_event_count,dropped_event_rate,signal_anchor_big_winner_weight,signal_anchor_big_winner_dropped_weight,signal_anchor_big_winner_retention_rate,dropped_p_bad,event_count,weighted_event_count,unique_instrument_count,unique_signal_date_count,p_good,p_bad,p_neutral,p_good_minus_p_bad,big_winner_rate,delta_p_bad_vs_parent,delta_p_good_vs_parent,delta_p_good_minus_p_bad_vs_parent,delta_big_winner_rate_vs_parent
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_down_volume_dominance,component_non_null:down_volume_dominance_flag,209,128.0,182,27,20.0,0.15625,14.000000000000002,4.0,0.7142857142857143,0.8,182,108.0,78,66,0.12962962962962962,0.8333333333333334,0.037037037037037035,-0.7037037037037037,0.055555555555555546,0.00520833333333337,-0.0031828703703703776,-0.00839120370370372,-0.014756944444444454
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_failed_breakout,component_non_null:failed_breakout_flag,209,128.0,15,194,119.0,0.9296875,14.000000000000002,12.0,0.14285714285714302,0.8235294117647058,15,9.0,8,7,0.1111111111111111,0.8888888888888888,0.0,-0.7777777777777777,0.0,0.06076388888888884,-0.021701388888888895,-0.08246527777777768,-0.0703125
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_gap_up_fade,component_non_null:gap_up_fade_flag,209,128.0,185,24,15.999999999999998,0.12499999999999999,14.000000000000002,2.0,0.8571428571428572,1.0,185,112.0,76,66,0.15178571428571427,0.8035714285714286,0.044642857142857144,-0.6517857142857143,0.07142857142857141,-0.024553571428571397,0.018973214285714274,0.0435267857142857,0.0011160714285714107
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_large_bearish_engulf,component_non_null:large_bearish_engulf_flag,209,128.0,167,42,30.0,0.234375,14.000000000000002,2.0,0.8571428571428572,0.8333333333333333,167,98.0,71,67,0.14285714285714288,0.826530612244898,0.030612244897959183,-0.6836734693877551,0.08163265306122447,-0.0015943877551020114,0.010044642857142877,0.011639030612244916,0.01132015306122447
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_low_upside_efficiency,component_non_null:low_upside_efficiency_flag,209,128.0,167,42,28.0,0.21875,14.000000000000002,0.0,1.0,0.8214285714285713,167,100.0,70,66,0.16,0.83,0.01,-0.6699999999999999,0.09,0.00187499999999996,0.027187500000000003,0.02531250000000007,0.019687499999999997
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_lower_low_lower_high,component_non_null:lower_low_lower_high_flag,209,128.0,200,9,6.0,0.046875,14.000000000000002,0.0,1.0,0.8333333333333334,200,122.0,83,74,0.13114754098360656,0.8278688524590164,0.040983606557377046,-0.6967213114754098,0.07377049180327869,-0.0002561475409835756,-0.0016649590163934358,-0.0014088114754098324,0.003457991803278687
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_ma20_break_no_reclaim,component_non_null:ma20_break_no_reclaim_flag,129,79.0,122,7,5.0,0.06329113924050633,11.000000000000002,0.0,1.0,0.6,122,74.0,57,54,0.1621621621621622,0.7837837837837838,0.05405405405405406,-0.6216216216216216,0.09459459459459457,-0.04434121621621623,0.0293496621621622,0.0736908783783784,0.024282094594594572
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_volatility_up_no_price,component_non_null:volatility_up_no_price_flag,209,128.0,167,42,24.999999999999996,0.19531249999999997,14.000000000000002,0.0,1.0,0.7600000000000001,167,103.0,73,69,0.12621359223300974,0.8446601941747572,0.02912621359223301,-0.7184466019417475,0.08737864077669903,0.01653519417475724,-0.006598907766990264,-0.023134101941747476,0.017066140776699032
validation,r03_clean_fresh_family_event,fresh_2,all_families_dedup_weighted,ALL,drop_volume_stall,component_non_null:volume_stall_flag,209,128.0,188,21,16.0,0.125,14.000000000000002,0.0,1.0,0.6875000000000001,188,112.0,78,73,0.14285714285714285,0.8482142857142857,0.008928571428571428,-0.7053571428571428,0.08035714285714286,0.0200892857142857,0.01004464285714285,-0.010044642857142794,0.010044642857142863
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,no_badshape_filter_t10_survivor,baseline_1,106,70.0,106,0,0.0,0.0,7.0,0.0,1.0,,106,70.0,57,56,0.1,0.8714285714285714,0.02857142857142857,-0.7714285714285715,0.04285714285714286,0.0,0.0,0.0,0.0
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_score_ge3,baseline_1,106,70.0,48,58,37.0,0.5285714285714286,7.0,4.0,0.4285714285714286,0.7837837837837838,48,33.0,29,27,0.030303030303030304,0.9696969696969697,0.0,-0.9393939393939394,0.030303030303030304,0.09826839826839828,-0.0696969696969697,-0.16796536796536798,-0.012554112554112554
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_score_ge5,baseline_1,106,70.0,85,21,12.000000000000002,0.17142857142857146,7.0,0.0,1.0,0.6666666666666665,85,58.0,49,46,0.08620689655172414,0.9137931034482759,0.0,-0.8275862068965518,0.05172413793103448,0.04236453201970447,-0.013793103448275862,-0.05615763546798036,0.008866995073891625
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_score_ge7,baseline_1,106,70.0,102,4,1.9999999999999998,0.028571428571428567,7.0,0.0,1.0,1.0,102,68.0,55,54,0.10294117647058823,0.8676470588235294,0.029411764705882353,-0.7647058823529412,0.04411764705882353,-0.0037815126050420034,0.002941176470588225,0.006722689075630228,0.0012605042016806747
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_dense_upper_shadow,component_non_null:dense_upper_shadow_flag,106,70.0,22,84,54.0,0.7714285714285715,7.0,5.0,0.2857142857142857,0.9074074074074074,22,16.0,14,16,0.25,0.75,0.0,-0.5,0.0625,-0.12142857142857144,0.15,0.27142857142857146,0.019642857142857142
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_down_volume_dominance,component_non_null:down_volume_dominance_flag,106,70.0,89,17,11.0,0.15714285714285714,7.0,1.0,0.8571428571428572,0.7272727272727273,89,59.0,51,46,0.0847457627118644,0.8983050847457628,0.01694915254237288,-0.8135593220338984,0.03389830508474576,0.02687651331719132,-0.015254237288135603,-0.042130750605326894,-0.008958837772397095
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_failed_breakout,component_non_null:failed_breakout_flag,106,70.0,15,91,61.0,0.8714285714285714,7.0,5.0,0.2857142857142857,0.8524590163934426,15,8.999999999999998,8,8,0.0,1.0,0.0,-1.0,0.0,0.12857142857142856,-0.1,-0.22857142857142854,-0.04285714285714286
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_gap_up_fade,component_non_null:gap_up_fade_flag,106,70.0,96,10,7.0,0.1,7.0,1.0,0.8571428571428572,1.0,96,63.0,53,50,0.1111111111111111,0.8571428571428571,0.031746031746031744,-0.746031746031746,0.047619047619047616,-0.014285714285714346,0.0111111111111111,0.025396825396825418,0.004761904761904759
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_large_bearish_engulf,component_non_null:large_bearish_engulf_flag,106,70.0,88,18,12.0,0.17142857142857143,7.0,0.0,1.0,0.8333333333333334,88,58.0,49,48,0.1206896551724138,0.8793103448275862,0.0,-0.7586206896551724,0.05172413793103448,0.007881773399014746,0.020689655172413793,0.012807881773399088,0.008866995073891625
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_low_upside_efficiency,component_non_null:low_upside_efficiency_flag,106,70.0,85,21,14.000000000000002,0.20000000000000004,7.0,0.0,1.0,0.857142857142857,85,56.0,46,45,0.10714285714285714,0.875,0.017857142857142856,-0.7678571428571429,0.05357142857142857,0.0035714285714285587,0.007142857142857131,0.0035714285714285587,0.010714285714285711
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_lower_low_lower_high,component_non_null:lower_low_lower_high_flag,106,70.0,96,10,4.999999999999999,0.07142857142857141,7.0,0.0,1.0,0.6000000000000002,96,65.0,53,52,0.09230769230769231,0.8923076923076924,0.015384615384615385,-0.8,0.046153846153846156,0.020879120879120916,-0.007692307692307693,-0.02857142857142858,0.003296703296703299
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_ma20_break_no_reclaim,component_non_null:ma20_break_no_reclaim_flag,62,39.00000000000001,56,6,3.0000000000000004,0.07692307692307693,5.0,0.0,1.0,0.6666666666666665,56,36.0,32,33,0.1111111111111111,0.8333333333333334,0.05555555555555555,-0.7222222222222223,0.05555555555555555,-0.03809523809523807,0.0111111111111111,0.04920634920634914,0.012698412698412695
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_volatility_up_no_price,component_non_null:volatility_up_no_price_flag,106,70.0,89,17,10.0,0.14285714285714285,7.0,0.0,1.0,0.7999999999999998,89,60.0,49,49,0.1,0.8833333333333333,0.016666666666666666,-0.7833333333333333,0.05,0.011904761904761862,0.0,-0.011904761904761862,0.007142857142857145
validation,r03_clean_fresh_family_event,fresh_3,all_families_dedup_weighted,ALL,drop_volume_stall,component_non_null:volume_stall_flag,106,70.0,96,10,5.999999999999999,0.0857142857142857,7.0,0.0,1.0,0.6666666666666667,96,63.99999999999999,52,52,0.09375000000000001,0.8906250000000001,0.015625000000000003,-0.7968750000000001,0.04687500000000001,0.01919642857142867,-0.006249999999999992,-0.025446428571428648,0.004017857142857149
validation,r03_clean_fresh_family_event,fresh_4plus,all_families_dedup_weighted,ALL,no_badshape_filter_t10_survivor,baseline_1,29,21.999999999999996,29,0,0.0,0.0,1.0,0.0,1.0,,29,21.999999999999996,17,19,0.0,1.0,0.0,-1.0,0.04545454545454546,0.0,0.0,0.0,0.0
validation,r03_clean_fresh_family_event,fresh_4plus,all_families_dedup_weighted,ALL,drop_score_ge3,baseline_1,29,21.999999999999996,10,19,14.000000000000002,0.6363636363636366,1.0,0.0,1.0,1.0,10,8.0,7,8,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.04545454545454546
validation,r03_clean_fresh_family_event,fresh_4plus,all_families_dedup_weighted,ALL,drop_score_ge5,baseline_1,29,21.999999999999996,23,6,6.0,0.27272727272727276,1.0,0.0,1.0,1.0,23,16.0,14,16,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-0.04545454545454546
validation,r03_clean_fresh_family_event,fresh_4plus,all_families_dedup_weighted,ALL,drop_score_ge7,baseline_1,29,21.999999999999996,28,1,1.0,0.04545454545454546,1.0,0.0,1.0,1.0,28,20.999999999999996,16,19,0.0,1.0,0.0,-1.0,0.04761904761904763,0.0,0.0,0.0,0.0021645021645021675
