valid_train_year_count,mean_train_rankIC,ic_vol,positive_year_count,negative_year_count,same_sign_year_count,sign_consistency,single_year_ic_contribution_share,neutralized_mean_train_rankIC,raw_neutralized_rankIC_sign_agree,factor_quality_score,direction_i,stability_selected,representative_eligible,neutralized_missing_share,factor_id,direction,cluster_id,cluster_size,cluster_source_factor_share,is_representative,representative_factor_id,representative_tie_break_rank,cluster_structure_ok,cluster_block_reason
5,0.011296229944801154,0.018455263718397716,4,1,4,0.8,0.34555946473262167,0.014750345190783692,True,0.008873226225810587,1,True,True,0.0,alpha096,1,alpha024,5,0.056179775280898875,False,alpha024,,False,no_representative_eligible_factor
5,-0.011543462010642354,0.01628988282002071,2,3,3,0.6,0.43583887017182016,-0.005707203379399209,True,0.00681506066671332,-1,True,True,0.0,alpha031,-1,alpha031,4,0.0449438202247191,False,alpha046,,False,no_representative_eligible_factor
5,0.011543462010642354,0.01628988282002071,3,2,3,0.6,0.43583887017182016,0.005705117289100295,True,0.00681506066671332,1,True,True,0.0,alpha034,1,alpha031,4,0.0449438202247191,False,alpha046,,False,no_representative_eligible_factor
5,0.01309400681515856,0.012488877715542529,4,1,4,0.8,0.39337188165152914,0.006961422208846393,True,0.010345995578501401,1,True,True,0.005919027701049684,alpha046,1,alpha031,4,0.0449438202247191,True,alpha046,1.0,False,no_representative_eligible_factor
5,-0.007527747841218796,0.01704498703481529,2,3,3,0.6,0.409930156707911,0.0008078156365764644,False,0.004440952723143076,-1,True,False,0.005498119064530571,alpha078,-1,alpha031,4,0.0449438202247191,False,alpha046,,False,no_representative_eligible_factor
5,0.005043292117849063,0.017945370299628748,4,1,4,0.8,0.3432275890064059,-0.0007414830564276317,False,0.003963507091831136,1,True,False,0.0,alpha037,1,alpha037,1,0.011235955056179775,False,,,False,no_representative_eligible_factor
5,0.013339178334958571,0.0037586613861087534,5,0,5,1.0,0.2664685777508683,0.01162930032087967,True,0.013289228624476582,1,True,True,0.0,alpha038,1,alpha038,1,0.011235955056179775,True,alpha038,1.0,False,no_representative_eligible_factor
5,-0.008927612630070716,0.025789907947225542,1,4,4,0.8,0.31823255566650543,-0.0044438908119051,True,0.006962527169280765,-1,True,True,0.003604030200194619,alpha040,-1,alpha040,1,0.011235955056179775,True,alpha040,1.0,False,no_representative_eligible_factor
5,-0.016868758649489685,0.03554367573902589,2,3,3,0.6,0.32566641174959976,-0.010595195751030823,True,0.009773856406848969,-1,True,True,0.0,alpha041,-1,alpha041,1,0.011235955056179775,True,alpha041,1.0,False,no_representative_eligible_factor
5,-0.01173137505487809,0.024643158442474142,2,3,3,0.6,0.4742557399386273,-0.005223871778787437,True,0.006869537921500727,-1,True,True,0.0,alpha043,-1,alpha043,1,0.011235955056179775,True,alpha043,1.0,False,no_representative_eligible_factor
5,0.005507505003927253,0.014304222434879615,3,2,3,0.6,0.33285256145671743,0.0005987936293503097,True,0.003257901258089761,1,True,True,0.0,alpha048,1,alpha048,1,0.011235955056179775,True,alpha048,1.0,False,no_representative_eligible_factor
5,-0.011848523751946498,0.015500702315580725,1,4,4,0.8,0.47626095138377894,-0.008971997106686263,True,0.009334133378680349,-1,True,True,0.00484044931996952,alpha055,-1,alpha055,2,0.02247191011235955,True,alpha055,1.0,False,no_representative_eligible_factor
5,-0.006456700066405301,0.01780040233758213,2,3,3,0.6,0.33864961948386857,-0.005851786615082367,True,0.0038062669566112555,-1,True,True,0.004393233893667969,alpha059,-1,alpha055,2,0.02247191011235955,False,alpha055,,False,no_representative_eligible_factor
5,0.007407206369617701,0.02774047672632405,3,2,3,0.6,0.4821260150342041,0.0020678400836767934,True,0.004324363905494105,1,True,True,0.0405650698445269,alpha060,1,alpha060,1,0.011235955056179775,True,alpha060,1.0,False,no_representative_eligible_factor
5,-0.007992374795859392,0.03007507777288161,1,4,4,0.8,0.3529779891286861,-0.00034795493919732265,True,0.0062072172938226235,-1,True,True,0.0,alpha070,-1,alpha070,1,0.011235955056179775,True,alpha070,1.0,False,no_representative_eligible_factor
5,-0.01394112142334655,0.016534103193190784,1,4,4,0.8,0.27204278683649064,-0.005754224116761976,True,0.010971493335681676,-1,True,True,0.005919027701049684,alpha071,-1,alpha071,2,0.02247191011235955,True,alpha071,1.0,False,no_representative_eligible_factor
5,-0.010126814209045178,0.020255210067417383,2,3,3,0.6,0.3910519316242418,-0.006036344920220748,True,0.005955459443353987,-1,True,True,0.004393233893667969,alpha088,-1,alpha071,2,0.02247191011235955,False,alpha071,,False,no_representative_eligible_factor
5,-0.01823121643746966,0.038182763418938094,2,3,3,0.6,0.4193328068160163,-0.015314040153643562,True,0.010536420221867706,-1,True,True,0.0,alpha072,-1,alpha072,2,0.02247191011235955,False,alpha082,,False,no_representative_eligible_factor
5,-0.021158232216385905,0.047844142965392626,2,3,3,0.6,0.42744091016725855,-0.017161588525880858,True,0.012115293495753042,-1,True,True,0.0,alpha082,-1,alpha072,2,0.02247191011235955,True,alpha082,1.0,False,no_representative_eligible_factor
5,-0.0472781519440807,0.03845473015572244,1,4,4,0.8,0.47152216105149475,-0.022984160347481845,True,0.036421926211066366,-1,True,True,0.0,alpha081,-1,alpha081,3,0.033707865168539325,False,alpha100,,False,no_representative_eligible_factor
5,-0.051916329266991176,0.042127831756840824,1,4,4,0.8,0.447295858116718,-0.023836385382253918,True,0.03985409673166069,-1,True,True,0.0,alpha097,-1,alpha081,3,0.033707865168539325,False,alpha100,,False,no_representative_eligible_factor
5,-0.0546389715639964,0.0423289365219637,1,4,4,0.8,0.4355163886145325,-0.027193819333640734,True,0.041936068087155186,-1,True,True,0.0,alpha100,-1,alpha081,3,0.033707865168539325,True,alpha100,1.0,False,no_representative_eligible_factor
5,-0.02322956905212351,0.013081386797201063,0,5,5,1.0,0.40579813399422726,-0.009238712912479902,True,0.02292961785189092,-1,True,True,0.0,alpha084,-1,alpha084,2,0.02247191011235955,False,alpha094,,False,no_representative_eligible_factor
5,-0.030128208616822083,0.015165630609049312,0,5,5,1.0,0.3622615561989487,-0.013013629441359231,True,0.02967812119362891,-1,True,True,0.0072343671901717865,alpha094,-1,alpha084,2,0.02247191011235955,True,alpha094,1.0,False,no_representative_eligible_factor
5,0.013488791598059418,0.022818259322143472,4,1,4,0.8,0.4354925365078127,0.010146478475363619,True,0.010550293935502402,1,True,True,0.0,alpha086,1,alpha086,1,0.011235955056179775,True,alpha086,1.0,False,no_representative_eligible_factor
5,-0.010404266483186356,0.027390079499429676,2,3,3,0.6,0.39632353037011253,-0.006528476316921971,True,0.006076134094027213,-1,True,True,0.0,alpha089,-1,alpha089,1,0.011235955056179775,True,alpha089,1.0,False,no_representative_eligible_factor
5,-0.015522846500164954,0.021554216461553654,1,4,4,0.8,0.2860292419559797,-0.010241873985289156,True,0.012156258571518832,-1,True,True,0.0,alpha095,-1,alpha095,1,0.011235955056179775,True,alpha095,1.0,False,no_representative_eligible_factor
5,0.029313258081154335,0.022875108612898404,5,0,5,1.0,0.4665016187646431,0.01763780732409633,True,0.02865770985561032,1,True,True,0.0,alpha098,1,alpha098,1,0.011235955056179775,True,alpha098,1.0,False,no_representative_eligible_factor
5,-0.007492372180749591,0.0159737288710768,1,4,4,0.8,0.4211249285265275,0.00193152981035562,False,0.005899658204016687,-1,True,False,0.0,alpha102,-1,alpha102,1,0.011235955056179775,False,,,False,no_representative_eligible_factor
5,0.008654560865052851,0.012787650947992689,3,2,3,0.6,0.4627136394217159,0.013343929106387376,True,0.005127172032726889,1,True,True,0.0,alpha109,1,alpha109,1,0.011235955056179775,True,alpha109,1.0,False,no_representative_eligible_factor
5,-0.012040993406248063,0.014489831365309888,1,4,4,0.8,0.4089879824149175,-0.0004700801303133652,True,0.009495210722846325,-1,True,True,0.004393233893667969,alpha110,-1,alpha110,2,0.02247191011235955,True,alpha110,1.0,False,no_representative_eligible_factor
5,-0.013667625676622285,0.017413115305626083,2,3,3,0.6,0.3596080571612642,-0.006781482551823495,True,0.008060221833792616,-1,True,True,0.0,alpha118,-1,alpha110,2,0.02247191011235955,False,alpha110,,False,no_representative_eligible_factor
5,0.019310295810077142,0.012064392426403418,4,1,4,0.8,0.32218913963146034,0.019146633815177096,True,0.015264084739731714,1,True,True,0.0,alpha111,1,alpha111,1,0.011235955056179775,True,alpha111,1.0,False,no_representative_eligible_factor
5,0.05318198540433494,0.03595742448086354,5,0,5,1.0,0.37772770476103684,0.03731278768378764,True,0.05133607245585924,1,True,True,0.0003682950569542376,alpha114,1,alpha114,1,0.011235955056179775,True,alpha114,1.0,False,no_representative_eligible_factor
5,-0.009787928605779147,0.03475399041289145,2,3,3,0.6,0.3299424835993308,0.00244138691913211,False,0.005675510525090237,-1,True,False,0.0,alpha122,-1,alpha122,2,0.02247191011235955,False,,,False,no_representative_eligible_factor
5,-0.00783544488741507,0.04646113080083463,2,3,3,0.6,0.2772293726590707,0.004753174242207411,False,0.004492538512970149,-1,True,False,0.00010522715912975045,alpha135,-1,alpha122,2,0.02247191011235955,False,,,False,no_representative_eligible_factor
5,-0.05675304803271876,0.025717518804055046,0,5,5,1.0,0.3481901316864687,-0.032716041684639555,True,0.05533009526725302,-1,True,True,0.036040302001946745,alpha124,-1,alpha124,1,0.011235955056179775,True,alpha124,1.0,False,no_representative_eligible_factor
5,-0.03327013174326101,0.0409315422639111,2,3,3,0.6,0.32375899833373256,-0.013187198473407213,True,0.019177129556994004,-1,True,True,0.0,alpha127,-1,alpha127,1,0.011235955056179775,True,alpha127,1.0,False,no_representative_eligible_factor
5,-0.00796605781701249,0.011303007387490628,2,3,3,0.6,0.3144961246946741,-0.0014139962205195326,True,0.004726214255562012,-1,True,True,0.0,alpha128,-1,alpha128,1,0.011235955056179775,True,alpha128,1.0,False,no_representative_eligible_factor
5,-0.011676115509162735,0.016742321797096466,1,4,4,0.8,0.45971500603916793,-0.006052379904798971,True,0.009187079368172774,-1,True,True,0.0,alpha134,-1,alpha134,1,0.011235955056179775,True,alpha134,1.0,False,no_representative_eligible_factor
5,-0.025971813276667012,0.01870694430704872,1,4,4,0.8,0.3973353778965076,-0.025708220310316016,True,0.020395905552079045,-1,True,True,0.0,alpha137,-1,alpha137,1,0.011235955056179775,True,alpha137,1.0,False,no_representative_eligible_factor
5,-0.011756672769394363,0.02747967064780504,2,3,3,0.6,0.3399730076040036,-0.0019252716897819398,True,0.0068653462089320084,-1,True,True,0.020256228132480958,alpha145,-1,alpha145,1,0.011235955056179775,True,alpha145,1.0,False,no_representative_eligible_factor
5,0.015350611909801876,0.025842955968769045,3,2,3,0.6,0.46596624614234694,0.004071781495314601,True,0.008978340293016087,1,True,True,0.034672348933259656,alpha146,1,alpha146,1,0.011235955056179775,True,alpha146,1.0,False,no_representative_eligible_factor
5,-0.013514674272550053,0.029097125072056633,1,4,4,0.8,0.2738996833233868,-0.009777155101199354,True,0.010506043749061113,-1,True,True,0.0,alpha150,-1,alpha150,1,0.011235955056179775,True,alpha150,1.0,False,no_representative_eligible_factor
5,-0.01174974346030103,0.04681444326072391,2,3,3,0.6,0.36967739526545484,-0.01400795568977278,True,0.006734570889393771,-1,True,True,0.011417146765580144,alpha152,-1,alpha152,1,0.011235955056179775,True,alpha152,1.0,False,no_representative_eligible_factor
