factor_id,primary_label_comparator,audit_label_comparator,primary_mean_train_rankIC,audit_mean_train_rankIC,primary_audit_sign_agree,representative_flag,selected_factor_flag
alpha163,eligible_minus_target,frozen_composite_nonselected_preferred,0.025356835510657795,0.006015864074078332,True,True,True
alpha164,eligible_minus_target,frozen_composite_nonselected_preferred,-0.03337089632564698,0.011275656186675118,False,False,True
alpha166,eligible_minus_target,frozen_composite_nonselected_preferred,-0.00532583194213775,0.018772672280791075,False,False,True
alpha167,eligible_minus_target,frozen_composite_nonselected_preferred,0.033831462011256364,-0.00453733850307287,False,False,True
alpha168,eligible_minus_target,frozen_composite_nonselected_preferred,0.0023807778669938046,-0.008924628432667175,False,False,False
alpha169,eligible_minus_target,frozen_composite_nonselected_preferred,-0.008420225673443086,0.013482101782477163,False,True,True
alpha170,eligible_minus_target,frozen_composite_nonselected_preferred,0.0024474711861451398,0.03084003577803823,True,False,False
alpha171,eligible_minus_target,frozen_composite_nonselected_preferred,0.022217261632681107,0.015651357622735545,True,True,True
alpha172,eligible_minus_target,frozen_composite_nonselected_preferred,0.00701630994000105,-0.0164389627810308,False,False,True
alpha173,eligible_minus_target,frozen_composite_nonselected_preferred,0.042823248723065074,-0.011171535800278487,False,False,True
alpha174,eligible_minus_target,frozen_composite_nonselected_preferred,0.03867040035924493,-0.007648196722026285,False,False,True
alpha175,eligible_minus_target,frozen_composite_nonselected_preferred,0.03998787246075651,0.0012645786509271264,True,False,True
alpha178,eligible_minus_target,frozen_composite_nonselected_preferred,-0.023098492442167762,-0.03977953199831363,True,True,True
alpha181,eligible_minus_target,frozen_composite_nonselected_preferred,0.0023844411564308545,-0.016490819170358488,False,False,False
alpha182,eligible_minus_target,frozen_composite_nonselected_preferred,0.021556860972784943,-0.04041420603960372,False,True,True
alpha185,eligible_minus_target,frozen_composite_nonselected_preferred,-0.004766469575186204,-0.0018357611747390325,True,False,False
alpha186,eligible_minus_target,frozen_composite_nonselected_preferred,0.009911449782223752,-0.04144940638360813,False,True,True
alpha187,eligible_minus_target,frozen_composite_nonselected_preferred,0.03543755914236331,-0.0028596040269911567,False,False,True
alpha188,eligible_minus_target,frozen_composite_nonselected_preferred,0.0015071819484709496,0.011907235931345905,True,False,False
alpha189,eligible_minus_target,frozen_composite_nonselected_preferred,0.040614636590686225,0.00408506623610916,True,True,True
