atomic_condition_id,family_id,feature_template_id,window,operator,threshold,pit_formula,required_fields,lookback_days_required,warmup_policy,nan_policy,formula_hash,selected_for_candidate_generation
momentum_rps__rps5__gteq__0_5,momentum_rps,rps_N,5,>=,0.5,rps5_r02 >= 0.5,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,b2c77f05b4f9f6ee,True
momentum_rps__rps5__gteq__0_6,momentum_rps,rps_N,5,>=,0.6,rps5_r02 >= 0.6,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,d48d15f39895562d,True
momentum_rps__rps5__gteq__0_7,momentum_rps,rps_N,5,>=,0.7,rps5_r02 >= 0.7,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,bf4febfeaf98e119,True
momentum_rps__rps5__gteq__0_8,momentum_rps,rps_N,5,>=,0.8,rps5_r02 >= 0.8,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,d6c7085a1f099f16,True
volatility_band__realized_vol5__lteq__0_03,volatility_band,realized_vol_N,5,<=,0.03,realized_vol5_r02 <= 0.03,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,7f4be9d91335080f,True
volatility_band__atr_ratio5__lteq__0_03,volatility_band,atr_ratio_N,5,<=,0.03,atr_ratio5_r02 <= 0.03,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,9d3eeee89da928ba,True
volatility_band__realized_vol5__lteq__0_05,volatility_band,realized_vol_N,5,<=,0.05,realized_vol5_r02 <= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,8c32ea06d5a6c17d,True
volatility_band__atr_ratio5__lteq__0_05,volatility_band,atr_ratio_N,5,<=,0.05,atr_ratio5_r02 <= 0.05,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,97f7672bc5341bfc,True
volatility_band__realized_vol5__lteq__0_08,volatility_band,realized_vol_N,5,<=,0.08,realized_vol5_r02 <= 0.08,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,88f557e5f9c4e84d,True
volatility_band__atr_ratio5__lteq__0_08,volatility_band,atr_ratio_N,5,<=,0.08,atr_ratio5_r02 <= 0.08,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,11b2aeb687956b74,True
volatility_band__boll_pct_b5__gteq__0_5,volatility_band,boll_pct_b_N,5,>=,0.5,boll_pct_b5_r02 >= 0.5,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,89a299ffbf282517,True
volatility_band__boll_pct_b5__gteq__0_8,volatility_band,boll_pct_b_N,5,>=,0.8,boll_pct_b5_r02 >= 0.8,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e0a597e9285a435d,True
volatility_band__boll_pct_b5__gteq__1,volatility_band,boll_pct_b_N,5,>=,1.0,boll_pct_b5_r02 >= 1.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,330abb02fac921db,True
volatility_band__boll_pct_b5__gteq__1_2,volatility_band,boll_pct_b_N,5,>=,1.2,boll_pct_b5_r02 >= 1.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,fc03d509700307c6,True
volatility_band__boll_width5__gteq__0_8,volatility_band,boll_width_N,5,>=,0.8,boll_width5_r02 >= 0.8,close,60,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,a6796ee1b4e663d5,True
volatility_band__boll_width5__gteq__1,volatility_band,boll_width_N,5,>=,1.0,boll_width5_r02 >= 1.0,close,60,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e684e670d834ca23,True
volatility_band__boll_width5__gteq__1_2,volatility_band,boll_width_N,5,>=,1.2,boll_width5_r02 >= 1.2,close,60,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,6dfcf955488552d0,True
volatility_band__price_channel_position5__gteq__0_7,volatility_band,price_channel_position_N,5,>=,0.7,price_channel_position5_r02 >= 0.7,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,59cfa5ded026e8c9,True
volatility_band__price_channel_position5__gteq__0_8,volatility_band,price_channel_position_N,5,>=,0.8,price_channel_position5_r02 >= 0.8,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,6369a3abf2f59fe4,True
volatility_band__price_channel_position5__gteq__0_9,volatility_band,price_channel_position_N,5,>=,0.9,price_channel_position5_r02 >= 0.9,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,0533e75bc8b2d51d,True
volume_money__volume_ratio5__gteq__1,volume_money,volume_ratio_N,5,>=,1.0,volume_ratio5_r02 >= 1.0,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,3d0d1bdd97b787d3,True
volume_money__amount_ratio5__gteq__1,volume_money,amount_ratio_N,5,>=,1.0,amount_ratio5_r02 >= 1.0,money,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,a9f874302ae29b94,True
volume_money__turnover_ratio5__gteq__1,volume_money,turnover_ratio_N,5,>=,1.0,turnover_ratio5_r02 >= 1.0,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,3d14043d9c3d5dc0,True
volume_money__volume_ratio5__gteq__1_2,volume_money,volume_ratio_N,5,>=,1.2,volume_ratio5_r02 >= 1.2,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,650baf2d6d414a10,True
volume_money__amount_ratio5__gteq__1_2,volume_money,amount_ratio_N,5,>=,1.2,amount_ratio5_r02 >= 1.2,money,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,242a74c8d2f0a6f7,True
volume_money__turnover_ratio5__gteq__1_2,volume_money,turnover_ratio_N,5,>=,1.2,turnover_ratio5_r02 >= 1.2,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,91e87c03cac8d2f1,True
volume_money__volume_ratio5__gteq__1_5,volume_money,volume_ratio_N,5,>=,1.5,volume_ratio5_r02 >= 1.5,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,9a265aace05aacc2,True
volume_money__amount_ratio5__gteq__1_5,volume_money,amount_ratio_N,5,>=,1.5,amount_ratio5_r02 >= 1.5,money,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,c3b8a0a60d659337,True
volume_money__turnover_ratio5__gteq__1_5,volume_money,turnover_ratio_N,5,>=,1.5,turnover_ratio5_r02 >= 1.5,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,ebcee9fa55c4c0f1,True
volume_money__volume_ratio5__gteq__2,volume_money,volume_ratio_N,5,>=,2.0,volume_ratio5_r02 >= 2.0,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,b34dd4aadb2ec6f9,True
volume_money__amount_ratio5__gteq__2,volume_money,amount_ratio_N,5,>=,2.0,amount_ratio5_r02 >= 2.0,money,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,879dc81245e717f8,True
volume_money__turnover_ratio5__gteq__2,volume_money,turnover_ratio_N,5,>=,2.0,turnover_ratio5_r02 >= 2.0,volume,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,416a1fc33a688804,True
volume_money__money_zscore5__gteq__0,volume_money,money_zscore_N,5,>=,0.0,money_zscore5_r02 >= 0.0,money,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,5393d8b0524c364d,True
volume_money__money_zscore5__gteq__1,volume_money,money_zscore_N,5,>=,1.0,money_zscore5_r02 >= 1.0,money,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,37282b53eee3e396,True
volume_money__money_zscore5__gteq__2,volume_money,money_zscore_N,5,>=,2.0,money_zscore5_r02 >= 2.0,money,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,cc2229eba49fc6ed,True
volume_money__money_price_coherence5__eqeq__1,volume_money,money_price_coherence_N,5,==,1.0,money_price_coherence5_r02 == 1.0,money|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,a98cea5f85ffb4da,True
range_breakout__close_near_high5__gteq__m0_05,range_breakout,close_near_high_N,5,>=,-0.05,close_near_high5_r02 >= -0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,ff66547d9fdd398a,True
range_breakout__close_near_high5__gteq__m0_03,range_breakout,close_near_high_N,5,>=,-0.03,close_near_high5_r02 >= -0.03,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,a2356145f33a1fe3,True
range_breakout__close_near_high5__gteq__0,range_breakout,close_near_high_N,5,>=,0.0,close_near_high5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,56e59d039d6bc786,True
range_breakout__close_breaks_high5__eqeq__1,range_breakout,close_breaks_high_N,5,==,1.0,close_breaks_high5_r02 == 1.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,c5b6bd1eb0de86ae,True
range_breakout__new_high_flag5__eqeq__1,range_breakout,new_high_flag_N,5,==,1.0,new_high_flag5_r02 == 1.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,59e1b8efd4706829,True
range_breakout__close_near_low5__gteq__m0_05,range_breakout,close_near_low_N,5,>=,-0.05,close_near_low5_r02 >= -0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,b36da38f5d326b8d,True
range_breakout__close_near_low5__gteq__m0_03,range_breakout,close_near_low_N,5,>=,-0.03,close_near_low5_r02 >= -0.03,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,05d892d20568b0c7,True
range_breakout__close_near_low5__gteq__0,range_breakout,close_near_low_N,5,>=,0.0,close_near_low5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e09751bcff833633,True
range_breakout__range_position5__gteq__0_7,range_breakout,range_position_N,5,>=,0.7,range_position5_r02 >= 0.7,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,445e193f410c2e97,True
range_breakout__range_position5__gteq__0_8,range_breakout,range_position_N,5,>=,0.8,range_position5_r02 >= 0.8,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e5d45335cccdeadf,True
range_breakout__range_position5__gteq__0_9,range_breakout,range_position_N,5,>=,0.9,range_position5_r02 >= 0.9,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,097c6f92e1c9b24f,True
pullback_drawdown__drawdown_from_high5__gteq__m0_2,pullback_drawdown,drawdown_from_high_N,5,>=,-0.2,drawdown_from_high5_r02 >= -0.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,4f9c07f93146e659,True
pullback_drawdown__pullback_depth5__gteq__m0_2,pullback_drawdown,pullback_depth_N,5,>=,-0.2,pullback_depth5_r02 >= -0.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,dd1b37d76393d0cd,True
pullback_drawdown__drawdown_from_high5__gteq__m0_15,pullback_drawdown,drawdown_from_high_N,5,>=,-0.15,drawdown_from_high5_r02 >= -0.15,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,1a31f5d22865ca3a,True
pullback_drawdown__pullback_depth5__gteq__m0_15,pullback_drawdown,pullback_depth_N,5,>=,-0.15,pullback_depth5_r02 >= -0.15,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,344a58618d13d3ed,True
pullback_drawdown__drawdown_from_high5__gteq__m0_1,pullback_drawdown,drawdown_from_high_N,5,>=,-0.1,drawdown_from_high5_r02 >= -0.1,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,6c695b073bc59db1,True
pullback_drawdown__pullback_depth5__gteq__m0_1,pullback_drawdown,pullback_depth_N,5,>=,-0.1,pullback_depth5_r02 >= -0.1,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,289d6ffded7d0182,True
pullback_drawdown__drawdown_from_high5__gteq__m0_05,pullback_drawdown,drawdown_from_high_N,5,>=,-0.05,drawdown_from_high5_r02 >= -0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,b99cec317630ade9,True
pullback_drawdown__pullback_depth5__gteq__m0_05,pullback_drawdown,pullback_depth_N,5,>=,-0.05,pullback_depth5_r02 >= -0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,a954c06ca067a2e9,True
pullback_drawdown__rebound_from_low5__gteq__0_05,pullback_drawdown,rebound_from_low_N,5,>=,0.05,rebound_from_low5_r02 >= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,ec85784bc583dfc5,True
pullback_drawdown__pullback_recovery5__gteq__0_05,pullback_drawdown,pullback_recovery_N,5,>=,0.05,pullback_recovery5_r02 >= 0.05,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,bcc33166204f05a9,True
pullback_drawdown__rebound_from_low5__gteq__0_1,pullback_drawdown,rebound_from_low_N,5,>=,0.1,rebound_from_low5_r02 >= 0.1,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,8db670864d550a78,True
pullback_drawdown__pullback_recovery5__gteq__0_1,pullback_drawdown,pullback_recovery_N,5,>=,0.1,pullback_recovery5_r02 >= 0.1,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e583cb13e177cfd8,True
pullback_drawdown__rebound_from_low5__gteq__0_2,pullback_drawdown,rebound_from_low_N,5,>=,0.2,rebound_from_low5_r02 >= 0.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,0411da6c4a395bde,True
pullback_drawdown__pullback_recovery5__gteq__0_2,pullback_drawdown,pullback_recovery_N,5,>=,0.2,pullback_recovery5_r02 >= 0.2,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e31d1be3c413fbc8,True
pullback_drawdown__days_since_high5__lteq__5,pullback_drawdown,days_since_high_N,5,<=,5.0,days_since_high5_r02 <= 5,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,45304b3930eab4e6,True
pullback_drawdown__days_since_high5__lteq__10,pullback_drawdown,days_since_high_N,5,<=,10.0,days_since_high5_r02 <= 10,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,39be234bc1ab75be,True
pullback_drawdown__days_since_high5__lteq__20,pullback_drawdown,days_since_high_N,5,<=,20.0,days_since_high5_r02 <= 20,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,6dd2871895a5cad9,True
oscillator__rsi5__gteq__55,oscillator,rsi_N,5,>=,55.0,rsi5_r02 >= 55,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,d6bc44ea65ca1b31,True
oscillator__kdj_k5__gteq__55,oscillator,kdj_k_N,5,>=,55.0,kdj_k5_r02 >= 55,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,21522bb5e83ea635,True
oscillator__rsi5__gteq__60,oscillator,rsi_N,5,>=,60.0,rsi5_r02 >= 60,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,44786fdfb00f277a,True
oscillator__kdj_k5__gteq__60,oscillator,kdj_k_N,5,>=,60.0,kdj_k5_r02 >= 60,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,1d26a8a119be9615,True
oscillator__rsi5__gteq__65,oscillator,rsi_N,5,>=,65.0,rsi5_r02 >= 65,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,b5e0f184f2295a78,True
oscillator__kdj_k5__gteq__65,oscillator,kdj_k_N,5,>=,65.0,kdj_k5_r02 >= 65,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,13e3952f47e72bd1,True
oscillator__rsi5__gteq__70,oscillator,rsi_N,5,>=,70.0,rsi5_r02 >= 70,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,400abdd4f435dedb,True
oscillator__kdj_k5__gteq__70,oscillator,kdj_k_N,5,>=,70.0,kdj_k5_r02 >= 70,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,51839557c9ec9a55,True
oscillator__cci5__gteq__50,oscillator,cci_N,5,>=,50.0,cci5_r02 >= 50,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,59826b7dcce763a9,True
oscillator__cci5__gteq__100,oscillator,cci_N,5,>=,100.0,cci5_r02 >= 100,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,7065cabc145d8f76,True
oscillator__cci5__gteq__150,oscillator,cci_N,5,>=,150.0,cci5_r02 >= 150,high|low|close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,ec000e3e8cfef692,True
oscillator__macd_hist_state5__gteq__0,oscillator,macd_hist_state_N,5,>=,0.0,macd_hist5_r02 >= 0.0,close,5,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,d350e264768f5430,True
price_trend__close_over_ma10__gteq__0,price_trend,close_over_ma_N,10,>=,0.0,close_over_ma10_r02 >= 0.0,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,5d4808e1638b057c,True
price_trend__close_over_ema10__gteq__0,price_trend,close_over_ema_N,10,>=,0.0,close_over_ema10_r02 >= 0.0,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,55984dff75b15431,True
price_trend__close_over_ma10__gteq__0_03,price_trend,close_over_ma_N,10,>=,0.03,close_over_ma10_r02 >= 0.03,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,d77c67bcbd707987,True
price_trend__close_over_ema10__gteq__0_03,price_trend,close_over_ema_N,10,>=,0.03,close_over_ema10_r02 >= 0.03,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,8482f98a6bf50664,True
price_trend__close_over_ma10__gteq__0_05,price_trend,close_over_ma_N,10,>=,0.05,close_over_ma10_r02 >= 0.05,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,35aaa5a5126e68ab,True
price_trend__close_over_ema10__gteq__0_05,price_trend,close_over_ema_N,10,>=,0.05,close_over_ema10_r02 >= 0.05,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,eeebde40e2392519,True
price_trend__ma_slope10__gteq__0,price_trend,ma_slope_N,10,>=,0.0,ma_slope10_r02 >= 0.0,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,2ded7ded88c87030,True
price_trend__ema_slope10__gteq__0,price_trend,ema_slope_N,10,>=,0.0,ema_slope10_r02 >= 0.0,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,d58a9b3e4b420503,True
price_trend__ma_slope10__gteq__0_02,price_trend,ma_slope_N,10,>=,0.02,ma_slope10_r02 >= 0.02,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,7179c12aaf0a8b96,True
price_trend__ema_slope10__gteq__0_02,price_trend,ema_slope_N,10,>=,0.02,ema_slope10_r02 >= 0.02,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,3d8f09d365142ce0,True
momentum_rps__ret10__gteq__0,momentum_rps,ret_N,10,>=,0.0,ret10_r02 >= 0.0,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,6bd41ba465bbad71,True
momentum_rps__roc10__gteq__0,momentum_rps,roc_N,10,>=,0.0,roc10_r02 >= 0.0,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,c732b8dc5679b85f,True
momentum_rps__market_relative_ret10__gteq__0,momentum_rps,market_relative_ret_N,10,>=,0.0,market_relative_ret10_r02 >= 0.0,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,e9c72802a7aa74b7,True
momentum_rps__ret10__gteq__0_05,momentum_rps,ret_N,10,>=,0.05,ret10_r02 >= 0.05,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,dd54112bed5b0b79,True
momentum_rps__roc10__gteq__0_05,momentum_rps,roc_N,10,>=,0.05,roc10_r02 >= 0.05,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,3bcdd43fd5a1729e,True
momentum_rps__market_relative_ret10__gteq__0_05,momentum_rps,market_relative_ret_N,10,>=,0.05,market_relative_ret10_r02 >= 0.05,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,b1fca88036ce3d4d,True
momentum_rps__ret10__gteq__0_1,momentum_rps,ret_N,10,>=,0.1,ret10_r02 >= 0.1,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,25cf08fbe1385cfe,False
momentum_rps__roc10__gteq__0_1,momentum_rps,roc_N,10,>=,0.1,roc10_r02 >= 0.1,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,1cb4929947a81f28,False
momentum_rps__market_relative_ret10__gteq__0_1,momentum_rps,market_relative_ret_N,10,>=,0.1,market_relative_ret10_r02 >= 0.1,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,955f37bda80e16c2,False
momentum_rps__ret10__gteq__0_2,momentum_rps,ret_N,10,>=,0.2,ret10_r02 >= 0.2,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,93e8297d669dce45,False
momentum_rps__roc10__gteq__0_2,momentum_rps,roc_N,10,>=,0.2,roc10_r02 >= 0.2,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,cb61d7cf560e5565,False
momentum_rps__market_relative_ret10__gteq__0_2,momentum_rps,market_relative_ret_N,10,>=,0.2,market_relative_ret10_r02 >= 0.2,close,10,global_denominator_missing_false_feature_denominator_complete_only,nan_as_false_for_global_density,8095ff7a0bc52d82,False
