condition_group_id,market_context_dimension,market_context_bucket,bucket_winner_count,bucket_coverage_t0_t30,bucket_eligible_day_count,bucket_eligible_day_density,decomposition_only_flag
oscillator__and4__079cc72a9837,reference_year,2022,112,0.8571428571428571,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2023,46,0.8260869565217391,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2024,95,0.8315789473684211,395386,0.05912955946846879,True
oscillator__and4__079cc72a9837,reference_year,2025,146,0.9041095890410958,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,split,robustness,241,0.8755186721991701,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,split,train,446,0.8408071748878924,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,split,validation,158,0.8481012658227848,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2017,27,0.8518518518518519,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2018,62,0.8064516129032258,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2019,69,0.927536231884058,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2020,182,0.8626373626373627,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2021,106,0.7641509433962265,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2022,112,0.8571428571428571,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2023,46,0.8260869565217391,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2024,95,0.8315789473684211,395386,0.05912955946846879,True
oscillator__and4__b9cb467aa4c0,reference_year,2025,146,0.9041095890410958,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,split,robustness,241,0.8755186721991701,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,split,train,446,0.8408071748878924,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,split,validation,158,0.8481012658227848,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2017,27,0.8518518518518519,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2018,62,0.8064516129032258,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2019,69,0.927536231884058,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2020,182,0.8626373626373627,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2021,106,0.7641509433962265,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2022,112,0.8571428571428571,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2023,46,0.8260869565217391,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2024,95,0.8315789473684211,395386,0.05912955946846879,True
oscillator__and4__ec61783ced19,reference_year,2025,146,0.9041095890410958,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,split,robustness,241,0.8755186721991701,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,split,train,446,0.8408071748878924,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,split,validation,158,0.8481012658227848,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2017,27,0.8518518518518519,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2018,62,0.8064516129032258,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2019,69,0.927536231884058,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2020,182,0.8626373626373627,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2021,106,0.7641509433962265,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2022,112,0.8571428571428571,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2023,46,0.8260869565217391,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2024,95,0.8315789473684211,395386,0.05912955946846879,True
oscillator__and4__ee234d3f6618,reference_year,2025,146,0.9041095890410958,395386,0.05912955946846879,True
volume_money__and4__354ef7f0b377,split,robustness,241,0.9004149377593361,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,split,train,446,0.8789237668161435,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,split,validation,158,0.9177215189873418,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2017,27,0.9259259259259259,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2018,62,0.9193548387096774,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2019,69,0.9130434782608695,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2020,182,0.8736263736263736,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2021,106,0.8301886792452831,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2022,112,0.9285714285714286,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2023,46,0.8913043478260869,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2024,95,0.8736842105263158,395386,0.05921808055925096,True
volume_money__and4__354ef7f0b377,reference_year,2025,146,0.9178082191780822,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,split,robustness,241,0.9004149377593361,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,split,train,446,0.8789237668161435,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,split,validation,158,0.9177215189873418,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2017,27,0.9259259259259259,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2018,62,0.9193548387096774,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2019,69,0.9130434782608695,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2020,182,0.8736263736263736,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2021,106,0.8301886792452831,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2022,112,0.9285714285714286,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2023,46,0.8913043478260869,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2024,95,0.8736842105263158,395386,0.05921808055925096,True
volume_money__and4__f9c6a1f9aabc,reference_year,2025,146,0.9178082191780822,395386,0.05921808055925096,True
oscillator__and3__36788921d351,split,robustness,241,0.8838174273858921,395386,0.060490255092491896,True
oscillator__and3__36788921d351,split,train,446,0.8430493273542601,395386,0.060490255092491896,True
oscillator__and3__36788921d351,split,validation,158,0.8354430379746836,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2017,27,0.8518518518518519,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2018,62,0.8064516129032258,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2019,69,0.9565217391304348,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2020,182,0.8626373626373627,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2021,106,0.7547169811320755,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2022,112,0.8482142857142857,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2023,46,0.8043478260869565,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2024,95,0.8315789473684211,395386,0.060490255092491896,True
oscillator__and3__36788921d351,reference_year,2025,146,0.9178082191780822,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,split,robustness,241,0.8838174273858921,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,split,train,446,0.8430493273542601,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,split,validation,158,0.8354430379746836,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2017,27,0.8518518518518519,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2018,62,0.8064516129032258,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2019,69,0.9565217391304348,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2020,182,0.8626373626373627,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2021,106,0.7547169811320755,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2022,112,0.8482142857142857,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2023,46,0.8043478260869565,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2024,95,0.8315789473684211,395386,0.060490255092491896,True
oscillator__and4__1d3343acba27,reference_year,2025,146,0.9178082191780822,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,split,robustness,241,0.8838174273858921,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,split,train,446,0.8430493273542601,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,split,validation,158,0.8354430379746836,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2017,27,0.8518518518518519,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2018,62,0.8064516129032258,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2019,69,0.9565217391304348,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2020,182,0.8626373626373627,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2021,106,0.7547169811320755,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2022,112,0.8482142857142857,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2023,46,0.8043478260869565,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2024,95,0.8315789473684211,395386,0.060490255092491896,True
oscillator__and4__272e81fb85e5,reference_year,2025,146,0.9178082191780822,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,split,robustness,241,0.8838174273858921,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,split,train,446,0.8430493273542601,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,split,validation,158,0.8354430379746836,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2017,27,0.8518518518518519,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2018,62,0.8064516129032258,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2019,69,0.9565217391304348,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2020,182,0.8626373626373627,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2021,106,0.7547169811320755,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2022,112,0.8482142857142857,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2023,46,0.8043478260869565,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2024,95,0.8315789473684211,395386,0.060490255092491896,True
oscillator__and4__396665aa2086,reference_year,2025,146,0.9178082191780822,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,split,robustness,241,0.8838174273858921,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,split,train,446,0.8430493273542601,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,split,validation,158,0.8354430379746836,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2017,27,0.8518518518518519,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2018,62,0.8064516129032258,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2019,69,0.9565217391304348,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2020,182,0.8626373626373627,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2021,106,0.7547169811320755,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2022,112,0.8482142857142857,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2023,46,0.8043478260869565,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2024,95,0.8315789473684211,395386,0.060490255092491896,True
oscillator__and4__b77cfc8f31d4,reference_year,2025,146,0.9178082191780822,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,split,robustness,241,0.8838174273858921,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,split,train,446,0.8430493273542601,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,split,validation,158,0.8354430379746836,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2017,27,0.8518518518518519,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2018,62,0.8064516129032258,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2019,69,0.9565217391304348,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2020,182,0.8626373626373627,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2021,106,0.7547169811320755,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2022,112,0.8482142857142857,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2023,46,0.8043478260869565,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2024,95,0.8315789473684211,395386,0.060490255092491896,True
oscillator__and4__bb9b1d4c4c35,reference_year,2025,146,0.9178082191780822,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,split,robustness,241,0.8838174273858921,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,split,train,446,0.8430493273542601,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,split,validation,158,0.8354430379746836,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2017,27,0.8518518518518519,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2018,62,0.8064516129032258,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2019,69,0.9565217391304348,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2020,182,0.8626373626373627,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2021,106,0.7547169811320755,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2022,112,0.8482142857142857,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2023,46,0.8043478260869565,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2024,95,0.8315789473684211,395386,0.060490255092491896,True
oscillator__and4__f8312b767eef,reference_year,2025,146,0.9178082191780822,395386,0.060490255092491896,True
oscillator__and4__150ac22d5bad,split,robustness,241,0.8962655601659751,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,split,train,446,0.8654708520179372,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,split,validation,158,0.8417721518987342,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2017,27,0.8888888888888888,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2018,62,0.8548387096774194,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2019,69,0.9710144927536232,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2020,182,0.8571428571428571,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2021,106,0.8113207547169812,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2022,112,0.8392857142857143,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2023,46,0.8478260869565217,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2024,95,0.8526315789473684,395386,0.06062177214165398,True
oscillator__and4__150ac22d5bad,reference_year,2025,146,0.9246575342465754,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,split,robustness,241,0.8962655601659751,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,split,train,446,0.8654708520179372,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,split,validation,158,0.8417721518987342,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2017,27,0.8888888888888888,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2018,62,0.8548387096774194,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2019,69,0.9710144927536232,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2020,182,0.8571428571428571,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2021,106,0.8113207547169812,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2022,112,0.8392857142857143,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2023,46,0.8478260869565217,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2024,95,0.8526315789473684,395386,0.06062177214165398,True
oscillator__and4__1e255f1ead19,reference_year,2025,146,0.9246575342465754,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,split,robustness,241,0.8962655601659751,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,split,train,446,0.8654708520179372,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,split,validation,158,0.8417721518987342,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2017,27,0.8888888888888888,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2018,62,0.8548387096774194,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2019,69,0.9710144927536232,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2020,182,0.8571428571428571,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2021,106,0.8113207547169812,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2022,112,0.8392857142857143,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2023,46,0.8478260869565217,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2024,95,0.8526315789473684,395386,0.06062177214165398,True
oscillator__and4__264af29450f6,reference_year,2025,146,0.9246575342465754,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,split,robustness,241,0.8962655601659751,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,split,train,446,0.8654708520179372,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,split,validation,158,0.8417721518987342,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2017,27,0.8888888888888888,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2018,62,0.8548387096774194,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2019,69,0.9710144927536232,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2020,182,0.8571428571428571,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2021,106,0.8113207547169812,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2022,112,0.8392857142857143,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2023,46,0.8478260869565217,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2024,95,0.8526315789473684,395386,0.06062177214165398,True
oscillator__and4__5098ab13faa4,reference_year,2025,146,0.9246575342465754,395386,0.06062177214165398,True
