code,name,instrument,exchange,base_date,price_date,close,shares_date,total_shares,shares_source,market_cap,included,reason
600331,宏达股份,SH600331,SH,2025-12-31,2025-12-31,12.79,2025-07-08,2641600000.0,stock_zh_a_gbjg_em,33786063999.999996,False,below_threshold
600332,白云山,SH600332,SH,2025-12-31,2025-12-31,25.74,2019-08-19,1625790949.0,stock_zh_a_gbjg_em,41847859027.259995,False,below_threshold
600333,长春燃气,SH600333,SH,2025-12-31,2025-12-31,5.53,2020-07-13,609030684.0,stock_zh_a_gbjg_em,3367939682.52,False,below_threshold
600335,国机汽车,SH600335,SH,2025-12-31,2025-12-31,6.51,2023-08-01,1495788692.0,stock_zh_a_gbjg_em,9737584384.92,False,below_threshold
600336,澳柯玛,SH600336,SH,2025-12-31,2025-12-31,8.22,2023-02-02,798014769.0,stock_zh_a_gbjg_em,6559681401.18,False,below_threshold
600337,美克家居,SH600337,SH,2025-12-31,,,,,,,False,"stock_zh_a_daily: empty price table; stock_zh_a_hist: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600338,西藏珠峰,SH600338,SH,2025-12-31,2025-12-31,15.04,2019-06-18,914210168.0,stock_zh_a_gbjg_em,13749720926.72,False,below_threshold
600339,中油工程,SH600339,SH,2025-12-31,2025-12-31,3.35,2020-01-03,5583147471.0,stock_zh_a_gbjg_em,18703544027.850002,False,below_threshold
600340,华夏幸福,SH600340,SH,2025-12-31,2025-12-31,2.19,2020-11-16,3913720342.0,stock_zh_a_gbjg_em,8571047548.98,False,below_threshold
600343,航天动力,SH600343,SH,2025-12-31,2025-12-31,48.97,2016-03-28,638206348.0,stock_zh_a_gbjg_em,31252964861.559998,False,below_threshold
600345,长江通信,SH600345,SH,2025-12-31,2025-12-31,34.66,2024-12-16,329612132.0,stock_zh_a_gbjg_em,11424356495.119999,False,below_threshold
600346,恒力石化,SH600346,SH,2025-12-31,2025-12-31,22.53,2021-02-08,7039099786.0,stock_zh_a_gbjg_em,158590918178.58002,True,
600348,华阳股份,SH600348,SH,2025-12-31,2025-12-31,8.26,2023-06-16,3607500000.0,stock_zh_a_gbjg_em,29797950000.0,False,below_threshold
600350,山东高速,SH600350,SH,2025-12-31,2025-12-31,9.75,2025-07-23,4834570825.0,stock_zh_a_gbjg_em,47137065543.75,False,below_threshold
600351,亚宝药业,SH600351,SH,2025-12-31,2025-12-31,6.49,2025-11-18,692000046.0,stock_zh_a_gbjg_em,4491080298.54,False,below_threshold
600352,浙江龙盛,SH600352,SH,2025-12-31,2025-12-31,10.66,2018-03-26,3253331860.0,stock_zh_a_gbjg_em,34680517627.6,False,below_threshold
600353,旭光电子,SH600353,SH,2025-12-31,2025-12-31,16.12,2025-05-13,829976239.0,stock_zh_a_gbjg_em,13379216972.68,False,below_threshold
600354,敦煌种业,SH600354,SH,2025-12-31,2025-12-31,6.47,2018-10-22,527802080.0,stock_zh_a_gbjg_em,3414879457.6,False,below_threshold
