version,period,stage,sizing,risk_budget_per_trade,single_stock_max_weight,max_positions,max_daily_new_weight,max_industry_weight,rows,trades,win_rate,total_return_with_cost,total_return_without_cost,annual_return_with_cost,max_drawdown,return_drawdown_ratio,turnover_mean,cost_sum,cost_ratio,avg_positions,avg_cash_ratio,max_single_stock_weight_observed,max_industry_weight_observed,ending_account,remove_top5_trade_return_sum,fold,candidate_type,train_start,train_end,valid_start,valid_end,valid_executable_end,coverage_limited_diagnostic
pit_weak_volume_rebound_diagnostic,WF1,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,486,517,0.29980657640232106,0.11091126800241424,0.1428429182342743,0.05605272179919574,-0.13258354447094522,0.422772841251648,0.058571498307452265,29718.751519298552,0.029718751519298554,13.137860082304528,0.610684688422771,0.0660930200954382,0.2016948203030374,1110911.2680024141,1.6905387652868846,WF1,diagnostic_only,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,False
pit_weak_volume_rebound_diagnostic,WF2,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,485,646,0.25541795665634676,-0.04490923003419911,-0.011065609527104447,-0.02359173710559448,-0.16489670492992858,-0.143069790967743,0.07221290283874422,35261.23050912619,0.03526123050912619,14.484536082474227,0.5810526347905368,0.06017891393631271,0.17933978894098365,955090.7699658009,-3.5991587601886366,WF2,diagnostic_only,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,False
pit_weak_volume_rebound_diagnostic,WF3,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,483,669,0.2062780269058296,-0.32473496928060075,-0.299793270938985,-0.18523934497502914,-0.33898043114756116,-0.5464602907841392,0.07562312079081952,30896.965502142906,0.030896965502142906,12.890269151138716,0.626261402212384,0.048853597613800634,0.2096410681543027,675265.0307193992,-16.023858300712867,WF3,diagnostic_only,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,False
pit_weak_volume_rebound_diagnostic,WF4,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,482,634,0.21766561514195584,-0.24785545452792734,-0.22147437535367998,-0.1383564208842336,-0.2512877981073306,-0.5505894911186198,0.07215776446338214,29488.45897872448,0.029488458978724482,12.746887966804978,0.6288763652505404,0.04857444074464447,0.22328093934381169,752144.5454720727,-12.072103086639423,WF4,diagnostic_only,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,False
pit_weak_volume_rebound_diagnostic,WF5,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,483,595,0.27899159663865547,0.058399649812209464,0.09377140358313762,0.03005569243605799,-0.15051034315517142,0.19969187370114172,0.06854656123220176,32454.36351157427,0.03245436351157427,14.710144927536232,0.565296888766112,0.04895557276141208,0.2640694499702371,1058399.6498122094,-0.4266705778885118,WF5,diagnostic_only,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,False
pit_breakdown_repair_diagnostic,WF1,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,486,595,0.3411764705882353,0.31743049168816895,0.3612968113263466,0.15366850145695166,-0.12075318846422545,1.272583386089865,0.06786760659882567,36563.57056864501,0.03656357056864501,17.991769547325102,0.4603908048735764,0.06310209892467217,0.21474888270714979,1317430.4916881688,6.750711906885771,WF1,diagnostic_only,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,False
pit_breakdown_repair_diagnostic,WF2,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,485,690,0.28840579710144926,0.10952394669547583,0.1515767929312437,0.05548595951523083,-0.17656794581229518,0.31424706936454094,0.07701995797951278,42708.04198488593,0.04270804198488593,18.05979381443299,0.4672305263748162,0.05231056509615614,0.22283235479164767,1109523.9466954758,0.9151790668176822,WF2,diagnostic_only,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,False
pit_breakdown_repair_diagnostic,WF3,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,483,851,0.18566392479435959,-0.37867597491689997,-0.34957616014863424,-0.21987177711156658,-0.42041648362384354,-0.522985624199005,0.09539761334979759,38381.922959768766,0.03838192295976876,17.271221532091097,0.5004193302305893,0.050340805559492476,0.19999942644091653,621324.0250831001,-19.833307227337496,WF3,diagnostic_only,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,False
pit_breakdown_repair_diagnostic,WF4,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,482,805,0.16149068322981366,-0.332403656786894,-0.30243387798825117,-0.19043428756964786,-0.33463765104534726,-0.5690760946198544,0.09169305649900032,35059.63248631954,0.03505963248631954,17.319502074688796,0.49095445237110613,0.04907301745207136,0.19993159606399472,667596.343213106,-16.744981122456124,WF4,diagnostic_only,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,False
pit_breakdown_repair_diagnostic,WF5,diagnostic_only,risk_unit,0.005,0.03,20,0.2,0.2,483,721,0.23578363384188628,-0.03139769847542162,0.008265930255063836,-0.0165063426158506,-0.17161392799904962,-0.09618300104372654,0.08362965483594723,37753.70350033045,0.03775370350033045,17.971014492753625,0.467082499466637,0.047302163955997706,0.2146071992174002,968602.3015245784,-3.2233646071207893,WF5,diagnostic_only,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,False
pit_rebuilt_pullback_candidate,WF1,candidate,risk_unit,0.005,0.03,20,0.2,0.2,486,42,0.2857142857142857,-6.615474302762436e-05,0.0021480726914500092,-3.430300567131006e-05,-0.028884289833890575,-0.0011876007985164858,0.00459900040497489,2197.1595056772235,0.0021971595056772234,1.2592592592592593,0.9634676210556485,0.04385930617660239,0.07297249625572456,999933.8452569724,-1.1908673014434363,WF1,candidate,2017-01-01,2018-12-31,2019-01-01,2020-12-31,2020-12-30,False
pit_rebuilt_pullback_candidate,WF2,candidate,risk_unit,0.005,0.03,20,0.2,0.2,485,23,0.391304347826087,0.022337598916553958,0.02355229136518422,0.011544741830599614,-0.013446507943286279,0.8585680296544056,0.002425572450433726,1201.4045033216478,0.0012014045033216477,0.9216494845360824,0.9744490833008634,0.04316565664204286,0.07181623728419562,1022337.598916554,-0.6261677514391979,WF2,candidate,2017-01-01,2019-12-31,2020-01-01,2021-12-31,2021-12-30,False
pit_rebuilt_pullback_candidate,WF3,candidate,risk_unit,0.005,0.03,20,0.2,0.2,483,10,0.2,-0.004287177682876675,-0.0037843912796611257,-0.0022390863569919928,-0.01266936361355353,-0.17673234625586445,0.001048882055717338,504.17749977111816,0.0005041774997711181,0.33540372670807456,0.9912061776438699,0.0331516050976636,0.05477665395385532,995712.8223171233,-0.415055800050645,WF3,candidate,2017-01-01,2020-12-31,2021-01-01,2022-12-31,2022-12-29,False
pit_rebuilt_pullback_candidate,WF4,candidate,risk_unit,0.005,0.03,20,0.2,0.2,482,18,0.16666666666666666,-0.009806809547996509,-0.008874529965039124,-0.005139266559003652,-0.010397692320749052,-0.4942699207157746,0.0019621236711782073,936.810997581482,0.000936810997581482,0.491701244813278,0.986641749728861,0.035581635204493894,0.056864682437525495,990193.1904520035,-0.5892974972179323,WF4,candidate,2017-01-01,2021-12-31,2022-01-01,2023-12-31,2023-12-28,False
pit_rebuilt_pullback_candidate,WF5,candidate,risk_unit,0.005,0.03,20,0.2,0.2,483,40,0.2,-0.017260967498707425,-0.01524791356296784,-0.009043213983248477,-0.024269125363795774,-0.3726221628381785,0.004276258324057022,2033.9735087633135,0.0020339735087633133,1.0724637681159421,0.9695279689626928,0.035471018818645235,0.11586591161078705,982739.0325012925,-0.9393621885785041,WF5,candidate,2017-01-01,2022-12-31,2023-01-01,2024-12-31,2024-12-30,False
