datetime,instruments,breakout_entry,original_pullback_entry,raw_pullback_shape,combined_entry,trend_score_median
2017-09-07,123,0,0,6,0,0.18061342730066932
2017-09-08,124,0,1,14,1,0.13146742458064334
2017-09-11,125,0,0,26,0,0.14205439173150108
2017-09-12,124,0,1,18,1,0.1382181777880151
2017-09-13,125,0,0,12,0,0.15615702909636234
2017-09-14,124,0,0,11,0,0.15047288117462015
2017-09-15,124,0,2,12,2,0.09835771466708727
2017-09-18,124,0,0,16,0,0.15524225558926313
2017-09-19,125,0,1,5,1,0.17674813219458893
2017-09-20,126,0,1,18,1,0.14457372443038008
2017-09-21,125,0,0,13,0,0.13728867723595603
2017-09-22,125,0,4,21,4,0.09993625193603543
2017-09-25,125,0,2,15,2,0.08613902534709265
2017-09-26,125,0,1,21,1,0.23067676268175835
2017-09-27,126,0,0,13,0,0.2308800533421911
2017-09-28,126,0,1,13,1,0.12377700493346395
2017-09-29,124,1,0,11,1,0.12203053417408188
2017-10-09,125,0,0,4,0,0.14910466710072307
2017-10-10,125,0,0,20,0,0.12755415841456938
2017-10-11,126,1,0,17,1,0.10028114808560361
2017-10-12,126,0,0,9,0,0.12239339720710038
2017-10-13,127,0,0,7,0,0.09317454189573944
2017-10-16,126,0,0,14,0,0.27279277824040105
2017-10-17,127,0,0,10,0,0.15929231645727435
2017-10-18,127,0,0,19,0,0.15587070382283308
2017-10-19,127,1,0,7,1,0.07878800358566332
2017-10-20,128,1,0,9,1,0.13059197576949755
2017-10-24,130,1,0,21,1,0.20593445122561765
2017-10-25,131,0,0,8,0,0.2088816727506318
2017-10-26,131,0,0,16,0,0.2990775180982671
2017-10-27,131,0,0,12,0,0.20192987629490894
2017-10-30,130,0,0,10,0,0.4931672107592972
2017-10-31,131,0,0,10,0,0.29930536240346484
2017-11-01,130,0,0,6,0,0.4787628799720187
2017-11-02,128,0,1,14,1,0.6776690078569809
2017-11-03,130,0,0,7,0,0.6797607683720323
2017-11-06,130,1,0,12,1,0.9114621135401926
2017-11-07,132,0,0,13,0,0.635643580334025
2017-11-08,133,0,0,7,0,0.8886055490608622
2017-11-09,132,0,0,16,0,0.6320798014293717
2017-11-10,131,1,0,14,1,0.6492359438412496
2017-11-13,132,0,0,5,0,0.4961963214659496
2017-11-14,130,0,0,4,0,0.6805305079777549
2017-11-15,130,0,0,11,0,0.5578249937133806
2017-11-16,129,0,0,19,0,0.48692988076034915
2017-11-17,129,1,0,8,1,0.3861827368530267
2017-11-20,129,0,0,23,0,0.5923425716025952
2017-11-21,129,0,0,20,0,0.5134770475529771
2017-11-22,129,0,0,7,0,0.46406653037495216
2017-11-23,127,0,0,0,0,0.5327138341833993
2017-11-24,128,0,0,12,0,0.625291450360274
2017-11-27,125,0,0,10,0,0.6390934282872547
2017-11-28,126,0,0,14,0,0.6210683415249821
2017-11-29,127,0,0,8,0,0.6509188360840982
2017-11-30,128,0,0,7,0,0.6152436973713984
2017-12-01,128,0,0,8,0,0.4900403942769587
2017-12-04,127,0,0,16,0,0.6353949357443963
2017-12-05,121,0,0,23,0,0.32404587588246303
2017-12-06,122,0,0,8,0,0.4585729950206878
2017-12-07,120,0,0,8,0,
2017-12-08,122,0,0,10,0,0.5870549851214895
2017-12-11,125,0,1,33,1,0.2981180483399215
2017-12-12,123,0,0,5,0,0.33711354372160074
2017-12-13,125,0,0,20,0,0.3429193069461184
2017-12-14,122,0,0,5,0,0.35100387859197246
2017-12-15,123,0,0,3,0,
2017-12-18,122,0,0,6,0,
2017-12-19,123,0,0,24,0,0.4947298748273684
2017-12-20,121,0,0,11,0,
2017-12-21,122,0,0,15,0,0.6563894979153694
2017-12-22,125,0,0,4,0,0.6658469226878702
2017-12-25,125,0,0,6,0,0.5187429639483828
2017-12-26,125,0,0,15,0,0.7418849823880046
2017-12-27,124,0,0,7,0,
2017-12-28,125,0,0,25,0,0.8133032301573561
2017-12-29,126,0,0,12,0,0.8258910945707876
2018-01-02,129,0,0,12,0,0.6403580684433037
2018-01-03,130,0,0,18,0,0.5762120993341959
2018-01-04,133,0,0,13,0,0.5510420578198622
2018-01-05,133,0,0,9,0,0.6427845860635737
2018-01-08,133,0,0,11,0,0.722971903801304
2018-01-09,133,0,0,12,0,0.44226338680028954
2018-01-10,132,0,0,18,0,0.46005566665010755
2018-01-11,130,0,0,13,0,0.5398826846068325
2018-01-12,130,0,0,19,0,0.5099591295199654
2018-01-15,129,0,0,15,0,0.6372221028927715
2018-01-16,130,0,0,18,0,0.8184722771612025
2018-01-17,129,0,0,8,0,0.5676455829356908
2018-01-18,129,0,0,10,0,0.6695805184951389
2018-01-19,129,0,0,7,0,0.6058873927365989
2018-01-22,129,0,0,20,0,0.4165885476637665
2018-01-23,129,0,0,15,0,0.4881330820399355
2018-01-24,129,0,0,10,0,0.49818014699042273
2018-01-25,129,0,0,7,0,0.6096716437356476
2018-01-26,128,0,0,14,0,0.514947719865182
2018-01-29,123,0,0,1,0,0.4815949038917364
2018-01-30,124,0,0,3,0,0.4764260013734677
2018-01-31,122,0,2,26,2,0.4468588668251938
2018-02-01,121,0,0,14,0,0.4109679826454101
2018-02-02,123,0,0,26,0,0.3269696265689157
2018-02-05,124,0,0,22,0,0.44835277940232804
2018-02-06,120,0,0,4,0,0.5561681683122761
2018-02-07,120,0,0,0,0,
2018-02-08,122,0,0,1,0,
2018-02-09,118,0,0,1,0,
2018-02-12,118,0,0,1,0,
2018-02-13,121,0,0,3,0,
2018-02-14,121,0,0,3,0,
2018-02-22,124,0,0,16,0,
2018-02-23,125,0,0,11,0,
2018-02-26,125,0,0,11,0,0.48683267618880605
2018-02-27,127,0,0,0,0,
2018-02-28,128,0,0,4,0,
2018-03-01,128,0,0,6,0,
2018-03-02,126,0,0,6,0,
2018-03-05,124,0,0,5,0,
2018-03-06,130,0,0,3,0,
2018-03-07,126,0,0,3,0,
2018-03-08,130,0,0,14,0,
2018-03-09,131,0,0,8,0,
2018-03-12,131,0,0,6,0,
2018-03-13,129,0,0,2,0,
2018-03-14,129,0,0,7,0,
2018-03-15,131,0,0,9,0,
2018-03-16,128,0,0,1,0,
2018-03-19,129,0,0,11,0,
2018-03-20,132,0,0,8,0,
2018-03-21,129,0,0,2,0,
2018-03-22,129,0,0,2,0,
2018-03-23,123,0,0,7,0,
2018-03-26,125,0,0,4,0,
2018-03-27,127,0,0,7,0,
2018-03-28,125,0,0,7,0,
2018-03-29,126,0,0,0,0,
2018-03-30,126,0,0,6,0,
2018-04-02,126,0,0,1,0,
2018-04-03,125,0,0,5,0,
2018-04-04,127,0,0,1,0,
2018-04-09,127,0,0,3,0,
2018-04-10,126,0,0,5,0,
2018-04-11,126,0,0,3,0,
2018-04-12,124,0,0,2,0,
2018-04-13,125,0,0,2,0,
2018-04-16,125,0,0,3,0,
2018-04-17,123,0,0,1,0,
2018-04-18,123,0,0,5,0,
2018-04-19,123,0,0,5,0,
2018-04-20,124,0,0,2,0,
2018-04-23,122,0,0,4,0,
2018-04-24,124,0,0,5,0,
2018-04-25,124,0,0,5,0,
2018-04-26,123,0,0,1,0,
2018-04-27,123,0,0,3,0,
2018-05-02,121,0,0,4,0,
2018-05-03,122,0,0,5,0,
2018-05-04,122,0,0,3,0,
2018-05-07,126,0,0,4,0,
2018-05-08,125,0,0,2,0,
2018-05-09,125,0,0,3,0,
2018-05-10,123,0,0,1,0,
2018-05-11,123,0,0,0,0,
2018-05-14,122,0,0,7,0,
2018-05-15,124,0,0,3,0,
2018-05-16,124,0,0,3,0,
2018-05-17,126,0,0,1,0,
2018-05-18,126,0,0,13,0,
2018-05-21,127,0,0,3,0,
2018-05-22,128,0,0,6,0,
2018-05-23,127,0,0,4,0,
2018-05-24,126,0,0,4,0,
2018-05-25,126,0,0,10,0,
2018-05-28,123,0,0,6,0,
2018-05-29,122,0,0,3,0,
2018-05-30,120,0,0,8,0,
2018-05-31,120,0,0,12,0,
2018-06-01,119,0,0,3,0,
2018-06-04,118,0,0,6,0,
2018-06-05,120,0,0,14,0,
2018-06-06,119,0,0,7,0,
2018-06-07,119,0,0,2,0,
2018-06-08,118,0,0,4,0,
2018-06-11,118,0,0,5,0,
2018-06-12,118,0,0,13,0,
2018-06-13,119,0,0,0,0,
2018-06-14,119,0,0,4,0,
2018-06-15,118,0,0,2,0,
2018-06-19,114,0,0,6,0,
2018-06-20,116,0,0,11,0,
2018-06-21,116,0,0,7,0,
2018-06-22,117,0,0,9,0,
2018-06-25,116,0,0,6,0,
2018-06-26,114,0,0,4,0,
2018-06-27,115,0,0,2,0,
2018-06-28,114,0,0,1,0,
2018-06-29,119,0,0,5,0,
2018-07-02,116,0,0,1,0,
2018-07-03,116,0,0,0,0,
2018-07-04,116,0,0,0,0,
2018-07-05,115,0,0,3,0,
2018-07-06,115,0,0,1,0,
2018-07-09,116,0,0,5,0,
2018-07-10,117,0,0,4,0,
2018-07-11,116,0,0,4,0,
2018-07-12,117,0,0,7,0,
2018-07-13,119,0,0,5,0,
2018-07-16,120,0,0,5,0,
2018-07-17,119,0,0,2,0,
2018-07-18,118,0,0,3,0,
2018-07-19,117,0,0,4,0,
2018-07-20,119,0,0,4,0,
2018-07-23,121,0,0,4,0,
2018-07-24,122,0,0,2,0,
2018-07-25,121,0,0,2,0,
2018-07-26,119,0,0,3,0,
2018-07-27,121,0,0,2,0,
2018-07-30,119,0,0,3,0,
2018-07-31,119,0,0,1,0,
2018-08-01,118,0,0,1,0,
2018-08-02,115,0,0,5,0,
2018-08-03,114,0,0,4,0,
2018-08-06,111,0,0,6,0,
2018-08-07,114,0,0,8,0,
2018-08-08,112,0,0,1,0,
2018-08-09,114,0,0,10,0,
2018-08-10,113,0,0,0,0,
2018-08-13,113,0,0,5,0,
2018-08-14,114,0,0,4,0,
2018-08-15,112,0,0,0,0,
2018-08-16,108,0,0,3,0,
2018-08-17,107,0,0,0,0,
2018-08-20,112,0,0,1,0,
2018-08-21,114,0,0,8,0,
2018-08-22,114,0,0,4,0,
2018-08-23,113,0,0,7,0,
2018-08-24,113,0,0,10,0,
2018-08-27,116,0,0,10,0,
2018-08-28,115,0,0,4,0,
2018-08-29,114,0,0,4,0,
2018-08-30,113,0,0,0,0,
2018-08-31,113,0,0,9,0,
2018-09-03,112,0,0,3,0,
2018-09-04,113,0,0,11,0,
2018-09-05,111,0,0,0,0,
2018-09-06,112,0,0,3,0,
2018-09-07,111,0,0,4,0,
2018-09-10,109,0,0,2,0,
2018-09-11,111,0,0,4,0,
2018-09-12,111,0,0,4,0,
2018-09-13,111,0,0,6,0,
2018-09-14,111,0,0,3,0,
2018-09-17,110,0,0,2,0,
2018-09-18,112,0,0,9,0,
2018-09-19,111,0,0,9,0,
2018-09-20,111,0,0,4,0,
2018-09-21,113,0,0,11,0,
2018-09-25,113,0,0,9,0,
2018-09-26,113,0,0,6,0,
2018-09-27,111,0,0,5,0,
2018-09-28,114,0,0,8,0,
2018-10-08,112,0,0,2,0,
2018-10-09,111,0,0,14,0,
2018-10-10,112,0,0,13,0,
2018-10-11,106,0,0,0,0,
2018-10-12,107,0,0,6,0,
2018-10-15,107,0,0,2,0,
2018-10-16,105,0,0,6,0,
2018-10-17,103,0,0,7,0,
2018-10-18,103,0,0,0,0,
2018-10-19,103,0,0,0,0,
2018-10-22,107,0,0,10,0,
2018-10-23,104,0,0,0,0,
2018-10-24,104,0,0,11,0,
2018-10-25,105,0,0,15,0,
2018-10-26,106,0,0,6,0,
2018-10-29,103,0,0,0,0,
2018-10-30,103,0,0,10,0,
2018-10-31,105,0,0,6,0,
2018-11-01,108,0,0,1,0,
2018-11-02,112,0,0,10,0,
2018-11-05,111,0,0,2,0,
2018-11-06,112,0,0,5,0,
2018-11-07,111,0,0,4,0,
2018-11-08,109,0,0,2,0,
2018-11-09,108,0,0,5,0,
2018-11-12,111,0,0,14,0,
2018-11-13,111,0,0,15,0,
2018-11-14,111,0,0,2,0,
2018-11-15,112,0,0,14,0,
2018-11-16,112,0,0,6,0,
2018-11-19,114,0,0,16,0,
2018-11-20,111,0,0,1,0,
2018-11-21,110,0,0,11,0,
2018-11-22,109,0,0,3,0,
2018-11-23,110,0,0,0,0,
2018-11-26,109,0,0,3,0,
2018-11-27,109,0,0,1,0,
2018-11-28,110,0,0,9,0,
2018-11-29,110,0,0,0,0,
2018-11-30,110,0,0,15,0,
2018-12-03,114,0,0,6,0,
2018-12-04,114,0,0,12,0,
2018-12-05,114,0,0,9,0,
2018-12-06,113,0,0,4,0,
2018-12-07,113,0,0,5,0,
2018-12-10,111,0,0,5,0,
2018-12-11,112,0,0,7,0,
2018-12-12,113,0,0,2,0,
2018-12-13,114,0,0,9,0,
2018-12-14,112,0,0,1,0,
2018-12-17,111,0,0,6,0,
2018-12-18,112,0,0,4,0,
2018-12-19,109,0,0,0,0,
2018-12-20,108,0,0,4,0,
2018-12-21,108,0,0,1,0,
2018-12-24,109,0,0,3,0,
2018-12-25,109,0,0,4,0,
2018-12-26,109,0,0,4,0,
2018-12-27,107,0,0,1,0,
2018-12-28,108,0,0,5,0,
2019-01-02,108,0,0,2,0,
2019-01-03,106,0,0,1,0,
2019-01-04,109,0,0,7,0,
2019-01-07,111,0,0,3,0,
2019-01-08,111,0,0,5,0,
2019-01-09,111,0,0,1,0,
2019-01-10,112,0,0,4,0,
2019-01-11,113,0,0,4,0,
2019-01-14,113,0,0,0,0,
2019-01-15,114,0,0,12,0,
2019-01-16,112,0,0,7,0,
2019-01-17,113,0,0,1,0,
2019-01-18,113,0,0,10,0,
2019-01-21,112,0,0,4,0,
2019-01-22,112,0,0,2,0,
2019-01-23,112,0,0,9,0,
2019-01-24,113,0,0,7,0,
2019-01-25,113,0,0,6,0,
2019-01-28,114,0,0,2,0,
2019-01-29,114,0,0,11,0,
2019-01-30,112,0,0,4,0,
2019-01-31,113,0,0,10,0,
2019-02-01,114,0,0,10,0,
2019-02-11,115,1,0,13,1,0.43771857850020984
2019-02-12,115,1,0,9,1,0.432248634663293
2019-02-13,117,0,0,7,0,0.49864078202931467
2019-02-14,116,0,0,2,0,0.35881949734774216
2019-02-15,116,0,0,0,0,0.4983207095050033
2019-02-18,119,0,0,29,0,0.4985380460072798
2019-02-19,120,0,0,4,0,0.26729511891436125
2019-02-20,119,0,0,11,0,0.3371874834397313
2019-02-21,119,0,0,1,0,0.11059106171298111
2019-02-22,121,0,0,32,0,0.05270341423906683
2019-02-25,127,0,0,19,0,-0.09107747922992593
2019-02-26,126,0,0,0,0,0.0540629201814708
2019-02-27,123,0,0,1,0,0.32182069681503256
2019-02-28,122,0,0,3,0,0.3309476565433923
2019-03-01,124,0,0,5,0,-0.09840221615398864
2019-03-04,124,0,0,4,0,-0.16294199170406273
2019-03-05,126,0,0,3,0,-0.21884208919077924
2019-03-06,126,0,0,6,0,-0.04288472130912518
2019-03-07,128,0,0,1,0,-0.06566961383387612
2019-03-08,124,0,0,5,0,0.19456061507982014
2019-03-11,126,0,0,40,0,0.014648840397649826
2019-03-12,126,0,0,14,0,0.03738533164028196
2019-03-13,126,0,0,13,0,0.15038976861852502
2019-03-14,126,0,0,18,0,0.26439734139957255
2019-03-15,127,0,1,32,1,0.19202851485333244
2019-03-18,130,0,2,66,2,0.12213529009115523
2019-03-19,129,0,1,5,1,0.0022693131632410685
2019-03-20,127,0,0,17,0,0.10364257610416336
2019-03-21,126,1,1,17,2,0.047478109927706444
2019-03-22,128,0,0,12,0,0.052667490367392406
2019-03-25,126,0,1,9,1,0.11852007321594654
2019-03-26,126,0,0,5,0,0.19280118928083176
2019-03-27,127,1,2,27,3,0.10351955158307172
2019-03-28,126,0,0,5,0,0.08468466891089273
2019-03-29,128,1,1,51,2,-0.0044481389765759355
2019-04-01,131,1,1,50,2,-0.08342231079471302
2019-04-02,130,0,0,1,0,-0.10852693059422364
2019-04-03,132,0,1,38,1,-0.04211287007040733
2019-04-04,132,0,0,11,0,-0.10819288349786114
2019-04-08,132,0,0,5,0,-0.1074071960029861
2019-04-09,133,0,0,19,0,0.061246543295665506
2019-04-10,131,0,0,13,0,0.009604478689153224
2019-04-11,127,0,0,5,0,-0.03965505853713598
2019-04-12,127,0,1,26,1,-0.09208440813814583
2019-04-15,128,0,0,1,0,-0.009164039330673694
2019-04-16,130,1,3,68,4,-0.04759045390308681
2019-04-17,132,0,0,15,0,-0.11250257540965353
2019-04-18,131,0,0,12,0,-0.11021866846093341
2019-04-19,131,0,0,39,0,-0.0758260178824061
2019-04-22,132,0,0,5,0,-0.01868126709968998
2019-04-23,132,0,1,21,1,0.0488741491999771
2019-04-24,133,0,0,14,0,0.08007244543295954
2019-04-25,128,0,0,3,0,0.2432651033320231
2019-04-26,127,0,1,5,1,0.3553279946885184
2019-04-29,128,1,0,14,1,0.4064127308860311
2019-04-30,128,0,0,15,0,0.21831580988442942
2019-05-06,123,0,0,6,0,
2019-05-07,125,0,0,10,0,
2019-05-08,124,0,0,3,0,
2019-05-09,123,0,0,1,0,
2019-05-10,125,0,0,12,0,
2019-05-13,126,0,0,6,0,
2019-05-14,123,0,0,5,0,
2019-05-15,127,0,0,11,0,
2019-05-16,128,0,0,5,0,
2019-05-17,124,0,0,0,0,
2019-05-20,122,0,0,1,0,
2019-05-21,126,0,0,8,0,
2019-05-22,125,0,0,12,0,
2019-05-23,121,0,0,4,0,
2019-05-24,121,0,0,5,0,
2019-05-27,124,0,0,7,0,
2019-05-28,124,0,0,19,0,
2019-05-29,125,0,0,11,0,
2019-05-30,126,0,0,5,0,
2019-05-31,127,0,0,4,0,
2019-06-03,124,0,0,5,0,
2019-06-04,123,0,0,5,0,
2019-06-05,123,0,0,1,0,
2019-06-06,121,0,0,1,0,
2019-06-10,121,0,0,13,0,
2019-06-11,129,0,0,18,0,
2019-06-12,128,0,0,2,0,
2019-06-13,127,0,0,2,0,
2019-06-14,124,0,0,1,0,
2019-06-17,126,0,0,8,0,
2019-06-18,126,0,0,14,0,
2019-06-19,126,0,0,3,0,
2019-06-20,128,0,0,17,0,
2019-06-21,129,0,0,3,0,
2019-06-24,129,0,0,6,0,
2019-06-25,129,0,0,4,0,
2019-06-26,129,0,0,12,0,
2019-06-27,129,0,0,6,0,
2019-06-28,127,0,1,6,1,0.3988631434304546
2019-07-01,130,1,0,9,1,0.3283638085056511
2019-07-02,129,0,0,10,0,0.31986438409519125
2019-07-03,129,0,0,7,0,0.3197483261209917
2019-07-04,130,0,0,9,0,0.29350070603483325
2019-07-05,129,0,0,10,0,0.25083095877324657
2019-07-08,128,0,0,1,0,0.7666256311831194
2019-07-09,127,0,0,11,0,0.8388151481761339
2019-07-10,127,0,0,5,0,0.8738361823872842
2019-07-11,125,0,0,7,0,0.8128740733522309
2019-07-12,128,0,0,17,0,0.8341587973126975
2019-07-15,128,0,0,18,0,0.8823984722938207
2019-07-16,127,0,0,9,0,0.7999898807163932
2019-07-17,127,0,1,13,1,0.7642178748685031
2019-07-18,125,0,0,7,0,0.7288591562613848
2019-07-19,127,0,1,28,1,0.536984509331442
2019-07-22,126,0,2,8,2,0.5164344730834264
2019-07-23,129,0,0,11,0,0.47076775519291075
2019-07-24,129,0,0,24,0,0.4940559044592836
2019-07-25,129,0,0,25,0,0.36975886628163607
2019-07-26,131,0,0,23,0,0.3382260172012297
2019-07-29,131,0,2,12,2,0.33945041908047624
2019-07-30,131,0,0,18,0,0.30643472762331564
2019-07-31,131,0,0,8,0,0.4012940041415612
2019-08-01,130,0,0,4,0,0.43156419286085007
2019-08-02,127,0,0,12,0,
2019-08-05,124,0,0,2,0,
2019-08-06,121,0,0,10,0,
2019-08-07,121,0,0,1,0,
2019-08-08,121,0,0,14,0,
2019-08-09,121,0,0,2,0,
2019-08-12,122,0,0,21,0,
2019-08-13,119,0,0,5,0,
2019-08-14,119,0,0,6,0,
2019-08-15,119,0,0,10,0,
2019-08-16,121,0,0,9,0,
2019-08-19,127,0,0,11,0,
2019-08-20,128,0,0,5,0,
2019-08-21,128,0,0,10,0,
2019-08-22,130,0,0,2,0,
2019-08-23,130,0,0,7,0,
2019-08-26,129,0,0,9,0,
2019-08-27,133,0,0,7,0,
2019-08-28,129,0,0,0,0,
2019-08-29,130,0,0,3,0,
2019-08-30,131,0,0,2,0,
2019-09-02,134,0,0,12,0,
2019-09-03,136,0,0,6,0,
2019-09-04,137,0,0,13,0,0.7664622986961103
2019-09-05,138,0,0,7,0,0.5268719379753042
2019-09-06,137,0,0,9,0,0.43801806702020557
2019-09-09,139,0,0,6,0,0.502906830488266
2019-09-10,140,0,0,4,0,0.3924371019377612
2019-09-11,141,0,0,4,0,0.25541078606077133
2019-09-12,140,0,1,17,1,0.35284468643257716
2019-09-16,138,0,1,11,1,0.43369143776742547
2019-09-17,137,0,0,2,0,0.47156344496839164
2019-09-18,137,1,0,19,1,0.5612833967675342
2019-09-19,140,0,0,11,0,0.5244184907152681
2019-09-20,142,0,0,19,0,0.3081217721625791
2019-09-23,141,0,0,2,0,0.16206320380492956
2019-09-24,140,0,0,17,0,0.20581128178518612
2019-09-25,137,0,0,13,0,0.2289732701882061
2019-09-26,132,0,0,10,0,
2019-09-27,132,0,1,9,1,0.42444459641507076
2019-09-30,130,0,0,5,0,
2019-10-08,128,0,0,15,0,
2019-10-09,129,0,0,8,0,0.4454701089030237
2019-10-10,131,2,0,17,2,0.45706941433289217
2019-10-11,133,0,0,23,0,0.2991084251531338
2019-10-14,136,0,0,8,0,0.2951666283561158
2019-10-15,134,0,0,7,0,0.28619644070944095
2019-10-16,132,0,0,9,0,0.23899562734275404
2019-10-17,131,0,1,8,1,0.3709893963751309
2019-10-18,130,0,0,0,0,
2019-10-21,130,0,0,20,0,
2019-10-22,130,0,2,6,2,0.31676634745065935
2019-10-23,131,0,0,5,0,
2019-10-24,131,0,0,12,0,
2019-10-25,132,1,0,12,1,0.3449357517698435
2019-10-28,134,0,0,16,0,0.4026189425450636
2019-10-29,134,1,0,9,1,0.46592418099939586
2019-10-30,133,0,0,16,0,
2019-10-31,132,0,0,11,0,
2019-11-01,133,1,1,26,2,0.29976103651070746
2019-11-04,134,0,0,9,0,0.2709250394035309
2019-11-05,137,1,0,15,1,0.3003430589598719
2019-11-06,137,0,0,6,0,0.34378887631047494
2019-11-07,136,0,0,13,0,0.32913058659192523
2019-11-08,136,0,0,5,0,0.48956332134121244
2019-11-11,135,0,0,1,0,
2019-11-12,135,0,0,10,0,
2019-11-13,134,0,0,7,0,
2019-11-14,134,0,0,7,0,
2019-11-15,133,0,0,3,0,
2019-11-18,134,0,0,10,0,
2019-11-19,133,0,0,16,0,0.23369438185662575
2019-11-20,133,0,0,6,0,
2019-11-21,133,0,0,14,0,
2019-11-22,132,0,0,6,0,
2019-11-25,132,0,0,4,0,
2019-11-26,133,0,0,11,0,0.2786423547937008
2019-11-27,132,0,0,10,0,
2019-11-28,132,0,0,6,0,
2019-11-29,133,0,0,5,0,
2019-12-02,132,0,0,8,0,
2019-12-03,133,0,0,11,0,
2019-12-04,132,0,0,5,0,
2019-12-05,134,0,0,7,0,
2019-12-06,134,0,0,12,0,
2019-12-09,138,0,0,6,0,
2019-12-10,137,0,0,9,0,
2019-12-11,137,0,0,10,0,
2019-12-12,135,0,0,3,0,
2019-12-13,139,0,0,16,0,0.1774415175901211
2019-12-16,138,0,0,10,0,0.12647153865950728
2019-12-17,141,0,0,18,0,0.09859414675321185
2019-12-18,142,0,0,8,0,0.16413314927753292
2019-12-19,141,0,0,9,0,0.2873739167743715
2019-12-20,141,0,0,7,0,0.234792229227206
2019-12-23,136,1,0,5,1,0.1497180002717186
2019-12-24,136,0,0,25,0,0.11295923170246548
2019-12-25,137,0,1,11,1,0.04163294864577269
2019-12-26,138,0,1,36,1,-0.021564055117951425
2019-12-27,138,1,0,16,1,0.08133827999560081
2019-12-30,140,0,0,39,0,0.10694557813124553
2019-12-31,142,0,0,29,0,0.08258850402829677
2020-01-02,145,1,0,14,1,0.04238486886940305
2020-01-03,144,0,0,6,0,0.2711579566645204
2020-01-06,148,0,0,10,0,0.39818017766429753
2020-01-07,148,0,0,28,0,0.39344787662742686
2020-01-08,146,0,0,3,0,0.29066322022662766
2020-01-09,149,0,0,29,0,0.35427829724494375
2020-01-10,149,1,0,12,1,0.3969169986903447
2020-01-13,149,1,0,31,1,0.489304522338043
2020-01-14,151,0,0,15,0,0.4432412332130217
2020-01-15,147,0,0,11,0,0.46787448275139604
2020-01-16,148,0,0,7,0,0.45273226177052595
2020-01-17,148,0,1,9,1,0.46957838023170706
2020-01-20,150,0,1,31,1,0.3583864108817032
2020-01-21,145,0,0,8,0,0.5132759341404607
2020-01-22,148,0,0,23,0,0.49102686127863315
2020-01-23,144,0,0,4,0,
2020-02-03,136,0,0,0,0,
2020-02-04,136,0,0,7,0,
2020-02-05,139,0,0,8,0,
2020-02-06,141,0,0,11,0,
2020-02-07,143,0,0,7,0,
2020-02-10,144,0,0,5,0,
2020-02-11,144,0,0,12,0,
2020-02-12,144,0,0,18,0,
2020-02-13,144,0,0,7,0,
2020-02-14,146,0,0,5,0,
2020-02-17,148,0,1,15,1,0.1967300031479528
2020-02-18,151,0,0,1,0,
2020-02-19,149,0,0,6,0,
2020-02-20,150,0,1,21,1,0.11576549187519505
2020-02-21,150,0,0,9,0,0.16575941369134845
2020-02-24,152,0,0,4,0,
2020-02-25,152,0,0,18,0,
2020-02-26,150,0,0,4,0,
2020-02-27,151,0,0,9,0,
2020-02-28,145,0,0,4,0,
