stage,split,model_id,score_id,target_id,history_policy_id,history_window_mode,trailing_history_window_sessions,auc_target_id,auc_score_direction,rank_ic_expected_sign,event_n,positive_n,base_rate,auc,spearman_rank_ic,rank_ic_pvalue,decile_lift,quintile_lift,tail_bucket_rate,direction_check_status,rank_quality_status
stage_2,robustness,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_504_sessions,rolling_sessions,504.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,2786,342,0.12275664034458005,0.6040583933921001,0.11829062026577818,,0.13978494623655913,0.13978494623655913,0.2078853046594982,pass,readout
stage_2,all,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,7185,914,0.12720946416144746,0.6543770480419925,0.17819195195536425,,0.2169680111265647,0.2169680111265647,0.26564673157162727,pass,readout
stage_2,train,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,3107,471,0.15159317669777922,0.695043155524197,0.2423054951238134,,0.27974276527331193,0.27974276527331193,0.31511254019292606,pass,readout
stage_2,validation,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,1292,101,0.0781733746130031,0.6132545244448878,0.10531745792903066,,0.09230769230769231,0.09230769230769231,0.12307692307692308,pass,readout
stage_2,robustness,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_252_sessions,rolling_sessions,252.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,2786,342,0.12275664034458005,0.6040583933921001,0.11829062026577818,,0.13978494623655913,0.13978494623655913,0.2078853046594982,pass,readout
stage_2,all,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,7185,914,0.12720946416144746,0.6543770480419925,0.17819195195536425,,0.2169680111265647,0.2169680111265647,0.26564673157162727,pass,readout
stage_2,train,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,3107,471,0.15159317669777922,0.695043155524197,0.2423054951238134,,0.27974276527331193,0.27974276527331193,0.31511254019292606,pass,readout
stage_2,validation,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,1292,101,0.0781733746130031,0.6132545244448878,0.10531745792903066,,0.09230769230769231,0.09230769230769231,0.12307692307692308,pass,readout
stage_2,robustness,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_rolling_1008_sessions,rolling_sessions,1008.0,stage_2_continuation_target,higher_score_higher_positive_probability,positive,2786,342,0.12275664034458005,0.6040583933921001,0.11829062026577818,,0.13978494623655913,0.13978494623655913,0.2078853046594982,pass,readout
stage_2,all,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_2_continuation_target,higher_score_higher_positive_probability,positive,7185,914,0.12720946416144746,0.6543770480419925,0.17819195195536425,,0.2169680111265647,0.2169680111265647,0.26564673157162727,pass,readout
stage_2,train,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_2_continuation_target,higher_score_higher_positive_probability,positive,3107,471,0.15159317669777922,0.695043155524197,0.2423054951238134,,0.27974276527331193,0.27974276527331193,0.31511254019292606,pass,readout
stage_2,validation,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_2_continuation_target,higher_score_higher_positive_probability,positive,1292,101,0.0781733746130031,0.6132545244448878,0.10531745792903066,,0.09230769230769231,0.09230769230769231,0.12307692307692308,pass,readout
stage_2,robustness,logistic_regression_l2,stage2_continuation_score,stage_2_continuation_target,board_then_global_expanding_from_inception,expanding_from_inception,,stage_2_continuation_target,higher_score_higher_positive_probability,positive,2786,342,0.12275664034458005,0.6040583933921001,0.11829062026577818,,0.13978494623655913,0.13978494623655913,0.2078853046594982,pass,readout
