stage,split,score_decile,event_n,positive_n,target_rate,score_min,score_max
stage_2,all,4,718,64,0.08913649025069638,0.08618545098333091,0.10334749479400733
stage_2,all,5,719,73,0.10152990264255911,0.10335758963150672,0.12053911985943758
stage_2,all,6,718,89,0.12395543175487465,0.12057213411414094,0.14056512273299412
stage_2,all,7,718,106,0.14763231197771587,0.140589183006976,0.16375475171338422
stage_2,all,8,719,113,0.1571627260083449,0.1637637649302899,0.19438403750035413
stage_2,all,9,718,138,0.19220055710306408,0.19439818106113,0.24297232565309915
stage_2,all,10,719,191,0.26564673157162727,0.2430426687544474,0.8397694492100212
stage_2,train,1,311,11,0.03536977491961415,0.009250351516878044,0.05803049262291985
stage_2,train,2,311,18,0.05787781350482315,0.058308974303804564,0.07943118180182136
stage_2,train,3,310,24,0.07741935483870968,0.07950493248516345,0.09809778221974619
stage_2,train,4,311,28,0.09003215434083602,0.09810381564137152,0.11810803852905015
stage_2,train,5,311,36,0.1157556270096463,0.11812081317456086,0.1383439698632986
stage_2,train,6,310,49,0.15806451612903225,0.13835047292895675,0.15866489119311084
stage_2,train,7,311,62,0.19935691318327975,0.15873006493564232,0.18401039985390352
stage_2,train,8,310,60,0.1935483870967742,0.18402809554837152,0.21776771054823438
stage_2,train,9,311,85,0.2733118971061093,0.21794470046175676,0.26364661447788607
stage_2,train,10,311,98,0.31511254019292606,0.2636653324553631,0.5452100403319667
stage_2,validation,1,130,4,0.03076923076923077,0.012124301734856591,0.050766695980763346
stage_2,validation,2,129,9,0.06976744186046512,0.050827389561015034,0.0698332772349418
stage_2,validation,3,129,5,0.03875968992248062,0.0700951205364281,0.08530699933751047
stage_2,validation,4,129,9,0.06976744186046512,0.08545092023266056,0.10109803448456217
stage_2,validation,5,129,11,0.08527131782945736,0.10119443744983601,0.1170161123646003
stage_2,validation,6,129,7,0.05426356589147287,0.11731182850530407,0.1344645155762813
stage_2,validation,7,129,9,0.06976744186046512,0.13471481761460805,0.15528185549070542
stage_2,validation,8,129,15,0.11627906976744186,0.15533707376952366,0.18383340896340342
stage_2,validation,9,129,16,0.12403100775193798,0.18464773195710274,0.23172423273192105
stage_2,validation,10,130,16,0.12307692307692308,0.23258972087083019,0.568363479055201
stage_2,robustness,1,279,19,0.06810035842293907,0.013471166572029902,0.04551959467943007
stage_2,robustness,2,279,25,0.08960573476702509,0.045615906931106065,0.06241015390158313
stage_2,robustness,3,278,22,0.07913669064748201,0.062488918540720466,0.07735213807674024
stage_2,robustness,4,279,26,0.0931899641577061,0.07736327542599218,0.09192821903914081
stage_2,robustness,5,278,32,0.11510791366906475,0.091940912446038,0.10759356923838548
stage_2,robustness,6,279,32,0.11469534050179211,0.10759629147816263,0.12414697047246723
stage_2,robustness,7,278,45,0.1618705035971223,0.1241607203781585,0.1448085362106274
stage_2,robustness,8,279,49,0.17562724014336917,0.144887555686656,0.17122586664998202
stage_2,robustness,9,278,34,0.1223021582733813,0.1712329190914899,0.2150320540153171
stage_2,robustness,10,279,58,0.2078853046594982,0.21531633760493246,0.8397694492100212
