version,period,stage,instrument,signal_date,order_date,deal_date,entry_type,amount,entry_price,entry_value,entry_cost,exit_signal_date,exit_date,exit_price,exit_value,exit_cost,gross_pnl,net_pnl,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return,risk_budget_per_trade,target_loss_budget,initial_risk_per_share,risk_budget_loss_ratio,diagnostic_scope
pullback_strict_money,valid,diagnostic_only,SZ000408,2024-03-29,2024-04-01,2024-04-01,breakout,1000,28.989999771118164,28989.999771118164,14.494999885559082,2024-04-16,2024-04-17,26.8799991607666,26879.9991607666,40.3199987411499,-2110.0006103515625,-2164.8156089782715,26.17425055503845,26.17425055503845,2.8157492160797126,time_stop,16,-0.07278374015213655,-0.07463724591894887,0.005,5031.62509097898,2.8157492160797126,0.4302418343647049,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600795,2024-03-26,2024-03-27,2024-03-27,pullback,6400,4.679999828338623,29951.998901367188,14.975999450683593,2024-04-18,2024-04-19,4.659999847412109,29823.9990234375,44.73599853515625,-127.9998779296875,-187.7118759155288,4.4995001912117,4.679999828338623,0.18049963712692296,trailing_stop,23,-0.004273500354724066,-0.006263958125129463,0.005,5004.008947591065,0.18049963712692296,0.03751229821559241,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH601958,2024-04-09,2024-04-10,2024-04-10,breakout,2700,11.029999732971191,29780.999279022217,14.890499639511109,2024-04-22,2024-04-23,10.75,29025.0,43.5375,-755.9992790222168,-814.4272786617264,9.467999935150146,9.467999935150146,1.561999797821045,time_stop,13,-0.02538528918855802,-0.027333544482533865,0.005,5100.754959810256,1.561999797821045,0.1596679874016184,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600938,2024-04-10,2024-04-11,2024-04-11,pullback,1100,26.610000610351562,29271.00067138672,14.63550033569336,2024-04-22,2024-04-23,26.329999923706055,28962.99991607666,43.44449987411499,-308.0007553100586,-366.0807555198684,25.87049980163574,26.610000610351562,0.739500808715821,trailing_stop,12,-0.010522385577720906,-0.012500351823442652,0.005,5101.680507550477,0.739500808715821,0.07175689559118208,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SZ000630,2024-04-11,2024-04-12,2024-04-12,pullback,2000,3.950000047683716,7900.000095367432,5.0,2024-04-22,2024-04-23,3.7100000381469727,7420.000076293945,11.130000114440918,-480.0000190734863,-496.13001918792725,3.6000000655651094,3.6000000655651094,0.3499999821186064,time_stop,11,-0.06075949535177333,-0.06276154499715622,0.005,5131.1173314697735,0.3499999821186064,0.09669044520675854,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600362,2024-03-28,2024-03-29,2024-03-29,pullback,1400,21.100000381469727,29540.000534057617,14.77000026702881,2024-04-23,2024-04-24,23.100000381469727,32340.000534057617,48.51000080108643,2800.0,2736.719998931886,20.11849961280823,23.541000747680663,0.9815007686614976,trailing_stop,26,0.09478672814415795,0.09259824892747802,0.005,5019.119062567949,0.9815007686614976,0.0,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH601168,2024-03-28,2024-03-29,2024-03-29,pullback,1700,17.06999969482422,29018.999481201172,14.509499740600587,2024-04-23,2024-04-24,17.65999984741211,30021.999740600586,45.03299961090088,1003.0002593994141,943.457760047914,15.812250208854675,17.922573198883303,1.2577494859695442,trailing_stop,26,0.03456357136121005,0.032495478265035765,0.005,5023.595209896325,1.2577494859695442,0.0,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600027,2024-03-29,2024-04-01,2024-04-01,pullback,4700,6.349999904632568,29844.99955177307,14.922499775886536,2024-04-23,2024-04-24,6.329999923706055,29750.999641418457,44.62649946212769,-93.99991035461426,-153.54890959262775,5.7537498593330385,6.349999904632568,0.5962500452995299,trailing_stop,23,-0.0031496033428162606,-0.005142307783910056,0.005,5034.754706167221,0.5962500452995299,0.030497793547824906,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600489,2024-04-17,2024-04-18,2024-04-18,pullback,2400,12.520000457763672,30048.001098632812,15.024000549316407,2024-04-23,2024-04-24,11.899999618530273,28559.999084472656,42.83999862670898,-1488.0020141601562,-1545.8660133361832,12.173999810218811,12.173999810218811,0.3460006475448605,stop_loss,6,-0.04952083199397449,-0.051420840325820664,0.005,5088.96804915285,0.3460006475448605,0.3037680721130722,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH600023,2024-04-15,2024-04-16,2024-04-16,breakout,4600,6.110000133514404,28106.00061416626,14.05300030708313,2024-04-26,2024-04-29,5.710000038146973,26266.000175476074,39.39900026321411,-1840.0004386901855,-1893.4524392604812,5.02875007390976,5.02875007390976,1.0812500596046446,time_stop,13,-0.06546646262303042,-0.06733459563128019,0.005,5070.65732866597,1.0812500596046446,0.3734136062707724,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH601600,2024-04-15,2024-04-16,2024-04-16,breakout,1200,7.050000190734863,8460.000228881836,5.0,2024-04-29,2024-04-30,7.070000171661377,8484.000205993652,12.726000308990479,23.999977111816406,6.273976802825928,5.878749978542328,5.878749978542328,1.1712502121925352,time_stop,14,0.0028368766504145238,0.000741166761156092,0.005,5068.287065857887,1.1712502121925352,0.0,diagnostic_only
pullback_strict_money,valid,diagnostic_only,SH601857,2024-04-24,2024-04-25,2024-04-25,pullback,3200,9.329999923706055,29855.999755859375,14.927999877929688,2024-05-06,2024-05-07,8.970000267028809,28704.000854492188,43.05600128173828,-1151.9989013671875,-1209.982902526854,9.037999844551086,9.037999844551086,0.2920000791549686,stop_loss,12,-0.03858517252101405,-0.04050704124161168,0.005,5033.824858793972,0.2920000791549686,0.2403704809898268,diagnostic_only
