prototype_type,cluster_split_bucket,threshold_id,state,high_membership_anchor_n,high_membership_state_share,baseline_state_share,share_delta,overlap_status,overlap_source_status
late_rescue_winner,robustness,up150pct,drawdown_reversal_state,0,,0.3143170597915524,,inconclusive_too_sparse,pass
smooth_trend_winner,validation,up150pct,compression_state,79,0.22784810126582278,0.16774193548387098,0.0601061657819518,rediscovered_known_failure,pass
smooth_trend_winner,validation,up150pct,drawdown_reversal_state,79,0.22784810126582278,0.2,0.027848101265822767,independent_of_known_failure,pass
stair_step_winner,validation,up150pct,compression_state,26,0.19230769230769232,0.16774193548387098,0.02456575682382134,inconclusive_too_sparse,pass
stair_step_winner,validation,up150pct,drawdown_reversal_state,26,0.3076923076923077,0.2,0.1076923076923077,inconclusive_too_sparse,pass
jump_repricing_winner,validation,up150pct,compression_state,0,,0.16774193548387098,,inconclusive_too_sparse,pass
jump_repricing_winner,validation,up150pct,drawdown_reversal_state,0,,0.2,,inconclusive_too_sparse,pass
choppy_reversal_winner,validation,up150pct,compression_state,0,,0.16774193548387098,,inconclusive_too_sparse,pass
choppy_reversal_winner,validation,up150pct,drawdown_reversal_state,0,,0.2,,inconclusive_too_sparse,pass
slow_grind_winner,validation,up150pct,compression_state,0,,0.16774193548387098,,inconclusive_too_sparse,pass
slow_grind_winner,validation,up150pct,drawdown_reversal_state,0,,0.2,,inconclusive_too_sparse,pass
late_rescue_winner,validation,up150pct,compression_state,0,,0.16774193548387098,,inconclusive_too_sparse,pass
late_rescue_winner,validation,up150pct,drawdown_reversal_state,0,,0.2,,inconclusive_too_sparse,pass
smooth_trend_winner,train,up50pct,compression_state,6638,0.12036758059656523,0.20001052871707584,-0.0796429481205106,independent_of_known_failure,pass
smooth_trend_winner,train,up50pct,drawdown_reversal_state,6638,0.1749020789394396,0.20018600733500622,-0.02528392839556662,independent_of_known_failure,pass
stair_step_winner,train,up50pct,compression_state,9359,0.16582968265840367,0.20001052871707584,-0.034180846058672165,independent_of_known_failure,pass
stair_step_winner,train,up50pct,drawdown_reversal_state,9359,0.1539694411796132,0.20018600733500622,-0.04621656615539302,independent_of_known_failure,pass
jump_repricing_winner,train,up50pct,compression_state,2169,0.14246196403872752,0.20001052871707584,-0.05754856467834832,independent_of_known_failure,pass
jump_repricing_winner,train,up50pct,drawdown_reversal_state,2169,0.1991701244813278,0.20018600733500622,-0.0010158828536784292,independent_of_known_failure,pass
choppy_reversal_winner,train,up50pct,compression_state,942,0.08174097664543524,0.20001052871707584,-0.1182695520716406,independent_of_known_failure,pass
choppy_reversal_winner,train,up50pct,drawdown_reversal_state,942,0.08492569002123142,0.20018600733500622,-0.1152603173137748,independent_of_known_failure,pass
slow_grind_winner,train,up50pct,compression_state,0,,0.20001052871707584,,inconclusive_too_sparse,pass
slow_grind_winner,train,up50pct,drawdown_reversal_state,0,,0.20018600733500622,,inconclusive_too_sparse,pass
late_rescue_winner,train,up50pct,compression_state,4919,0.19739784509046554,0.20001052871707584,-0.002612683626610296,independent_of_known_failure,pass
late_rescue_winner,train,up50pct,drawdown_reversal_state,4919,0.3049400284610693,0.20018600733500622,0.10475402112606311,rediscovered_known_failure,pass
smooth_trend_winner,robustness,up50pct,compression_state,1168,0.1832191780821918,0.15716969317470256,0.026049484907489234,independent_of_known_failure,pass
smooth_trend_winner,robustness,up50pct,drawdown_reversal_state,1168,0.1660958904109589,0.2632614724036139,-0.09716558199265501,independent_of_known_failure,pass
stair_step_winner,robustness,up50pct,compression_state,2256,0.10593971631205673,0.15716969317470256,-0.051229976862645826,independent_of_known_failure,pass
stair_step_winner,robustness,up50pct,drawdown_reversal_state,2256,0.1622340425531915,0.2632614724036139,-0.10102742985042243,independent_of_known_failure,pass
jump_repricing_winner,robustness,up50pct,compression_state,923,0.13542795232936078,0.15716969317470256,-0.021741740845341778,independent_of_known_failure,pass
jump_repricing_winner,robustness,up50pct,drawdown_reversal_state,923,0.28277356446370533,0.2632614724036139,0.019512092060091413,independent_of_known_failure,pass
choppy_reversal_winner,robustness,up50pct,compression_state,114,0.043859649122807015,0.15716969317470256,-0.11331004405189554,independent_of_known_failure,pass
choppy_reversal_winner,robustness,up50pct,drawdown_reversal_state,114,0.2631578947368421,0.2632614724036139,-0.00010357766677182578,independent_of_known_failure,pass
slow_grind_winner,robustness,up50pct,compression_state,0,,0.15716969317470256,,inconclusive_too_sparse,pass
slow_grind_winner,robustness,up50pct,drawdown_reversal_state,0,,0.2632614724036139,,inconclusive_too_sparse,pass
late_rescue_winner,robustness,up50pct,compression_state,0,,0.15716969317470256,,inconclusive_too_sparse,pass
late_rescue_winner,robustness,up50pct,drawdown_reversal_state,0,,0.2632614724036139,,inconclusive_too_sparse,pass
smooth_trend_winner,validation,up50pct,compression_state,104,0.2980769230769231,0.13427230046948357,0.1638046226074395,rediscovered_known_failure,pass
smooth_trend_winner,validation,up50pct,drawdown_reversal_state,104,0.34615384615384615,0.24413145539906103,0.10202239075478511,rediscovered_known_failure,pass
stair_step_winner,validation,up50pct,compression_state,93,0.06451612903225806,0.13427230046948357,-0.06975617143722551,independent_of_known_failure,pass
stair_step_winner,validation,up50pct,drawdown_reversal_state,93,0.4838709677419355,0.24413145539906103,0.23973951234287447,rediscovered_known_failure,pass
jump_repricing_winner,validation,up50pct,compression_state,158,0.20253164556962025,0.13427230046948357,0.06825934510013668,rediscovered_known_failure,pass
jump_repricing_winner,validation,up50pct,drawdown_reversal_state,158,0.21518987341772153,0.24413145539906103,-0.028941581981339504,independent_of_known_failure,pass
choppy_reversal_winner,validation,up50pct,compression_state,4,0.0,0.13427230046948357,-0.13427230046948357,inconclusive_too_sparse,pass
choppy_reversal_winner,validation,up50pct,drawdown_reversal_state,4,0.0,0.24413145539906103,-0.24413145539906103,inconclusive_too_sparse,pass
slow_grind_winner,validation,up50pct,compression_state,0,,0.13427230046948357,,inconclusive_too_sparse,pass
slow_grind_winner,validation,up50pct,drawdown_reversal_state,0,,0.24413145539906103,,inconclusive_too_sparse,pass
late_rescue_winner,validation,up50pct,compression_state,207,0.08695652173913043,0.13427230046948357,-0.04731577873035314,independent_of_known_failure,pass
late_rescue_winner,validation,up50pct,drawdown_reversal_state,207,0.19806763285024154,0.24413145539906103,-0.046063822548819494,independent_of_known_failure,pass
