threshold_id,cluster_split_bucket,episode_cluster_id,cluster_anchor_n,cluster_mean_membership_vector,cluster_top1_prototype,cluster_top2_prototype,cluster_membership_entropy,cluster_within_membership_dispersion,cluster_sharp_anchor_share,cluster_out_of_prototype_residual_share
up100pct,train,up100pct::SH600399::000000,46,"{""choppy_reversal_winner"": 0.23167070237180976, ""jump_repricing_winner"": 0.1043359395813311, ""late_rescue_winner"": 0.12834557503350882, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.12069528807506696, ""stair_step_winner"": 0.4149524949382833}",stair_step_winner,choppy_reversal_winner,0.813899503118779,0.0905044711823687,0.0,0.17391304347826086
up100pct,train,up100pct::SH600409::000000,31,"{""choppy_reversal_winner"": 0.42360227535664385, ""jump_repricing_winner"": 0.016898214037604373, ""late_rescue_winner"": 0.37028843713855336, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.012160091907711239, ""stair_step_winner"": 0.17705098155948726}",choppy_reversal_winner,late_rescue_winner,0.6478747016962993,0.031930123637140116,0.0,0.0
up100pct,train,up100pct::SH600410::000000,13,"{""choppy_reversal_winner"": 0.2907802272541063, ""jump_repricing_winner"": 0.009916398964968912, ""late_rescue_winner"": 0.6102621663064254, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.006699105207618141, ""stair_step_winner"": 0.08234210226688125}",late_rescue_winner,choppy_reversal_winner,0.5276591023144152,0.007138452251239714,0.7692307692307693,0.0
up100pct,train,up100pct::SH600435::000000,37,"{""choppy_reversal_winner"": 0.3499218055572469, ""jump_repricing_winner"": 0.010665771321877774, ""late_rescue_winner"": 0.47810599432585976, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.007494162018515138, ""stair_step_winner"": 0.15381226677650053}",late_rescue_winner,choppy_reversal_winner,0.6101729058908577,0.011617962419683476,0.0,0.0
up100pct,train,up100pct::SH600436::000000,290,"{""choppy_reversal_winner"": 0.18702091414539587, ""jump_repricing_winner"": 0.11663508709478364, ""late_rescue_winner"": 0.11727259148673817, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.11657845394635376, ""stair_step_winner"": 0.4624929533267285}",stair_step_winner,choppy_reversal_winner,0.7940213097323171,0.08692261255945881,0.006896551724137931,0.0
up100pct,train,up100pct::SH600446::000000,4,"{""choppy_reversal_winner"": 0.47453173275280025, ""jump_repricing_winner"": 0.017974091853491136, ""late_rescue_winner"": 0.3305834335137835, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.010430494282811315, ""stair_step_winner"": 0.16648024759711388}",choppy_reversal_winner,late_rescue_winner,0.6351066580945156,0.02031832451357057,0.0,0.0
up100pct,train,up100pct::SH600460::000000,339,"{""choppy_reversal_winner"": 0.287359532271074, ""jump_repricing_winner"": 0.05695153123878261, ""late_rescue_winner"": 0.20015356891031252, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.052943488627808656, ""stair_step_winner"": 0.40259187895202214}",stair_step_winner,choppy_reversal_winner,0.762038242752981,0.08575445933633152,0.0058997050147492625,0.06784660766961652
up100pct,robustness,up100pct::SH600460::000001,29,"{""choppy_reversal_winner"": 0.3666054087914851, ""jump_repricing_winner"": 0.022725790972543205, ""late_rescue_winner"": 0.29703891708285957, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.015993575112306802, ""stair_step_winner"": 0.2976363080408053}",choppy_reversal_winner,stair_step_winner,0.6927791001327966,0.002347519096369475,0.0,1.0
up100pct,train,up100pct::SH600486::000000,216,"{""choppy_reversal_winner"": 0.21969068796248778, ""jump_repricing_winner"": 0.061284614918675547, ""late_rescue_winner"": 0.16351088456648047, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.05814890702252226, ""stair_step_winner"": 0.4973649055298339}",stair_step_winner,choppy_reversal_winner,0.732777759700788,0.05960242819683934,0.0,0.20833333333333334
up100pct,robustness,up100pct::SH600498::000000,32,"{""choppy_reversal_winner"": 0.21532895961292953, ""jump_repricing_winner"": 0.08999255133661455, ""late_rescue_winner"": 0.131869276272197, ""slow_grind_winner"": 0.0, ""smooth_trend_winner"": 0.06249743547636544, ""stair_step_winner"": 0.5003117773018935}",stair_step_winner,choppy_reversal_winner,0.7446764772382461,0.037366338481710275,0.0,0.0
