canonical_unit_id,horizon,split,decomposition_axis,decomposition_value,complete_event_count,mean_net_return,median_net_return,p10_net_return,loss_rate,relative_comparable_event_share,mean_matched_delta_return,median_matched_delta_return,p10_matched_delta_return,matched_loss_rate_delta,event_share,net_return_contribution_share,matched_delta_contribution_share
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,industry_id,sw_801740,2,0.014316087114510656,0.014316087114510656,-0.024790457600184203,0.5,1.0,-0.020143419978322863,-0.020143419978322863,-0.0688372332243402,0.5,0.01652892561983471,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,industry_id,sw_801750,7,-0.03476295613935002,-0.05461075305112795,-0.15746989029013797,0.7142857142857143,1.0,-0.056319812250042046,-0.0762595088153254,-0.18302273957544252,0.4285714285714286,0.05785123966942149,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,industry_id,sw_801760,5,-0.12509496643804863,-0.18193942291844356,-0.2941650420182682,0.6,1.0,-0.15569135289304809,-0.24129591865647304,-0.3132867922761775,0.6,0.04132231404958678,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,industry_id,sw_801790,5,-0.029924379207666753,-0.022436714218321607,-0.05295917135712769,1.0,1.0,-0.03409153177636468,-0.02387636022632189,-0.08992762487598396,0.4,0.04132231404958678,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,industry_id,sw_801880,5,0.024293521204170297,0.0033289956031206103,-0.06947943314706617,0.4,1.0,0.011379138165291857,-0.0374473955021849,-0.07578951227776487,0.0,0.04132231404958678,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,train,industry_id,sw_801950,1,0.2846377607146733,0.2846377607146733,0.2846377607146733,0.0,1.0,0.25052035634317327,0.25052035634317327,0.25052035634317327,0.0,0.008264462809917356,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801030,1,-0.05989974911426765,-0.05989974911426765,-0.05989974911426765,1.0,1.0,-8.544127558929304e-05,-8.544127558929304e-05,-8.544127558929304e-05,0.0,0.01639344262295082,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801040,1,-0.017329447503008022,-0.017329447503008022,-0.017329447503008022,1.0,1.0,7.591902204595602e-05,7.591902204595602e-05,7.591902204595602e-05,0.0,0.01639344262295082,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801050,5,-0.03342721408211728,-0.022859870609986843,-0.07184699994205461,1.0,1.0,-0.011243557575876917,-0.01983871832722872,-0.04767929565772908,0.4,0.08196721311475409,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801080,7,-0.004399997813519503,0.05830641892778243,-0.1949660838462829,0.2857142857142857,1.0,0.014434557708087896,0.0624623125461754,-0.11813001342792506,-0.4285714285714286,0.11475409836065574,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801110,2,-0.037911605354161104,-0.037911605354161104,-0.041610407648998184,1.0,1.0,-0.019031581791346064,-0.019031581791346064,-0.03123399417248681,0.5,0.03278688524590164,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801120,2,-0.04334157134536437,-0.04334157134536437,-0.11106326159122272,0.5,1.0,-0.05644816078375808,-0.05644816078375808,-0.10765475195865018,0.0,0.03278688524590164,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801140,1,0.15124748913182784,0.15124748913182784,0.15124748913182784,0.0,1.0,0.13999834084494878,0.13999834084494878,0.13999834084494878,0.0,0.01639344262295082,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801150,6,-0.007282852348796294,-0.017297775921483016,-0.12081282015147193,0.5,1.0,-0.022499032316964634,-0.016419178050877503,-0.11015877732537899,0.0,0.09836065573770492,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801160,3,-0.016827128836743865,0.03572018164064139,-0.11367392554990768,0.3333333333333333,1.0,-0.02572214546133611,0.018791037081393736,-0.11661199105229167,-0.3333333333333333,0.04918032786885246,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801170,3,-0.054847269551680546,-0.0424840853794094,-0.12268464734940647,0.6666666666666666,1.0,-0.02172592429739839,0.031671810916025445,-0.09771181973817336,-0.33333333333333337,0.04918032786885246,1.0,1.0
r03_downside_volatility_shock_rebound_natural_exit_v0,H20,validation,industry_id,sw_801180,1,-0.08425282274653989,-0.08425282274653989,-0.08425282274653989,1.0,1.0,-0.13219135214855748,-0.13219135214855748,-0.13219135214855748,1.0,0.01639344262295082,1.0,1.0
