target_industry,task,fold_id,stage_order,stage_name,source_artifact,row_count,distinct_instruments,loss_from_previous_stage,loss_reason,unknown_loss_count,unknown_loss_weight_share,pass
电子,launch_winner,fold_2022,3,scope_locked_rows,Explore10 row-level cache,1472,25.0,0,,0,0.0,True
电子,launch_winner,fold_2022,4,feature_bank_v1_available_rows,Explore10 row-level cache,1472,25.0,0,,0,0.0,True
电子,launch_winner,fold_2022,5,trainability_denominator_rows,Explore10 row-level cache,1189,23.0,2,loss_at_trainability_denominator_rows,0,0.0,True
电子,launch_winner,fold_2022,6,model_fit_reference_rows,Explore10 row-level cache,1189,23.0,0,,0,0.0,True
电子,launch_winner,fold_2022,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,49,,0,,0,0.0,True
电子,launch_winner,fold_2023,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,21593,37.0,0,,0,0.0,True
电子,launch_winner,fold_2023,2,event_source_rows,Explore10 row-level cache,1913,27.0,10,loss_at_event_source_rows,0,0.0,True
电子,launch_winner,fold_2023,3,scope_locked_rows,Explore10 row-level cache,1913,27.0,0,,0,0.0,True
电子,launch_winner,fold_2023,4,feature_bank_v1_available_rows,Explore10 row-level cache,1913,27.0,0,,0,0.0,True
电子,launch_winner,fold_2023,5,trainability_denominator_rows,Explore10 row-level cache,1559,24.0,3,loss_at_trainability_denominator_rows,0,0.0,True
电子,launch_winner,fold_2023,6,model_fit_reference_rows,Explore10 row-level cache,1559,24.0,0,,0,0.0,True
电子,launch_winner,fold_2023,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,49,,0,,0,0.0,True
电子,launch_winner,fold_2024,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,24853,39.0,0,,0,0.0,True
电子,launch_winner,fold_2024,2,event_source_rows,Explore10 row-level cache,2396,30.0,9,loss_at_event_source_rows,0,0.0,True
电子,launch_winner,fold_2024,3,scope_locked_rows,Explore10 row-level cache,2396,30.0,0,,0,0.0,True
电子,launch_winner,fold_2024,4,feature_bank_v1_available_rows,Explore10 row-level cache,2396,30.0,0,,0,0.0,True
电子,launch_winner,fold_2024,5,trainability_denominator_rows,Explore10 row-level cache,2018,28.0,2,loss_at_trainability_denominator_rows,0,0.0,True
电子,launch_winner,fold_2024,6,model_fit_reference_rows,Explore10 row-level cache,0,0.0,28,loss_at_model_fit_reference_rows,0,0.0,True
电子,launch_winner,fold_2024,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,49,,0,,0,0.0,True
电子,failure_reject,fold_2020,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,9218,29.0,0,,0,0.0,True
电子,failure_reject,fold_2020,2,event_source_rows,Explore10 row-level cache,2309,23.0,6,loss_at_event_source_rows,0,0.0,True
电子,failure_reject,fold_2020,3,scope_locked_rows,Explore10 row-level cache,2309,23.0,0,,0,0.0,True
电子,failure_reject,fold_2020,4,feature_bank_v1_available_rows,Explore10 row-level cache,2309,23.0,0,,0,0.0,True
电子,failure_reject,fold_2020,5,trainability_denominator_rows,Explore10 row-level cache,1480,21.0,2,loss_at_trainability_denominator_rows,0,0.0,True
电子,failure_reject,fold_2020,6,model_fit_reference_rows,Explore10 row-level cache,1480,21.0,0,,0,0.0,True
电子,failure_reject,fold_2020,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,50,,0,,0,0.0,True
电子,failure_reject,fold_2021,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,14625,37.0,0,,0,0.0,True
电子,failure_reject,fold_2021,2,event_source_rows,Explore10 row-level cache,3636,28.0,9,loss_at_event_source_rows,0,0.0,True
电子,failure_reject,fold_2021,3,scope_locked_rows,Explore10 row-level cache,3636,28.0,0,,0,0.0,True
电子,failure_reject,fold_2021,4,feature_bank_v1_available_rows,Explore10 row-level cache,3636,28.0,0,,0,0.0,True
电子,failure_reject,fold_2021,5,trainability_denominator_rows,Explore10 row-level cache,2688,24.0,4,loss_at_trainability_denominator_rows,0,0.0,True
电子,failure_reject,fold_2021,6,model_fit_reference_rows,Explore10 row-level cache,2688,24.0,0,,0,0.0,True
电子,failure_reject,fold_2021,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,50,,0,,0,0.0,True
电子,failure_reject,fold_2022,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,18367,37.0,0,,0,0.0,True
电子,failure_reject,fold_2022,2,event_source_rows,Explore10 row-level cache,4861,28.0,9,loss_at_event_source_rows,0,0.0,True
电子,failure_reject,fold_2022,3,scope_locked_rows,Explore10 row-level cache,4861,28.0,0,,0,0.0,True
电子,failure_reject,fold_2022,4,feature_bank_v1_available_rows,Explore10 row-level cache,4861,28.0,0,,0,0.0,True
电子,failure_reject,fold_2022,5,trainability_denominator_rows,Explore10 row-level cache,3531,23.0,5,loss_at_trainability_denominator_rows,0,0.0,True
电子,failure_reject,fold_2022,6,model_fit_reference_rows,Explore10 row-level cache,3531,23.0,0,,0,0.0,True
电子,failure_reject,fold_2022,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,50,,0,,0,0.0,True
电子,failure_reject,fold_2023,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,21581,37.0,0,,0,0.0,True
电子,failure_reject,fold_2023,2,event_source_rows,Explore10 row-level cache,6107,30.0,7,loss_at_event_source_rows,0,0.0,True
电子,failure_reject,fold_2023,3,scope_locked_rows,Explore10 row-level cache,6107,30.0,0,,0,0.0,True
电子,failure_reject,fold_2023,4,feature_bank_v1_available_rows,Explore10 row-level cache,6107,30.0,0,,0,0.0,True
电子,failure_reject,fold_2023,5,trainability_denominator_rows,Explore10 row-level cache,4578,24.0,6,loss_at_trainability_denominator_rows,0,0.0,True
电子,failure_reject,fold_2023,6,model_fit_reference_rows,Explore10 row-level cache,4578,24.0,0,,0,0.0,True
电子,failure_reject,fold_2023,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,50,,0,,0,0.0,True
电子,failure_reject,fold_2024,1,pit_industry_membership,Explore7/data/targets/pit_industry_membership.csv,24865,39.0,0,,0,0.0,True
电子,failure_reject,fold_2024,2,event_source_rows,Explore10 row-level cache,7739,33.0,6,loss_at_event_source_rows,0,0.0,True
电子,failure_reject,fold_2024,3,scope_locked_rows,Explore10 row-level cache,7739,33.0,0,,0,0.0,True
电子,failure_reject,fold_2024,4,feature_bank_v1_available_rows,Explore10 row-level cache,7739,33.0,0,,0,0.0,True
电子,failure_reject,fold_2024,5,trainability_denominator_rows,Explore10 row-level cache,6004,28.0,5,loss_at_trainability_denominator_rows,0,0.0,True
电子,failure_reject,fold_2024,6,model_fit_reference_rows,Explore10 row-level cache,0,0.0,28,loss_at_model_fit_reference_rows,0,0.0,True
电子,failure_reject,fold_2024,7,path_record_reference_rows,Explore10/outputs/explore10/reports/explore10_atomic_primitive_candidate_table.csv,50,,0,,0,0.0,True
