instrument,signal_date,order_date,deal_date,entry_type,entry_price,exit_signal_date,exit_date,exit_price,initial_stop,current_stop,R,exit_reason,holding_days,cost_before_return,cost_after_return
SH600160,2025-06-30,2025-07-01,2025-07-01,breakout,28.510000228881836,2025-07-10,2025-07-11,26.690000534057617,25.430499458312987,25.430499458312987,3.079500770568849,ema60_exit,10,-0.06383723887102892,-0.06570862869837316
SH601998,2025-06-26,2025-06-27,2025-06-27,pullback,8.359999656677246,2025-07-11,2025-07-14,8.34000015258789,8.030000102519988,8.030000102519988,0.3299995541572578,time_stop,17,-0.0023922852763973014,-0.004386503596684332
SH601838,2025-07-01,2025-07-02,2025-07-02,pullback,19.450000762939453,2025-07-14,2025-07-15,19.520000457763672,18.800249814987183,18.800249814987183,0.6497509479522705,time_stop,13,0.003598955890922021,0.0015927610765473332
SH600919,2025-07-01,2025-07-02,2025-07-02,pullback,11.5600004196167,2025-07-15,2025-07-16,11.4399995803833,11.113249516487121,11.113249516487121,0.446750903129578,time_stop,14,-0.010380695058606008,-0.012358944543746225
SH603799,2025-07-01,2025-07-02,2025-07-02,breakout,37.810001373291016,2025-07-15,2025-07-16,37.02000045776367,32.4087513923645,32.4087513923645,5.401249980926515,time_stop,14,-0.02089396685622446,-0.022851200305787165
SH601319,2025-07-07,2025-07-08,2025-07-08,pullback,8.510000228881836,2025-07-15,2025-07-16,8.220000267028809,8.25574986934662,8.25574986934662,0.2542503595352166,stop_loss,8,-0.034077550417543484,-0.03600842987697868
SH600547,2025-07-04,2025-07-07,2025-07-07,pullback,32.150001525878906,2025-07-17,2025-07-18,30.280000686645508,30.538251161575317,30.538251161575317,1.6117503643035889,stop_loss,11,-0.05816487559815993,-0.06004760448252136
SH600036,2025-07-02,2025-07-03,2025-07-03,pullback,43.81999969482422,2025-07-21,2025-07-22,43.720001220703125,42.43099822998047,42.43099822998047,1.3890014648437514,time_stop,19,-0.0022820281793134068,-0.00427646690359264
SH600926,2025-06-12,2025-06-13,2025-06-13,pullback,16.049999237060547,2025-07-24,2025-07-25,15.970000267028809,15.498749804496764,15.498749804496764,0.5512494325637824,time_stop,42,-0.004984359740467475,-0.006973396502605502
SH601398,2025-07-16,2025-07-17,2025-07-17,pullback,7.650000095367432,2025-07-25,2025-07-28,7.360000133514404,7.383500027656555,7.383500027656555,0.26650006771087664,stop_loss,11,-0.03790849127291397,-0.03983171267966474
SH601166,2025-06-18,2025-06-19,2025-06-19,pullback,22.200000762939453,2025-07-28,2025-07-29,22.299999237060547,21.557500028610228,21.557500028610228,0.642500734329225,ema60_exit,40,0.004504435616418113,0.002496430747619676
SZ000768,2025-07-28,2025-07-29,2025-07-29,pullback,28.860000610351562,2025-08-01,2025-08-04,27.799999237060547,28.051749181747436,28.051749181747436,0.8082514286041267,stop_loss,6,-0.036729083536845536,-0.03865466258025011
SZ002074,2025-07-22,2025-07-23,2025-07-23,pullback,30.68000030517578,2025-08-04,2025-08-05,29.18000030517578,28.37499895095825,28.37499895095825,2.3050013542175307,time_stop,13,-0.04889178569359228,-0.05079305148930718
SH600016,2025-06-25,2025-06-26,2025-06-26,pullback,4.610000133514404,2025-08-15,2025-08-18,4.570000171661377,4.39774980545044,4.39774980545044,0.2122503280639645,time_stop,53,-0.008676781061724965,-0.010658436671796478
SH600760,2025-07-15,2025-07-16,2025-07-16,pullback,57.95000076293945,2025-09-03,2025-09-04,55.2400016784668,56.6162486076355,56.6162486076355,1.333752155303955,time_stop,50,-0.04676443569964147,-0.04866995406905748
SZ002414,2025-07-17,2025-07-18,2025-07-18,pullback,10.149999618530273,2025-09-04,2025-09-05,10.789999961853027,9.835250282287598,9.835250282287598,0.3147493362426754,ema60_exit,49,0.06305422338680111,0.06092917746298941
SH600570,2025-07-18,2025-07-21,2025-07-21,pullback,33.5,2025-09-04,2025-09-05,34.099998474121094,31.98074903488159,31.98074903488159,1.5192509651184096,ema60_exit,46,0.017910402212569964,0.015875598809846184
SH601601,2025-07-04,2025-07-07,2025-07-07,pullback,35.939998626708984,2025-09-09,2025-09-10,37.38999938964844,35.29900016784668,35.29900016784668,0.6409984588623061,ema60_exit,65,0.04034504224665935,0.038265391987295776
SH600000,2025-06-12,2025-06-13,2025-06-13,pullback,12.130000114440918,2025-09-16,2025-09-17,13.149999618530273,11.623499774932862,11.623499774932862,0.5065003395080563,ema60_exit,96,0.08408899377297063,0.0819218993326448
SH601336,2025-07-03,2025-07-04,2025-07-04,pullback,56.56999969482422,2025-09-16,2025-09-17,60.75,54.76700105667114,54.76700105667114,1.8029986381530776,ema60_exit,75,0.0738907606103138,0.07174405244317672
SZ002736,2025-08-04,2025-08-05,2025-08-05,pullback,13.300000190734863,2025-09-18,2025-09-19,13.020000457763672,12.834249901771546,12.834249901771546,0.46575028896331716,time_stop,45,-0.021052611199678533,-0.023009527519119458
SH601688,2025-08-05,2025-08-06,2025-08-06,pullback,19.43000030517578,2025-09-18,2025-09-19,19.530000686645508,18.95325050354004,18.95325050354004,0.47674980163574077,ema60_exit,44,0.005146699943339083,0.0031374111878301595
SZ002241,2025-09-05,2025-09-08,2025-09-08,pullback,32.84000015258789,2025-09-18,2025-09-19,32.810001373291016,30.202749681472778,30.202749681472778,2.637250471115113,time_stop,11,-0.0009134829219698103,-0.0029106573689024044
SH600549,2025-09-05,2025-09-08,2025-09-08,pullback,31.299999237060547,2025-09-18,2025-09-19,28.3799991607666,27.331250715255738,27.331250715255738,3.968748521804809,time_stop,11,-0.093290739535755,-0.09510325180055107
SH601288,2025-06-18,2025-06-19,2025-06-19,breakout,5.539999961853027,2025-09-19,2025-09-22,6.5,5.25625,5.25625,0.2837499618530277,ema60_exit,95,0.17328520663488786,0.17093980892047522
SH600160,2025-09-05,2025-09-08,2025-09-08,pullback,35.7400016784668,2025-09-23,2025-09-24,35.709999084472656,33.526998567581174,33.526998567581174,2.213003110885623,time_stop,16,-0.0008394681752971787,-0.0028367905777453096
SH603993,2025-09-10,2025-09-11,2025-09-11,pullback,12.5600004196167,2025-09-23,2025-09-24,12.460000038146973,11.97599995136261,11.97599995136261,0.5840004682540894,time_stop,13,-0.00796181354528795,-0.009944898375782127
