check_id,stage,artifact_path,expected_value,observed_value,status,reason
authorization_schema_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
corrected_21b_output_file_set_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
historical_holdout_all_counters_zero,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
post_cutoff_outcome_value_decode_zero,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
post_cutoff_value_token_materialization_zero,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_access_event_log_manifest_covered,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_access_event_log_path_canonical,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_access_event_log_schema_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_access_event_log_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_access_event_seq_contiguous,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_counter_aggregation_contract_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_counter_collection_mode_exact,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_counter_evidence_sha256_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_counter_evidence_source_log_pin_match,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
runtime_counter_recomputed_from_raw_log,preflight,experiments/pending/21_residual_enhanced_koopman_auto_encoder_v0/outputs/21B_alpha158_sequence_baseline_benchmark_v5,pass,pass,pass,
