instrument,board_bucket,active_in_requested_window,raw_daily_file_exists,share_history_file_exists,status_file_exists,raw_rows,rows_in_resolved_calendar,missing_share_asof_rows,eligible_candidate_rows,first_price_date,last_price_date,market_cap_source,latest_only,support_state,notes
SH600058,main_board,True,True,True,True,2271,2271,0,2271,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600059,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600060,main_board,True,True,True,True,2280,2280,0,2280,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600061,main_board,True,True,True,True,2281,2281,1517,764,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600062,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600063,main_board,True,True,True,True,2280,2280,0,2280,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600064,main_board,True,True,True,True,2280,2280,0,2280,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600065,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600066,main_board,True,True,True,True,2280,2280,0,2280,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600067,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600068,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600069,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600070,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600071,main_board,True,True,True,True,2271,2271,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600072,main_board,True,True,True,True,2260,2260,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600073,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600074,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600075,main_board,True,True,True,True,2270,2270,803,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600076,main_board,True,True,True,True,2201,2201,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600077,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600078,main_board,True,True,True,True,2263,2263,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600079,main_board,True,True,True,True,2268,2268,302,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600080,main_board,True,True,True,True,2274,2274,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600081,main_board,True,True,True,True,2260,2260,0,2260,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600082,main_board,True,True,True,True,2271,2271,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600083,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600084,main_board,True,True,True,True,2049,2049,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600085,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600086,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600087,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600088,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600089,main_board,True,True,True,True,2275,2275,38,2237,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600090,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600091,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600092,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600093,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600094,main_board,True,True,True,True,2281,2281,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600095,main_board,True,True,True,True,2261,2261,0,2261,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600096,main_board,True,True,True,True,2279,2279,0,2279,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600097,main_board,True,True,True,True,2276,2276,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600098,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600099,main_board,True,True,True,True,2263,2263,0,2263,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600100,main_board,True,True,True,True,2175,2175,0,2175,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600101,main_board,True,True,True,True,2281,2281,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600102,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600103,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600104,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600105,main_board,True,True,True,True,2281,2281,1563,718,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600106,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600107,main_board,True,True,True,True,2267,2267,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600108,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600109,main_board,True,True,True,True,2271,2271,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600110,main_board,True,True,True,True,2265,2265,0,2265,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600111,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600112,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600113,main_board,True,True,True,True,2269,2269,0,2269,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600114,main_board,True,True,True,True,2262,2262,124,2138,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600115,main_board,True,True,True,True,2281,2281,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600116,main_board,True,True,True,True,2269,2269,0,2269,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600117,main_board,True,True,True,True,2245,2245,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600118,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600119,main_board,True,True,True,True,2277,2277,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600120,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600121,main_board,True,True,True,True,2279,2279,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600122,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600123,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600125,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600126,main_board,True,True,True,True,2274,2274,0,2274,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600127,main_board,True,True,True,True,2270,2270,0,2270,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600128,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600129,main_board,True,True,True,True,2278,2278,0,2278,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600130,main_board,True,True,True,True,2279,2279,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600131,main_board,True,True,True,True,2270,2270,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600132,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600133,main_board,True,True,True,True,2212,2212,886,1326,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600135,main_board,True,True,True,True,2270,2270,0,2270,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600136,main_board,True,True,True,True,2129,2129,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600137,main_board,True,True,True,True,2281,2281,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600138,main_board,True,True,True,True,2271,2271,0,2271,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600139,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600141,main_board,True,True,True,True,2280,2280,1575,705,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600143,main_board,True,True,True,True,2200,2200,0,2200,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600145,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600146,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600148,main_board,True,True,True,True,2188,2188,0,2188,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600149,main_board,True,True,True,True,2278,2278,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600150,main_board,True,True,True,True,2140,2140,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600151,main_board,True,True,True,True,2199,2199,0,2199,2017-05-09,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600152,main_board,True,True,True,True,2230,2230,560,1670,2017-03-15,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600153,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600155,main_board,True,True,True,True,2281,2281,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600156,main_board,True,True,True,True,2271,2271,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600157,main_board,True,True,True,True,2072,2072,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600158,main_board,True,True,True,True,2160,2160,0,2160,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600159,main_board,True,True,True,True,2281,2281,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600160,main_board,True,True,True,True,2271,2271,0,2271,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600161,main_board,True,True,True,True,2186,2186,0,2186,2017-03-24,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600162,main_board,True,True,True,True,2235,2235,0,2235,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600163,main_board,True,True,True,True,2270,2270,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600165,main_board,True,True,True,True,2105,2105,0,2105,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600166,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600167,main_board,True,True,True,True,2277,2277,0,0,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600168,main_board,True,True,True,True,2265,2265,0,2265,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600169,main_board,True,True,True,True,2280,2280,0,2280,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600170,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600171,main_board,True,True,True,True,2248,2248,0,2248,2017-02-16,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600172,main_board,True,True,True,True,2266,2266,0,2266,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600173,main_board,True,True,True,True,2184,2184,0,0,2017-05-24,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600175,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600176,main_board,True,True,True,True,2269,2269,0,2269,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600177,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600178,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600179,main_board,True,True,True,True,2236,2236,0,2236,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600180,main_board,True,True,True,True,2280,2280,0,2280,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600181,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600182,main_board,True,True,True,True,2211,2211,0,2211,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600183,main_board,True,True,True,True,2281,2281,1155,1126,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600184,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600185,main_board,True,True,True,True,2266,2266,58,2208,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600186,main_board,True,True,True,True,2277,2277,0,2277,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600187,main_board,True,True,True,True,2189,2189,0,2189,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600188,main_board,True,True,True,True,2281,2281,1004,1277,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600189,main_board,True,True,True,True,2209,2209,0,2209,2017-01-04,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600190,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600191,main_board,True,True,True,True,2278,2278,0,2278,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600192,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600193,main_board,True,True,True,True,2195,2195,0,2195,2017-01-03,2026-04-27,raw_close_times_total_share_asof,False,supported,
SH600195,main_board,True,True,True,True,2280,2280,0,2280,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600196,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600197,main_board,True,True,True,True,2281,2281,1155,1126,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600198,main_board,True,True,True,True,2263,2263,0,2263,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600199,main_board,True,True,True,True,2275,2275,0,2275,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600200,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600201,main_board,True,True,True,True,2279,2279,0,2279,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600202,main_board,True,True,True,True,2268,2268,0,2268,2017-01-18,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600203,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600205,main_board,False,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_inactive_source,missing raw daily or historical share cache
SH600206,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600207,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600208,main_board,True,True,True,True,2267,2267,0,2267,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600209,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600210,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600211,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600212,main_board,True,True,True,True,2151,2151,0,2151,2017-03-13,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600213,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600215,main_board,True,True,True,True,2258,2258,0,2258,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600216,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600217,main_board,True,True,True,True,2152,2152,0,2152,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600218,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600219,main_board,True,True,True,True,2275,2275,0,2275,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600220,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600221,main_board,True,True,True,True,2150,2150,0,2150,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600222,main_board,True,True,True,True,2271,2271,0,2271,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600223,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600225,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600226,main_board,True,True,True,True,2012,2012,0,2012,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600227,main_board,True,True,True,True,2193,2193,0,2193,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600228,main_board,True,True,True,True,2188,2188,0,2188,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600229,main_board,True,True,True,True,2278,2278,0,2278,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600230,main_board,True,True,True,True,2270,2270,0,2270,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600231,main_board,True,True,True,True,2281,2281,1333,948,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600232,main_board,True,True,True,True,2211,2211,0,2211,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600233,main_board,True,True,True,True,2281,2281,1194,1087,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600234,main_board,True,True,True,True,2273,2273,0,2273,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600235,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600236,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600237,main_board,True,True,True,True,2281,2281,0,2281,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600238,main_board,True,True,True,True,2267,2267,0,2267,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600239,main_board,True,True,True,True,2056,2056,0,2056,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600240,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600241,main_board,True,True,True,True,2203,2203,0,2203,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600242,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600243,main_board,True,True,True,True,2263,2263,0,2263,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600246,main_board,True,True,True,True,2272,2272,0,2272,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
SH600247,main_board,True,False,False,False,0,0,0,0,,,raw_close_times_total_share_asof,False,missing_active_source,missing raw daily or historical share cache
SH600248,main_board,True,True,True,True,2147,2147,0,2147,2017-01-03,2026-05-29,raw_close_times_total_share_asof,False,supported,
