instrument,episode_id,episode_low_date,episode_high_date,qfq_low_at_low_date,qfq_high_at_high_date,mfe_120,low_to_high_sessions,low_to_high_calendar_days,low_detection_window,forward_horizon_days,dedup_cluster_id,cluster_policy,primary_low_selection_policy,earliest_qualifying_low_date,earliest_qualifying_high_date,max_mfe_low_date,max_mfe_high_date,max_mfe_120,structural_low_date,structural_low_to_cluster_high_mfe,high_at_horizon_boundary,profile_start_date,profile_end_date,profile_pre_low_complete,profile_post_high_complete,lookback_60_complete,lookback_120_complete,lookback_250_complete,first_ema60_reclaim_date,first_ema60_reclaim_missing_reason,split,duration_bucket,board_bucket,total_market_cap_cny,liquidity_money_20d,prior_return_20d,prior_return_60d,prior_drawdown,volatility_20d,market_regime_bucket,benchmark_alias,cluster_member_count,cluster_union_start_date,cluster_union_end_date,market_cap_bucket,liquidity_bucket,prior_return_20d_bucket,prior_return_60d_bucket,prior_drawdown_bucket,volatility_bucket,low_matched_control_count,ema60_matched_control_count
SH600011,SH600011_20200428_0000,2020-04-28,2020-08-21,3.56,5.64,0.5842696629213482,78,115,20,120,SH600011_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-04-28,2020-08-21,2020-04-28,2020-08-21,0.5842696629213482,2020-04-28,0.5842696629213482,False,2019-04-18,2020-10-12,True,True,True,True,True,2020-07-02,not_missing,train,medium,main_board,65931992107.8,94376873.3,-0.1170731707317072,-0.15222482435597173,-0.18834080717488788,0.021546961325966847,transition,csi300,3,2020-04-28,2020-08-21,q4,q1,q3,q2,q4,q1,5,5
SH600011,SH600011_20210427_0001,2021-04-27,2021-09-27,3.59,8.27,1.3036211699164344,103,153,20,120,SH600011_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-04-27,2021-09-27,2021-07-29,2021-12-24,1.7808988764044944,2021-07-29,1.7808988764044944,False,2020-04-16,2021-11-15,True,True,True,True,True,2021-04-29,not_missing,train,long,main_board,63420297170.36,152510336.3,-0.09343434343434343,-0.07235142118863058,-0.17090069284064668,0.024791086350974954,transition,csi300,4,2021-04-27,2021-12-24,q4,q2,q3,q3,q4,q2,5,5
SH600011,SH600011_20211129_0002,2021-11-29,2021-12-24,5.2,9.9,0.9038461538461537,19,25,20,120,SH600011_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-11-29,2021-12-24,2021-11-29,2021-12-24,0.9038461538461537,2021-11-29,0.9038461538461537,False,2020-11-18,2022-02-14,True,True,True,True,True,2021-12-03,not_missing,train,fast,main_board,89793094013.48,582584618.1,-0.16000000000000003,0.19999999999999996,-0.2889963724304716,0.05510204081632653,risk_on,csi300,1,2021-11-29,2021-12-24,q5,q4,q2,q5,q2,q5,5,5
SH600011,SH600011_20220415_0003,2022-04-15,2022-09-08,5.51,8.91,0.6170598911070782,100,146,20,120,SH600011_cluster_0003,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-04-15,2022-09-08,2022-04-15,2022-09-08,0.6170598911070782,2022-04-15,0.6170598911070782,False,2021-04-02,2022-10-28,True,True,True,True,True,2022-05-31,not_missing,validation,long,main_board,94188560154.0,727769146.9,-0.20238095238095233,-0.1795918367346938,-0.3171007927519819,0.06111111111111111,risk_off,csi300,3,2022-04-15,2022-09-08,q5,q4,q1,q2,q1,q5,4,5
SH600011,SH600011_20221102_0004,2022-11-02,2023-04-26,6.1,9.29,0.5229508196721311,118,175,20,120,SH600011_cluster_0004,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-11-02,2023-04-26,2022-12-22,2023-05-31,0.6074313408723746,2022-11-02,0.6311475409836065,False,2021-10-22,2023-06-12,True,True,True,True,True,2022-11-24,not_missing,validation,long,main_board,106433072974.02,603268420.05,-0.14535666218034993,0.03927986906710301,-0.287317620650954,0.06480314960629922,risk_off,csi300,2,2022-11-02,2023-05-31,q5,q4,q2,q5,q2,q5,5,5
SH600016,SH600016_20250407_0000,2025-04-07,2025-07-10,3.55,5.44,0.5323943661971833,64,94,20,120,SH600016_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-04-07,2025-07-10,2025-04-07,2025-07-10,0.5323943661971833,2025-04-07,0.5323943661971833,False,2024-03-22,2025-08-21,True,True,True,True,True,2025-05-08,not_missing,robustness,medium,main_board,174691849822.98,690739749.15,-0.07848101265822782,-0.05208333333333326,-0.11002444987775051,0.016208791208791217,risk_off,csi300,1,2025-04-07,2025-07-10,q5,q4,q4,q4,q5,q1,5,5
SH600018,SH600018_20181012_0000,2018-10-12,2019-04-04,3.87,7.14,0.8449612403100775,117,174,20,120,SH600018_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2018-10-12,2019-04-04,2018-10-12,2019-04-04,0.8449612403100775,2018-10-12,0.9147286821705427,False,2017-09-27,2019-05-22,True,True,True,True,True,2018-11-01,not_missing,train,long,main_board,112624058799.0,50605996.85,-0.07025761124121765,-0.18813905930470343,-0.22003929273084477,0.025566750629722884,risk_off,csi300,3,2018-10-12,2019-04-15,q5,q1,q4,q2,q3,q2,5,5
SH600019,SH600019_20201215_0000,2020-12-15,2021-03-15,4.42,7.25,0.6402714932126696,58,90,20,120,SH600019_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-12-15,2021-03-15,2020-12-15,2021-03-15,0.6402714932126696,2020-12-15,0.6402714932126696,False,2019-12-04,2021-04-27,True,True,True,True,True,2021-01-07,not_missing,train,medium,main_board,132725907994.0,768771794.6,-0.07039337474120078,0.17847769028871396,-0.11089108910891077,0.03964365256124721,risk_on,csi300,1,2020-12-15,2021-03-15,q5,q5,q4,q5,q5,q3,5,5
SH600019,SH600019_20210618_0001,2021-06-18,2021-09-13,5.49,9.56,0.7413479052823315,61,87,20,120,SH600019_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-06-18,2021-09-13,2021-06-18,2021-09-13,0.7413479052823315,2021-06-18,0.7413479052823315,False,2020-06-08,2021-11-03,True,True,True,True,True,2021-07-15,not_missing,train,medium,main_board,163674132457.5,845339225.65,-0.05942275042444811,-0.19124087591240868,-0.22841225626740946,0.033754512635379055,risk_on,csi300,2,2021-06-18,2021-09-13,q5,q5,q4,q2,q3,q3,5,5
SH600021,SH600021_20181019_0000,2018-10-19,2019-04-15,5.42,8.77,0.6180811808118081,118,178,20,120,SH600021_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2018-10-19,2019-04-15,2018-10-19,2019-04-15,0.6180811808118081,2018-10-19,0.6180811808118081,False,2017-10-11,2019-05-30,True,True,True,True,True,2018-11-02,not_missing,train,long,main_board,16200246379.43,29322941.0,-0.16542473919523104,-0.143730886850153,-0.21458625525946706,0.032500000000000015,risk_off,csi300,1,2018-10-19,2019-04-15,q1,q1,q2,q2,q3,q3,5,5
SH600021,SH600021_20220427_0001,2022-04-27,2022-09-09,7.43,12.23,0.6460296096904443,93,135,20,120,SH600021_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-04-27,2022-09-09,2022-04-27,2022-09-09,0.6460296096904443,2022-04-27,0.6460296096904443,False,2021-04-15,2022-10-31,True,True,True,True,True,2022-05-31,not_missing,validation,long,main_board,21879492686.92,495204841.95,-0.1363163371488032,-0.3241042345276872,-0.3585780525502318,0.05584337349397592,risk_off,csi300,1,2022-04-27,2022-09-09,q2,q4,q2,q1,q1,q5,5,5
SH600023,SH600023_20221226_0000,2022-12-26,2023-06-26,2.96,4.84,0.6351351351351351,118,182,20,120,SH600023_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-12-26,2023-06-26,2022-12-26,2023-06-26,0.6351351351351351,2022-12-26,0.6351351351351351,False,2021-12-15,2023-08-07,True,True,True,True,True,2022-12-30,not_missing,validation,long,main_board,44382905399.19,92133950.95,-0.07692307692307687,0.04529616724738683,-0.0825688073394496,0.020999999999999994,risk_off,csi300,1,2022-12-26,2023-06-26,q4,q1,q4,q5,q5,q1,5,5
SH600023,SH600023_20231019_0001,2023-10-19,2024-04-08,3.72,6.27,0.6854838709677418,113,172,20,120,SH600023_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2023-10-19,2024-04-08,2023-10-19,2024-04-08,0.6854838709677418,2023-10-19,0.7526881720430105,False,2022-10-10,2024-05-23,True,True,True,True,True,2023-10-26,not_missing,validation,long,main_board,56182590218.310005,207209754.1,-0.05896805896805901,-0.14125560538116588,-0.16919739696312364,0.028459530026109663,risk_off,csi300,3,2023-10-19,2024-06-24,q4,q2,q4,q2,q4,q2,5,5
SH600025,SH600025_20200925_0000,2020-09-25,2021-03-15,3.56,5.41,0.5196629213483146,109,171,20,120,SH600025_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-09-25,2021-03-15,2020-11-05,2021-04-13,0.6472222222222221,2020-09-25,0.6657303370786516,False,2019-09-17,2021-04-27,True,True,True,True,True,2020-11-06,not_missing,train,long,main_board,74160000000.0,170652647.15,-0.008310249307479145,0.04069767441860472,-0.07969151670951158,0.026396648044692734,transition,csi300,3,2020-09-25,2021-04-13,q4,q2,q5,q5,q5,q2,5,5
SH600025,SH600025_20210531_0001,2021-05-31,2021-10-08,4.68,8.09,0.7286324786324787,86,130,20,120,SH600025_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-05-31,2021-10-08,2021-07-23,2021-10-08,0.7702407002188183,2021-07-23,0.7702407002188183,False,2020-05-20,2021-11-19,True,True,True,True,True,2021-06-11,not_missing,train,long,main_board,97020000000.0,202588805.7,-0.08630393996247654,0.21144278606965194,-0.17875210792580098,0.03254620123203283,risk_on,csi300,2,2021-05-31,2021-10-08,q5,q2,q3,q5,q4,q3,3,5
SH600025,SH600025_20240123_0002,2024-01-23,2024-07-24,7.88,11.99,0.5215736040609138,119,183,20,120,SH600025_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2024-01-23,2024-07-24,2024-01-23,2024-07-24,0.5215736040609138,2024-01-23,0.5215736040609138,False,2023-01-12,2024-09-04,True,True,True,True,True,2024-01-23,not_missing,robustness,long,main_board,149580000000.0,297606504.2,-0.05140186915887868,0.11385459533607678,-0.06773823191733652,0.025246305418719212,risk_off,csi300,1,2024-01-23,2024-07-24,q5,q3,q4,q5,q5,q2,5,5
SH600026,SH600026_20180903_0000,2018-09-03,2019-03-01,3.59,5.44,0.5153203342618387,116,179,20,120,SH600026_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2018-09-03,2019-03-01,2019-01-04,2019-04-04,0.7005208333333335,2018-09-03,0.818941504178273,False,2017-08-22,2019-04-15,True,True,True,True,True,2018-09-13,not_missing,train,long,main_board,16531334730.099998,27726379.5,0.00273972602739736,-0.1586206896551723,-0.16055045871559637,0.023224043715846996,risk_off,csi300,4,2018-09-03,2019-04-04,q1,q1,q5,q2,q4,q1,5,5
SH600026,SH600026_20191113_0001,2019-11-13,2020-04-22,4.96,8.73,0.7600806451612905,107,161,20,120,SH600026_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2019-11-13,2020-04-22,2020-02-03,2020-04-22,0.7780040733197557,2020-02-03,0.7780040733197557,False,2018-10-31,2020-06-08,True,True,True,True,True,2019-12-18,not_missing,train,long,main_board,22539063692.99,137575133.1,-0.16306156405990013,-0.04190476190476189,-0.28652482269503543,0.03757455268389658,transition,csi300,3,2019-11-13,2020-04-22,q2,q2,q2,q4,q2,q3,5,5
SH600026,SH600026_20210802_0002,2021-08-02,2021-10-08,4.58,7.01,0.5305676855895196,42,67,20,120,SH600026_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-08-02,2021-10-08,2021-08-02,2021-10-08,0.5305676855895196,2021-08-02,0.5305676855895196,False,2020-07-23,2021-11-19,True,True,True,True,True,2021-09-07,not_missing,train,medium,main_board,24194474775.8,111888454.85,-0.16925734024179628,-0.15167548500881844,-0.19966722129783698,0.03284823284823285,risk_on,csi300,1,2021-08-02,2021-10-08,q2,q2,q1,q2,q3,q3,5,5
SH600026,SH600026_20220321_0003,2022-03-21,2022-09-06,5.04,16.8,2.3333333333333335,115,169,20,120,SH600026_cluster_0003,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-03-21,2022-09-06,2022-03-21,2022-09-06,2.3333333333333335,2022-03-21,2.878968253968254,False,2021-03-10,2022-10-26,True,True,True,True,True,2022-03-28,not_missing,validation,long,main_board,27623612933.0,265012295.55,-0.12542372881355934,-0.04621072088724587,-0.22171945701357465,0.08556201550387597,risk_off,csi300,2,2022-03-21,2022-10-20,q2,q3,q2,q4,q3,q5,0,5
SH600026,SH600026_20231215_0004,2023-12-15,2024-06-07,10.79,17.49,0.6209453197405004,113,175,20,120,SH600026_cluster_0004,non_chain_direct_interval_overlap,earliest_qualifying_low,2023-12-15,2024-06-07,2023-12-15,2024-06-07,0.6209453197405004,2023-12-15,0.6209453197405004,False,2022-12-06,2024-07-22,True,True,True,True,True,2024-01-15,not_missing,validation,long,main_board,55579545001.75,252555220.9,-0.16525749423520375,-0.07495741056218064,-0.21645021645021645,0.031675874769797385,risk_off,csi300,2,2023-12-15,2024-06-07,q4,q3,q2,q3,q3,q2,5,5
SH600027,SH600027_20200323_0000,2020-03-23,2020-08-20,2.26,3.57,0.5796460176991152,102,150,20,120,SH600027_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-03-23,2020-08-20,2020-03-23,2020-08-20,0.5796460176991152,2020-03-23,0.5796460176991152,False,2019-03-13,2020-10-09,True,True,True,True,True,2020-03-30,not_missing,train,long,main_board,30180708558.18,109405676.45,-0.08661417322834652,-0.18309859154929575,-0.1859649122807019,0.028448275862068963,risk_off,csi300,1,2020-03-23,2020-08-20,q3,q2,q3,q2,q4,q2,5,5
SH600027,SH600027_20210427_0001,2021-04-27,2021-09-23,2.63,4.67,0.7756653992395437,100,149,20,120,SH600027_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-04-27,2021-09-23,2021-04-27,2021-09-23,0.7756653992395437,2021-04-27,0.7756653992395437,False,2020-04-16,2021-11-11,True,True,True,True,True,2021-05-21,not_missing,train,long,main_board,33534120620.2,177403577.0,-0.050359712230215736,0.03125,-0.117056856187291,0.026704545454545446,transition,csi300,9,2021-04-27,2021-09-23,q3,q2,q4,q4,q5,q2,5,5
SH600027,SH600027_20211115_0002,2021-11-15,2021-12-27,2.92,4.64,0.5890410958904109,30,42,20,120,SH600027_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2021-11-15,2021-12-27,2021-11-15,2021-12-27,0.5890410958904109,2021-11-15,0.5890410958904109,False,2020-11-03,2022-02-15,True,True,True,True,True,2021-12-06,not_missing,train,fast,main_board,34544503752.5,502158032.95,-0.12790697674418605,0.06382978723404253,-0.35760171306209854,0.068,risk_on,csi300,4,2021-11-15,2021-12-27,q3,q4,q2,q5,q1,q5,5,5
SH600027,SH600027_20220412_0003,2022-04-12,2022-09-09,2.76,6.39,1.3152173913043477,104,150,20,120,SH600027_cluster_0003,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-04-12,2022-09-09,2022-04-12,2022-09-09,1.3152173913043477,2022-04-12,1.3152173913043477,False,2021-03-29,2022-10-31,True,True,True,True,True,2022-05-11,not_missing,validation,long,main_board,33754915095.3,209551859.7,-0.14626865671641798,-0.2666666666666667,-0.320665083135392,0.04493006993006992,risk_off,csi300,1,2022-04-12,2022-09-09,q3,q2,q2,q1,q1,q4,4,5
SH600027,SH600027_20231026_0004,2023-10-26,2024-04-16,4.26,7.08,0.6619718309859155,114,173,20,120,SH600027_cluster_0004,non_chain_direct_interval_overlap,earliest_qualifying_low,2023-10-26,2024-04-16,2023-10-26,2024-04-16,0.6619718309859155,2023-10-26,0.6619718309859155,False,2022-10-17,2024-05-31,True,True,True,True,True,2023-11-23,not_missing,validation,long,main_board,47660434879.78,299137991.5,-0.08686868686868698,-0.14393939393939403,-0.17518248175182494,0.028539823008849562,risk_off,csi300,1,2023-10-26,2024-04-16,q4,q3,q3,q2,q4,q2,5,5
SH600028,SH600028_20221101_0000,2022-11-01,2023-04-27,3.49,5.73,0.6418338108882522,120,177,20,120,SH600028_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2022-11-01,2023-04-27,2022-11-01,2023-04-27,0.6418338108882522,2022-11-01,0.7277936962750715,True,2021-10-21,2023-06-13,True,True,True,True,True,2022-11-03,not_missing,validation,long,main_board,492538358279.22,568615571.1,-0.04065040650406504,0.038123167155425186,-0.09693877551020402,0.018502824858757042,risk_off,csi300,2,2022-11-01,2023-05-09,q5,q4,q5,q5,q5,q1,5,5
SH600028,SH600028_20250923_0001,2025-09-23,2026-03-04,5.27,8.11,0.5388994307400379,102,162,20,120,SH600028_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2025-09-23,2026-03-04,2025-09-23,2026-03-04,0.5388994307400379,2025-09-23,0.5388994307400379,False,2024-09-11,2026-04-16,True,True,True,True,True,2025-10-27,not_missing,robustness,long,main_board,644664904873.36,969000467.0,-0.06457242582897038,-0.037701974865350096,-0.10367892976588633,0.017257462686567193,risk_on,csi300,4,2025-09-23,2026-03-04,q5,q5,q4,q4,q5,q1,5,5
SH600030,SH600030_20180816_0000,2018-08-16,2019-02-26,12.37,21.45,0.7340339531123687,115,194,20,120,SH600030_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2018-08-16,2019-02-26,2018-10-19,2019-03-07,0.8939014202172098,2018-10-19,0.8939014202172098,False,2017-08-09,2019-04-10,True,True,True,True,True,2018-09-04,not_missing,train,long,main_board,192295336308.0,1230040787.7,-0.018619084561675714,-0.1828165374677002,-0.1843971631205673,0.02660079051383402,risk_off,csi300,3,2018-08-16,2019-03-07,q5,q5,q5,q2,q4,q2,5,5
SH600030,SH600030_20200204_0001,2020-02-04,2020-07-08,17.16,28.27,0.6474358974358974,105,155,20,120,SH600030_cluster_0001,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-02-04,2020-07-08,2020-02-04,2020-07-08,0.6474358974358974,2020-02-04,0.6526806526806526,False,2019-01-16,2020-08-19,True,True,True,True,True,2020-02-17,not_missing,train,long,main_board,260634699684.00003,5466322130.9,-0.06853582554517135,-0.020742358078602585,-0.16905974988420558,0.04247491638795985,risk_off,csi300,3,2020-02-04,2020-08-10,q5,q5,q4,q4,q4,q4,5,5
SH600030,SH600030_20240415_0002,2024-04-15,2024-10-09,16.38,32.01,0.9542124542124542,116,177,20,120,SH600030_cluster_0002,non_chain_direct_interval_overlap,earliest_qualifying_low,2024-04-15,2024-10-09,2024-07-09,2024-11-08,1.1566484517304194,2024-04-15,1.1684981684981688,False,2023-03-31,2024-11-20,True,True,True,True,True,2024-07-16,not_missing,robustness,long,main_board,265880610112.26,1666712971.0,-0.14690982776089156,-0.08825121819166215,-0.18608023199613344,0.02122921615201899,risk_on,csi300,3,2024-04-15,2024-11-08,q5,q5,q2,q3,q4,q1,5,5
SH600031,SH600031_20200812_0000,2020-08-12,2021-01-13,17.86,44.0,1.4636058230683093,103,154,20,120,SH600031_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2020-08-12,2021-01-13,2020-08-12,2021-01-13,1.4636058230683093,2020-08-12,1.534154535274356,False,2019-08-01,2021-03-03,True,True,True,True,True,,missing_event_absent,train,long,main_board,176579146891.41998,1947005165.6,-0.03637322087506578,0.04397487150199875,-0.09995076317085172,0.04310722100656455,risk_on,csi300,2,2020-08-12,2021-02-18,q5,q5,q5,q5,q5,q4,5,0
SH600036,SH600036_20190103_0000,2019-01-03,2019-06-21,17.97,28.38,0.5792988313856429,111,169,20,120,SH600036_cluster_0000,non_chain_direct_interval_overlap,earliest_qualifying_low,2019-01-03,2019-06-21,2019-01-03,2019-06-21,0.5792988313856429,2019-01-03,0.5792988313856429,False,2017-12-22,2019-08-02,True,True,True,True,True,2019-01-24,not_missing,train,long,main_board,619651606416.57,1332298711.4,-0.15832950894905917,-0.15366866635902177,-0.18525099955575308,0.024945474372955283,risk_off,csi300,1,2019-01-03,2019-06-21,q5,q5,q2,q2,q4,q2,5,5
