family,horizon,split,fold_id,instrument_id,instrument_high_minus_low_spread,within_stock_rankIC,valid_signal_count
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002410,0.013716654613297838,0.023076074107040757,392
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002179,0.009072222143133966,0.058470427449193875,300
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600011,0.0023366950723418345,0.08173795649156747,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600016,0.0003554742398869789,0.025489695795824392,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600019,-0.00016061275523742216,-0.01726578231477047,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600104,0.006154371823434229,0.09762492576889414,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600115,-0.004358934353640298,0.0027770276829306986,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600383,0.010019284204409614,0.06723989130768791,649
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600519,0.0017094682205527447,-0.003082531782095865,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600606,-0.0018609864896954793,0.07175506942198785,960
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600660,-0.0025138894152148704,-0.010653514409973804,929
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH600741,0.003939912635148965,0.04055752212175048,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601018,0.00022320506374620035,0.05704195792206419,693
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601169,0.002646005957184264,0.1034516001227577,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601288,0.004403898772644011,0.08208035412756505,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601318,-0.000997103772456421,-0.011577716906102962,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601633,-0.010836354507795529,-0.042791780732766065,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601669,0.0016673897186445757,0.05065279993949504,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601727,0.0034212269835414326,0.051422802597418216,920
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601888,-0.015067578836483995,-0.04769525388590916,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601899,-0.0017902740731481535,0.012348994471769516,963
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601933,-0.0008647109460646679,0.004191054878769286,829
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000002,0.006883425741043872,0.05497583492817355,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000617,0.015318987146518153,0.15855008488420214,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ000651,0.0008290844355710024,0.0281368983217992,959
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ001979,0.007801781122318069,0.07972071529799005,959
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002202,0.016367742188143786,0.09194205278025931,499
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002241,0.0001984509584123757,0.034424724153071976,534
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002304,-0.002341003209625518,-0.02581525222757019,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SZ002594,-0.01554944225541359,-0.06294868115073225,967
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH603833,0.007802785146531055,0.04270582656849716,462
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601360,0.010417204298904192,0.0853948689691155,882
volume_surge_money_flow,H3,train_oof_unseen,aggregate,SH601138,0.012798019094153531,0.08698643766071518,711
