candidate_scope_id,event_split,market_regime_bucket,event_count,executable_event_count,active_interval_definition,active_interval_horizon_trading_days,concurrency_scope,concurrency_mean,concurrency_p95,event_uniqueness_10d_mean,event_uniqueness_10d_median,event_uniqueness_10d_p10,event_uniqueness_10d_low_share,low_uniqueness_threshold,uniqueness_diagnostic_alert_flag
07_full_union,train,transition,1822,1822,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.3128430296377607,2.0,0.8634783621062434,0.8636363636363636,0.7272727272727273,0.0010976948408342481,0.5,False
07_full_union,validation,risk_off,1421,1420,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.354679802955665,2.0,0.8468534749322928,0.7727272727272727,0.7272727272727273,0.00211118930330753,0.5,False
07_full_union,validation,risk_on,1072,1072,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.2555970149253732,2.0,0.8852611940298507,0.9090909090909091,0.7272727272727273,0.002798507462686567,0.5,False
07_full_union,validation,transition,1653,1653,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.3151845130066546,2.0,0.8577700782782453,0.8181818181818182,0.7272727272727273,0.007259528130671506,0.5,False
08_selected_T4_T7_union,all,all,2063,2049,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.037324285021813,1.0,0.9752787203102278,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,robustness,all,664,658,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0481927710843373,1.0,0.9693318729463307,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,train,all,1148,1140,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.039198606271777,1.0,0.97331327209376,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,validation,all,251,251,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,all,risk_on,1596,1585,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0413533834586466,1.0,0.972801321485532,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,all,transition,467,464,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0235546038543897,1.0,0.9837453766789954,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,robustness,risk_on,603,598,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0480928689883913,1.0,0.9676616915422885,1.0,0.9636363636363638,0.0,0.5,False
08_selected_T4_T7_union,robustness,transition,61,60,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0491803278688525,1.0,0.9858420268256334,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,train,risk_on,899,893,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0411568409343714,1.0,0.9734047932045707,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,train,transition,249,247,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0321285140562249,1.0,0.9729828404527199,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,validation,risk_on,94,94,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_selected_T4_T7_union,validation,transition,157,157,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,all,all,1463,1452,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,robustness,all,379,376,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,train,all,833,825,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,validation,all,251,251,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,all,risk_on,1064,1056,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,all,transition,399,396,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,robustness,risk_on,323,321,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,robustness,transition,56,55,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,train,risk_on,647,641,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,train,transition,186,184,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,validation,risk_on,94,94,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T4_gated,validation,transition,157,157,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T7_gated,all,all,629,626,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T7_gated,robustness,all,297,294,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T7_gated,train,all,332,332,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T7_gated,all,risk_on,558,555,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T7_gated,all,transition,71,71,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T7_gated,robustness,risk_on,291,288,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
08_T7_gated,robustness,transition,6,6,"[event_window_anchor_pos,event_window_anchor_pos+10]",10,same_instrument_same_candidate_scope,1.0,1.0,1.0,1.0,1.0,0.0,0.5,False
