candidate_scope_id,scope_status,source_artifact_path,source_artifact_hash_status,source_row_count,selected_event_count,published_reference_event_count,reconstructed_vs_published_count_difference,missing_required_columns,aggregate_only_reason,event_level_label_source_status,episode_capture_source_status,hard_gate_eligible_flag,notes
08_R_compression_arm::single_family_best_variant__R1_relative_strength_breakout,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,14363.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::single_family_best_variant__R6_market_breadth_thrust,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,16204.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::single_family_best_variant__R7_cross_sectional_momentum_rank_jump,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,9786.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::single_family_best_variant__R8_persistent_distance_above_ema,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,12896.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::single_family_best_variant__R2_near_high_volume_expansion,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,9537.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::family_score_quantile_cut__q07,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,22044.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::family_score_quantile_cut__q08,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,17789.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::family_score_quantile_cut__q09,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,13634.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::family_score_quantile_cut__q095,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,11773.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
08_R_compression_arm::family_score_quantile_cut__q0975,aggregate_frontier_only_no_event_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_r_series_density_compression/risk_on_r_series_compression_frontier.csv,hash_available,1,,10992.0,,,explicit event membership unavailable or empty; deterministic reconstruction not attempted for hard-gate metrics,not_available_publishable_source,not_available_publishable_source,False,"excluded from rolling 10d, adjacent gap, uniqueness, and event-level fast-fail hard-gate comparisons"
