candidate_scope_id,event_split,market_regime_bucket,instrument_count,gap_sample_count,gap_anchor_policy_id,adjacent_gap_p10,adjacent_gap_median,adjacent_gap_p90,gap_lt_5d_rate,gap_lt_10d_rate,gap_ge_20d_rate,diagnostic_alert_flag
08_R_core_event_regime_gated,validation,risk_on,669,4375,executable_trade_open_else_t0_fallback_v1,1.0,7.0,67.0,0.4006857142857143,0.5627428571428571,0.29645714285714286,True
08_R_core_event_regime_gated,validation,transition,727,6094,executable_trade_open_else_t0_fallback_v1,1.0,8.0,72.0,0.38398424680013127,0.5482441745979653,0.322120118148999,True
08_R1_event_regime_gated,all,all,1406,12957,executable_trade_open_else_t0_fallback_v1,20.0,47.0,161.0,0.0,0.0,0.9999228216408119,False
08_R1_event_regime_gated,robustness,all,768,3583,executable_trade_open_else_t0_fallback_v1,20.0,51.0,174.0,0.0,0.0,1.0,False
08_R1_event_regime_gated,train,all,1048,6164,executable_trade_open_else_t0_fallback_v1,20.0,42.0,152.0,0.0,0.0,0.9998377676833226,False
08_R1_event_regime_gated,validation,all,739,3210,executable_trade_open_else_t0_fallback_v1,20.0,55.0,154.0,0.0,0.0,1.0,False
08_R1_event_regime_gated,all,risk_on,1301,7985,executable_trade_open_else_t0_fallback_v1,20.0,46.0,161.0,0.0,0.0,0.9998747651847214,False
08_R1_event_regime_gated,all,transition,1205,4972,executable_trade_open_else_t0_fallback_v1,20.0,47.0,159.0,0.0,0.0,1.0,False
08_R1_event_regime_gated,robustness,risk_on,741,2590,executable_trade_open_else_t0_fallback_v1,20.0,51.5,175.0999999999999,0.0,0.0,1.0,False
08_R1_event_regime_gated,robustness,transition,537,993,executable_trade_open_else_t0_fallback_v1,21.0,49.0,173.0,0.0,0.0,1.0,False
08_R1_event_regime_gated,train,risk_on,953,4137,executable_trade_open_else_t0_fallback_v1,20.0,41.0,136.0,0.0,0.0,0.9997582789460963,False
08_R1_event_regime_gated,train,transition,872,2027,executable_trade_open_else_t0_fallback_v1,20.0,44.0,165.0,0.0,0.0,1.0,False
08_R1_event_regime_gated,validation,risk_on,589,1258,executable_trade_open_else_t0_fallback_v1,20.0,56.0,161.29999999999995,0.0,0.0,1.0,False
08_R1_event_regime_gated,validation,transition,684,1952,executable_trade_open_else_t0_fallback_v1,20.0,53.0,150.9000000000001,0.0,0.0,1.0,False
08_R2_event_regime_gated,all,all,1268,8269,executable_trade_open_else_t0_fallback_v1,23.0,77.0,214.19999999999982,0.0,0.0,0.999758132785101,False
08_R2_event_regime_gated,robustness,all,679,2568,executable_trade_open_else_t0_fallback_v1,23.0,79.0,241.30000000000018,0.0,0.0,0.9996105919003115,False
08_R2_event_regime_gated,train,all,938,3867,executable_trade_open_else_t0_fallback_v1,23.0,69.0,194.0,0.0,0.0,1.0,False
08_R2_event_regime_gated,validation,all,635,1834,executable_trade_open_else_t0_fallback_v1,25.0,92.0,237.0,0.0,0.0,0.9994547437295529,False
08_R2_event_regime_gated,all,risk_on,1190,6247,executable_trade_open_else_t0_fallback_v1,23.0,72.0,214.0,0.0,0.0,0.9998399231631183,False
08_R2_event_regime_gated,all,transition,895,2022,executable_trade_open_else_t0_fallback_v1,26.0,89.5,216.0,0.0,0.0,0.9995054401582592,False
08_R2_event_regime_gated,robustness,risk_on,666,2175,executable_trade_open_else_t0_fallback_v1,23.0,79.0,231.60000000000014,0.0,0.0,0.9995402298850574,False
08_R2_event_regime_gated,robustness,transition,304,393,executable_trade_open_else_t0_fallback_v1,26.0,81.0,277.0,0.0,0.0,1.0,False
08_R2_event_regime_gated,train,risk_on,873,3073,executable_trade_open_else_t0_fallback_v1,23.0,65.0,194.0,0.0,0.0,1.0,False
08_R2_event_regime_gated,train,transition,618,794,executable_trade_open_else_t0_fallback_v1,25.0,82.0,193.0,0.0,0.0,1.0,False
08_R2_event_regime_gated,validation,risk_on,501,999,executable_trade_open_else_t0_fallback_v1,24.0,82.0,239.0,0.0,0.0,1.0,False
08_R2_event_regime_gated,validation,transition,507,835,executable_trade_open_else_t0_fallback_v1,26.0,99.0,236.0,0.0,0.0,0.9988023952095808,False
08_R6_event_regime_gated,all,all,1384,14820,executable_trade_open_else_t0_fallback_v1,21.0,44.0,134.0,0.0,0.0,0.9997300944669366,False
08_R6_event_regime_gated,robustness,all,757,4182,executable_trade_open_else_t0_fallback_v1,21.0,45.0,138.0,0.0,0.0,1.0,False
08_R6_event_regime_gated,train,all,1038,6940,executable_trade_open_else_t0_fallback_v1,21.0,41.0,131.0,0.0,0.0,0.9997118155619596,False
08_R6_event_regime_gated,validation,all,737,3698,executable_trade_open_else_t0_fallback_v1,21.0,48.0,135.0,0.0,0.0,0.9994591671173607,False
08_R6_event_regime_gated,all,risk_on,1277,8592,executable_trade_open_else_t0_fallback_v1,21.0,41.0,127.0,0.0,0.0,0.9997672253258846,False
08_R6_event_regime_gated,all,transition,1220,6228,executable_trade_open_else_t0_fallback_v1,22.0,48.0,143.0,0.0,0.0,0.9996788696210661,False
08_R6_event_regime_gated,robustness,risk_on,734,2904,executable_trade_open_else_t0_fallback_v1,21.0,42.0,141.70000000000027,0.0,0.0,1.0,False
08_R6_event_regime_gated,robustness,transition,589,1278,executable_trade_open_else_t0_fallback_v1,24.0,49.0,130.5999999999999,0.0,0.0,1.0,False
08_R6_event_regime_gated,train,risk_on,933,4327,executable_trade_open_else_t0_fallback_v1,20.0,36.0,113.0,0.0,0.0,0.9995377859949156,False
08_R6_event_regime_gated,train,transition,895,2613,executable_trade_open_else_t0_fallback_v1,22.0,48.0,156.0,0.0,0.0,1.0,False
08_R6_event_regime_gated,validation,risk_on,587,1361,executable_trade_open_else_t0_fallback_v1,21.0,52.0,140.0,0.0,0.0,1.0,False
08_R6_event_regime_gated,validation,transition,697,2337,executable_trade_open_else_t0_fallback_v1,21.0,45.0,131.0,0.0,0.0,0.9991442019683354,False
08_R7_event_regime_gated,all,all,1207,8579,executable_trade_open_else_t0_fallback_v1,33.0,70.0,196.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,robustness,all,696,2533,executable_trade_open_else_t0_fallback_v1,33.0,74.0,217.80000000000018,0.0,0.0,1.0,False
08_R7_event_regime_gated,train,all,897,3762,executable_trade_open_else_t0_fallback_v1,33.0,65.0,183.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,validation,all,678,2284,executable_trade_open_else_t0_fallback_v1,34.0,74.0,197.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,all,risk_on,1113,5054,executable_trade_open_else_t0_fallback_v1,33.0,69.0,206.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,all,transition,1063,3525,executable_trade_open_else_t0_fallback_v1,33.0,71.0,181.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,robustness,risk_on,658,1731,executable_trade_open_else_t0_fallback_v1,34.0,79.0,221.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,robustness,transition,489,802,executable_trade_open_else_t0_fallback_v1,32.10000000000001,69.0,205.89999999999998,0.0,0.0,1.0,False
08_R7_event_regime_gated,train,risk_on,805,2421,executable_trade_open_else_t0_fallback_v1,32.0,62.0,188.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,train,transition,756,1341,executable_trade_open_else_t0_fallback_v1,35.0,71.0,177.0,0.0,0.0,1.0,False
08_R7_event_regime_gated,validation,risk_on,527,902,executable_trade_open_else_t0_fallback_v1,34.0,83.0,222.89999999999998,0.0,0.0,1.0,False
08_R7_event_regime_gated,validation,transition,618,1382,executable_trade_open_else_t0_fallback_v1,34.0,72.0,174.9000000000001,0.0,0.0,1.0,False
08_R8_event_regime_gated,all,all,1384,11512,executable_trade_open_else_t0_fallback_v1,20.0,43.0,187.0,0.0,0.0,0.9996525364836693,False
08_R8_event_regime_gated,robustness,all,760,3536,executable_trade_open_else_t0_fallback_v1,20.0,47.0,199.0,0.0,0.0,0.9997171945701357,False
08_R8_event_regime_gated,train,all,1019,5779,executable_trade_open_else_t0_fallback_v1,20.0,36.0,171.0,0.0,0.0,0.9994808790448174,False
08_R8_event_regime_gated,validation,all,698,2197,executable_trade_open_else_t0_fallback_v1,20.0,73.0,216.0,0.0,0.0,1.0,False
08_R8_event_regime_gated,all,risk_on,1313,8384,executable_trade_open_else_t0_fallback_v1,20.0,36.0,183.0,0.0,0.0,0.9995229007633588,False
08_R8_event_regime_gated,all,transition,1095,3128,executable_trade_open_else_t0_fallback_v1,20.0,66.5,202.30000000000018,0.0,0.0,1.0,False
08_R8_event_regime_gated,robustness,risk_on,739,2737,executable_trade_open_else_t0_fallback_v1,20.0,34.0,182.0,0.0,0.0,0.999634636463281,False
08_R8_event_regime_gated,robustness,transition,500,799,executable_trade_open_else_t0_fallback_v1,23.0,96.0,263.0,0.0,0.0,1.0,False
08_R8_event_regime_gated,train,risk_on,962,4496,executable_trade_open_else_t0_fallback_v1,20.0,33.0,172.0,0.0,0.0,0.9993327402135231,False
08_R8_event_regime_gated,train,transition,745,1283,executable_trade_open_else_t0_fallback_v1,20.0,44.0,168.79999999999995,0.0,0.0,1.0,False
08_R8_event_regime_gated,validation,risk_on,553,1151,executable_trade_open_else_t0_fallback_v1,20.0,66.0,218.0,0.0,0.0,1.0,False
08_R8_event_regime_gated,validation,transition,591,1046,executable_trade_open_else_t0_fallback_v1,20.0,80.0,214.5,0.0,0.0,1.0,False
