source_id,event_split,episode_split,split_aligned,membership_row_count
08_selected_T4_T7_union,validation,validation,True,118
baseline_r6_only_risk_on_positive::risk_on,robustness,robustness,True,1701
baseline_r6_only_risk_on_positive::risk_on,robustness,validation,False,118
baseline_r6_only_risk_on_positive::risk_on,train,train,True,3032
baseline_r6_only_risk_on_positive::risk_on,validation,validation,True,674
baseline_r6_only_risk_on_positive::transition,robustness,robustness,True,877
baseline_r6_only_risk_on_positive::transition,robustness,validation,False,54
baseline_r6_only_risk_on_positive::transition,train,train,True,2212
baseline_r6_only_risk_on_positive::transition,validation,train,False,55
baseline_r6_only_risk_on_positive::transition,validation,validation,True,727
baseline_r6_only_transition_primary::risk_on,robustness,robustness,True,1701
baseline_r6_only_transition_primary::risk_on,robustness,validation,False,118
baseline_r6_only_transition_primary::risk_on,train,train,True,3032
baseline_r6_only_transition_primary::risk_on,validation,validation,True,674
baseline_r6_only_transition_primary::transition,robustness,robustness,True,877
baseline_r6_only_transition_primary::transition,robustness,validation,False,54
baseline_r6_only_transition_primary::transition,train,train,True,2212
baseline_r6_only_transition_primary::transition,validation,train,False,55
baseline_r6_only_transition_primary::transition,validation,validation,True,727
baseline_r_core_no_ranker_diagnostic::risk_on,robustness,robustness,True,5728
baseline_r_core_no_ranker_diagnostic::risk_on,robustness,validation,False,368
baseline_r_core_no_ranker_diagnostic::risk_on,train,train,True,10992
baseline_r_core_no_ranker_diagnostic::risk_on,validation,train,False,18
baseline_r_core_no_ranker_diagnostic::risk_on,validation,validation,True,2129
baseline_r_core_no_ranker_diagnostic::transition,robustness,robustness,True,1909
baseline_r_core_no_ranker_diagnostic::transition,robustness,validation,False,145
baseline_r_core_no_ranker_diagnostic::transition,train,train,True,5296
baseline_r_core_no_ranker_diagnostic::transition,validation,train,False,178
baseline_r_core_no_ranker_diagnostic::transition,validation,validation,True,2040
baseline_t4_t7_negative_control::risk_on,robustness,robustness,True,374
baseline_t4_t7_negative_control::risk_on,robustness,validation,False,40
baseline_t4_t7_negative_control::risk_on,train,train,True,623
baseline_t4_t7_negative_control::risk_on,validation,train,False,1
baseline_t4_t7_negative_control::risk_on,validation,validation,True,38
baseline_t4_t7_negative_control::transition,robustness,robustness,True,46
baseline_t4_t7_negative_control::transition,robustness,validation,False,2
baseline_t4_t7_negative_control::transition,train,train,True,177
baseline_t4_t7_negative_control::transition,validation,train,False,5
baseline_t4_t7_negative_control::transition,validation,validation,True,80
bridge_positive_ranker_with_fast_fail_penalty::risk_on,robustness,robustness,True,214
bridge_positive_ranker_with_fast_fail_penalty::risk_on,robustness,validation,False,11
bridge_positive_ranker_with_fast_fail_penalty::risk_on,train,train,True,5727
bridge_positive_ranker_with_fast_fail_penalty::risk_on,validation,train,False,2
bridge_positive_ranker_with_fast_fail_penalty::risk_on,validation,validation,True,122
bridge_positive_ranker_with_fast_fail_penalty::transition,robustness,robustness,True,161
bridge_positive_ranker_with_fast_fail_penalty::transition,robustness,validation,False,8
bridge_positive_ranker_with_fast_fail_penalty::transition,train,train,True,5420
bridge_positive_ranker_with_fast_fail_penalty::transition,validation,train,False,44
bridge_positive_ranker_with_fast_fail_penalty::transition,validation,validation,True,516
cooldown_20d_ranked_within_bucket::risk_on,robustness,robustness,True,2006
cooldown_20d_ranked_within_bucket::risk_on,robustness,validation,False,123
cooldown_20d_ranked_within_bucket::risk_on,train,train,True,3664
cooldown_20d_ranked_within_bucket::risk_on,validation,train,False,12
cooldown_20d_ranked_within_bucket::risk_on,validation,validation,True,809
cooldown_20d_ranked_within_bucket::transition,robustness,robustness,True,1143
cooldown_20d_ranked_within_bucket::transition,robustness,validation,False,106
cooldown_20d_ranked_within_bucket::transition,train,train,True,2557
cooldown_20d_ranked_within_bucket::transition,validation,train,False,52
cooldown_20d_ranked_within_bucket::transition,validation,validation,True,880
cooldown_40d_ranked_within_bucket::risk_on,robustness,robustness,True,1442
cooldown_40d_ranked_within_bucket::risk_on,robustness,validation,False,91
cooldown_40d_ranked_within_bucket::risk_on,train,train,True,2624
cooldown_40d_ranked_within_bucket::risk_on,validation,train,False,7
cooldown_40d_ranked_within_bucket::risk_on,validation,validation,True,621
cooldown_40d_ranked_within_bucket::transition,robustness,robustness,True,995
cooldown_40d_ranked_within_bucket::transition,robustness,validation,False,106
cooldown_40d_ranked_within_bucket::transition,train,train,True,2188
cooldown_40d_ranked_within_bucket::transition,validation,train,False,34
cooldown_40d_ranked_within_bucket::transition,validation,validation,True,718
cross_family_collision_suppression::risk_on,robustness,robustness,True,5729
cross_family_collision_suppression::risk_on,robustness,validation,False,368
cross_family_collision_suppression::risk_on,train,train,True,11008
cross_family_collision_suppression::risk_on,validation,train,False,18
cross_family_collision_suppression::risk_on,validation,validation,True,2132
cross_family_collision_suppression::transition,robustness,robustness,True,1909
cross_family_collision_suppression::transition,robustness,validation,False,145
cross_family_collision_suppression::transition,train,train,True,5298
cross_family_collision_suppression::transition,validation,train,False,178
cross_family_collision_suppression::transition,validation,validation,True,2040
false_repair_rejector_overlay_train_only::risk_on,robustness,robustness,True,237
false_repair_rejector_overlay_train_only::risk_on,robustness,validation,False,12
false_repair_rejector_overlay_train_only::risk_on,train,train,True,6605
false_repair_rejector_overlay_train_only::risk_on,validation,train,False,4
false_repair_rejector_overlay_train_only::risk_on,validation,validation,True,142
false_repair_rejector_overlay_train_only::transition,robustness,robustness,True,175
false_repair_rejector_overlay_train_only::transition,robustness,validation,False,12
false_repair_rejector_overlay_train_only::transition,train,train,True,6224
false_repair_rejector_overlay_train_only::transition,validation,train,False,46
false_repair_rejector_overlay_train_only::transition,validation,validation,True,550
family_budget_bridge_weighted_train_only::risk_on,robustness,robustness,True,237
family_budget_bridge_weighted_train_only::risk_on,robustness,validation,False,12
family_budget_bridge_weighted_train_only::risk_on,train,train,True,6605
family_budget_bridge_weighted_train_only::risk_on,validation,train,False,4
family_budget_bridge_weighted_train_only::risk_on,validation,validation,True,142
family_budget_bridge_weighted_train_only::transition,robustness,robustness,True,175
family_budget_bridge_weighted_train_only::transition,robustness,validation,False,12
family_budget_bridge_weighted_train_only::transition,train,train,True,6224
family_budget_bridge_weighted_train_only::transition,validation,train,False,46
family_budget_bridge_weighted_train_only::transition,validation,validation,True,550
family_budget_equal_weight::risk_on,robustness,robustness,True,279
family_budget_equal_weight::risk_on,robustness,validation,False,13
family_budget_equal_weight::risk_on,train,train,True,6277
family_budget_equal_weight::risk_on,validation,train,False,4
family_budget_equal_weight::risk_on,validation,validation,True,157
family_budget_equal_weight::transition,robustness,robustness,True,165
family_budget_equal_weight::transition,robustness,validation,False,14
family_budget_equal_weight::transition,train,train,True,5998
family_budget_equal_weight::transition,validation,train,False,78
family_budget_equal_weight::transition,validation,validation,True,651
fast_fail_rejector_overlay_train_only::risk_on,robustness,robustness,True,237
fast_fail_rejector_overlay_train_only::risk_on,robustness,validation,False,12
fast_fail_rejector_overlay_train_only::risk_on,train,train,True,6605
fast_fail_rejector_overlay_train_only::risk_on,validation,train,False,4
fast_fail_rejector_overlay_train_only::risk_on,validation,validation,True,142
fast_fail_rejector_overlay_train_only::transition,robustness,robustness,True,175
fast_fail_rejector_overlay_train_only::transition,robustness,validation,False,12
fast_fail_rejector_overlay_train_only::transition,train,train,True,6224
fast_fail_rejector_overlay_train_only::transition,validation,train,False,46
fast_fail_rejector_overlay_train_only::transition,validation,validation,True,550
market_day_family_quota::risk_on,robustness,robustness,True,1777
market_day_family_quota::risk_on,robustness,validation,False,115
market_day_family_quota::risk_on,train,train,True,3779
market_day_family_quota::risk_on,validation,train,False,6
market_day_family_quota::risk_on,validation,validation,True,713
market_day_family_quota::transition,robustness,robustness,True,541
market_day_family_quota::transition,robustness,validation,False,28
market_day_family_quota::transition,train,train,True,1790
market_day_family_quota::transition,validation,train,False,70
market_day_family_quota::transition,validation,validation,True,735
r2_budget_only_arm::risk_on,robustness,robustness,True,60
r2_budget_only_arm::risk_on,robustness,validation,False,3
r2_budget_only_arm::risk_on,train,train,True,1362
r2_budget_only_arm::risk_on,validation,train,False,2
r2_budget_only_arm::risk_on,validation,validation,True,28
r2_budget_only_arm::transition,robustness,robustness,True,42
r2_budget_only_arm::transition,robustness,validation,False,2
r2_budget_only_arm::transition,train,train,True,762
r2_budget_only_arm::transition,validation,train,False,31
r2_budget_only_arm::transition,validation,validation,True,336
r6_r1_r2_r7_bridge_pool::risk_on,robustness,robustness,True,4755
r6_r1_r2_r7_bridge_pool::risk_on,robustness,validation,False,315
r6_r1_r2_r7_bridge_pool::risk_on,train,train,True,8696
r6_r1_r2_r7_bridge_pool::risk_on,validation,train,False,16
r6_r1_r2_r7_bridge_pool::risk_on,validation,validation,True,1742
r6_r1_r2_r7_bridge_pool::transition,robustness,robustness,True,1619
r6_r1_r2_r7_bridge_pool::transition,robustness,validation,False,91
r6_r1_r2_r7_bridge_pool::transition,train,train,True,4646
r6_r1_r2_r7_bridge_pool::transition,validation,train,False,147
r6_r1_r2_r7_bridge_pool::transition,validation,validation,True,1702
r6_r1_r7_bridge_pool::risk_on,robustness,robustness,True,3600
r6_r1_r7_bridge_pool::risk_on,robustness,validation,False,255
r6_r1_r7_bridge_pool::risk_on,train,train,True,6668
r6_r1_r7_bridge_pool::risk_on,validation,train,False,12
r6_r1_r7_bridge_pool::risk_on,validation,validation,True,1388
r6_r1_r7_bridge_pool::transition,robustness,robustness,True,1487
r6_r1_r7_bridge_pool::transition,robustness,validation,False,76
r6_r1_r7_bridge_pool::transition,train,train,True,4194
r6_r1_r7_bridge_pool::transition,validation,train,False,121
r6_r1_r7_bridge_pool::transition,validation,validation,True,1469
r6_r2_low_fast_fail_support::risk_on,robustness,robustness,True,3108
r6_r2_low_fast_fail_support::risk_on,robustness,validation,False,184
r6_r2_low_fast_fail_support::risk_on,train,train,True,5446
r6_r2_low_fast_fail_support::risk_on,validation,train,False,6
r6_r2_low_fast_fail_support::risk_on,validation,validation,True,1136
r6_r2_low_fast_fail_support::transition,robustness,robustness,True,1049
r6_r2_low_fast_fail_support::transition,robustness,validation,False,71
r6_r2_low_fast_fail_support::transition,train,train,True,2820
r6_r2_low_fast_fail_support::transition,validation,train,False,84
r6_r2_low_fast_fail_support::transition,validation,validation,True,1024
supervised_bridge_ranker::risk_on,robustness,robustness,True,214
supervised_bridge_ranker::risk_on,robustness,validation,False,11
supervised_bridge_ranker::risk_on,train,train,True,5727
supervised_bridge_ranker::risk_on,validation,train,False,2
supervised_bridge_ranker::risk_on,validation,validation,True,122
supervised_bridge_ranker::transition,robustness,robustness,True,161
supervised_bridge_ranker::transition,robustness,validation,False,8
supervised_bridge_ranker::transition,train,train,True,5420
supervised_bridge_ranker::transition,validation,train,False,44
supervised_bridge_ranker::transition,validation,validation,True,516
top_k_per_instrument_20d_family_aware::risk_on,robustness,robustness,True,2006
top_k_per_instrument_20d_family_aware::risk_on,robustness,validation,False,123
top_k_per_instrument_20d_family_aware::risk_on,train,train,True,3664
top_k_per_instrument_20d_family_aware::risk_on,validation,train,False,12
top_k_per_instrument_20d_family_aware::risk_on,validation,validation,True,809
top_k_per_instrument_20d_family_aware::transition,robustness,robustness,True,1143
top_k_per_instrument_20d_family_aware::transition,robustness,validation,False,106
top_k_per_instrument_20d_family_aware::transition,train,train,True,2557
top_k_per_instrument_20d_family_aware::transition,validation,train,False,52
top_k_per_instrument_20d_family_aware::transition,validation,validation,True,880
top_k_per_instrument_month_family_aware::risk_on,robustness,robustness,True,2712
top_k_per_instrument_month_family_aware::risk_on,robustness,validation,False,159
top_k_per_instrument_month_family_aware::risk_on,train,train,True,4890
top_k_per_instrument_month_family_aware::risk_on,validation,train,False,18
top_k_per_instrument_month_family_aware::risk_on,validation,validation,True,1090
top_k_per_instrument_month_family_aware::transition,robustness,robustness,True,1361
top_k_per_instrument_month_family_aware::transition,robustness,validation,False,112
top_k_per_instrument_month_family_aware::transition,train,train,True,3085
top_k_per_instrument_month_family_aware::transition,validation,train,False,81
top_k_per_instrument_month_family_aware::transition,validation,validation,True,1053
