structure_candidate_id,status,failed_rules,stage
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_60f76f_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_773a15_a96cae_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_156070_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_23e5f3_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_60f76f_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_3fbc74_91539d_a96cae_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_156070_6b86b2_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_23e5f3_6b86b2_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_60f76f_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;not_generic_strength_proxy,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_a96cae_6b86b2_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_156070_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_23e5f3_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_60f76f_6b86b2_f5ca38,passed,,stage_a
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_a96cae_6b86b2_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_156070_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_156070_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_23e5f3_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_23e5f3_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_60f76f_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_60f76f_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_a96cae_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_aaf482_6b86b2_a96cae_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_156070_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_156070_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_23e5f3_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_23e5f3_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_60f76f_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_60f76f_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_a96cae_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_persistence_d350f2_6b86b2_a96cae_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_156070_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_23e5f3_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_60f76f_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_a96cae_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_156070_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_23e5f3_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_60f76f_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_a96cae_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_156070_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_156070_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_23e5f3_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_23e5f3_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_60f76f_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_60f76f_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_a96cae_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_632340_6b86b2_a96cae_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_156070_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_156070_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_23e5f3_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_23e5f3_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_60f76f_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_60f76f_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_a96cae_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_persistence_c4c30f_6b86b2_a96cae_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_156070_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_23e5f3_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_60f76f_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_a96cae_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_156070_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_23e5f3_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_60f76f_6b86b2_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_a96cae_6b86b2_f5ca38,rejected,min_winner_vs_background_coverage_lift;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_156070_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_156070_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_23e5f3_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_23e5f3_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_60f76f_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_60f76f_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_a96cae_4e0740_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_973b37_a96cae_ef2d12_f5ca38,rejected,min_winner_coverage;min_winner_coverage_ci90_lower;min_years_present;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_b4af4e_156070_4e0740_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_b4af4e_156070_ef2d12_f5ca38,rejected,min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_b4af4e_23e5f3_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_b4af4e_23e5f3_ef2d12_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
r02v2_industry_market_support_persistence_1101af_b4af4e_60f76f_4e0740_f5ca38,rejected,max_trigger_days_per_event_p90;min_winner_vs_background_coverage_lift;min_winner_vs_background_coverage_lift_ci90_lower;max_action_time_background_signal_rate;not_generic_strength_proxy,stage_a
