structure_candidate_id,matched_background_coverage,matched_background_coverage_ci90_upper,action_time_background_signal_rate,winner_vs_background_coverage_lift,winner_vs_background_coverage_lift_ci90_lower,generic_strength_proxy_flag,generic_strength_proxy_reason,background_control_policy,non_default_background_policy_reason
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_156070_6b86b2_f5ca38,0.48928571428571427,0.5066602082322887,0.0945499290944506,1.3366788321167882,1.2178732897984776,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_23e5f3_6b86b2_f5ca38,0.6040178571428572,0.6210161216523161,0.0945499290944506,1.352549889135255,1.2671340868191272,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_60f76f_6b86b2_f5ca38,0.7964285714285714,0.8104235977991732,0.0945499290944506,1.1715246636771302,1.1273228946892357,True,too_dense_or_no_background_enrichment,both,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_312b95_a96cae_6b86b2_f5ca38,0.42723214285714284,0.44442559847290736,0.0945499290944506,1.3218390804597704,1.1839995497084905,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_156070_6b86b2_f5ca38,0.07410714285714286,0.08321156308121479,0.011924271769659047,2.259036144578313,1.6631697638747829,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_23e5f3_6b86b2_f5ca38,0.09955357142857142,0.10995994124112406,0.011924271769659047,2.2645739910313902,1.7549077056878757,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_60f76f_6b86b2_f5ca38,0.19375,0.20748718074743489,0.011924271769659047,2.039170506912442,1.7210452936061507,False,,both,
r02v2_acceleration_and_gap_point_in_window_existence_813ecf_773a15_a96cae_6b86b2_f5ca38,0.04732142857142857,0.054701218763227526,0.011924271769659047,2.735849056603774,1.8897754072164306,False,,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_156070_4e0740_f5ca38,0.6977678571428572,0.7137291364770434,0.4525043177892919,0.9884836852207294,0.916004514118393,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_156070_ef2d12_f5ca38,0.6977678571428572,0.7137291364770434,0.49462276592339993,0.9884836852207294,0.916004514118393,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_23e5f3_4e0740_f5ca38,0.7982142857142858,0.8121634069678705,0.4525043177892919,0.8724832214765099,0.8134981382587877,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_23e5f3_ef2d12_f5ca38,0.7982142857142858,0.8121634069678705,0.49462276592339993,0.8724832214765099,0.8134981382587877,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_60f76f_4e0740_f5ca38,0.9352678571428571,0.9438199004125931,0.4525043177892919,0.9570405727923628,0.9231350397487739,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_60f76f_ef2d12_f5ca38,0.9352678571428571,0.9438199004125931,0.49462276592339993,0.9570405727923628,0.9231350397487739,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_a96cae_4e0740_f5ca38,0.5415178571428572,0.5588363261611123,0.4525043177892919,1.0222588623248146,0.9214426860666369,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_aaf482_6b86b2_a96cae_ef2d12_f5ca38,0.5415178571428572,0.5588363261611123,0.49462276592339993,1.0222588623248146,0.9214426860666369,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_156070_4e0740_f5ca38,0.5424107142857143,0.5597265695249003,0.46249179206188923,0.9012345679012345,0.8039452115214791,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_156070_ef2d12_f5ca38,0.5424107142857143,0.5597265695249003,0.49491521682751466,0.9012345679012345,0.8039452115214791,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_23e5f3_4e0740_f5ca38,0.6691964285714286,0.6855496679954091,0.46249179206188923,1.037358238825884,0.9603792299181364,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_23e5f3_ef2d12_f5ca38,0.6691964285714286,0.6855496679954091,0.49491521682751466,1.037358238825884,0.9603792299181364,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_60f76f_4e0740_f5ca38,0.8665178571428571,0.8783385310465992,0.46249179206188923,0.9943328181349821,0.950396505106029,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_60f76f_ef2d12_f5ca38,0.8665178571428571,0.8783385310465992,0.49491521682751466,0.9943328181349821,0.950396505106029,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_a96cae_4e0740_f5ca38,0.48794642857142856,0.5053198624096168,0.46249179206188923,0.8645928636779506,0.758911030592061,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_persistence_d350f2_6b86b2_a96cae_ef2d12_f5ca38,0.48794642857142856,0.5053198624096168,0.49491521682751466,0.8645928636779506,0.758911030592061,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_156070_6b86b2_f5ca38,0.7901785714285714,0.8043309499883744,0.5018843770519845,0.980225988700565,0.9226011893100761,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_23e5f3_6b86b2_f5ca38,0.8669642857142857,0.8787682155576975,0.5018843770519845,0.8908341915550978,0.8417819581517597,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_60f76f_6b86b2_f5ca38,0.9620535714285714,0.9686944719529895,0.5018843770519845,0.962877030162413,0.935318337315937,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_aaf482_6b86b2_a96cae_6b86b2_f5ca38,0.6495535714285714,0.6661364606609336,0.5018843770519845,1.0171821305841924,0.9366203077708924,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_156070_6b86b2_f5ca38,0.6120535714285714,0.6289900255651529,0.5011835984704266,0.9190371991247265,0.8329946282204247,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_23e5f3_6b86b2_f5ca38,0.7477678571428571,0.7628625925369187,0.5011835984704266,1.0268656716417912,0.9635342434760323,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_60f76f_6b86b2_f5ca38,0.9084821428571429,0.9185041108659263,0.5011835984704266,1.0049140049140048,0.9700951740561529,True,too_dense_or_no_background_enrichment,both,
r02v2_distribution_absence_point_in_window_existence_d350f2_6b86b2_a96cae_6b86b2_f5ca38,0.5794642857142858,0.5966218909938076,0.5011835984704266,0.9244992295839752,0.8329464253799266,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_156070_4e0740_f5ca38,0.9830357142857142,0.987524142982938,0.9503881871906504,1.008174386920981,0.9961888462863405,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_156070_ef2d12_f5ca38,0.9830357142857142,0.987524142982938,0.9672786063886728,1.008174386920981,0.9961888462863405,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_23e5f3_4e0740_f5ca38,0.990625,0.9939745168992337,0.9503881871906504,1.0004506534474988,0.9897241025323097,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_23e5f3_ef2d12_f5ca38,0.990625,0.9939745168992337,0.9672786063886728,1.0004506534474988,0.9897241025323097,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_60f76f_4e0740_f5ca38,0.9995535714285714,1.0002877824872813,0.9503881871906504,1.0004466279589104,0.9997123003076517,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_60f76f_ef2d12_f5ca38,0.9995535714285714,1.0002877824872813,0.9672786063886728,1.0004466279589104,0.9997123003076517,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_a96cae_4e0740_f5ca38,0.9732142857142857,0.9788260283689527,0.9503881871906504,1.0091743119266054,0.9928734470480423,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_632340_6b86b2_a96cae_ef2d12_f5ca38,0.9732142857142857,0.9788260283689527,0.9672786063886728,1.0091743119266054,0.9928734470480423,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_156070_4e0740_f5ca38,0.990625,0.9939745168992337,0.942668586910339,1.0027039206849933,0.9929480188670012,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_156070_ef2d12_f5ca38,0.990625,0.9939745168992337,0.9701920795466459,1.0027039206849933,0.9929480188670012,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_23e5f3_4e0740_f5ca38,0.9982142857142857,0.9996817237443946,0.942668586910339,1.0017889087656529,1.0003183775876319,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_23e5f3_ef2d12_f5ca38,0.9982142857142857,0.9996817237443946,0.9701920795466459,1.0017889087656529,1.0003183775876319,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_60f76f_4e0740_f5ca38,1.0,1.0,0.942668586910339,1.0,1.0,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_60f76f_ef2d12_f5ca38,1.0,1.0,0.9701920795466459,1.0,1.0,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_a96cae_4e0740_f5ca38,0.9741071428571428,0.9796270941384261,0.942668586910339,1.0219981668194318,1.0109505023477339,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_persistence_c4c30f_6b86b2_a96cae_ef2d12_f5ca38,0.9741071428571428,0.9796270941384261,0.9701920795466459,1.0219981668194318,1.0109505023477339,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_156070_6b86b2_f5ca38,0.9879464285714286,0.99173928552586,0.9701920795466459,1.0054225033890647,0.9951859745437535,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_23e5f3_6b86b2_f5ca38,0.9919642857142857,0.9950674313244487,0.9701920795466459,1.0013501350135012,0.9918574322603589,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_60f76f_6b86b2_f5ca38,1.0,1.0,0.9701920795466459,1.0,1.0,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_632340_6b86b2_a96cae_6b86b2_f5ca38,0.9875,0.9913615836923834,0.9701920795466459,1.003616636528029,0.9923327198276206,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_156070_6b86b2_f5ca38,0.9982142857142857,0.9996817237443946,0.9697782339276156,0.9950805008944543,0.9872792549038665,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_23e5f3_6b86b2_f5ca38,0.9991071428571429,1.000145242194238,0.9697782339276156,1.000893655049151,0.9998547788979935,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_60f76f_6b86b2_f5ca38,1.0,1.0,0.9697782339276156,1.0,1.0,True,too_dense_or_no_background_enrichment,both,
r02v2_failure_absorption_point_in_window_existence_c4c30f_6b86b2_a96cae_6b86b2_f5ca38,0.9897321428571428,0.9932359535958823,0.9697782339276156,1.0103743797925124,1.0068101103062463,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_156070_4e0740_f5ca38,0.15848214285714285,0.1711751267395635,0.08355818945300646,1.0,0.7600389760872381,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_156070_ef2d12_f5ca38,0.15848214285714285,0.1711751267395635,0.11648374690305528,1.0,0.7600389760872381,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_23e5f3_4e0740_f5ca38,0.25223214285714285,0.2673268782512044,0.08355818945300646,1.0,0.8172739301146754,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_23e5f3_ef2d12_f5ca38,0.25223214285714285,0.2673268782512044,0.11648374690305528,1.0,0.8172739301146754,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_60f76f_4e0740_f5ca38,0.4419642857142857,0.4592253066214047,0.08355818945300646,1.0,0.8783650721963967,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_60f76f_ef2d12_f5ca38,0.4419642857142857,0.4592253066214047,0.11648374690305528,1.0,0.8783650721963967,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_a96cae_4e0740_f5ca38,0.09598214285714286,0.10622039022786779,0.08355818945300646,1.0,0.6880856454109315,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_973b37_a96cae_ef2d12_f5ca38,0.09598214285714286,0.10622039022786779,0.11648374690305528,1.0,0.6880856454109315,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_156070_4e0740_f5ca38,0.36160714285714285,0.3783066788033784,0.17760046792144657,1.0,0.8571507283835005,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_156070_ef2d12_f5ca38,0.36160714285714285,0.3783066788033784,0.24406959227929614,1.0,0.8571507283835005,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_23e5f3_4e0740_f5ca38,0.5535714285714286,0.57084987605634,0.17760046792144657,1.0,0.9020509017307469,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_23e5f3_ef2d12_f5ca38,0.5535714285714286,0.57084987605634,0.24406959227929614,1.0,0.9020509017307469,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_60f76f_4e0740_f5ca38,0.7299107142857143,0.7453430065860488,0.17760046792144657,1.0,0.9329973629708117,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_60f76f_ef2d12_f5ca38,0.7299107142857143,0.7453430065860488,0.24406959227929614,1.0,0.9329973629708117,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_a96cae_4e0740_f5ca38,0.22991071428571427,0.24453558511642032,0.17760046792144657,1.0,0.806461394370121,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_b4af4e_a96cae_ef2d12_f5ca38,0.22991071428571427,0.24453558511642032,0.24406959227929614,1.0,0.806461394370121,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_156070_4e0740_f5ca38,0.6495535714285714,0.6661364606609336,0.33199247352767525,1.0,0.9194408953894685,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_156070_ef2d12_f5ca38,0.6495535714285714,0.6661364606609336,0.43274456896599295,1.0,0.9194408953894685,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_23e5f3_4e0740_f5ca38,0.8102678571428571,0.8238956854848163,0.33199247352767525,1.0,0.9464731037226788,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_23e5f3_ef2d12_f5ca38,0.8102678571428571,0.8238956854848163,0.43274456896599295,1.0,0.9464731037226788,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_60f76f_4e0740_f5ca38,0.9776785714285714,0.9828131042503975,0.33199247352767525,1.0,0.9830937365687589,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_60f76f_ef2d12_f5ca38,0.9776785714285714,0.9828131042503975,0.43274456896599295,1.0,0.9830937365687589,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_a96cae_4e0740_f5ca38,0.3861607142857143,0.40308277611779675,0.33199247352767525,1.0,0.8641446728746602,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_1101af_d2cbad_a96cae_ef2d12_f5ca38,0.3861607142857143,0.40308277611779675,0.43274456896599295,1.0,0.8641446728746602,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_156070_4e0740_f5ca38,0.45714285714285713,0.4744573844867628,0.27679650383221044,1.142578125,1.019060329713154,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_156070_ef2d12_f5ca38,0.45714285714285713,0.4744573844867628,0.371031910256198,1.142578125,1.019060329713154,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_23e5f3_4e0740_f5ca38,0.6424107142857143,0.6590693921366895,0.27679650383221044,1.1605281445448228,1.079832390964924,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_23e5f3_ef2d12_f5ca38,0.6424107142857143,0.6590693921366895,0.371031910256198,1.1605281445448228,1.079832390964924,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_60f76f_4e0740_f5ca38,0.8290178571428571,0.8421036250613678,0.27679650383221044,1.0850834679590737,1.0404796657026587,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_60f76f_ef2d12_f5ca38,0.8290178571428571,0.8421036250613678,0.371031910256198,1.0850834679590737,1.0404796657026587,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_a96cae_4e0740_f5ca38,0.33973214285714287,0.3561936763580266,0.27679650383221044,1.011826544021025,0.8614321854159194,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_494287_a96cae_ef2d12_f5ca38,0.33973214285714287,0.3561936763580266,0.371031910256198,1.011826544021025,0.8614321854159194,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_a2cffa_156070_4e0740_f5ca38,0.565625,0.5828531483335042,0.35251921623157695,1.128650355169692,1.031222978365823,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_a2cffa_156070_ef2d12_f5ca38,0.565625,0.5828531483335042,0.457845685245576,1.128650355169692,1.031222978365823,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_a2cffa_23e5f3_4e0740_f5ca38,0.7361607142857143,0.7514785688944016,0.35251921623157695,1.1431170406306852,1.0820474674890135,True,too_dense_or_no_background_enrichment,both,
r02v2_industry_market_support_persistence_ae7180_a2cffa_23e5f3_ef2d12_f5ca38,0.7361607142857143,0.7514785688944016,0.457845685245576,1.1431170406306852,1.0820474674890135,True,too_dense_or_no_background_enrichment,both,
