structure_candidate_id,split,bucket_type,bucket_id,action_time_denominator_n,signal_n,signal_rate,winner_base_rate,winner_given_signal,primary_LR,primary_LR_ci90_lower,posterior_stability_flag
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,商贸零售,588,2,0.003401360544217687,0.0,0.0,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,国防军工,3704,0,0.0,0.045689019896831246,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,基础化工,3129,4,0.001278363694471077,0.01854974704890388,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,家用电器,2371,1,0.00042176296921130323,0.062366737739872065,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,建筑材料,2032,1,0.0004921259842519685,0.012730744748567792,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,建筑装饰,4005,1,0.00024968789013732833,0.08305425318151373,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,房地产,1871,2,0.0010689470871191875,0.0020394289598912306,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,有色金属,4722,8,0.0016941973739940702,0.062482004031097035,0.25,5.001536098310292,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,机械设备,2227,0,0.0,0.009380863039399626,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,汽车,4805,8,0.0016649323621227888,0.1207473508087005,0.4,4.8545034642032325,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,煤炭,2613,3,0.001148105625717566,0.14240672622175513,0.3333333333333333,3.011070110701107,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,环保,22,0,0.0,0.0,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,电力设备,7740,12,0.0015503875968992248,0.054568937681627384,0.09090909090909091,1.7325443786982249,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,电子,6925,7,0.0010108303249097472,0.045023255813953486,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,石油石化,3489,5,0.0014330753797649756,0.12078220858895705,0.2,1.8198412698412698,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,社会服务,418,0,0.0,0.0,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,美容护理,42,0,0.0,0.0,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,计算机,4852,2,0.00041220115416323167,0.1811926605504587,0.5,4.518987341772152,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,轻工制造,1014,0,0.0,0.016455696202531647,,,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,通信,2156,1,0.00046382189239332097,0.25985221674876846,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,钢铁,1562,2,0.0012804097311139564,0.0008417508417508417,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,银行,10857,1,9.210647508519849e-05,0.012107129754188577,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,非银金融,10357,5,0.0004827652795210968,0.05245639728398349,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,industry,食品饮料,6714,4,0.0005957700327673518,0.018645731108930325,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,market_breadth_bucket,20_40,38267,20,0.0005226435309796953,0.04422961153015333,0.2222222222222222,6.17408212284113,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,market_breadth_bucket,40_60,31511,26,0.0008251086922027228,0.04761704454633408,0.05,1.0526780732750605,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,market_breadth_bucket,60_80,22069,15,0.0006796864379899406,0.05374806340126326,0.07692307692307693,1.467110125646711,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,market_breadth_bucket,gte80,4769,4,0.000838750262109457,0.0506248676127939,0.5,18.753138075313807,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,market_breadth_bucket,lt20,12354,15,0.0012141816415735794,0.08020415603353992,0.13333333333333333,1.7643356643356645,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,liquidity_bucket,q1,17774,2,0.00011252391133115787,0.05261849519390123,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,liquidity_bucket,q2,24264,12,0.0004945598417408506,0.05132679463264938,0.1111111111111111,2.3103751465416176,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,liquidity_bucket,q3,24085,16,0.0006643138883122275,0.05715068493150685,0.15384615384615385,2.999564194195066,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,liquidity_bucket,q4,25304,20,0.0007903888713246917,0.04740770627395602,0.17647058823529413,4.3057750759878415,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,liquidity_bucket,q5,17543,30,0.0017100837941059113,0.04746645303424795,0.10714285714285714,2.4081012658227845,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,validation,market_cap_bucket,missing_mcap,108970,80,0.0007341470129393411,0.05115971814445097,0.1323529411764706,2.829146706222795,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,calendar_year,2024,51442,181,0.0035185257182846702,0.08595520006304301,0.054878048780487805,0.6174561747244054,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,calendar_year,2025,58068,99,0.0017048977061376318,0.1232891872947947,0.42105263157894735,5.171644633044992,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,交通运输,8182,12,0.0014666340747983377,0.01820633850303439,0.0,0.0,,False
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,传媒,642,2,0.003115264797507788,0.0027397260273972603,0.5,364.0,,True
r02v2_acceleration_and_gap_persistence_813ecf_312b95_23e5f3_4e0740_f5ca38,robustness,industry,公用事业,6965,3,0.00043072505384063173,0.009879470460383323,0.0,0.0,,False
