filter_id,split_bucket,treated_lower_first_rate,control_lower_first_rate,lower_first_uplift_vs_compression_control,treated_fast_fail_rate,control_fast_fail_rate,fast_fail_uplift_vs_compression_control,treated_same_bar_conflict_rate,median_upper_barrier_return,median_abs_lower_barrier_return,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,compression_baseline_utility_total_indexed,utility_margin_vs_compression_baseline,utility_margin_vs_compression_baseline_ci_low,cost_buffer_return,cost_buffer_source,badside_status,utility_status,native_baseline_winner_rate,bootstrap_seed,bootstrap_resample_n,bootstrap_valid_replicates,bootstrap_ci_low_quantile,bootstrap_unit,ci_status
distance_to_60d_low__top_30pct,validation,0.48702882483370286,0.4781069958847737,0.008921828948929178,0.12239467849223946,0.13637860082304526,-0.013983922330805795,0.0,0.11884224753446344,0.05942112376723172,-0.019571939338557394,-0.002879587858381387,-0.003304659104742403,-0.006934174667082011,0.004054586808700624,0.0035933311457728217,0.01,lineage,fail,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
distance_to_60d_low__top_30pct,robustness,0.33651710350955133,0.35272052761747735,-0.016203424107926023,0.10133274100399822,0.11129431162407255,-0.009961570620074328,0.0,0.115795216973093,0.0578976084865465,-0.004503456715426487,-0.0007761251524664295,-0.0011042851008949536,-0.002672568108024259,0.0018964429555578294,0.0015635320029813418,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
distance_to_60d_low__top_20pct,train,0.46131673008186325,0.42259124718906765,0.03872548289279559,0.15830739075291134,0.1301677910396125,0.028139599713298824,0.0,0.1269670881218061,0.06348354406090305,-0.006201088508289097,-0.0002480790087935613,-0.00038723827106992343,-0.0016645376993812033,0.001416458690587642,0.0011613414613561076,0.01,lineage,fail,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
distance_to_60d_low__top_20pct,validation,0.49092369477911646,0.4781532285045166,0.012770466274599879,0.12530120481927712,0.1325526932084309,-0.007251488389153793,0.0,0.1219400641647215,0.06097003208236075,-0.01989232649047138,-0.0020198302380345532,-0.0023553348947026034,-0.006934174667082011,0.0049143444290474575,0.004358070425988626,0.01,lineage,fail,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
distance_to_60d_low__top_20pct,robustness,0.3476931949250288,0.34328916072035337,0.004404034204675444,0.10369088811995386,0.10815494393476045,-0.004464055814806592,0.0,0.11769455226865419,0.058847276134327095,-0.005720506620219926,-0.0007594406785996411,-0.0010455599811735807,-0.002672568108024259,0.001913127429424618,0.0015549234461502016,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_50pct,train,0.4339666144056073,0.42670603977298943,0.007260574632617867,0.1341418426634695,0.13745212937756657,-0.003310286714097055,0.0,0.10410868694592701,0.052054343472963505,-0.008154118319159414,-0.0008156600730153559,-0.0010320214829531828,-0.0016645376993812033,0.0008488776263658475,0.0006739686911826089,0.01,lineage,fail,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_50pct,validation,0.40417558886509636,0.5689447236180905,-0.1647691347529941,0.11090292648108493,0.15216080402010052,-0.04125787753901558,0.0,0.10216774046578099,0.051083870232890495,-0.012634410866756844,-0.002309792959932972,-0.0027027630399049474,-0.006934174667082011,0.004624381707149039,0.004198512677296719,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_50pct,robustness,0.3156716691740359,0.38576625505969153,-0.07009458588565565,0.0942281583678861,0.12363580468309679,-0.029407646315210687,0.0,0.10252018186712475,0.051260090933562374,-0.003335981279946743,-0.0006960624268638016,-0.00106601182087359,-0.002672568108024259,0.0019765056811604574,0.0016875205569848273,0.01,lineage,pass,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_40pct,train,0.42530988757567023,0.4335551367360283,-0.00824524916035807,0.13312193715768234,0.13735143659371515,-0.004229499436032819,0.0,0.10256721039664556,0.05128360519832278,-0.007560739447182689,-0.0006049107711070589,-0.0007949070332305282,-0.0016645376993812033,0.0010596269282741443,0.0008660107421131792,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
max_drawdown_60d__top_40pct,validation,0.3847084708470847,0.5546900894928737,-0.16998161864578898,0.10451045104510451,0.14973483592973152,-0.04522438488462702,0.0,0.10052193323654396,0.05026096661827198,-0.011299375924674797,-0.001675360516014385,-0.0020094668305465253,-0.006934174667082011,0.005258814151067626,0.004798592488320947,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
