primitive_id,filter_family_id,raw_feature_formula,bullish_score_formula,threshold_rule,threshold_quantile,threshold_value,threshold_source_split,threshold_source_scope,available_at,future_data_used,feature_availability_status,threshold_freeze_status
ret_60d,drawdown_exclusion,close / close.shift(60) - 1,ret_60d,top_30pct,0.7,0.017376627782937144,train,base_compression_cohort,reference_date_close,False,available,pass
ret_60d,drawdown_exclusion,close / close.shift(60) - 1,ret_60d,top_20pct,0.8,0.04762534851850109,train,base_compression_cohort,reference_date_close,False,available,pass
distance_to_60d_low,drawdown_exclusion,close / low_60d - 1,distance_to_60d_low,top_50pct,0.5,0.06447963800904977,train,base_compression_cohort,reference_date_close,False,available,pass
distance_to_60d_low,drawdown_exclusion,close / low_60d - 1,distance_to_60d_low,top_40pct,0.6,0.07920792079207928,train,base_compression_cohort,reference_date_close,False,available,pass
distance_to_60d_low,drawdown_exclusion,close / low_60d - 1,distance_to_60d_low,top_30pct,0.7,0.09725645531047285,train,base_compression_cohort,reference_date_close,False,available,pass
distance_to_60d_low,drawdown_exclusion,close / low_60d - 1,distance_to_60d_low,top_20pct,0.8,0.12144212523719178,train,base_compression_cohort,reference_date_close,False,available,pass
max_drawdown_60d,drawdown_exclusion,min(close / running_max_close - 1) over prior 60 sessions,max_drawdown_60d,top_50pct,0.5,-0.11470795214637586,train,base_compression_cohort,reference_date_close,False,available,pass
max_drawdown_60d,drawdown_exclusion,min(close / running_max_close - 1) over prior 60 sessions,max_drawdown_60d,top_40pct,0.6,-0.10282258064516125,train,base_compression_cohort,reference_date_close,False,available,pass
max_drawdown_60d,drawdown_exclusion,min(close / running_max_close - 1) over prior 60 sessions,max_drawdown_60d,top_30pct,0.7,-0.09126984126984128,train,base_compression_cohort,reference_date_close,False,available,pass
max_drawdown_60d,drawdown_exclusion,min(close / running_max_close - 1) over prior 60 sessions,max_drawdown_60d,top_20pct,0.8,-0.07809110629067251,train,base_compression_cohort,reference_date_close,False,available,pass
turnover_zscore_20d,participation,(turnover - mean20(turnover)) / std20(turnover),turnover_zscore_20d,top_50pct,0.5,-0.12679031738427451,train,base_compression_cohort,reference_date_close,False,available,pass
turnover_zscore_20d,participation,(turnover - mean20(turnover)) / std20(turnover),turnover_zscore_20d,top_40pct,0.6,0.1631598812311651,train,base_compression_cohort,reference_date_close,False,available,pass
turnover_zscore_20d,participation,(turnover - mean20(turnover)) / std20(turnover),turnover_zscore_20d,top_30pct,0.7,0.5272489508098294,train,base_compression_cohort,reference_date_close,False,available,pass
turnover_zscore_20d,participation,(turnover - mean20(turnover)) / std20(turnover),turnover_zscore_20d,top_20pct,0.8,1.017927245606128,train,base_compression_cohort,reference_date_close,False,available,pass
volume_up_price_not_down_5d,participation,sum(volume where close >= close.shift(1) over 5d) / sum(volume over 5d),volume_up_price_not_down_5d,top_50pct,0.5,0.5855504290116275,train,base_compression_cohort,reference_date_close,False,available,pass
volume_up_price_not_down_5d,participation,sum(volume where close >= close.shift(1) over 5d) / sum(volume over 5d),volume_up_price_not_down_5d,top_40pct,0.6,0.6351986771993207,train,base_compression_cohort,reference_date_close,False,available,pass
volume_up_price_not_down_5d,participation,sum(volume where close >= close.shift(1) over 5d) / sum(volume over 5d),volume_up_price_not_down_5d,top_30pct,0.7,0.6856292042579251,train,base_compression_cohort,reference_date_close,False,available,pass
volume_up_price_not_down_5d,participation,sum(volume where close >= close.shift(1) over 5d) / sum(volume over 5d),volume_up_price_not_down_5d,top_20pct,0.8,0.7883482452845267,train,base_compression_cohort,reference_date_close,False,available,pass
amount_ratio_5d_20d,participation,mean5(amount) / mean20(amount),amount_ratio_5d_20d,top_50pct,0.5,1.0055141136197394,train,base_compression_cohort,reference_date_close,False,available,pass
amount_ratio_5d_20d,participation,mean5(amount) / mean20(amount),amount_ratio_5d_20d,top_40pct,0.6,1.0775475116644033,train,base_compression_cohort,reference_date_close,False,available,pass
amount_ratio_5d_20d,participation,mean5(amount) / mean20(amount),amount_ratio_5d_20d,top_30pct,0.7,1.1662107669814483,train,base_compression_cohort,reference_date_close,False,available,pass
amount_ratio_5d_20d,participation,mean5(amount) / mean20(amount),amount_ratio_5d_20d,top_20pct,0.8,1.2788076529063603,train,base_compression_cohort,reference_date_close,False,available,pass
up_day_volume_share_20d,participation,sum(volume on up days over 20d) / sum(volume over 20d),up_day_volume_share_20d,top_50pct,0.5,0.5617413751276191,train,base_compression_cohort,reference_date_close,False,available,pass
up_day_volume_share_20d,participation,sum(volume on up days over 20d) / sum(volume over 20d),up_day_volume_share_20d,top_40pct,0.6,0.5925441827090225,train,base_compression_cohort,reference_date_close,False,available,pass
up_day_volume_share_20d,participation,sum(volume on up days over 20d) / sum(volume over 20d),up_day_volume_share_20d,top_30pct,0.7,0.6246347519236213,train,base_compression_cohort,reference_date_close,False,available,pass
up_day_volume_share_20d,participation,sum(volume on up days over 20d) / sum(volume over 20d),up_day_volume_share_20d,top_20pct,0.8,0.6616997520904622,train,base_compression_cohort,reference_date_close,False,available,pass
money_median_5d_vs_20d,participation,median5(money) / median20(money) - 1,money_median_5d_vs_20d,top_50pct,0.5,0.01319062251844505,train,base_compression_cohort,reference_date_close,False,available,pass
money_median_5d_vs_20d,participation,median5(money) / median20(money) - 1,money_median_5d_vs_20d,top_40pct,0.6,0.07723102010285099,train,base_compression_cohort,reference_date_close,False,available,pass
money_median_5d_vs_20d,participation,median5(money) / median20(money) - 1,money_median_5d_vs_20d,top_30pct,0.7,0.1722567003770319,train,base_compression_cohort,reference_date_close,False,available,pass
money_median_5d_vs_20d,participation,median5(money) / median20(money) - 1,money_median_5d_vs_20d,top_20pct,0.8,0.31075645980187505,train,base_compression_cohort,reference_date_close,False,available,pass
