pool_id,split,pool_status,reconstruction_method,score_feature,score_direction,train_quantile,train_reference_top20_threshold,nominal_top20_event_n,reconstructed_event_n,reconstructed_inside_n,reconstructed_bad_side_n,reconstructed_precision,reconstructed_bad_side_rate,reconstructed_membership_hash,published_event_n,published_inside_n,published_bad_side_n,published_bad_side_n_derived,published_precision,published_bad_side_rate,event_n_match,inside_n_match,bad_side_n_hard_gate_applied,bad_side_n_match,tie_expansion_n,precision_abs_diff,bad_side_rate_abs_diff,refit_feature_hash_match,reconstruction_status,skip_reason
r_core_interaction_top20,validation,ok,deterministic_score_from_feature_matrix,prior_r_core_event_count_20d,higher_is_selected,0.8,3.0,430,314,8,100,0.025477707006369428,0.3184713375796178,b06109ebabd666761f93a752872e20e2d85c9f8d3fd46d9803eb3eb6dbfa6e67,314,8,,100,0.0254777070063694,0.3184713375796178,True,True,False,,-116,2.7755575615628914e-17,0.0,,ok,
r_core_interaction_top20,robustness,ok,deterministic_score_from_feature_matrix,prior_r_core_event_count_20d,higher_is_selected,0.8,3.0,932,989,101,303,0.10212335692618807,0.3063700707785642,5cde3ac60d73d7eab8ac8610a0faa4901e10a16a50c2eb79f5c6b05b93ab453c,989,101,,303,0.102123356926188,0.3063700707785642,True,True,False,,57,6.938893903907228e-17,0.0,,ok,
shallow_tree_top20,all,refit_feature_hash_mismatch,refit_12A4_primary_model_from_feature_matrix,meta_label_score,higher_is_selected,,0.1770588235294117,3023,3670,495,1629,0.13487738419618528,0.4438692098092643,3b85a811ce6093265a15d2fd0b1bb163cbf1911ac2fa0604108dbe6f83f4762a,3670,495,,1629,0.1348773841961852,0.4438692098092643,True,True,False,,647,8.326672684688674e-17,0.0,False,refit_feature_hash_mismatch,fit
shallow_tree_top20,train,refit_feature_hash_mismatch,refit_12A4_primary_model_from_feature_matrix,meta_label_score,higher_is_selected,,0.1770588235294117,1661,1700,301,835,0.17705882352941177,0.49117647058823527,3a7bb4be2a3b55da3f5700a95b4e4ad65775cacac8dbba7cc07487d614d5cd03,1700,301,,835,0.1770588235294117,0.4911764705882352,True,True,False,,39,5.551115123125783e-17,5.551115123125783e-17,False,refit_feature_hash_mismatch,fit
shallow_tree_top20,validation,refit_feature_hash_mismatch,refit_12A4_primary_model_from_feature_matrix,meta_label_score,higher_is_selected,,0.1770588235294117,430,435,12,171,0.027586206896551724,0.3931034482758621,24dcd82bcbf8bc04a9916662747dc8cdce7dc9392ed4ba711fea6d794ead3832,435,12,,171,0.0275862068965517,0.3931034482758621,True,True,False,,5,2.42861286636753e-17,0.0,False,refit_feature_hash_mismatch,fit
shallow_tree_top20,robustness,refit_feature_hash_mismatch,refit_12A4_primary_model_from_feature_matrix,meta_label_score,higher_is_selected,,0.1770588235294117,932,1535,182,623,0.11856677524429968,0.4058631921824104,357b417c3e555aadfc41b85db3750c4a581acc7c6ff3d2d243240554b746a966,1535,182,,623,0.1185667752442996,0.4058631921824104,True,True,False,,603,8.326672684688674e-17,0.0,False,refit_feature_hash_mismatch,fit
lightgbm_top20,all,refit_feature_hash_mismatch,refit_12A4_lightgbm_challenger_from_feature_matrix,meta_label_score,higher_is_selected,,0.1169754039444985,3023,3853,616,1579,0.15987542174928626,0.4098105372437062,ab3ff7c26073387f5d1e574b96e43d539458909d3590cf0b01db0ef78cdbe1ac,3795,616,,1545,0.1623188405797101,0.4071146245059288,False,True,False,,830,0.0024434188304238436,0.0026959127377774172,False,refit_feature_hash_mismatch,fit
lightgbm_top20,train,refit_feature_hash_mismatch,refit_12A4_lightgbm_challenger_from_feature_matrix,meta_label_score,higher_is_selected,,0.1169754039444985,1661,1667,411,751,0.2465506898620276,0.4505098980203959,4419e5936a7fcba873e5166c25bc13378e48caad4e5794521a67ff465ffd48c7,1661,412,,736,0.2480433473810957,0.4431065623118603,False,False,False,,6,0.0014926575190681024,0.00740333570853563,False,refit_feature_hash_mismatch,fit
lightgbm_top20,validation,refit_feature_hash_mismatch,refit_12A4_lightgbm_challenger_from_feature_matrix,meta_label_score,higher_is_selected,,0.1169754039444985,430,563,13,222,0.023090586145648313,0.39431616341030196,1aa6805b95e00ae69bf77cc8a196b971e0bcfe3e819e058bccd81894df85a53c,544,11,,208,0.0202205882352941,0.3823529411764705,False,False,False,,133,0.0028699979103542113,0.01196322223383145,False,refit_feature_hash_mismatch,fit
lightgbm_top20,robustness,refit_feature_hash_mismatch,refit_12A4_lightgbm_challenger_from_feature_matrix,meta_label_score,higher_is_selected,,0.1169754039444985,932,1623,192,606,0.11829944547134935,0.3733826247689464,a49401b04dc64c37c71b514e009def6d02d6149431349c56847c0bb2fee79a7d,1590,193,,601,0.1213836477987421,0.3779874213836478,False,False,False,,691,0.003084202327392746,0.004604796614701423,False,refit_feature_hash_mismatch,fit
