arm_id,target_regime,split,market_regime_bucket,selected_event_count,density_granularity,density_reference_scope_id,events_per_instrument_year_mean,events_per_instrument_year_p95,density_vs_e1_full_denominator,rolling_10d_duplicate_rate,adjacent_gap_median,fast_fail_10d_count,fast_fail_10d_rate,fast_fail_10d_excess_vs_e1,false_repair_20d_count,false_repair_20d_rate,false_repair_20d_excess_vs_e1,event_level_label_source_status,direct_entry_density_gate_pass,feature_source_density_gate_pass
r6_r1_r7_bridge_pool,risk_off,robustness,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r1_r7_bridge_pool,risk_off,validation,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r2_low_fast_fail_support,risk_on,all,risk_on,15430,selected_arm_recomputed,07_E1_only,4.259577959601293,11.572359563608956,2.2624633431085046,0.22352559948152947,28.0,3886,0.2525508546175343,0.1159258968901079,4930,0.31950745301360983,0.11127255594982313,event_level_label_available,False,True
r6_r2_low_fast_fail_support,risk_on,train,risk_on,8069,selected_arm_recomputed,07_E1_only,2.227513581077306,5.350007832603568,1.1831378299120234,0.23187507745693395,25.0,2280,0.2835820895522388,0.1445477672718433,2989,0.3704300408972611,0.14711217546802682,event_level_label_available,True,True
r6_r2_low_fast_fail_support,risk_on,robustness,risk_on,5017,selected_arm_recomputed,07_E1_only,1.3849839678107378,2.6556798426030093,0.7356304985337243,0.22304165836157067,23.0,1193,0.23836163836163837,0.10365290049756076,1325,0.2641020530197329,0.08470811362579359,event_level_label_available,True,True
r6_r2_low_fast_fail_support,risk_on,validation,risk_on,2344,selected_arm_recomputed,07_E1_only,0.6470804107132488,1.1922953472143867,0.3436950146627566,0.189419795221843,27.0,413,0.17634500426985483,0.04591022166115924,616,0.2627986348122867,0.05990008408764902,event_level_label_available,True,True
r6_r2_low_fast_fail_support,transition,all,transition,8850,selected_arm_recomputed,07_E1_only,2.44311503191649,6.456725139151954,1.2976539589442815,0.13435028248587572,69.0,1752,0.19812280900147008,0.057006057732434584,2300,0.2598870056497175,0.0634403051421033,event_level_label_available,True,True
r6_r2_low_fast_fail_support,transition,train,transition,4025,selected_arm_recomputed,07_E1_only,1.1111342376795337,2.7603058987720885,0.5901759530791789,0.13391304347826086,80.0,866,0.21536931111663765,0.04384072301862135,1041,0.25863354037267083,0.04859853453836513,event_level_label_available,True,True
r6_r2_low_fast_fail_support,transition,robustness,transition,1629,selected_arm_recomputed,07_E1_only,0.44969880079005226,0.8433301820340925,0.23885630498533725,0.1092694904849601,64.0,227,0.13943488943488944,0.06309901157229404,335,0.2056476365868631,0.07078758569627791,event_level_label_available,True,True
r6_r2_low_fast_fail_support,transition,validation,transition,3196,selected_arm_recomputed,07_E1_only,0.8822819934469042,1.7466202041735177,0.4686217008797654,0.1476846057571965,39.0,659,0.2063243581715717,0.06604658039379399,924,0.28911138923654567,0.07522250034765687,event_level_label_available,True,True
r6_r2_low_fast_fail_support,risk_off,all,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r2_low_fast_fail_support,risk_off,train,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r2_low_fast_fail_support,risk_off,robustness,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r2_low_fast_fail_support,risk_off,validation,risk_off,0,selected_arm_recomputed,07_E1_only,,,,,,0,,,0,,,not_available_publishable_source,False,False
r6_r1_r2_r7_bridge_pool,risk_on,all,risk_on,24657,selected_arm_recomputed,07_E1_only,6.806766931295469,18.620125299747713,3.615395894428153,0.4520420164659123,12.0,6546,0.2661191966826571,0.1294942389552307,8230,0.3337794541103946,0.1255445570466079,event_level_label_available,False,False
