arm_id,arm_type,target_regime,source_family_ids,r2_policy,upstream_a_decision,upstream_b_decision,source_caveat_status,train_selected_event_count,validation_selected_event_count,robustness_selected_event_count,density_vs_e1_full_denominator,events_per_instrument_year_mean,events_per_instrument_year_p95,density_granularity,rolling_10d_duplicate_rate,adjacent_gap_median,cross_family_collision_rate,single_family_selected_share_max,train_incremental_recall_over_e1,train_bridge_delta_vs_e1,robustness_incremental_recall_over_e1,robustness_bridge_delta_vs_e1,fast_fail_10d_rate,fast_fail_10d_excess_vs_e1,false_repair_20d_rate,false_repair_20d_excess_vs_e1,direct_entry_gate_pass,feature_source_gate_pass,target_regime_decision_tier,final_decision,ranker_arm_status,train_cell_sample_status,robustness_cell_sample_status,sample_status_gate_pass,borderline_pass_flag,borderline_metric_names,failure_reason
r6_r1_r7_bridge_pool,family_pool,transition,R6_market_breadth_thrust;R1_relative_strength_breakout;R7_cross_sectional_momentum_rank_jump,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,6090,4896,2415,1.9649560117302052,3.699455880532529,10.2232631612388,selected_arm_recomputed,0.3368405342884859,26.0,0.0,0.4216849488844116,0.256578947368421,0.00990099009900991,0.03999999999999998,-0.05818181818181817,0.2005227781926811,0.059406026923645605,0.2681143198268786,0.07166761931926441,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,robustness_incremental_recall_over_e1,bridge;duplicate;false_repair
r6_r1_r7_bridge_pool,family_pool,risk_off,R6_market_breadth_thrust;R1_relative_strength_breakout;R7_cross_sectional_momentum_rank_jump,r2_diagnostic_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
r6_r2_low_fast_fail_support,family_pool,risk_on,R6_market_breadth_thrust;R2_near_high_volume_expansion,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,8069,2344,5017,2.2624633431085046,4.259577959601293,11.572359563608956,selected_arm_recomputed,0.22352559948152947,28.0,0.0003888528839922229,0.5409591704471808,0.33777777777777784,0.10396825396825399,0.3977900552486187,0.1270718232044199,0.2525508546175343,0.1159258968901079,0.31950745301360983,0.11127255594982313,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,duplicate;false_repair;fast_fail
r6_r2_low_fast_fail_support,family_pool,transition,R6_market_breadth_thrust;R2_near_high_volume_expansion,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,4025,3196,1629,1.2976539589442815,2.44311503191649,6.456725139151954,selected_arm_recomputed,0.13435028248587572,69.0,0.0,0.7227118644067797,0.23684210526315785,-0.03205254300264465,0.019999999999999962,-0.09999999999999998,0.19812280900147008,0.057006057732434584,0.2598870056497175,0.0634403051421033,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,bridge;false_repair;recall;selected_share
r6_r2_low_fast_fail_support,family_pool,risk_off,R6_market_breadth_thrust;R2_near_high_volume_expansion,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
r6_r1_r2_r7_bridge_pool,family_pool,risk_on,R6_market_breadth_thrust;R1_relative_strength_breakout;R2_near_high_volume_expansion;R7_cross_sectional_momentum_rank_jump,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,13071,3662,7924,3.615395894428153,6.806766931295469,18.620125299747713,selected_arm_recomputed,0.4520420164659123,12.0,0.0008922415541225615,0.35332765543253436,0.3555555555555556,0.12888888888888894,0.43093922651933697,0.18232044198895025,0.2661191966826571,0.1294942389552307,0.3337794541103946,0.1255445570466079,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,density;duplicate;false_repair;fast_fail;oos_separability;p95
r6_r1_r2_r7_bridge_pool,family_pool,transition,R6_market_breadth_thrust;R1_relative_strength_breakout;R2_near_high_volume_expansion;R7_cross_sectional_momentum_rank_jump,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,6759,5480,2651,2.1832844574780057,4.110506533925032,11.289675971215456,selected_arm_recomputed,0.3820685023505708,20.0,0.0,0.37951645399597045,0.26315789473684204,0.013201320132013195,0.03999999999999998,-0.05818181818181817,0.20202970629746622,0.06091295502843072,0.26783075889858965,0.07138405839097545,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,robustness_incremental_recall_over_e1,bridge;duplicate;false_repair
r6_r1_r2_r7_bridge_pool,family_pool,risk_off,R6_market_breadth_thrust;R1_relative_strength_breakout;R2_near_high_volume_expansion;R7_cross_sectional_momentum_rank_jump,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
family_budget_equal_weight,family_budget,risk_on,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,9381,376,473,1.5000000000000002,2.8240753419780447,6.363141410810745,selected_arm_recomputed,0.5659824046920822,5.0,0.33352883675464323,0.2,0.20444444444444454,-0.11111111111111108,0.0331491712707182,-0.3259668508287293,0.2786788557947508,0.14205389806732444,0.38015640273704787,0.17192150567326117,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,robustness_incremental_recall_over_e1,bridge;duplicate;false_repair;fast_fail
family_budget_equal_weight,family_budget,transition,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,8150,1735,345,1.5000000000000002,2.8240753419780447,7.117608459650041,selected_arm_recomputed,0.4835777126099707,7.0,0.3785923753665689,0.2,0.24342105263157898,-0.03205254300264465,0.0,-0.22999999999999998,0.23338228095937347,0.09226552969033797,0.2813294232649071,0.08488272275729292,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,bridge;duplicate;false_repair;recall
family_budget_equal_weight,family_budget,risk_off,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
family_budget_bridge_weighted_train_only,family_budget,risk_on,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,9435,364,428,1.499560117302053,2.8232471673909543,6.590889422260588,selected_arm_recomputed,0.5494279847462599,5.0,0.32991101984941823,0.31534174244646523,0.20000000000000007,-0.11111111111111108,0.022099447513812154,-0.3314917127071823,0.2833956325004918,0.14677067477306543,0.3673609074019752,0.1591260103381885,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,robustness_incremental_recall_over_e1,bridge;duplicate;false_repair;fast_fail;recall
family_budget_bridge_weighted_train_only,family_budget,transition,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,8499,1401,328,1.4997067448680352,2.823523225586651,6.806490873099771,selected_arm_recomputed,0.49784904184591317,6.0,0.3873680093859992,0.32098161908486506,0.2467105263157895,0.0033003300330032848,0.0,-0.22,0.23083700440528634,0.08972025313625084,0.2795267892061009,0.08308008869848671,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,bridge;duplicate;false_repair;oos_separability;recall
family_budget_bridge_weighted_train_only,family_budget,risk_off,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
cooldown_20d_ranked_within_bucket,cooldown,risk_on,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,6497,2096,3848,1.8241935483870968,3.4344400126636216,8.970787127362517,selected_arm_recomputed,0.0,55.0,0.0,0.6329073225624949,0.3466666666666667,0.09950396825396829,0.4198895027624309,0.09392265193370164,0.29311734364925857,0.15649238592183218,0.3699863355035769,0.1617514384397902,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,false_repair;fast_fail
cooldown_20d_ranked_within_bucket,cooldown,transition,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,3969,2996,1925,1.3035190615835779,2.4541573597443613,6.390195113989029,selected_arm_recomputed,0.0,80.0,0.0,0.6034870641169854,0.2532894736842105,-0.02874128472449894,0.03999999999999998,-0.07838383838383836,0.21132627786534564,0.07020952659631013,0.2786276715410574,0.08218097103344318,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,robustness_incremental_recall_over_e1,bridge;false_repair
cooldown_20d_ranked_within_bucket,cooldown,risk_off,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
cooldown_40d_ranked_within_bucket,cooldown,risk_on,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,4873,1705,2796,1.3744868035190616,2.587769526461602,6.728090345521887,selected_arm_recomputed,0.0,88.0,0.0,0.7121826328141668,0.3022222222222223,0.05932539682539684,0.3756906077348066,0.03867403314917128,0.2811730707481537,0.1445481130207273,0.3560913164070834,0.1478564193432967,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,train_bridge_delta_vs_e1;robustness_bridge_delta_vs_e1,false_repair;fast_fail;oos_separability;selected_share
cooldown_40d_ranked_within_bucket,cooldown,transition,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,3426,2374,1726,1.1035190615835777,2.0776139808139553,5.325162594990858,selected_arm_recomputed,0.0,105.0,0.0,0.6401807068828063,0.23355263157894735,-0.05854260922781018,0.02999999999999997,-0.09858585858585858,0.20577281191806332,0.06465606064902782,0.2721233058729737,0.07567660536535947,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,robustness_incremental_recall_over_e1,bridge;false_repair;recall
cooldown_40d_ranked_within_bucket,cooldown,risk_off,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
top_k_per_instrument_month_family_aware,top_k,risk_on,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,8340,2647,5044,2.3505865102639296,4.425488935215057,11.961049503150022,selected_arm_recomputed,0.11053583681616867,33.0,0.0006237914041544507,0.5400785977169235,0.3466666666666667,0.11289682539682544,0.42541436464088395,0.13259668508287292,0.2894489961848771,0.15282403845745074,0.36566652111533904,0.15743162405155234,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,false_repair;fast_fail
top_k_per_instrument_month_family_aware,top_k,transition,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,4768,3665,2277,1.5703812316715544,2.9565832759124984,7.810238472653258,selected_arm_recomputed,0.09897292250233426,61.0,0.0,0.5255835667600374,0.2598684210526315,-0.015496251611916145,0.03999999999999998,-0.07838383838383836,0.2114755630314924,0.0703588117624569,0.2797385620915033,0.08329186158388907,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,True,robustness_incremental_recall_over_e1,bridge;false_repair
top_k_per_instrument_month_family_aware,top_k,risk_off,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,0,0,0,,,,selected_arm_recomputed,,,,,0.0,-0.380764163372859,0.0,-0.33613445378151263,,,,,False,False,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,diagnostic_only,diagnostic_only,False,False,,risk_off_diagnostic_only
top_k_per_instrument_20d_family_aware,top_k,risk_on,R1_relative_strength_breakout;R2_near_high_volume_expansion;R6_market_breadth_thrust;R7_cross_sectional_momentum_rank_jump;R8_persistent_distance_above_ema,r2_family_budget_only,density_fast_fail_audit_partial_source_complete,regime_family_matrix_source_caveated_complete,source_caveated_pre_replay,6497,2096,3848,1.8241935483870968,3.4344400126636216,8.970787127362517,selected_arm_recomputed,0.0,55.0,0.0,0.6329073225624949,0.3466666666666667,0.09950396825396829,0.4198895027624309,0.09392265193370164,0.29311734364925857,0.15649238592183218,0.3699863355035769,0.1617514384397902,False,False,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,deterministic_arm_complete,sufficient_for_cell_readout,sufficient_for_cell_readout,True,False,,false_repair;fast_fail
