arm_id,target_regime,target_regime_decision_tier,final_decision,direct_entry_gate_pass,feature_source_gate_pass,density_gate_pass,p95_gate_pass,duplicate_gate_pass,bridge_gate_pass,recall_gate_pass,fast_fail_gate_pass,false_repair_gate_pass,selected_share_gate_pass,sample_status_gate_pass,oos_separability_status,borderline_pass_flag,borderline_metric_names,supported_usage,failure_reason
r6_r1_r2_r7_bridge_pool,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
family_budget_equal_weight,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,True,False,False,True,False,False,True,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair;fast_fail
family_budget_equal_weight,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,True,True,positive,False,,diagnostic_only,bridge;duplicate;false_repair;recall
family_budget_equal_weight,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
family_budget_bridge_weighted_train_only,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,True,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair;fast_fail;recall
family_budget_bridge_weighted_train_only,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,True,True,not_positive_or_low_power,False,,diagnostic_only,bridge;duplicate;false_repair;oos_separability;recall
family_budget_bridge_weighted_train_only,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
cooldown_20d_ranked_within_bucket,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,True,True,True,False,False,False,True,positive,False,,diagnostic_only,false_repair;fast_fail
cooldown_20d_ranked_within_bucket,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,True,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;false_repair
cooldown_20d_ranked_within_bucket,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
cooldown_40d_ranked_within_bucket,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,True,True,False,False,False,True,not_positive_or_low_power,True,train_bridge_delta_vs_e1;robustness_bridge_delta_vs_e1,diagnostic_only,false_repair;fast_fail;oos_separability;selected_share
cooldown_40d_ranked_within_bucket,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;false_repair;recall
cooldown_40d_ranked_within_bucket,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
top_k_per_instrument_month_family_aware,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,True,True,True,False,False,False,True,positive,False,,diagnostic_only,false_repair;fast_fail
top_k_per_instrument_month_family_aware,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,True,False,True,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;false_repair
top_k_per_instrument_month_family_aware,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
top_k_per_instrument_20d_family_aware,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,True,True,True,False,False,False,True,positive,False,,diagnostic_only,false_repair;fast_fail
top_k_per_instrument_20d_family_aware,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,True,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;false_repair
top_k_per_instrument_20d_family_aware,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
market_day_family_quota,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,True,False,False,True,True,positive,False,,diagnostic_only,bridge;duplicate;false_repair;fast_fail
market_day_family_quota,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,True,True,positive,False,,diagnostic_only,bridge;duplicate;false_repair;recall
market_day_family_quota,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
cross_family_collision_suppression,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,True,True,False,False,True,True,positive,False,,diagnostic_only,density;duplicate;false_repair;fast_fail;p95
cross_family_collision_suppression,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,True,False,False,True,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;density;duplicate;false_repair;p95
cross_family_collision_suppression,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
fast_fail_rejector_overlay_train_only,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,True,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair;fast_fail;recall
fast_fail_rejector_overlay_train_only,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,True,True,not_positive_or_low_power,False,,diagnostic_only,bridge;duplicate;false_repair;oos_separability;recall
fast_fail_rejector_overlay_train_only,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
false_repair_rejector_overlay_train_only,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,True,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair;fast_fail;recall
false_repair_rejector_overlay_train_only,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,True,True,not_positive_or_low_power,False,,diagnostic_only,bridge;duplicate;false_repair;oos_separability;recall
false_repair_rejector_overlay_train_only,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
bridge_positive_ranker_with_fast_fail_penalty,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair;fast_fail;recall
bridge_positive_ranker_with_fast_fail_penalty,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,False,True,not_positive_or_low_power,False,,diagnostic_only,bridge;duplicate;false_repair;oos_separability;recall
bridge_positive_ranker_with_fast_fail_penalty,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
supervised_bridge_ranker,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,False,True,positive,True,robustness_incremental_recall_over_e1,diagnostic_only,bridge;duplicate;false_repair;fast_fail;recall
supervised_bridge_ranker,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,False,False,False,False,False,False,True,not_positive_or_low_power,False,,diagnostic_only,bridge;duplicate;false_repair;oos_separability;recall
supervised_bridge_ranker,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
r2_budget_only_arm,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,False,positive,False,,diagnostic_only,bridge;false_repair;fast_fail;recall;sample_status;selected_share
r2_budget_only_arm,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,True,True,True,False,False,False,False,False,False,positive,True,train_incremental_recall_over_e1,diagnostic_only,bridge;false_repair;recall;sample_status;selected_share
r2_budget_only_arm,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
r2_diagnostic_only_arm,risk_on,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,bridge;density;duplicate;false_repair;fast_fail;oos_separability;p95;recall;sample_status;selected_share;source
r2_diagnostic_only_arm,transition,diagnostic_only_or_no_candidate,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,bridge;density;duplicate;false_repair;fast_fail;oos_separability;p95;recall;sample_status;selected_share;source
r2_diagnostic_only_arm,risk_off,risk_off_diagnostic_only,risk_on_r_series_ranker_source_caveated_complete,False,False,False,False,False,False,False,False,False,False,False,not_positive_or_low_power,False,,diagnostic_only,risk_off_diagnostic_only
