split,grouping_scheme,row_grain,outcome,bucket_count,sufficient_bucket_count,sufficient_bucket_ratio,covered_episode_count,covered_fresh_step_count,parent_grouping_scheme,weighted_abs_lift_vs_parent,weighted_signed_lift_vs_parent,max_abs_lift_vs_parent,median_abs_lift_vs_parent,sample_sufficiency_status,interpretability_status
validation,kth_offset,fresh_step,fresh_max_drawdown_120d_p50,15,10,0.6666666666666666,3137,3150.0,fresh_count,0.020691814433044835,0.0008269317899318108,0.08520406907679287,0.016471735833437612,sufficient,comparable
robustness,kth_offset,fresh_step,seed_anchor_big_winner_rate,15,10,0.6666666666666666,3586,3602.0,fresh_count,0.014726127904628173,-5.4430844395918975e-18,0.1065989847715736,0.01860176631702591,sufficient,comparable
robustness,kth_offset,fresh_step,seed_P_good_minus_P_bad,15,10,0.6666666666666666,3586,3602.0,fresh_count,0.01743295213193994,-2.6000443628170026e-17,0.20128250801567515,0.02037712161085492,sufficient,comparable
robustness,kth_offset,fresh_step,fresh_anchor_big_winner_rate,15,10,0.6666666666666666,3586,3602.0,fresh_count,0.011212467307835221,-9.968083820457311e-19,0.0887708425557031,0.017645580226225394,sufficient,comparable
robustness,kth_offset,fresh_step,fresh_P_good_minus_P_bad,15,10,0.6666666666666666,3586,3602.0,fresh_count,0.03910875072263773,-6.80262340304495e-17,0.37782982045277125,0.040596637491051135,sufficient,comparable
robustness,kth_offset,fresh_step,fresh_max_gain_120d_p50,15,10,0.6666666666666666,3586,3602.0,fresh_count,0.015530332077498035,-0.0004104042127054268,0.03764952309194669,0.0166832460167472,sufficient,comparable
robustness,kth_offset,fresh_step,fresh_max_drawdown_120d_p50,15,10,0.6666666666666666,3586,3602.0,fresh_count,0.017599788641456327,-0.003195009693168024,0.07728684752350981,0.02196157781676769,sufficient,comparable
all,kth_offset,fresh_step,seed_anchor_big_winner_rate,15,13,0.8666666666666667,12247,12302.0,fresh_count,0.02697387935409975,-1.6897676639708266e-18,0.06763518966908799,0.03569940895018295,sufficient,comparable
all,kth_offset,fresh_step,seed_P_good_minus_P_bad,15,13,0.8666666666666667,12247,12302.0,fresh_count,0.013149888298626912,-2.818335873935121e-17,0.1324174853586617,0.010153277447566667,sufficient,comparable
all,kth_offset,fresh_step,fresh_anchor_big_winner_rate,15,13,0.8666666666666667,12247,12302.0,fresh_count,0.01825953928597479,-3.0868540247757042e-18,0.042049305429805735,0.02307438272611631,sufficient,comparable
