split,family,stage_role_candidate,episode_count,stage_count,median_wait_return,up_10pct_plus_price_state_share,seed_anchor_big_winner_denominator,seed_anchor_big_winner_rate,seed_path_denominator,seed_P_good,seed_P_bad,fresh_anchor_big_winner_denominator,fresh_anchor_big_winner_rate,fresh_path_denominator,fresh_P_good,fresh_P_bad,sample_sufficiency_status
validation,range_breakout,probe_candidate,4424,1,0.0,0.0,3300.0,0.05333333333333334,3326.0,0.3361395069152135,0.6211665664461816,0.0,,0.0,,,sufficient
validation,volatility_band,early_confirmation,838,1,0.0342612087362284,0.0477326968973747,596.0,0.053691275167785234,600.0,0.5933333333333334,0.3233333333333333,610.0,0.036065573770491806,614.0,0.3257328990228013,0.6058631921824105,sufficient
validation,volatility_band,lagging_price_state_proxy,56,1,0.10828414660719365,0.6071428571428571,52.0,0.07692307692307693,52.0,0.8846153846153846,0.11538461538461539,48.0,0.0,48.0,0.20833333333333334,0.7916666666666666,thin_episode_denominator
validation,volatility_band,late_continuation,852,2,0.06276150727789176,0.215962441314554,682.0,0.09970674486803519,692.0,0.7832369942196532,0.18786127167630057,672.0,0.06547619047619048,680.0,0.35294117647058826,0.6176470588235294,sufficient
validation,volatility_band,not_supported,2564,1,,0.0,1966.0,0.03255340793489318,1986.0,0.08157099697885196,0.8912386706948641,0.0,,0.0,,,sufficient
validation,volatility_band,probe_candidate,1472,1,0.0,0.0,1102.0,0.06896551724137931,1102.0,0.3194192377495463,0.6460980036297641,0.0,,0.0,,,sufficient
validation,volume_money,early_confirmation,1236,2,0.02554512915756324,0.06877022653721683,941.0,0.07120085015940489,953.0,0.6002098635886673,0.3252885624344176,916.0,0.05240174672489083,924.0,0.408008658008658,0.5508658008658008,sufficient
validation,volume_money,lagging_price_state_proxy,34,1,0.19747904070246003,0.7058823529411765,32.0,0.4375,32.0,0.9375,0.0625,32.0,0.125,32.0,0.3125,0.6875,thin_episode_denominator
validation,volume_money,late_continuation,392,2,0.05683959722242249,0.1913265306122449,315.0,0.07936507936507936,315.0,0.780952380952381,0.19047619047619047,310.0,0.03870967741935484,310.0,0.35161290322580646,0.603225806451613,sufficient
validation,volume_money,not_supported,1864,1,,0.0,1428.0,0.036414565826330535,1436.0,0.05013927576601671,0.9220055710306406,0.0,,0.0,,,sufficient
validation,volume_money,probe_candidate,2256,1,0.0,0.0,1682.0,0.05112960760998811,1696.0,0.31721698113207547,0.6580188679245284,0.0,,0.0,,,sufficient
robustness,momentum_rps,early_confirmation,1054,1,0.04081624363695324,0.10246679316888045,750.0,0.13866666666666666,764.0,0.6649214659685864,0.3193717277486911,732.0,0.1092896174863388,740.0,0.3621621621621622,0.6027027027027027,sufficient
robustness,momentum_rps,late_continuation,834,3,0.06629836922564891,0.21342925659472423,656.0,0.10975609756097561,668.0,0.8053892215568862,0.18263473053892215,604.0,0.056291390728476824,616.0,0.34415584415584416,0.6071428571428571,sufficient
robustness,momentum_rps,not_supported,2562,1,,0.0,1804.0,0.04767184035476718,1832.0,0.18777292576419213,0.767467248908297,0.0,,0.0,,,sufficient
robustness,momentum_rps,probe_candidate,1496,1,0.0,0.0,974.0,0.14168377823408623,982.0,0.37474541751527496,0.604887983706721,0.0,,0.0,,,sufficient
robustness,oscillator,early_confirmation,1144,1,0.03536312054590007,0.13111888111888112,808.0,0.10643564356435643,824.0,0.6990291262135923,0.25970873786407767,768.0,0.09114583333333333,778.0,0.42930591259640105,0.5398457583547558,sufficient
