policy_id,split_bucket,context_stratum,binary_step_n,positive_n,negative_n,neutral_step_n,defended_binary_step_n,continued_binary_step_n,defended_positive_n,defended_negative_n,continued_positive_n,continued_negative_n,neutral_defended_n,neutral_continued_n,binary_negative_base_rate,defense_rate,defense_negative_capture_rate,positive_sacrifice_rate,defense_precision,defense_precision_lift_vs_binary_negative_base,continue_positive_precision,continue_negative_leakage_rate,neutral_defense_rate,valid_stratum_power,context_independence_status,context_caveat
defense_bottom_10pct_continuation_score_v1,validation,all_steps,505,325,180,159,63,442,26,37,299,143,12,147,0.3564356435643564,0.12475247524752475,0.20555555555555555,0.08,0.5873015873015873,0.2308659437372309,0.6764705882352942,0.7944444444444444,0.07547169811320754,True,readout,
defense_bottom_10pct_continuation_score_v1,validation,late_rescue_context,368,222,146,121,45,323,18,27,204,119,8,113,0.3967391304347826,0.12228260869565218,0.18493150684931506,0.08108108108108109,0.6,0.20326086956521738,0.631578947368421,0.815068493150685,0.06611570247933884,True,readout,
defense_bottom_10pct_continuation_score_v1,validation,non_late_rescue_context,137,103,34,38,18,119,8,10,95,24,4,34,0.24817518248175183,0.13138686131386862,0.29411764705882354,0.07766990291262135,0.5555555555555556,0.3073803730738037,0.7983193277310925,0.7058823529411765,0.10526315789473684,True,readout,
defense_bottom_10pct_continuation_score_v1,validation,known_failed_context_any,452,280,172,147,58,394,24,34,256,138,9,138,0.3805309734513274,0.12831858407079647,0.19767441860465115,0.08571428571428572,0.5862068965517241,0.20567592310039667,0.649746192893401,0.8023255813953488,0.061224489795918366,True,readout,
defense_bottom_10pct_continuation_score_v1,validation,non_known_failed_context,53,45,8,12,5,48,2,3,43,5,3,9,0.1509433962264151,0.09433962264150944,0.375,0.044444444444444446,0.6,0.4490566037735849,0.8958333333333334,0.625,0.25,False,readout,low_power_readout_only
defense_bottom_20pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,2993,11969,1338,1655,8740,3229,639,4644,0.326426948268948,0.20004010159069643,0.33886158886158885,0.1327644373883707,0.552956899432008,0.22652995116305996,0.7302197343136436,0.6611384111384111,0.12095400340715502,True,readout,
defense_bottom_20pct_continuation_score_v1,train,late_rescue_context,7603,5066,2537,3018,1578,6025,691,887,4375,1650,367,2651,0.3336840720768118,0.20754965145337367,0.34962554197871504,0.1363995262534544,0.5621039290240811,0.22841985694726935,0.7261410788381742,0.650374458021285,0.12160371106693174,True,readout,
defense_bottom_20pct_continuation_score_v1,train,non_late_rescue_context,7359,5012,2347,2265,1415,5944,647,768,4365,1579,272,1993,0.31892920233727406,0.19228155999456448,0.3272262462718364,0.1290901835594573,0.542756183745583,0.22382698140830892,0.7343539703903096,0.6727737537281636,0.12008830022075055,True,readout,
defense_bottom_20pct_continuation_score_v1,train,known_failed_context_any,11197,7410,3787,4257,2312,8885,1000,1312,6410,2475,537,3720,0.3382155934625346,0.20648387961061,0.3464483760232374,0.1349527665317139,0.5674740484429066,0.229258454980372,0.7214406302757457,0.6535516239767626,0.12614517265680056,True,readout,
defense_bottom_20pct_continuation_score_v1,train,non_known_failed_context,3765,2668,1097,1026,681,3084,338,343,2330,754,102,924,0.29136786188579017,0.18087649402390438,0.31267092069279856,0.12668665667166418,0.5036710719530103,0.21230321006722014,0.7555123216601816,0.6873290793072014,0.09941520467836257,True,readout,
defense_bottom_20pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,303,1569,137,166,1209,360,61,563,0.280982905982906,0.16185897435897437,0.3155893536121673,0.10178306092124814,0.5478547854785478,0.26687187949564184,0.7705544933078394,0.6844106463878327,0.09775641025641026,True,readout,
defense_bottom_20pct_continuation_score_v1,robustness,late_rescue_context,319,214,105,104,44,275,17,27,197,78,13,91,0.329153605015674,0.13793103448275862,0.2571428571428571,0.0794392523364486,0.6136363636363636,0.28448275862068967,0.7163636363636363,0.7428571428571429,0.125,True,readout,
defense_bottom_20pct_continuation_score_v1,robustness,non_late_rescue_context,1553,1132,421,520,259,1294,120,139,1012,282,48,472,0.27108821635544106,0.16677398583386993,0.33016627078384797,0.10600706713780919,0.5366795366795367,0.26559132032409566,0.7820710973724884,0.669833729216152,0.09230769230769231,True,readout,
defense_bottom_20pct_continuation_score_v1,robustness,known_failed_context_any,965,663,302,336,176,789,78,98,585,204,34,302,0.31295336787564765,0.18238341968911917,0.32450331125827814,0.11764705882352941,0.5568181818181818,0.24386481394253412,0.7414448669201521,0.6754966887417219,0.10119047619047619,True,readout,
defense_bottom_20pct_continuation_score_v1,robustness,non_known_failed_context,907,683,224,288,127,780,59,68,624,156,27,261,0.24696802646085997,0.14002205071664828,0.30357142857142855,0.08638360175695461,0.5354330708661418,0.2884650444052818,0.8,0.6964285714285714,0.09375,True,readout,
defense_bottom_20pct_continuation_score_v1,validation,all_steps,505,325,180,159,131,374,64,67,261,113,18,141,0.3564356435643564,0.2594059405940594,0.37222222222222223,0.19692307692307692,0.5114503816793893,0.15501473811503286,0.6978609625668449,0.6277777777777778,0.11320754716981132,True,readout,
defense_bottom_20pct_continuation_score_v1,validation,late_rescue_context,368,222,146,121,101,267,47,54,175,92,12,109,0.3967391304347826,0.27445652173913043,0.3698630136986301,0.21171171171171171,0.5346534653465347,0.1379143349117521,0.6554307116104869,0.6301369863013698,0.09917355371900827,True,readout,
defense_bottom_20pct_continuation_score_v1,validation,non_late_rescue_context,137,103,34,38,30,107,17,13,86,21,6,32,0.24817518248175183,0.21897810218978103,0.38235294117647056,0.1650485436893204,0.43333333333333335,0.18515815085158152,0.8037383177570093,0.6176470588235294,0.15789473684210525,True,readout,
defense_bottom_20pct_continuation_score_v1,validation,known_failed_context_any,452,280,172,147,123,329,60,63,220,109,14,133,0.3805309734513274,0.2721238938053097,0.36627906976744184,0.21428571428571427,0.5121951219512195,0.1316641484998921,0.668693009118541,0.6337209302325582,0.09523809523809523,True,readout,
defense_bottom_20pct_continuation_score_v1,validation,non_known_failed_context,53,45,8,12,8,45,4,4,41,4,4,8,0.1509433962264151,0.1509433962264151,0.5,0.08888888888888889,0.5,0.34905660377358494,0.9111111111111111,0.5,0.3333333333333333,False,readout,low_power_readout_only
defense_bottom_30pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,4489,10473,2190,2299,7888,2585,1095,4188,0.326426948268948,0.3000267343937976,0.47072072072072074,0.21730502083746775,0.5121407885943418,0.18571384032539373,0.7531748305165664,0.5292792792792793,0.2072685973878478,True,readout,
defense_bottom_30pct_continuation_score_v1,train,late_rescue_context,7603,5066,2537,3018,2307,5296,1113,1194,3953,1343,605,2413,0.3336840720768118,0.3034328554517953,0.4706346078044935,0.2196999605211212,0.517555266579974,0.1838711945031622,0.7464123867069486,0.5293653921955065,0.20046388336646787,True,readout,
defense_bottom_30pct_continuation_score_v1,train,non_late_rescue_context,7359,5012,2347,2265,2182,5177,1077,1105,3935,1242,490,1775,0.31892920233727406,0.296507677673597,0.4708138048572646,0.21488427773343974,0.5064161319890009,0.18748692965172686,0.760092717790226,0.5291861951427355,0.2163355408388521,True,readout,
defense_bottom_30pct_continuation_score_v1,train,known_failed_context_any,11197,7410,3787,4257,3408,7789,1620,1788,5790,1999,890,3367,0.3382155934625346,0.3043672412253282,0.4721415368365461,0.21862348178137653,0.5246478873239436,0.18643229386140903,0.7433560148927976,0.527858463163454,0.20906741836974396,True,readout,
defense_bottom_30pct_continuation_score_v1,train,non_known_failed_context,3765,2668,1097,1026,1081,2684,570,511,2098,586,205,821,0.29136786188579017,0.28711819389110227,0.4658158614402917,0.2136431784107946,0.4727104532839963,0.18134259139820613,0.7816691505216096,0.5341841385597083,0.19980506822612085,True,pass,
defense_bottom_30pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,397,1475,201,196,1145,330,89,535,0.280982905982906,0.21207264957264957,0.3726235741444867,0.14933135215453194,0.49370277078085645,0.21271986479795046,0.7762711864406779,0.6273764258555133,0.14262820512820512,True,readout,
defense_bottom_30pct_continuation_score_v1,robustness,late_rescue_context,319,214,105,104,64,255,30,34,184,71,16,88,0.329153605015674,0.2006269592476489,0.3238095238095238,0.14018691588785046,0.53125,0.20209639498432602,0.7215686274509804,0.6761904761904762,0.15384615384615385,True,readout,
defense_bottom_30pct_continuation_score_v1,robustness,non_late_rescue_context,1553,1132,421,520,333,1220,171,162,961,259,73,447,0.27108821635544106,0.21442369607211847,0.3847980997624703,0.15106007067137808,0.4864864864864865,0.21539827013104546,0.7877049180327869,0.6152019002375297,0.14038461538461539,True,readout,
defense_bottom_30pct_continuation_score_v1,robustness,known_failed_context_any,965,663,302,336,231,734,118,113,545,189,49,287,0.31295336787564765,0.23937823834196892,0.3741721854304636,0.1779788838612368,0.48917748917748916,0.1762241213018415,0.7425068119891008,0.6258278145695364,0.14583333333333334,True,readout,
defense_bottom_30pct_continuation_score_v1,robustness,non_known_failed_context,907,683,224,288,166,741,83,83,600,141,40,248,0.24696802646085997,0.18302094818081588,0.3705357142857143,0.12152269399707175,0.5,0.25303197353914003,0.8097165991902834,0.6294642857142857,0.1388888888888889,True,pass,
defense_bottom_30pct_continuation_score_v1,validation,all_steps,505,325,180,159,158,347,77,81,248,99,25,134,0.3564356435643564,0.31287128712871287,0.45,0.23692307692307693,0.5126582278481012,0.1562225842837448,0.7146974063400576,0.55,0.15723270440251572,True,readout,
defense_bottom_30pct_continuation_score_v1,validation,late_rescue_context,368,222,146,121,122,246,55,67,167,79,18,103,0.3967391304347826,0.33152173913043476,0.4589041095890411,0.24774774774774774,0.5491803278688525,0.15244119743406992,0.6788617886178862,0.541095890410959,0.1487603305785124,True,readout,
defense_bottom_30pct_continuation_score_v1,validation,non_late_rescue_context,137,103,34,38,36,101,22,14,81,20,7,31,0.24817518248175183,0.26277372262773724,0.4117647058823529,0.21359223300970873,0.3888888888888889,0.14071370640713707,0.801980198019802,0.5882352941176471,0.18421052631578946,True,readout,
defense_bottom_30pct_continuation_score_v1,validation,known_failed_context_any,452,280,172,147,146,306,69,77,211,95,21,126,0.3805309734513274,0.3230088495575221,0.4476744186046512,0.24642857142857144,0.5273972602739726,0.1468662868226452,0.6895424836601307,0.5523255813953488,0.14285714285714285,True,readout,
defense_bottom_30pct_continuation_score_v1,validation,non_known_failed_context,53,45,8,12,12,41,8,4,37,4,4,8,0.1509433962264151,0.22641509433962265,0.5,0.17777777777777778,0.3333333333333333,0.18238993710691823,0.9024390243902439,0.5,0.3333333333333333,False,stress_readout,low_power_readout_only
defense_bottom_40pct_continuation_score_v1,train,all_steps,14962,10078,4884,5283,5985,8977,3185,2800,6893,2084,1556,3727,0.326426948268948,0.4000133671968988,0.5733005733005733,0.3160349275649931,0.4678362573099415,0.14140930904099347,0.7678511752255764,0.4266994266994267,0.2945296233200833,True,readout,
defense_bottom_40pct_continuation_score_v1,train,late_rescue_context,7603,5066,2537,3018,3033,4570,1579,1454,3487,1083,847,2171,0.3336840720768118,0.39892147836380376,0.5731178557351202,0.31168574812475325,0.4793933399274646,0.1457092678506528,0.7630196936542669,0.4268821442648798,0.280649436713055,True,readout,
defense_bottom_40pct_continuation_score_v1,train,non_late_rescue_context,7359,5012,2347,2265,2952,4407,1606,1346,3406,1001,709,1556,0.31892920233727406,0.4011414594374236,0.5734980826587133,0.32043096568236235,0.4559620596205962,0.13703285728332215,0.7728613569321534,0.42650191734128673,0.3130242825607064,True,readout,
defense_bottom_40pct_continuation_score_v1,train,known_failed_context_any,11197,7410,3787,4257,4487,6710,2322,2165,5088,1622,1248,3009,0.3382155934625346,0.4007323390193802,0.5716926326907843,0.3133603238866397,0.48250501448629374,0.14428942102375913,0.7582712369597615,0.42830736730921576,0.29316420014094435,True,readout,
defense_bottom_40pct_continuation_score_v1,train,non_known_failed_context,3765,2668,1097,1026,1498,2267,863,635,1805,462,308,718,0.29136786188579017,0.39787516600265604,0.5788514129443938,0.32346326836581707,0.42389853137516686,0.1325306694893767,0.796206440229378,0.4211485870556062,0.3001949317738791,True,readout,
defense_bottom_40pct_continuation_score_v1,robustness,all_steps,1872,1346,526,624,484,1388,257,227,1089,299,113,511,0.280982905982906,0.25854700854700857,0.43155893536121676,0.19093610698365526,0.4690082644628099,0.18802535847990393,0.7845821325648416,0.5684410646387833,0.18108974358974358,True,readout,
defense_bottom_40pct_continuation_score_v1,robustness,late_rescue_context,319,214,105,104,85,234,43,42,171,63,24,80,0.329153605015674,0.2664576802507837,0.4,0.20093457943925233,0.49411764705882355,0.16496404204314957,0.7307692307692307,0.6,0.23076923076923078,True,readout,
defense_bottom_40pct_continuation_score_v1,robustness,non_late_rescue_context,1553,1132,421,520,399,1154,214,185,918,236,89,431,0.27108821635544106,0.25692208628461044,0.43942992874109266,0.18904593639575973,0.46365914786967416,0.1925709315142331,0.7954939341421143,0.5605700712589073,0.17115384615384616,True,readout,
defense_bottom_40pct_continuation_score_v1,robustness,known_failed_context_any,965,663,302,336,279,686,146,133,517,169,65,271,0.31295336787564765,0.28911917098445594,0.44039735099337746,0.22021116138763197,0.4767025089605735,0.16374914108492583,0.7536443148688047,0.5596026490066225,0.19345238095238096,True,readout,
defense_bottom_40pct_continuation_score_v1,robustness,non_known_failed_context,907,683,224,288,205,702,111,94,572,130,48,240,0.24696802646085997,0.22601984564498345,0.41964285714285715,0.16251830161054173,0.4585365853658537,0.2115685589049937,0.8148148148148148,0.5803571428571429,0.16666666666666666,True,readout,
defense_bottom_40pct_continuation_score_v1,validation,all_steps,505,325,180,159,194,311,99,95,226,85,34,125,0.3564356435643564,0.38415841584158417,0.5277777777777778,0.3046153846153846,0.4896907216494845,0.1332550780851281,0.7266881028938906,0.4722222222222222,0.2138364779874214,True,readout,
defense_bottom_40pct_continuation_score_v1,validation,late_rescue_context,368,222,146,121,153,215,74,79,148,67,26,95,0.3967391304347826,0.4157608695652174,0.541095890410959,0.3333333333333333,0.5163398692810458,0.11960073884626321,0.6883720930232559,0.4589041095890411,0.21487603305785125,True,readout,
defense_bottom_40pct_continuation_score_v1,validation,non_late_rescue_context,137,103,34,38,41,96,25,16,78,18,8,30,0.24817518248175183,0.29927007299270075,0.47058823529411764,0.24271844660194175,0.3902439024390244,0.14206871995727258,0.8125,0.5294117647058824,0.21052631578947367,True,readout,
defense_bottom_40pct_continuation_score_v1,validation,known_failed_context_any,452,280,172,147,181,271,90,91,190,81,30,117,0.3805309734513274,0.4004424778761062,0.5290697674418605,0.32142857142857145,0.5027624309392266,0.12223145748789915,0.7011070110701108,0.47093023255813954,0.20408163265306123,True,readout,
defense_bottom_40pct_continuation_score_v1,validation,non_known_failed_context,53,45,8,12,13,40,9,4,36,4,4,8,0.1509433962264151,0.24528301886792453,0.5,0.2,0.3076923076923077,0.15674891146589262,0.9,0.5,0.3333333333333333,False,readout,low_power_readout_only
