model_id,train_target_component,threshold_id,denominator_id,split,e1_missed_winner_n,rejected_e1_missed_winner_n,e1_missed_retention,e1_missed_definition,proxy_status
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,train,497,166,0.6659959758551308,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,validation,41,11,0.7317073170731707,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,robustness,991,295,0.7023208879919274,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,train,1593,534,0.664783427495292,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,validation,121,26,0.7851239669421488,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,robustness,306,100,0.673202614379085,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,train,497,177,0.6438631790744467,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,validation,41,13,0.6829268292682927,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,robustness,991,319,0.6781029263370333,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,train,1593,572,0.6409290646578782,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,validation,121,29,0.7603305785123967,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,robustness,306,108,0.6470588235294118,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,train,497,190,0.6177062374245473,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,validation,41,13,0.6829268292682927,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,robustness,991,342,0.6548940464177598,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,train,1593,610,0.6170747018204645,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,validation,121,30,0.7520661157024794,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r6_horizon_complete,robustness,306,101,0.6699346405228758,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r6_horizon_complete,train,497,150,0.6981891348088531,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r6_horizon_complete,validation,41,15,0.6341463414634146,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r_core_horizon_complete,robustness,991,308,0.6892028254288597,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r_core_horizon_complete,train,1593,433,0.7281858129315757,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r_core_horizon_complete,validation,121,42,0.6528925619834711,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r6_horizon_complete,robustness,306,113,0.630718954248366,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r6_horizon_complete,train,497,182,0.6338028169014085,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r6_horizon_complete,validation,41,15,0.6341463414634146,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r_core_horizon_complete,robustness,991,340,0.656912209889001,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r_core_horizon_complete,train,1593,504,0.6836158192090396,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r_core_horizon_complete,validation,121,47,0.6115702479338843,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r6_horizon_complete,robustness,306,124,0.5947712418300654,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r6_horizon_complete,train,497,196,0.6056338028169014,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r6_horizon_complete,validation,41,16,0.6097560975609756,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r_core_horizon_complete,robustness,991,370,0.6266397578203835,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r_core_horizon_complete,train,1593,563,0.6465787821720025,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r_core_horizon_complete,validation,121,48,0.6033057851239669,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r6_horizon_complete,robustness,306,127,0.5849673202614379,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r6_horizon_complete,train,497,220,0.5573440643863179,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r6_horizon_complete,validation,41,16,0.6097560975609756,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r_core_horizon_complete,robustness,991,394,0.6024217961654894,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r_core_horizon_complete,train,1593,629,0.6051475204017577,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r_core_horizon_complete,validation,121,48,0.6033057851239669,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r6_horizon_complete,robustness,306,134,0.5620915032679739,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r6_horizon_complete,train,497,239,0.5191146881287726,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r6_horizon_complete,validation,41,17,0.5853658536585366,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r_core_horizon_complete,robustness,991,411,0.5852674066599395,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r_core_horizon_complete,train,1593,676,0.5756434400502197,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r_core_horizon_complete,validation,121,51,0.5785123966942148,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r6_horizon_complete,robustness,306,142,0.5359477124183006,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r6_horizon_complete,train,497,255,0.4869215291750503,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r6_horizon_complete,validation,41,18,0.5609756097560976,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r_core_horizon_complete,robustness,991,436,0.5600403632694249,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r_core_horizon_complete,train,1593,720,0.5480225988700564,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r_core_horizon_complete,validation,121,55,0.5454545454545454,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r6_horizon_complete,robustness,306,149,0.5130718954248366,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r6_horizon_complete,train,497,266,0.4647887323943662,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r6_horizon_complete,validation,41,18,0.5609756097560976,episode_level_proxy_from_08_membership,no_episode_membership_for_event
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r_core_horizon_complete,robustness,991,466,0.5297679112008072,episode_level_proxy_from_08_membership,no_episode_membership_for_event
