model_id,model_family,train_target_component,readout_target_component,ablation_id,calibration_id,threshold_id,keep_fraction,denominator_id,split,evaluable_event_n,selected_event_n,rejected_event_n,selected_fraction,rejected_fraction,before_cost_bad_rate,after_cost_bad_rate,relative_cost_reduction,winner_complete_n,winner_n,rejected_winner_n,any_recall_retention,e1_missed_winner_n,rejected_e1_missed_winner_n,e1_missed_retention,non_winner_n,rejected_non_winner_n,non_winner_hit_rate,winner_injury_rate,kill_wrong_rate,fast_fail_positive_n,rejected_fast_fail_positive_n,fast_fail_bad_side_capture
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,robustness,9730,8256,1474,0.8485097636176773,0.1514902363823227,0.27995889003083246,0.22843992248062014,0.1840233312274471,9705,2024,428,0.7885375494071146,991,315,0.6821392532795156,7681,1039,0.13526884520244759,0.21146245059288538,0.2903663500678426,584,66,0.11301369863013698
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,robustness,9730,8256,1474,0.8485097636176773,0.1514902363823227,0.2957862281603289,0.2469718992248062,0.1650324602302418,9705,2024,428,0.7885375494071146,991,315,0.6821392532795156,7681,1039,0.13526884520244759,0.21146245059288538,0.2903663500678426,584,66,0.11301369863013698
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,train,16571,14085,2486,0.8499788787641059,0.15002112123589403,0.07543298533582765,0.07752928647497337,-0.02779024494142695,16571,2968,539,0.8183962264150944,1593,427,0.7319522912743252,13603,1947,0.14313019186944057,0.18160377358490565,0.2168141592920354,1250,158,0.1264
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,train,16571,14085,2486,0.8499788787641059,0.15002112123589403,0.3827167943998552,0.3434859779907703,0.10250612720197816,16571,2968,539,0.8183962264150944,1593,427,0.7319522912743252,13603,1947,0.14313019186944057,0.18160377358490565,0.2168141592920354,1250,158,0.1264
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,train,16571,14085,2486,0.8499788787641059,0.15002112123589403,0.39068251765131856,0.3526446574369897,0.09736258597646642,16571,2968,539,0.8183962264150944,1593,427,0.7319522912743252,13603,1947,0.14313019186944057,0.18160377358490565,0.2168141592920354,1250,158,0.1264
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,validation,4455,4110,345,0.9225589225589226,0.07744107744107744,0.07586980920314254,0.07615571776155718,-0.003768410141234321,4455,298,54,0.8187919463087249,121,44,0.6363636363636364,4157,291,0.0700024055809478,0.18120805369127516,0.1565217391304348,338,25,0.07396449704142012
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,validation,4457,4112,345,0.9225936728741306,0.07740632712586942,0.2919003814224815,0.2694552529182879,0.07689311125533488,4455,298,54,0.8187919463087249,121,44,0.6363636363636364,4157,291,0.0700024055809478,0.18120805369127516,0.1565217391304348,338,25,0.07396449704142012
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8500,0.85,risk_on_r_core_horizon_complete,validation,4457,4112,345,0.9225936728741306,0.07740632712586942,0.31097150549697106,0.2901264591439689,0.06703201413804519,4455,298,54,0.8187919463087249,121,44,0.6363636363636364,4157,291,0.0700024055809478,0.18120805369127516,0.1565217391304348,338,25,0.07396449704142012
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,robustness,2996,2456,540,0.8197596795727636,0.1802403204272363,0.065086782376502,0.06799674267100977,-0.04470892842228345,2994,622,153,0.7540192926045016,306,120,0.6078431372549019,2372,386,0.1627318718381113,0.2459807073954984,0.2833333333333333,195,28,0.14358974358974358
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,robustness,3003,2461,542,0.8195138195138195,0.18048618048618048,0.2837162837162837,0.2214546932141406,0.21945018342480724,2994,622,153,0.7540192926045016,306,120,0.6078431372549019,2372,386,0.1627318718381113,0.2459807073954984,0.2822878228782288,195,28,0.14358974358974358
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,robustness,3003,2461,542,0.8195138195138195,0.18048618048618048,0.3026973026973027,0.24461600975213327,0.19187912289806805,2994,622,153,0.7540192926045016,306,120,0.6078431372549019,2372,386,0.1627318718381113,0.2459807073954984,0.2822878228782288,195,28,0.14358974358974358
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,train,4794,3906,888,0.8147684605757196,0.18523153942428036,0.08886107634543179,0.09421402969790067,-0.06023957364257233,4794,878,208,0.7630979498861048,497,172,0.6539235412474849,3916,680,0.17364657814096016,0.23690205011389523,0.23423423423423423,426,58,0.13615023474178403
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,train,4816,3919,897,0.8137458471760798,0.18625415282392027,0.3901578073089701,0.3498341413625925,0.10335219542190234,4794,878,208,0.7630979498861048,497,172,0.6539235412474849,3916,680,0.17364657814096016,0.23690205011389523,0.2318840579710145,426,58,0.13615023474178403
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,train,4816,3919,897,0.8137458471760798,0.18625415282392027,0.40386212624584716,0.3659096708343965,0.09397379190825003,4794,878,208,0.7630979498861048,497,172,0.6539235412474849,3916,680,0.17364657814096016,0.23690205011389523,0.2318840579710145,426,58,0.13615023474178403
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,validation,1440,1315,125,0.9131944444444444,0.08680555555555555,0.08333333333333333,0.08288973384030418,0.005323193916349778,1440,107,19,0.822429906542056,41,15,0.6341463414634146,1333,106,0.0795198799699925,0.17757009345794392,0.152,120,11,0.09166666666666666
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,validation,1441,1316,125,0.9132546842470507,0.08674531575294935,0.2685634975711312,0.24848024316109424,0.07478028321670085,1440,107,19,0.822429906542056,41,15,0.6341463414634146,1333,106,0.0795198799699925,0.17757009345794392,0.152,120,11,0.09166666666666666
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8250,0.825,risk_on_r6_horizon_complete,validation,1441,1316,125,0.9132546842470507,0.08674531575294935,0.2921582234559334,0.2743161094224924,0.06107003877004387,1440,107,19,0.822429906542056,41,15,0.6341463414634146,1333,106,0.0795198799699925,0.17757009345794392,0.152,120,11,0.09166666666666666
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,robustness,9711,8038,1673,0.8277211409741531,0.17227885902584697,0.060137987848831224,0.06319980094550884,-0.05091312839355532,9705,2024,486,0.7598814229249012,991,355,0.6417759838546923,7681,1186,0.1544069782580393,0.24011857707509882,0.2904961147638972,584,76,0.13013698630136986
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,robustness,9730,8050,1680,0.8273381294964028,0.17266187050359713,0.27995889003083246,0.2213664596273292,0.20928940815935637,9705,2024,486,0.7598814229249012,991,355,0.6417759838546923,7681,1186,0.1544069782580393,0.24011857707509882,0.2892857142857143,584,76,0.13013698630136986
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,robustness,9730,8050,1680,0.8273381294964028,0.17266187050359713,0.2957862281603289,0.24037267080745342,0.18734326373991605,9705,2024,486,0.7598814229249012,991,355,0.6417759838546923,7681,1186,0.1544069782580393,0.24011857707509882,0.2892857142857143,584,76,0.13013698630136986
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,train,16571,13671,2900,0.8249954740208798,0.17500452597912014,0.07543298533582765,0.07790212859337284,-0.03273293833662503,16571,2968,624,0.7897574123989218,1593,490,0.6924042686754551,13603,2276,0.16731603322796443,0.21024258760107817,0.21517241379310345,1250,185,0.148
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,train,16571,13671,2900,0.8249954740208798,0.17500452597912014,0.3827167943998552,0.3384536610343062,0.11565505881433495,16571,2968,624,0.7897574123989218,1593,490,0.6924042686754551,13603,2276,0.16731603322796443,0.21024258760107817,0.21517241379310345,1250,185,0.148
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,train,16571,13671,2900,0.8249954740208798,0.17500452597912014,0.39068251765131856,0.347816545973228,0.10972073164622168,16571,2968,624,0.7897574123989218,1593,490,0.6924042686754551,13603,2276,0.16731603322796443,0.21024258760107817,0.21517241379310345,1250,185,0.148
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,validation,4455,4053,402,0.9097643097643098,0.09023569023569024,0.07586980920314254,0.07599309153713299,-0.0016249195204954116,4455,298,62,0.7919463087248322,121,47,0.6115702479338843,4157,340,0.08178975222516238,0.2080536912751678,0.15422885572139303,338,30,0.08875739644970414
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,validation,4457,4055,402,0.9098048014359434,0.09019519856405654,0.2919003814224815,0.26658446362515414,0.08672793668154338,4455,298,62,0.7919463087248322,121,47,0.6115702479338843,4157,340,0.08178975222516238,0.2080536912751678,0.15422885572139303,338,30,0.08875739644970414
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8250,0.825,risk_on_r_core_horizon_complete,validation,4457,4055,402,0.9098048014359434,0.09019519856405654,0.31097150549697106,0.2875462392108508,0.07532930146986862,4455,298,62,0.7919463087248322,121,47,0.6115702479338843,4157,340,0.08178975222516238,0.2080536912751678,0.15422885572139303,338,30,0.08875739644970414
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,robustness,2996,2399,597,0.8007343124165555,0.1992656875834446,0.065086782376502,0.06877865777407254,-0.05672235226216054,2994,622,166,0.7331189710610932,306,123,0.5980392156862745,2372,430,0.1812816188870152,0.26688102893890675,0.2780569514237856,195,30,0.15384615384615385
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,robustness,3003,2404,599,0.8005328005328005,0.19946719946719946,0.2837162837162837,0.21630615640599002,0.23759696280846473,2994,622,166,0.7331189710610932,306,123,0.5980392156862745,2372,430,0.1812816188870152,0.26688102893890675,0.27712854757929883,195,30,0.15384615384615385
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,robustness,3003,2404,599,0.8005328005328005,0.19946719946719946,0.3026973026973027,0.24001663893510816,0.20707374398005526,2994,622,166,0.7331189710610932,306,123,0.5980392156862745,2372,430,0.1812816188870152,0.26688102893890675,0.27712854757929883,195,30,0.15384615384615385
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,train,4794,3769,1025,0.7861910721735502,0.21380892782644972,0.08886107634543179,0.0939241178031308,-0.056977044009880386,4794,878,237,0.7300683371298405,497,193,0.6116700201207244,3916,788,0.20122574055158324,0.26993166287015946,0.23121951219512196,426,72,0.16901408450704225
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,train,4816,3780,1036,0.7848837209302325,0.21511627906976744,0.3901578073089701,0.344973544973545,0.11581022214337804,4794,878,237,0.7300683371298405,497,193,0.6116700201207244,3916,788,0.20122574055158324,0.26993166287015946,0.22876447876447875,426,72,0.16901408450704225
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,train,4816,3780,1036,0.7848837209302325,0.21511627906976744,0.40386212624584716,0.36137566137566135,0.1052004189279254,4794,878,237,0.7300683371298405,497,193,0.6116700201207244,3916,788,0.20122574055158324,0.26993166287015946,0.22876447876447875,426,72,0.16901408450704225
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,validation,1440,1298,142,0.9013888888888889,0.09861111111111111,0.08333333333333333,0.08089368258859785,0.029275808936825798,1440,107,21,0.8037383177570093,41,16,0.6097560975609756,1333,121,0.09077269317329333,0.19626168224299065,0.14788732394366197,120,15,0.125
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,validation,1441,1299,142,0.9014573213046495,0.09854267869535045,0.2685634975711312,0.24480369515011546,0.08846996198626265,1440,107,21,0.8037383177570093,41,16,0.6097560975609756,1333,121,0.09077269317329333,0.19626168224299065,0.14788732394366197,120,15,0.125
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8000,0.8,risk_on_r6_horizon_complete,validation,1441,1299,142,0.9014573213046495,0.09854267869535045,0.2921582234559334,0.270977675134719,0.0724968411659619,1440,107,21,0.8037383177570093,41,16,0.6097560975609756,1333,121,0.09077269317329333,0.19626168224299065,0.14788732394366197,120,15,0.125
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,robustness,9711,7854,1857,0.8087735557615076,0.19122644423849244,0.060137987848831224,0.06327985739750445,-0.05224434107391394,9705,2024,529,0.7386363636363636,991,376,0.62058526740666,7681,1327,0.1727639630256477,0.26136363636363635,0.28486806677436727,584,87,0.14897260273972604
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,robustness,9730,7866,1864,0.8084275436793422,0.19157245632065775,0.27995889003083246,0.21688278667683702,0.22530487725197343,9705,2024,529,0.7386363636363636,991,376,0.62058526740666,7681,1327,0.1727639630256477,0.26136363636363635,0.28379828326180256,584,87,0.14897260273972604
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,robustness,9730,7866,1864,0.8084275436793422,0.19157245632065775,0.2957862281603289,0.23633358759216883,0.20099867711195188,9705,2024,529,0.7386363636363636,991,376,0.62058526740666,7681,1327,0.1727639630256477,0.26136363636363635,0.28379828326180256,584,87,0.14897260273972604
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,train,16571,13257,3314,0.8000120692776538,0.19998793072234627,0.07543298533582765,0.07746850720374142,-0.026984506298559228,16571,2968,706,0.7621293800539084,1593,546,0.6572504708097928,13603,2608,0.19172241417334412,0.23787061994609165,0.21303560651780326,1250,223,0.1784
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,train,16571,13257,3314,0.8000120692776538,0.19998793072234627,0.3827167943998552,0.33325790148600737,0.12923104927079343,16571,2968,706,0.7621293800539084,1593,546,0.6572504708097928,13603,2608,0.19172241417334412,0.23787061994609165,0.21303560651780326,1250,223,0.1784
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,train,16571,13257,3314,0.8000120692776538,0.19998793072234627,0.39068251765131856,0.3428377460964019,0.12246458286013659,16571,2968,706,0.7621293800539084,1593,546,0.6572504708097928,13603,2608,0.19172241417334412,0.23787061994609165,0.21303560651780326,1250,223,0.1784
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,validation,4455,3996,459,0.896969696969697,0.10303030303030303,0.07586980920314254,0.07482482482482483,0.013773388773388741,4455,298,66,0.7785234899328859,121,50,0.5867768595041323,4157,393,0.0945393312484965,0.2214765100671141,0.1437908496732026,338,39,0.11538461538461539
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,validation,4457,3998,459,0.8970159299977564,0.10298407000224366,0.2919003814224815,0.263631815907954,0.09684319484876946,4455,298,66,0.7785234899328859,121,50,0.5867768595041323,4157,393,0.0945393312484965,0.2214765100671141,0.1437908496732026,338,39,0.11538461538461539
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_8000,0.8,risk_on_r_core_horizon_complete,validation,4457,3998,459,0.8970159299977564,0.10298407000224366,0.31097150549697106,0.28489244622311155,0.08386317978614129,4455,298,66,0.7785234899328859,121,50,0.5867768595041323,4157,393,0.0945393312484965,0.2214765100671141,0.1437908496732026,338,39,0.11538461538461539
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_7750,0.775,risk_on_r6_horizon_complete,robustness,2996,2343,653,0.7820427236315087,0.21795727636849133,0.065086782376502,0.06914212548015365,-0.0623067073771299,2994,622,179,0.7122186495176849,306,129,0.5784313725490197,2372,473,0.1994097807757167,0.2877813504823151,0.27411944869831545,195,33,0.16923076923076924
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,false_repair_20d_component,baseline_fs0,none,keep_7750,0.775,risk_on_r6_horizon_complete,robustness,3003,2348,655,0.7818847818847818,0.2181152181152181,0.2837162837162837,0.21422487223168654,0.24493275667634426,2994,622,179,0.7122186495176849,306,129,0.5784313725490197,2372,473,0.1994097807757167,0.2877813504823151,0.2732824427480916,195,33,0.16923076923076924
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,hybrid_cost_bad_10_20,baseline_fs0,none,keep_7750,0.775,risk_on_r6_horizon_complete,robustness,3003,2348,655,0.7818847818847818,0.2181152181152181,0.3026973026973027,0.23850085178875638,0.21208134442064316,2994,622,179,0.7122186495176849,306,129,0.5784313725490197,2372,473,0.1994097807757167,0.2877813504823151,0.2732824427480916,195,33,0.16923076923076924
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,h_style_logistic_baseline,false_repair_20d_component,fast_fail_only_10d,baseline_fs0,none,keep_7750,0.775,risk_on_r6_horizon_complete,train,4794,3641,1153,0.7594910304547351,0.2405089695452649,0.08886107634543179,0.095852787695688,-0.07868137139231988,4794,878,270,0.6924829157175398,497,214,0.5694164989939637,3916,883,0.22548518896833503,0.30751708428246016,0.2341717259323504,426,77,0.1807511737089202
