model_id,train_target_component,threshold_id,denominator_id,split,winner_complete_n,winner_n,rejected_winner_n,any_recall_retention,retention_definition
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,robustness,9705,2024,625,0.6912055335968379,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,train,16571,2968,876,0.7048517520215634,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,validation,4455,298,76,0.7449664429530202,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,robustness,2994,622,204,0.6720257234726688,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,train,4794,878,322,0.6332574031890661,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,validation,1440,107,25,0.7663551401869159,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,robustness,9705,2024,662,0.6729249011857708,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,train,16571,2968,956,0.6778975741239892,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,validation,4455,298,82,0.7248322147651006,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,robustness,2994,622,222,0.6430868167202572,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,train,4794,878,348,0.6036446469248291,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,validation,1440,107,28,0.7383177570093458,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,robustness,9705,2024,717,0.6457509881422925,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,train,16571,2968,1045,0.647911051212938,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r_core_horizon_complete,validation,4455,298,88,0.7046979865771812,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,robustness,2994,622,109,0.8247588424437299,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,train,4794,878,160,0.8177676537585421,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,validation,1440,107,15,0.8598130841121495,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,robustness,9705,2024,341,0.8315217391304348,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,train,16571,2968,496,0.8328840970350404,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,validation,4455,298,50,0.8322147651006712,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,robustness,2994,622,132,0.7877813504823151,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,train,4794,878,179,0.7961275626423691,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,validation,1440,107,20,0.8130841121495327,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,robustness,9705,2024,409,0.7979249011857708,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,train,16571,2968,573,0.8069407008086253,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,validation,4455,298,61,0.7953020134228188,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,robustness,2994,622,146,0.7652733118971061,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,train,4794,878,200,0.7722095671981777,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,validation,1440,107,21,0.8037383177570093,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,robustness,9705,2024,454,0.775691699604743,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,train,16571,2968,642,0.7836927223719676,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,validation,4455,298,64,0.785234899328859,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,robustness,2994,622,161,0.7411575562700965,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,train,4794,878,221,0.7482915717539863,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,validation,1440,107,25,0.7663551401869159,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,robustness,9705,2024,509,0.7485177865612648,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,train,16571,2968,717,0.758423180592992,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,validation,4455,298,71,0.761744966442953,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,robustness,2994,622,178,0.7138263665594855,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,train,4794,878,241,0.7255125284738041,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,validation,1440,107,28,0.7383177570093458,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,robustness,9705,2024,559,0.7238142292490118,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,train,16571,2968,786,0.7351752021563343,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,validation,4455,298,74,0.7516778523489933,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,robustness,2994,622,200,0.6784565916398714,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,train,4794,878,265,0.6981776765375854,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,validation,1440,107,32,0.7009345794392523,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,robustness,9705,2024,614,0.6966403162055336,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,train,16571,2968,866,0.7082210242587601,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,validation,4455,298,83,0.7214765100671141,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,robustness,2994,622,216,0.6527331189710611,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,train,4794,878,286,0.6742596810933941,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,validation,1440,107,34,0.6822429906542056,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,robustness,9705,2024,672,0.6679841897233202,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,train,16571,2968,938,0.6839622641509434,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__fast_fail_only_10d__baseline_fs0__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,validation,4455,298,89,0.7013422818791947,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r6_horizon_complete,robustness,2994,622,127,0.7958199356913184,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r6_horizon_complete,train,4794,878,180,0.7949886104783599,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r6_horizon_complete,validation,1440,107,18,0.8317757009345794,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r_core_horizon_complete,robustness,9705,2024,416,0.7944664031620553,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r_core_horizon_complete,train,16571,2968,536,0.8194070080862533,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8500,risk_on_r_core_horizon_complete,validation,4455,298,53,0.8221476510067114,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r6_horizon_complete,robustness,2994,622,146,0.7652733118971061,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r6_horizon_complete,train,4794,878,218,0.7517084282460137,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r6_horizon_complete,validation,1440,107,18,0.8317757009345794,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r_core_horizon_complete,robustness,9705,2024,467,0.7692687747035574,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r_core_horizon_complete,train,16571,2968,637,0.785377358490566,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8250,risk_on_r_core_horizon_complete,validation,4455,298,60,0.7986577181208053,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r6_horizon_complete,robustness,2994,622,159,0.7443729903536977,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r6_horizon_complete,train,4794,878,238,0.7289293849658315,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r6_horizon_complete,validation,1440,107,21,0.8037383177570093,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r_core_horizon_complete,robustness,9705,2024,508,0.7490118577075099,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r_core_horizon_complete,train,16571,2968,718,0.7580862533692723,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_8000,risk_on_r_core_horizon_complete,validation,4455,298,65,0.7818791946308725,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r6_horizon_complete,robustness,2994,622,170,0.7266881028938906,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r6_horizon_complete,train,4794,878,272,0.6902050113895216,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r6_horizon_complete,validation,1440,107,22,0.794392523364486,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r_core_horizon_complete,robustness,9705,2024,550,0.7282608695652174,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r_core_horizon_complete,train,16571,2968,819,0.7240566037735849,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7750,risk_on_r_core_horizon_complete,validation,4455,298,69,0.7684563758389261,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r6_horizon_complete,robustness,2994,622,184,0.7041800643086816,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r6_horizon_complete,train,4794,878,306,0.6514806378132119,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r6_horizon_complete,validation,1440,107,25,0.7663551401869159,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r_core_horizon_complete,robustness,9705,2024,591,0.7080039525691699,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r_core_horizon_complete,train,16571,2968,896,0.6981132075471698,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7500,risk_on_r_core_horizon_complete,validation,4455,298,74,0.7516778523489933,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r6_horizon_complete,robustness,2994,622,199,0.680064308681672,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r6_horizon_complete,train,4794,878,333,0.6207289293849658,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r6_horizon_complete,validation,1440,107,26,0.7570093457943925,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r_core_horizon_complete,robustness,9705,2024,639,0.6842885375494071,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r_core_horizon_complete,train,16571,2968,978,0.6704851752021563,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7250,risk_on_r_core_horizon_complete,validation,4455,298,83,0.7214765100671141,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r6_horizon_complete,robustness,2994,622,214,0.6559485530546624,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r6_horizon_complete,train,4794,878,354,0.5968109339407744,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r6_horizon_complete,validation,1440,107,27,0.7476635514018691,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r_core_horizon_complete,robustness,9705,2024,695,0.6566205533596838,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r_core_horizon_complete,train,16571,2968,1051,0.64588948787062,event_big_winner_120d_label_complete_event_level
h_style_logistic_baseline__hybrid_cost_bad_10_20__baseline_fs0__none,hybrid_cost_bad_10_20,keep_7000,risk_on_r_core_horizon_complete,validation,4455,298,87,0.7080536912751678,event_big_winner_120d_label_complete_event_level
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,robustness,2994,622,112,0.819935691318328,event_big_winner_120d_label_complete_event_level
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,train,4794,878,135,0.8462414578587699,event_big_winner_120d_label_complete_event_level
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,false_repair_20d_component,keep_8500,risk_on_r6_horizon_complete,validation,1440,107,16,0.8504672897196262,event_big_winner_120d_label_complete_event_level
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,robustness,9705,2024,344,0.8300395256916996,event_big_winner_120d_label_complete_event_level
regularized_logistic_or_elastic_net__false_repair_20d_component__drop_direct_overlap__none,false_repair_20d_component,keep_8500,risk_on_r_core_horizon_complete,train,16571,2968,450,0.8483827493261455,event_big_winner_120d_label_complete_event_level
