input_id,path,required,exists,sha256,status
09a_fast_fail_label_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/reports/09A_fast_fail_label_frontier/fast_fail_label_contract.md,True,True,71b2d3869150bc3300936ded23288bce0ccba1a87ae6e5c2a88c951827c83b89,pass
09a_selected_label_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09A_fast_fail_label_frontier/selected_label_contract.csv,True,True,d96bf91cd76ef904ae2461b50d27712434149ae8f77017707b8875ab285b32c1,pass
09a_selected_label_event_bindings,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/local_cache/09A_fast_fail_label_frontier/selected_label_event_bindings.parquet,True,True,1e252016d9d334407fdbbf1924cb3a8395f86069e76bae1c560efacc5f715191,pass
09a_selected_label_event_binding_summary,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09A_fast_fail_label_frontier/selected_label_event_binding_summary.csv,True,True,f4c2adb46f87bda1eb6f3c64df47199eeb941d7736cdaf8911f7e335656cc40a,pass
09a_cost_target_bridge,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09A_fast_fail_label_frontier/cost_target_bridge.csv,True,True,f296e849d6d54c037a48313a03597aa10db21880ea87e9f7d51514335d974d6e,pass
09a_label_mechanism_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09A_fast_fail_label_frontier/label_mechanism_contract.csv,True,True,21d38023c0de8bd020101302a391353c69247837b95ab00359a4e00ffe943e3d,pass
09a_source_pool_reconstruction_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/input_audit/source_pool_reconstruction_audit.csv,True,True,d76d923617c57aea4650130b2b39efc3356bb48f2af366ec0d1f30a6c93c9f9b,pass
09b_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/manifests/09B_feature_foundation_ablation_manifest.json,True,True,07c54899e7fdbd03ac9f69250de074076d8615d051497cfcb46c515a84e66c6e,pass
09b_feature_matrix,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/local_cache/09B_feature_foundation/feature_matrix.parquet,True,True,e5240be7a8b12c5a8b213c360accc5fc60b749b25b78ecd6e525220b9f8eb6d9,pass
09b_feature_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/feature_contract.csv,True,True,89cf7d02bd9a4ed082001288654e5ec00d0afd0a80f391583002c9f73dcb80d5,pass
09b_feature_matrix_schema,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/feature_matrix_schema.csv,True,True,721a85c38c4e98514e8a08b205aa069afab6b3bcaaf89b0c3997e1f0e4f06f6d,pass
09b_feature_stationarity_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/feature_stationarity_audit.csv,True,True,2b917c04e53281cb6342c00ad36ecaec21460f137dae0afc08531d9173e96dbb,pass
09b_sample_uniqueness_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/sample_uniqueness_audit.csv,True,True,89001ce0bbb5337cfab865f711dd0bddbdadef4cb5e90b874789820a976bbea5,pass
09b_sample_uniqueness_weights,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/local_cache/09B_feature_foundation/sample_uniqueness_weights.parquet,True,True,7998fdfa1adaf8634e10d254feec59589d58355972e08274660b4a069e50d464,pass
09b_label_mechanism_overlap_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/label_mechanism_overlap_audit.csv,True,True,a423ec15b26107365662063a58328a76200b9586d6c71c0f67758106c6a51998,pass
09b_group_mda_importance,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/group_mda_importance.csv,True,True,05ce28015b0b130200ba02283ef0658bd53e3337db28b5d23c18449477c3117a,pass
09b_single_feature_importance,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/single_feature_importance.csv,True,True,c022f142dfe8d58dca12a11eb78aae2dda750c366467dc2dcacef6e322db624c,pass
09b_feature_transform_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/09_riskon_fastfail_label_feature_uplift/outputs/publishable/tables/09B_feature_foundation/feature_transform_contract.json,True,True,9317197102f4eecc544271821f8349749c14e32b8d36dcc7b0641d62f51e6faf,pass
