model_id,train_target_component,threshold_id,denominator_id,split,total_rejected_hybrid_positive_n,total_hybrid_cost_reduction_rate,fast_fail_attributed_cost_reduction,fast_fail_attributed_cost_reduction_share,fast_fail_only_rejected_n,false_repair_only_rejected_n,both_rejected_n,neither_rejected_n,fast_fail_only_hybrid_positive_rejected_n,false_repair_only_hybrid_positive_rejected_n,both_hybrid_positive_rejected_n,neither_hybrid_positive_rejected_n,fast_fail_only_cost_reduction_rate,false_repair_only_cost_reduction_rate,both_cost_reduction_rate,neither_cost_reduction_rate
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs0_rolling_fracdiff_hygiene__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,validation,546,0.004737455187091344,0.028131533703470706,5.9381107773058694,74,303,169,1168,74,303,169,0,0.01506091627281257,-0.036464695947037495,0.026141234861316275,-0.004737455187091344
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,robustness,245,0.002108801112875369,0.012532962736674822,5.943169633283252,26,149,70,549,26,149,70,0,0.00494751966005927,-0.018009604700415016,0.015170886153231103,-0.002108801112875369
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,train,394,0.014945375995094934,0.02387311435969037,1.5973578963503838,52,171,171,434,52,171,171,0,0.010193787342092723,-0.022607065382193092,0.027358654035195294,-0.014945375995094934
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,validation,87,0.0059542817249993996,0.018302295309300942,3.0738040547288326,19,34,34,187,19,34,34,0,0.010741255447784226,-0.01990905344581831,0.015122079723033435,-0.005954281724999344
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,robustness,664,0.004508764668683052,0.011808961686628294,2.6191124519429687,66,389,209,1465,66,389,209,0,0.004249914106341556,-0.014859244598231985,0.015118095160573476,-0.004508764668682996
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,train,1144,0.012130471052481717,0.016392227151255212,1.3513265132355765,84,558,502,1347,84,558,502,0,0.004549009870767557,-0.016104973379261145,0.023686434560975314,-0.012130471052481662
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,validation,284,0.010289377256861909,0.01607554497562122,1.5623438206525626,45,136,103,508,45,136,103,0,0.008157072232743317,-0.013704640461637219,0.01583694548575581,-0.010289377256861965
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,robustness,273,0.001132580079948542,0.013982698193224508,12.345880384775796,31,170,72,621,31,170,72,0,0.006652901389743494,-0.020179914916757025,0.014659593606962028,-0.001132580079948431
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,train,441,0.014022831274359326,0.0264555766246605,1.8866073553230567,55,194,192,517,55,194,192,0,0.01085310068908029,-0.028035221285881318,0.031204951871160416,-0.014022831274359326
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,validation,104,0.006315121562335546,0.022776863827531853,3.606718192627823,24,42,38,228,24,42,38,0,0.01457759333295371,-0.024661012759774448,0.016398540989156288,-0.006315121562335491
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,robustness,752,0.0030697198304376894,0.013829219860082901,4.5050430084725654,78,442,232,1715,78,442,232,0,0.005363342535389285,-0.019225377354338852,0.016931754649387232,-0.0030697198304375783
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,train,1291,0.011397714636781187,0.01781815222182614,1.5633092062443619,91,652,548,1615,91,652,548,0,0.004957014205596327,-0.019281575601274803,0.025722276032459628,-0.011397714636781076
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,validation,326,0.008977203502669062,0.017823814391012056,1.9854528624323553,51,162,113,621,51,162,113,0,0.00938451438787988,-0.017285910891475187,0.016878600006264358,-0.008977203502669062
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,robustness,305,0.0009990009990010207,0.016733266733266732,16.749999999999634,37,191,77,696,37,191,77,0,0.00899100899100899,-0.02347652347652346,0.015484515484515484,-0.0009990009990009652
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,train,479,0.011253663471342601,0.02751251408000826,2.444760690602553,59,222,198,603,59,222,198,0,0.01182965369852678,-0.03194171099014709,0.031365720762962956,-0.011253663471342601
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,validation,117,0.004006564688160907,0.025473029195759923,6.357823017566839,27,49,41,269,27,49,41,0,0.01695965479475483,-0.029979838908604145,0.01702674880201019,-0.004006564688160852
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,robustness,831,0.0009144332885340223,0.01574013785637745,17.21299744195809,92,493,246,1957,92,493,246,0,0.006896194366891966,-0.023669648057328935,0.017687886978970963,-0.0009144332885340223
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,train,1453,0.01174851583100145,0.01914495952463422,1.6295640913310405,97,765,591,1868,97,765,591,0,0.005315225105543895,-0.021226178112723093,0.02765946883818065,-0.01174851583100145
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,validation,372,0.009275581664778265,0.019634342562742255,2.1167774994962127,58,194,120,724,58,194,120,0,0.01103780065883946,-0.018955302801866802,0.017193083807805584,-0.009275581664778265
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,robustness,326,-0.0020596235964767118,0.018696149642307508,-9.07745943204866,39,202,85,764,39,202,85,0,0.009571714224092686,-0.02988020865699903,0.01824887083642964,0.0020596235964767118
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,train,525,0.00831895075838196,0.028934887422611723,3.478189529305445,59,251,215,701,59,251,215,0,0.011754458212643093,-0.03779636587419832,0.03436085841993726,-0.00831895075838196
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,validation,126,-0.0019594236028901424,0.02551886325755558,-13.023658192090446,28,56,42,312,28,56,42,0,0.017612672046317675,-0.03538447807168363,0.01581238242247581,0.0019594236028901424
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,robustness,904,-0.0018166664574910674,0.01802344904460227,-9.921165754055814,102,532,270,2193,102,532,270,0,0.007987748200354234,-0.029875816346341427,0.02007140168849607,0.0018166664574911229
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,train,1592,0.01033442738437329,0.02044077670241943,1.9779302657182507,102,857,633,2144,102,857,633,0,0.005618824600109982,-0.02492830142035557,0.02964390420461889,-0.01033442738437329
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,validation,415,0.00686878078666725,0.020989303713720295,3.0557539053308993,61,222,132,849,61,222,132,0,0.01155468185713911,-0.02355514478363424,0.01886924371316237,-0.006868780786667306
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,robustness,355,-0.0035492423552124786,0.022610336043171864,-6.370468336704574,44,217,94,839,44,217,94,0,0.01179472821263866,-0.0369751862289176,0.021631215661066405,0.0035492423552125896
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,train,565,0.005018195610008991,0.029836959652795116,5.945754604161726,59,279,227,791,59,279,227,0,0.01168119754959384,-0.042974526145987346,0.03631152420640255,-0.005018195610009046
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,validation,141,-0.0022686955766638706,0.02714699673304918,-11.96590543583154,29,66,46,349,29,66,46,0,0.018337102330648697,-0.03822558671211354,0.017619788804800966,0.0022686955766638706
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,robustness,977,-0.004909754123758436,0.020049856079343148,-4.083678240081583,111,576,290,2431,111,576,290,0,0.009025693080461288,-0.035983773201983454,0.022048325997763723,0.004909754123758492
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,train,1734,0.009067006668976973,0.02162219685623754,2.3847116965534516,107,957,670,2417,107,957,670,0,0.005942660810102494,-0.028234726233395624,0.03135907209227009,-0.009067006668976862
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,validation,460,0.006065348104807744,0.02242874859752677,3.6978501827040153,65,254,141,960,65,254,141,0,0.012485677910511956,-0.026306471179733837,0.01988614137402963,-0.006065348104807744
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,robustness,378,-0.0049504377430217295,0.024866500822468378,-5.023091312989617,46,231,101,899,46,231,101,0,0.012607901947415272,-0.04207553744054321,0.024517197750106207,0.0049504377430218405
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,train,603,0.0019453847064641039,0.03101384622885281,15.942268963974234,61,306,236,874,61,306,236,0,0.012206864609234069,-0.04787544314200742,0.037613963239237484,-0.0019453847064641039
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,validation,151,-0.0016393826376465692,0.030584189585427243,-18.65591893136837,31,70,50,371,31,70,50,0,0.020330308039318,-0.042477453769183104,0.020507763092218488,0.0016393826376466247
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,robustness,1049,-0.006677803590952713,0.02146950633875002,-3.215055077067188,116,626,307,2634,116,626,307,0,0.009543230307435877,-0.04007358596101693,0.023852552062628284,0.006677803590952824
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,train,1864,0.006715266007266851,0.022718926366844635,3.3831759370752548,109,1046,709,2702,109,1046,709,0,0.006039595304907983,-0.032682991421514485,0.033358662123873305,-0.006715266007266796
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,validation,504,0.005569843447109535,0.02477338861897964,4.447771082656868,68,280,156,1065,68,280,156,0,0.013184697481691782,-0.03079223630915795,0.023177382274575713,-0.005569843447109535
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,robustness,400,-0.005974619679895599,0.027403766639667183,-4.5866964104644135,50,246,104,954,50,246,104,0,0.014736022013159673,-0.046046130946070296,0.025335489253015025,0.005974619679895654
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,train,645,-0.0016275805539033295,0.03220886709512687,-19.78941504178227,62,336,247,965,62,336,247,0,0.012456658300570151,-0.0535886564435869,0.03950441758911344,0.0016275805539033295
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,validation,170,0.001648964196674152,0.034337892281594576,20.823916220165216,31,80,59,407,31,80,59,0,0.020122503662579998,-0.04690431670393502,0.02843077723802915,-0.001648964196674041
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,robustness,1115,-0.010183921093402437,0.02325889969831047,-2.2838845160906187,123,669,323,2853,123,669,323,0,0.010447261767122226,-0.046254458722901154,0.02562327586237649,0.010183921093402493
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,train,2017,0.006174578111929119,0.02372189279827465,3.8418645562916423,113,1164,740,2964,113,1164,740,0,0.006315539921094348,-0.0349536675635258,0.0348127057543606,-0.006174578111929119
regularized_logistic_or_elastic_net__fast_fail_only_10d__drop_fs2_related_subset_only__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,validation,551,0.006892845628070854,0.028880974974756765,4.1899930062469535,74,304,173,1160,74,304,173,0,0.015065297417533994,-0.03580380690390872,0.02763135511444554,-0.006892845628070798
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,robustness,235,0.008887363726073405,0.018200413361703683,2.0478978831830648,38,130,67,474,38,130,67,0,0.010698542956607472,-0.01681492004072649,0.015003740810192422,-0.00888736372607335
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,train,363,0.006773772832192548,0.01957873020320485,2.890373014895979,59,181,123,469,59,181,123,0,0.011947290824427277,-0.020436396749789865,0.015262878757555144,-0.006773772832192493
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8500,risk_on_r6_horizon_complete,validation,102,-0.010785746154702902,0.024945086013788306,-2.312782598069167,30,38,34,286,30,38,34,0,0.019796055419465088,-0.04087986276281441,0.010298061188646436,0.010785746154702958
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,robustness,585,0.00512835010227336,0.014663710785712917,2.8593427697560276,97,311,177,1256,97,311,177,0,0.008602087780909764,-0.015596983688242722,0.012123246009606306,-0.005128350102273305
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,train,1026,0.0037687930479465837,0.013203451641051132,3.503363403900619,104,550,372,1465,104,550,372,0,0.00596624343085826,-0.016671866803297464,0.014474416420385744,-0.003768793047946528
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8500,risk_on_r_core_horizon_complete,validation,309,0.0013997894866232818,0.022158819128431283,15.83010826998358,74,136,99,669,74,136,99,0,0.015909295962963265,-0.027008552807276043,0.012499046330936035,-0.0013997894866232263
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,robustness,267,0.00927865553094076,0.02207687193976042,2.379317980513719,46,148,73,548,46,148,73,0,0.013953596677545487,-0.02092149167103463,0.016246550524429866,-0.00927865553094065
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,train,402,0.0036027228736033035,0.020729539666739925,5.7538535141358365,60,204,138,559,60,204,138,0,0.012147898703414041,-0.025708457756462466,0.017163281926651765,-0.0036027228736033035
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8250,risk_on_r6_horizon_complete,validation,116,-0.017172405347312014,0.025544647972376634,-1.4875404729702075,30,47,39,339,30,47,39,0,0.01953793075295638,-0.048723770539108924,0.012013434438840509,0.017172405347312125
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,robustness,666,0.0032710205432963657,0.01703000315582347,5.206327178447346,112,356,198,1502,112,356,198,0,0.010273251908919836,-0.020515733859430757,0.01351350249380727,-0.00327102054329631
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,train,1163,0.0020526025684450278,0.014386743884233964,7.009025568516561,109,636,418,1743,109,636,418,0,0.006271170590206095,-0.020449714609816816,0.016231146588055738,-0.0020526025684449722
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8250,risk_on_r_core_horizon_complete,validation,347,-0.0037815996226896464,0.022763955986712575,-6.019663173787237,76,163,108,809,76,163,108,0,0.01634467754313543,-0.0329648340529794,0.012838556887154288,0.0037815996226896464
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,robustness,300,0.006635076153792774,0.025915261209378853,3.9057971014492496,52,166,82,646,52,166,82,0,0.016550294625160934,-0.028645151639804023,0.01872993316843584,-0.006635076153792663
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,train,449,0.0017115886114385526,0.022585110563355125,13.195408296373763,61,230,158,647,61,230,158,0,0.012360232915371699,-0.031098399599899962,0.020449755295966855,-0.001711588611438608
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8000,risk_on_r6_horizon_complete,validation,128,-0.022219458947500104,0.02875700291583396,-1.29422606481016,32,52,44,381,32,52,44,0,0.021448803138021104,-0.05828466164114693,0.014616399555625714,0.022219458947500104
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,robustness,747,-0.00018599406189334644,0.01993783544592897,-107.19608595548503,127,395,225,1783,127,395,225,0,0.012077338129496403,-0.027984326824254863,0.015720994632865134,0.00018599406189334644
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,train,1294,-0.00022257286046067914,0.015606335823384408,-70.11787416975531,115,718,461,2027,115,718,461,0,0.006670442693256589,-0.024764801813972892,0.017871786260255637,0.00022257286046067914
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_8000,risk_on_r_core_horizon_complete,validation,391,-0.0077344522224395695,0.024551458114171476,-3.1742982447989774,78,189,124,944,78,189,124,0,0.016828971608121853,-0.040008396842660665,0.015444973012099246,0.007734452222439625
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,robustness,329,0.0035740432852346404,0.028549068260259595,7.987891019172509,54,183,92,735,54,183,92,0,0.01743382970819794,-0.03609026352708661,0.022230477104123313,-0.003574043285234585
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,train,488,-0.0005231082809360466,0.023325085315577733,-44.58940178473179,62,258,168,725,62,258,168,0,0.01259413298072942,-0.034579145931362076,0.02146190466969663,0.0005231082809360466
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7750,risk_on_r6_horizon_complete,validation,142,-0.02853143171648037,0.029297183469334038,-1.0268388828315038,32,62,48,429,32,62,48,0,0.021295875310089578,-0.06582992334505888,0.01600261631848892,0.028531431716480427
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,robustness,822,-0.004359757241130968,0.021792559695726212,-4.998571821873501,133,438,251,2058,133,438,251,0,0.012761644698839468,-0.035183231933743925,0.01806182999377349,0.004359757241131024
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,train,1424,-0.0027222291789281705,0.016477148817131478,-6.052814709604672,118,807,499,2312,118,807,499,0,0.006862315701376788,-0.02881421111181437,0.01922966623150938,0.0027222291789281705
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7750,risk_on_r_core_horizon_complete,validation,434,-0.011085328061892274,0.02614085944689338,-2.3581493755477645,80,217,137,1067,80,217,137,0,0.017379649108319066,-0.045987397847359945,0.017522420677148626,0.011085328061892219
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,robustness,349,-0.0009903328775345832,0.028942857576263213,-29.225382932167175,55,200,94,810,55,200,94,0,0.017896420282537417,-0.04097962774752362,0.022092874587451593,0.0009903328775346942
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,train,537,-0.0026043864562313446,0.024376500962918067,-9.3597864113423,63,293,181,815,63,293,181,0,0.012838268128562988,-0.03851912025350446,0.023076465668710154,0.0026043864562314
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7500,risk_on_r6_horizon_complete,validation,158,-0.03333682604901711,0.031157886781044516,-0.9346386706170297,33,73,52,475,33,73,52,0,0.022357102122425983,-0.07329549748868014,0.017601569317237067,0.03333682604901711
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,robustness,877,-0.009756602806230863,0.022730787296084208,-2.3297850437826204,138,476,263,2304,138,476,263,0,0.013384217042307519,-0.0418339603560918,0.01869314050755338,0.009756602806230918
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,train,1572,-0.003942951570663267,0.017566623454374382,-4.455196352163006,120,909,543,2579,120,909,543,0,0.0069866698046415245,-0.032089528674770496,0.021159907299465715,0.003942951570663267
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7500,risk_on_r_core_horizon_complete,validation,487,-0.013343068817603276,0.027431798998996663,-2.0558837980964597,81,256,150,1198,81,256,150,0,0.017628122631488122,-0.050578544184108454,0.019607352735017083,0.013343068817603276
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,robustness,366,-0.004951422515161896,0.031759741674755836,-6.414266117969816,57,207,102,872,57,207,102,0,0.01898101898101898,-0.04948988688365458,0.025557445387473714,0.004951422515161896
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,train,582,-0.00397749074996373,0.025795473297665274,-6.485363491517987,63,322,197,892,63,322,197,0,0.012806652868654456,-0.04276178447663981,0.025977640858021636,0.003977490749963675
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7250,risk_on_r6_horizon_complete,validation,163,-0.04247212673861911,0.03008881100187127,-0.7084366456863126,33,78,52,507,33,78,52,0,0.022297709023583027,-0.08035203971877869,0.015582203956576487,0.04247212673861922
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,robustness,939,-0.01376038742076946,0.02427452126968376,-1.7640870512878604,141,513,285,2527,141,513,285,0,0.013751986916214156,-0.048557443043922816,0.02104506870693921,0.01376038742076946
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,train,1700,-0.006909391299371015,0.018648144610593078,-2.6989562180811326,124,995,581,2866,124,995,581,0,0.007285752985393153,-0.03691992753516404,0.022724783250399852,0.0069093912993710704
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7250,risk_on_r_core_horizon_complete,validation,523,-0.016916032496949895,0.028836422744045943,-1.7046800276155414,82,280,161,1302,82,280,161,0,0.017931306445310234,-0.056657571539731555,0.02181023259747142,0.01691603249694995
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,robustness,389,-0.008679942811679331,0.032676604832293454,-3.7646106133700927,57,225,107,944,57,225,107,0,0.01898101898101898,-0.05505213349524729,0.027391171702548945,0.008679942811679386
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,train,622,-0.0049759454476015486,0.02743943755672275,-5.5144168772888795,63,346,213,958,63,346,213,0,0.012777248479522317,-0.04707757208152469,0.029324378154400865,0.004975945447601493
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7000,risk_on_r6_horizon_complete,validation,177,-0.04862389944909451,0.02969209774404026,-0.6106482219741675,33,90,54,548,33,90,54,0,0.022198077840109486,-0.0858100170970656,0.01498803980786155,0.04862389944909462
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,robustness,1011,-0.01746880539671808,0.02575951702683874,-1.4746009496263701,145,563,303,2759,145,563,303,0,0.014317271015402443,-0.054670568434993155,0.022884492022872592,0.017468805396718134
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,train,1855,-0.0077645029412458655,0.020065035114571327,-2.58420085180002,125,1099,631,3126,125,1099,631,0,0.007348064443551756,-0.040546508726836794,0.02543394134203914,0.0077645029412459765
regularized_logistic_or_elastic_net__fast_fail_only_10d__family_representative_features_only__none,fast_fail_only_10d,keep_7000,risk_on_r_core_horizon_complete,validation,563,-0.021285256715382617,0.029488163439293284,-1.3853797411793731,83,312,168,1417,83,312,168,0,0.018263695733754807,-0.061997887860214373,0.022448935411076953,0.021285256715382617
