model_id,train_target_component,threshold_id,denominator_id,split,total_rejected_hybrid_positive_n,total_hybrid_cost_reduction_rate,fast_fail_attributed_cost_reduction,fast_fail_attributed_cost_reduction_share,fast_fail_only_rejected_n,false_repair_only_rejected_n,both_rejected_n,neither_rejected_n,fast_fail_only_hybrid_positive_rejected_n,false_repair_only_hybrid_positive_rejected_n,both_hybrid_positive_rejected_n,neither_hybrid_positive_rejected_n,fast_fail_only_cost_reduction_rate,false_repair_only_cost_reduction_rate,both_cost_reduction_rate,neither_cost_reduction_rate
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r6_horizon_complete,validation,78,0.023349446026466325,0.0005354279834406186,0.022931078657442976,0,59,19,87,0,59,19,0,-0.0030510421402761487,0.01922754791930892,0.007172940247433535,-0.02334944602646627
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,robustness,1085,0.061865810678267574,-0.0036937964305659224,-0.05970658737142341,1,986,98,980,1,986,98,0,-0.004133522927255065,0.06511988061214433,0.0008794529933782852,-0.061865810678267574
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,train,2115,0.05124940754385865,-0.0023358427161660304,-0.045577945738534506,5,1869,241,1614,5,1869,241,0,-0.0019237020716949861,0.053997390904495735,-0.0008242812889420886,-0.05124940754385865
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7750,risk_on_r_core_horizon_complete,validation,279,0.02893328893646152,-0.00044464515133283214,-0.015367943558345126,0,232,47,253,0,232,47,0,-0.0025849268809244458,0.02723765235820272,0.004280563459183227,-0.02893328893646152
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,robustness,379,0.07115514454963998,-0.004131953673238081,-0.05806964063372122,1,339,39,335,1,339,39,0,-0.005483812823262366,0.07393523907285374,0.00270371830004857,-0.07115514454963989
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,train,690,0.04783375745152091,-0.006083386348106779,-0.12717768103984384,5,606,79,601,5,606,79,0,-0.0036006456021300155,0.05639988454560452,-0.004965481491953527,-0.047833757451520964
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r6_horizon_complete,validation,88,0.027872509170219106,0.00026051132921361964,0.00934653308830795,0,68,20,93,0,68,20,0,-0.003389401099324764,0.023962085412467082,0.007299824857076767,-0.027872509170219106
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,robustness,1169,0.0668818616990377,-0.003597617868355045,-0.05379063586094535,2,1053,114,1095,2,1053,114,0,-0.004531622491987658,0.06954547494376012,0.001868009247265226,-0.06688186169903765
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,train,2305,0.05523031295225195,-0.0025957857127915495,-0.04699929393910323,6,2030,269,1838,6,2030,269,0,-0.002172673916222471,0.05824921046161258,-0.0008462235931381568,-0.05523031295225189
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7500,risk_on_r_core_horizon_complete,validation,325,0.0347413570981166,-0.0008412708973484194,-0.02421525719252995,0,273,52,291,0,273,52,0,-0.0030585296615166825,0.03336536923129674,0.004434517528336526,-0.03474135709811654
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,robustness,395,0.07333541068480828,-0.004449811678727343,-0.06067753132047488,1,352,42,367,1,352,42,0,-0.00600782528493372,0.07622720875732925,0.0031160272124127544,-0.0733354106848082
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,train,752,0.0539061274192118,-0.006561802888387095,-0.12172647531064364,6,659,87,655,6,659,87,0,-0.0038961504089721453,0.06313358278701386,-0.005331304958829899,-0.05390612741921175
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r6_horizon_complete,validation,93,0.027214766266918877,-0.00028055593237060264,-0.010308959835221315,0,72,21,110,0,72,21,0,-0.0038689251652785535,0.023906952966381484,0.007176738465815902,-0.027214766266918766
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,robustness,1233,0.07004175169539134,-0.0037941816164195064,-0.05417028450288114,2,1105,126,1210,2,1105,126,0,-0.0050317259572333906,0.07259838897099694,0.0024750886816277684,-0.07004175169539129
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,train,2509,0.060650887886044724,-0.002582317089740523,-0.042576740089813145,8,2199,302,2048,8,2199,302,0,-0.0023555685747393643,0.06345995349078642,-0.0004534970300023172,-0.06065088788604467
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7250,risk_on_r_core_horizon_complete,validation,353,0.03674798545449692,-0.0008608644476354559,-0.02342616709428653,0,294,59,337,0,294,59,0,-0.0034932507595959138,0.034976463590171925,0.005264772623920916,-0.03674798545449698
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,robustness,414,0.07500641033299729,-0.005880044518498984,-0.07839389316718438,1,371,42,415,1,371,42,0,-0.006777950660195372,0.07998854870979985,0.0017958122833927753,-0.07500641033299726
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,train,797,0.05503198343211274,-0.007868913608138975,-0.14298800656251176,6,699,92,728,6,699,92,0,-0.00452722162830068,0.06624258902009003,-0.006683383959676589,-0.055031983432112686
h_style_logistic_baseline__false_repair_20d_component__baseline_fs0__none,false_repair_20d_component,keep_7000,risk_on_r6_horizon_complete,validation,112,0.033797019442555476,0.0015956496208736522,0.04721273198619674,2,84,26,133,2,84,26,0,-0.0031611269580071426,0.02744459324280102,0.00951355315776159,-0.03379701944255542
