condition,kind,n_terms,coverage_pre60_excl_t0,covered_events_excl_t0,coverage_pre60_to_t0,covered_events_to_t0,eligible_day_density,median_closest_hit_offset,median_earliest_hit_offset
money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,1.0,845,1.0,845,0.2508763587987435,-2.0,-57.0
vol_ratio20_gt_1_2,single,1,1.0,845,1.0,845,0.2511545679412018,-2.0,-57.0
vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and2,2,1.0,845,1.0,845,0.2511545679412018,-2.0,-57.0
vol_ratio20_gt_1_0 AND money_ratio20_gt_1_2,and2,2,1.0,845,1.0,845,0.2568300344473502,-2.0,-57.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_0,and3,3,1.0,845,1.0,845,0.2568300344473502,-2.0,-57.0
money_ratio20_gt_1_2,single,1,1.0,845,1.0,845,0.2570273100210933,-2.0,-57.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2,and2,2,1.0,845,1.0,845,0.2570273100210933,-2.0,-57.0
vol_ratio20_gt_1_0 AND money_ratio20_gt_1_0,and2,2,1.0,845,1.0,845,0.3812021669963023,0.0,-59.0
money_ratio20_gt_1_0,single,1,1.0,845,1.0,845,0.39936669482480414,0.0,-59.0
vol_ratio20_gt_1_0,single,1,1.0,845,1.0,845,0.39947039095972037,0.0,-59.0
volume_strength: at_least_3_of_7,kof,3,1.0,845,1.0,845,0.5195100484083908,-1.0,-60.0
volume_strength: at_least_2_of_7,kof,2,1.0,845,1.0,845,0.7252254758640923,0.0,-60.0
ret10_gt_0,single,1,0.9976331360946745,843,0.9976331360946745,843,0.5035281977611752,-2.0,-59.0
price_strength: at_least_2_of_9,kof,2,0.9976331360946745,843,0.9976331360946745,843,0.6785116316713288,0.0,-60.0
vol_ratio20_gt_1_2 AND money_ratio20_gt_1_5,and2,2,0.9964497041420118,842,0.9964497041420118,842,0.13691177735175247,-6.0,-53.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_1_2,and3,3,0.9964497041420118,842,0.9964497041420118,842,0.13691177735175247,-6.0,-53.0
money_ratio20_gt_1_2 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_1_2,and3,3,0.9964497041420118,842,0.9964497041420118,842,0.13691177735175247,-6.0,-53.0
money_ratio20_gt_1_5 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9964497041420118,842,0.9964497041420118,842,0.13691177735175247,-6.0,-53.0
vol_ratio20_gt_1_0 AND money_ratio20_gt_1_5,and2,2,0.9964497041420118,842,0.9964497041420118,842,0.1370205318347134,-6.0,-53.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_1_0,and3,3,0.9964497041420118,842,0.9964497041420118,842,0.1370205318347134,-6.0,-53.0
money_ratio20_gt_1_2 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_1_0,and3,3,0.9964497041420118,842,0.9964497041420118,842,0.1370205318347134,-6.0,-53.0
money_ratio20_gt_1_5,single,1,0.9964497041420118,842,0.9964497041420118,842,0.13702306100873576,-6.0,-53.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_5,and2,2,0.9964497041420118,842,0.9964497041420118,842,0.13702306100873576,-6.0,-53.0
money_ratio20_gt_1_2 AND money_ratio20_gt_1_5,and2,2,0.9964497041420118,842,0.9964497041420118,842,0.13702306100873576,-6.0,-53.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2 AND money_ratio20_gt_1_5,and3,3,0.9964497041420118,842,0.9964497041420118,842,0.13702306100873576,-6.0,-53.0
vol_ratio20_gt_1_5 AND money_ratio20_gt_1_5,and2,2,0.9952662721893492,841,0.9952662721893492,841,0.12253342303470532,-7.0,-51.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_1_5,and3,3,0.9952662721893492,841,0.9952662721893492,841,0.12253342303470532,-7.0,-51.0
money_ratio20_gt_1_2 AND money_ratio20_gt_1_5 AND vol_ratio20_gt_1_5,and3,3,0.9952662721893492,841,0.9952662721893492,841,0.12253342303470532,-7.0,-51.0
money_ratio20_gt_1_5 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_5,and3,3,0.9952662721893492,841,0.9952662721893492,841,0.12253342303470532,-7.0,-51.0
money_ratio20_gt_1_5 AND vol_ratio20_gt_1_2 AND vol_ratio20_gt_1_5,and3,3,0.9952662721893492,841,0.9952662721893492,841,0.12253342303470532,-7.0,-51.0
volume_strength: at_least_4_of_7,kof,4,0.9952662721893492,841,0.9952662721893492,841,0.42007557171978777,-3.0,-59.0
above_ma20,single,1,0.9952662721893492,841,0.9952662721893492,841,0.504327416752237,-3.0,-59.0
above_boll_mid20,single,1,0.9952662721893492,841,0.9952662721893492,841,0.504327416752237,-3.0,-59.0
above_ma20 AND boll_pct_b_gt_0_5,and2,2,0.9952662721893492,841,0.9952662721893492,841,0.504327416752237,-3.0,-59.0
above_ma20 AND above_boll_mid20,and2,2,0.9952662721893492,841,0.9952662721893492,841,0.504327416752237,-3.0,-59.0
boll_pct_b_gt_0_5 AND above_boll_mid20,and2,2,0.9952662721893492,841,0.9952662721893492,841,0.504327416752237,-3.0,-59.0
above_boll_mid20 AND above_ma20 AND boll_pct_b_gt_0_5,and3,3,0.9952662721893492,841,0.9952662721893492,841,0.504327416752237,-3.0,-59.0
boll_pct_b_gt_0_5,single,1,0.9952662721893492,841,0.9952662721893492,841,0.5043299459262593,-3.0,-59.0
rps20_gt_50,single,1,0.9952662721893492,841,0.9952662721893492,841,0.5311189571709671,-1.0,-60.0
trend_ma_ema: at_least_2_of_10,kof,2,0.9952662721893492,841,0.9952662721893492,841,0.7048125123297233,0.0,-60.0
money_ratio20_gt_1_0 AND ret10_gt_0 AND vol_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.24829407212192642,-5.0,-56.0
vol_ratio20_gt_1_0 AND ret10_gt_0,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.24989251010405023,-5.0,-56.0
above_boll_mid20 AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.25345611630153825,-5.0,-56.0
above_ma20 AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.25345611630153825,-5.0,-56.0
boll_pct_b_gt_0_5 AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.2534586454755606,-5.0,-56.0
above_ma20 AND vol_ratio20_gt_1_0,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.2542730395107566,-5.0,-56.0
vol_ratio20_gt_1_0 AND above_boll_mid20,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.2542730395107566,-5.0,-56.0
above_boll_mid20 AND above_ma20 AND vol_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.2542730395107566,-5.0,-56.0
above_boll_mid20 AND boll_pct_b_gt_0_5 AND vol_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.2542730395107566,-5.0,-56.0
above_ma20 AND boll_pct_b_gt_0_5 AND vol_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.2542730395107566,-5.0,-56.0
vol_ratio20_gt_1_0 AND boll_pct_b_gt_0_5,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.2542755686847789,-5.0,-56.0
money_ratio20_gt_1_0 AND ret10_gt_0,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.2656113266529417,-5.0,-56.0
above_ma20 AND money_ratio20_gt_1_0,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.27153971056132487,-5.0,-56.0
money_ratio20_gt_1_0 AND above_boll_mid20,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.27153971056132487,-5.0,-56.0
above_boll_mid20 AND above_ma20 AND money_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.27153971056132487,-5.0,-56.0
above_boll_mid20 AND boll_pct_b_gt_0_5 AND money_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.27153971056132487,-5.0,-56.0
above_ma20 AND boll_pct_b_gt_0_5 AND money_ratio20_gt_1_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.27153971056132487,-5.0,-56.0
money_ratio20_gt_1_0 AND boll_pct_b_gt_0_5,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.27154223973534725,-5.0,-56.0
above_ma20 AND ret10_gt_0,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.43837920411951864,-3.0,-58.0
boll_pct_b_gt_0_5 AND ret10_gt_0,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.43837920411951864,-3.0,-58.0
above_boll_mid20 AND ret10_gt_0,and2,2,0.9940828402366864,840,0.9940828402366864,840,0.43837920411951864,-3.0,-58.0
above_boll_mid20 AND above_ma20 AND ret10_gt_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.43837920411951864,-3.0,-58.0
above_boll_mid20 AND boll_pct_b_gt_0_5 AND ret10_gt_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.43837920411951864,-3.0,-58.0
above_ma20 AND boll_pct_b_gt_0_5 AND ret10_gt_0,and3,3,0.9940828402366864,840,0.9940828402366864,840,0.43837920411951864,-3.0,-58.0
near_high_20_5pct,single,1,0.9940828402366864,840,0.9940828402366864,840,0.547212091475166,-2.0,-59.0
trend_ma_ema: at_least_3_of_10,kof,3,0.9940828402366864,840,0.9940828402366864,840,0.6563813589757856,0.0,-60.0
near_high_20_5pct AND ret10_gt_0,and2,2,0.9928994082840237,839,0.9928994082840237,839,0.408274445731513,-4.0,-57.0
above_ma20 AND near_high_20_5pct,and2,2,0.9928994082840237,839,0.9928994082840237,839,0.43503310688795255,-4.0,-57.0
near_high_20_5pct AND above_boll_mid20,and2,2,0.9928994082840237,839,0.9928994082840237,839,0.43503310688795255,-4.0,-57.0
above_boll_mid20 AND above_ma20 AND near_high_20_5pct,and3,3,0.9928994082840237,839,0.9928994082840237,839,0.43503310688795255,-4.0,-57.0
above_boll_mid20 AND boll_pct_b_gt_0_5 AND near_high_20_5pct,and3,3,0.9928994082840237,839,0.9928994082840237,839,0.43503310688795255,-4.0,-57.0
above_ma20 AND boll_pct_b_gt_0_5 AND near_high_20_5pct,and3,3,0.9928994082840237,839,0.9928994082840237,839,0.43503310688795255,-4.0,-57.0
near_high_20_5pct AND boll_pct_b_gt_0_5,and2,2,0.9928994082840237,839,0.9928994082840237,839,0.4350356360619749,-4.0,-57.0
money_ratio20_gt_1_2 AND ret10_gt_0 AND vol_ratio20_gt_1_0,and3,3,0.991715976331361,838,0.991715976331361,838,0.18437425705513094,-8.0,-53.0
money_ratio20_gt_1_2 AND ret10_gt_0,and2,2,0.991715976331361,838,0.991715976331361,838,0.18457153262887407,-8.0,-53.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2 AND ret10_gt_0,and3,3,0.991715976331361,838,0.991715976331361,838,0.18457153262887407,-8.0,-53.0
price_strength: at_least_3_of_9,kof,3,0.991715976331361,838,0.991715976331361,838,0.5860981420687632,-1.0,-60.0
money_ratio20_gt_1_2 AND ret10_gt_0 AND vol_ratio20_gt_1_2,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.16677373503361273,-8.0,-53.0
money_ratio20_gt_1_0 AND ret10_gt_0 AND vol_ratio20_gt_1_2,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.16781069638277532,-8.0,-53.0
vol_ratio20_gt_1_2 AND ret10_gt_0,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.16788657160344575,-8.0,-53.0
ret10_gt_0 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.16788657160344575,-8.0,-53.0
money_ratio20_gt_1_0 AND near_high_20_5pct AND vol_ratio20_gt_1_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.25885084449120604,-5.0,-55.0
near_high_20_5pct AND vol_ratio20_gt_1_0,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.2606895540054529,-5.0,-55.0
near_high_20_5pct AND money_ratio20_gt_1_0,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.2751437835431705,-5.0,-55.0
above_boll_mid20 AND above_ema20 AND ret10_gt_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.41664348257146183,-4.0,-58.0
above_boll_mid20 AND ema20_up AND ret10_gt_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.41664348257146183,-4.0,-58.0
above_ema20 AND above_ma20 AND ret10_gt_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.41664348257146183,-4.0,-58.0
above_ema20 AND boll_pct_b_gt_0_5 AND ret10_gt_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.41664348257146183,-4.0,-58.0
above_ma20 AND ema20_up AND ret10_gt_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.41664348257146183,-4.0,-58.0
boll_pct_b_gt_0_5 AND ema20_up AND ret10_gt_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.41664348257146183,-4.0,-58.0
above_ema20 AND ret10_gt_0,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.42594072627761226,-4.0,-58.0
ema20_up AND ret10_gt_0,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.42594072627761226,-4.0,-58.0
above_ema20 AND ema20_up AND ret10_gt_0,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.42594072627761226,-4.0,-58.0
above_ma20 AND above_ema20,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ma20 AND ema20_up,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ema20 AND boll_pct_b_gt_0_5,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ema20 AND above_boll_mid20,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
ema20_up AND boll_pct_b_gt_0_5,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
ema20_up AND above_boll_mid20,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_boll_mid20 AND above_ema20 AND above_ma20,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_boll_mid20 AND above_ema20 AND boll_pct_b_gt_0_5,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_boll_mid20 AND above_ema20 AND ema20_up,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_boll_mid20 AND above_ma20 AND ema20_up,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_boll_mid20 AND boll_pct_b_gt_0_5 AND ema20_up,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ema20 AND above_ma20 AND boll_pct_b_gt_0_5,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ema20 AND above_ma20 AND ema20_up,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ema20 AND boll_pct_b_gt_0_5 AND ema20_up,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ma20 AND boll_pct_b_gt_0_5 AND ema20_up,and3,3,0.9905325443786982,837,0.9905325443786982,837,0.47226760684495656,-3.0,-58.0
above_ema20,single,1,0.9905325443786982,837,0.9905325443786982,837,0.5010647822634084,-2.0,-59.0
ema20_up,single,1,0.9905325443786982,837,0.9905325443786982,837,0.5010647822634084,-2.0,-59.0
above_ema20 AND ema20_up,and2,2,0.9905325443786982,837,0.9905325443786982,837,0.5010647822634084,-2.0,-59.0
above_boll_mid20 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17024629096629623,-8.0,-53.0
above_ma20 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17024629096629623,-8.0,-53.0
boll_pct_b_gt_0_5 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17024882014031859,-8.0,-53.0
above_boll_mid20 AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17087605529786082,-8.0,-53.0
above_ma20 AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17087605529786082,-8.0,-53.0
boll_pct_b_gt_0_5 AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17087858447188317,-8.0,-53.0
above_ma20 AND vol_ratio20_gt_1_2,and2,2,0.9893491124260355,836,0.9905325443786982,837,0.17094940134450892,-8.0,-53.0
vol_ratio20_gt_1_2 AND above_boll_mid20,and2,2,0.9893491124260355,836,0.9905325443786982,837,0.17094940134450892,-8.0,-53.0
above_boll_mid20 AND above_ma20 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17094940134450892,-8.0,-53.0
above_boll_mid20 AND boll_pct_b_gt_0_5 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17094940134450892,-8.0,-53.0
above_boll_mid20 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17094940134450892,-8.0,-53.0
above_ma20 AND boll_pct_b_gt_0_5 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17094940134450892,-8.0,-53.0
above_ma20 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17094940134450892,-8.0,-53.0
vol_ratio20_gt_1_2 AND boll_pct_b_gt_0_5,and2,2,0.9893491124260355,836,0.9905325443786982,837,0.17095193051853125,-8.0,-53.0
boll_pct_b_gt_0_5 AND vol_ratio20_gt_1_0 AND vol_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.17095193051853125,-8.0,-53.0
money_ratio20_gt_1_2 AND near_high_20_5pct AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.1871614068277582,-8.0,-53.0
near_high_20_5pct AND money_ratio20_gt_1_2,and2,2,0.9893491124260355,836,0.9893491124260355,836,0.1873460365313896,-8.0,-53.0
money_ratio20_gt_1_0 AND money_ratio20_gt_1_2 AND near_high_20_5pct,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.1873460365313896,-8.0,-53.0
above_boll_mid20 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.1884057604467533,-7.0,-53.0
above_ma20 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.1884057604467533,-7.0,-53.0
boll_pct_b_gt_0_5 AND money_ratio20_gt_1_2 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.18840828962077566,-7.0,-53.0
above_ma20 AND money_ratio20_gt_1_2,and2,2,0.9893491124260355,836,0.9905325443786982,837,0.18860303602049644,-7.0,-53.0
money_ratio20_gt_1_2 AND above_boll_mid20,and2,2,0.9893491124260355,836,0.9905325443786982,837,0.18860303602049644,-7.0,-53.0
above_boll_mid20 AND above_ma20 AND money_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.18860303602049644,-7.0,-53.0
above_boll_mid20 AND boll_pct_b_gt_0_5 AND money_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.18860303602049644,-7.0,-53.0
above_boll_mid20 AND money_ratio20_gt_1_0 AND money_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.18860303602049644,-7.0,-53.0
above_ma20 AND boll_pct_b_gt_0_5 AND money_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.18860303602049644,-7.0,-53.0
above_ma20 AND money_ratio20_gt_1_0 AND money_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.18860303602049644,-7.0,-53.0
money_ratio20_gt_1_2 AND boll_pct_b_gt_0_5,and2,2,0.9893491124260355,836,0.9905325443786982,837,0.18860556519451877,-7.0,-53.0
boll_pct_b_gt_0_5 AND money_ratio20_gt_1_0 AND money_ratio20_gt_1_2,and3,3,0.9893491124260355,836,0.9905325443786982,837,0.18860556519451877,-7.0,-53.0
above_boll_mid20 AND ret10_gt_0 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.2331013237696833,-6.0,-55.0
above_ma20 AND ret10_gt_0 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.2331013237696833,-6.0,-55.0
boll_pct_b_gt_0_5 AND ret10_gt_0 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.2331013237696833,-6.0,-55.0
above_boll_mid20 AND above_ema20 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24499350002276257,-5.0,-55.5
above_boll_mid20 AND ema20_up AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24499350002276257,-5.0,-55.5
above_ema20 AND above_ma20 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24499350002276257,-5.0,-55.5
above_ema20 AND boll_pct_b_gt_0_5 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24499350002276257,-5.0,-55.5
above_ma20 AND ema20_up AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24499350002276257,-5.0,-55.5
boll_pct_b_gt_0_5 AND ema20_up AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24499350002276257,-5.0,-55.5
above_boll_mid20 AND money_ratio20_gt_1_0 AND ret10_gt_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24976605140293284,-6.0,-55.0
above_ma20 AND money_ratio20_gt_1_0 AND ret10_gt_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24976605140293284,-6.0,-55.0
boll_pct_b_gt_0_5 AND money_ratio20_gt_1_0 AND ret10_gt_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.24976605140293284,-6.0,-55.0
above_ema20 AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.25127090994622975,-5.0,-56.0
ema20_up AND money_ratio20_gt_1_0 AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.25127090994622975,-5.0,-56.0
above_ema20 AND vol_ratio20_gt_1_0,and2,2,0.9893491124260355,836,0.9893491124260355,836,0.25231545881745937,-5.0,-56.0
ema20_up AND vol_ratio20_gt_1_0,and2,2,0.9893491124260355,836,0.9893491124260355,836,0.25231545881745937,-5.0,-56.0
above_ema20 AND ema20_up AND vol_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.25231545881745937,-5.0,-56.0
above_boll_mid20 AND above_ema20 AND money_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.26218935420070516,-5.0,-56.0
above_boll_mid20 AND ema20_up AND money_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.26218935420070516,-5.0,-56.0
above_ema20 AND above_ma20 AND money_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.26218935420070516,-5.0,-56.0
above_ema20 AND boll_pct_b_gt_0_5 AND money_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.26218935420070516,-5.0,-56.0
above_ma20 AND ema20_up AND money_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.26218935420070516,-5.0,-56.0
boll_pct_b_gt_0_5 AND ema20_up AND money_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.26218935420070516,-5.0,-56.0
above_ema20 AND money_ratio20_gt_1_0,and2,2,0.9893491124260355,836,0.9893491124260355,836,0.26919263706858615,-5.0,-56.0
ema20_up AND money_ratio20_gt_1_0,and2,2,0.9893491124260355,836,0.9893491124260355,836,0.26919263706858615,-5.0,-56.0
above_ema20 AND ema20_up AND money_ratio20_gt_1_0,and3,3,0.9893491124260355,836,0.9893491124260355,836,0.26919263706858615,-5.0,-56.0
