version,period,stage,sizing,risk_budget_per_trade,single_stock_max_weight,max_positions,max_daily_new_weight,max_industry_weight,rows,trades,win_rate,total_return_with_cost,total_return_without_cost,annual_return_with_cost,max_drawdown,return_drawdown_ratio,turnover_mean,cost_sum,cost_ratio,avg_positions,avg_cash_ratio,max_single_stock_weight_observed,max_industry_weight_observed,ending_account,remove_top5_trade_return_sum
risk_unit_rb075_sw05,valid,risk_unit_stage,risk_unit,0.0075,0.05,20,0.2,,484,170,0.28823529411764703,-0.06948367829270385,-0.05605784133634428,-0.036801496435312275,-0.12605683085433195,-0.29194369068217446,0.0304465726536315,14068.682527017594,0.014068682527017594,3.6384297520661155,0.8256013136601387,0.08841690415632807,0.507401657748198,930516.3217072962,-2.795680970623602
risk_unit_rb075_sw05,observed_test,risk_unit_stage,risk_unit,0.0075,0.05,20,0.2,,319,135,0.4222222222222222,0.4375594455537799,0.4559531065207698,0.3320466991209323,-0.08762345285359052,3.789472890046311,0.039863568260091825,16206.536501884464,0.016206536501884465,6.52037617554859,0.6783312264540949,0.09167830556779796,0.517121637471751,1437559.4455537798,4.214296853172893
risk_unit_rb075_sw06,valid,risk_unit_stage,risk_unit,0.0075,0.06,20,0.2,,484,167,0.2874251497005988,-0.08650607692830603,-0.07129287926564432,-0.04601627689591381,-0.14975633556059442,-0.3072743248134213,0.03506051793230434,16069.077535796167,0.016069077535796165,3.5826446280991737,0.80292591135279,0.09749545771217002,0.5933940344135726,913493.923071694,-2.7187068934346015
risk_unit_rb075_sw06,observed_test,risk_unit_stage,risk_unit,0.0075,0.06,20,0.2,,319,131,0.4122137404580153,0.484012524205232,0.5047804409187748,0.36593584837515136,-0.09542729189105947,3.8347085107780963,0.04352776393834027,18304.486006712912,0.018304486006712913,6.184952978056426,0.6592184767825015,0.11745014673526555,0.6081856616285174,1484012.524205232,4.289572797128524
risk_unit_rb100_sw03,valid,risk_unit_stage,risk_unit,0.01,0.03,20,0.2,,484,169,0.28994082840236685,-0.04012544278349839,-0.03164414934409909,-0.021096749260673953,-0.07609589034855824,-0.27723900941351776,0.018762971038816675,8714.450518751146,0.008714450518751147,3.6198347107438016,0.8926103746148598,0.054356666505584426,0.3055470306062532,959874.5572165016,-2.6097552771530506
risk_unit_rb100_sw03,observed_test,risk_unit_stage,risk_unit,0.01,0.03,20,0.2,,319,133,0.42857142857142855,0.2656583608976133,0.27550469733305505,0.2045555184154757,-0.05542348896127547,3.690773032322075,0.02415838738678683,9035.62899916172,0.009035628999161719,6.492163009404389,0.7959104540324957,0.06056932145691476,0.3198180779018995,1265658.3608976132,4.524762417948893
risk_unit_rb100_sw05,valid,risk_unit_stage,risk_unit,0.01,0.05,20,0.2,,484,170,0.28823529411764703,-0.07126665291309386,-0.057711097068771755,-0.037762869012404776,-0.1289435755741687,-0.2928635168076557,0.030795997372304883,14226.657528877258,0.014226657528877258,3.6384297520661155,0.8214680936930105,0.08832874032259433,0.5119071146862778,928733.3470869061,-2.788766855394217
risk_unit_rb100_sw05,observed_test,risk_unit_stage,risk_unit,0.01,0.05,20,0.2,,319,134,0.4253731343283582,0.439676822636748,0.4582053384508362,0.3335963524846828,-0.08979549968993195,3.715067610699941,0.04009444284721923,16330.159499025345,0.016330159499025346,6.460815047021944,0.6756706264303527,0.0916561870303387,0.5167357922221494,1439676.822636748,4.249525448025604
risk_unit_rb100_sw06,valid,risk_unit_stage,risk_unit,0.01,0.06,20,0.2,,484,166,0.2891566265060241,-0.08001940870660573,-0.06459212714391538,-0.042495204119330166,-0.14897448953781334,-0.2852515504578645,0.03527612316361384,16273.409537255766,0.016273409537255767,3.574380165289256,0.796661292261566,0.10615191002821363,0.6137582379499227,919980.5912933942,-2.65098202226219
risk_unit_rb100_sw06,observed_test,risk_unit_stage,risk_unit,0.01,0.06,20,0.2,,319,131,0.4122137404580153,0.49045587697274673,0.5114812348300966,0.37061876885442624,-0.09498223679956364,3.9019797947749417,0.04387976006888181,18537.13650457859,0.01853713650457859,6.184952978056426,0.6523114271272563,0.11713185702806436,0.6082073159458672,1490455.8769727468,4.288100150865315
risk_unit_rb050_sw03_cap20,valid,industry_cap_stage,risk_unit,0.005,0.03,20,0.2,0.2,484,167,0.2874251497005988,-0.036671648134875334,-0.028499758004360998,-0.0192644223478442,-0.07329437779826031,-0.2628362901294928,0.018003417951239723,8379.65601890087,0.008379656018900871,3.5702479338842976,0.8972566253269201,0.05434909156572767,0.2138235882233454,963328.3518651247,-2.696238892981646
risk_unit_rb050_sw03_cap20,observed_test,industry_cap_stage,risk_unit,0.005,0.03,20,0.2,0.2,319,129,0.4263565891472868,0.2393034348645926,0.24836507419488352,0.1846973725003398,-0.05122534511989796,3.6055857128543973,0.022707330999531015,8383.558495926856,0.008383558495926856,6.341692789968652,0.8114299076686585,0.06075044273827621,0.2354309667953692,1239303.4348645925,4.104766696859019
risk_unit_rb050_sw03_cap25,valid,industry_cap_stage,risk_unit,0.005,0.03,20,0.2,0.25,484,168,0.2857142857142857,-0.03849601429340799,-0.030169259118461467,-0.020231902437146787,-0.07504524781586264,-0.269596050729148,0.018388622003053443,8547.021516537667,0.008547021516537667,3.6012396694214877,0.8948081398870515,0.05434909156572767,0.2578599822731264,961503.985706592,-2.5839619051866602
risk_unit_rb050_sw03_cap25,observed_test,industry_cap_stage,risk_unit,0.005,0.03,20,0.2,0.25,319,132,0.4318181818181818,0.26866364168155243,0.2781941821011742,0.20681441857873706,-0.05194853482444539,3.981140551463956,0.023318943297145484,8712.347993969917,0.008712347993969917,6.4420062695924765,0.8009435771482782,0.060596741641678296,0.27340154376561565,1268663.6416815524,4.517756640732138
risk_unit_rb050_sw03_cap30,valid,industry_cap_stage,risk_unit,0.005,0.03,20,0.2,0.3,484,169,0.28994082840236685,-0.03928287011041609,-0.030866296857291142,-0.020649451728506185,-0.07581170802801362,-0.2723781361168632,0.018601891396224077,8641.87801733017,0.008641878017330169,3.6198347107438016,0.893801369645234,0.05434909156572767,0.2987273948790297,960717.1298895839,-2.6097552771530506
risk_unit_rb050_sw03_cap30,observed_test,industry_cap_stage,risk_unit,0.005,0.03,20,0.2,0.3,319,133,0.42857142857142855,0.26574412708542394,0.27550454880055786,0.20461999962913513,-0.05442587030758783,3.759609143091789,0.023943932937636393,8951.861998820305,0.008951861998820304,6.492163009404389,0.7982970613241352,0.06056932145691476,0.3065807920253542,1265744.127085424,4.524762417948894
