version,period,datetime,cash,position_value,account_value,prev_account_value,return,cost,turnover,positions,cash_ratio,max_single_stock_weight,max_industry_weight_observed
risk_unit_rb050_sw05,observed_test,2025-09-05,574776.0361568925,749210.9998703003,1323987.0360271928,1286644.3193163394,0.029023340911104034,406.2855073928833,0.2105142818898926,11,0.43412512397522257,0.07930591247710937,0.175378602109999
risk_unit_rb050_sw05,observed_test,2025-09-08,336564.98805012676,996805.0129890442,1333370.001039171,1323987.0360271928,0.007086900971578158,119.04600105285645,0.1798295569570991,15,0.252416799378884,0.07547192157942427,0.25588996783610063
risk_unit_rb050_sw05,observed_test,2025-09-09,401548.3656873939,928657.0016860962,1330205.36737349,1333370.001039171,-0.0023734099786364427,97.6214987039566,0.048809407055243295,14,0.30186945229386425,0.07824055250161163,0.205723877771616
risk_unit_rb050_sw05,observed_test,2025-09-10,401548.3656873939,924391.003036499,1325939.3687238928,1330205.36737349,-0.003207022580295593,0.0,0.0,14,0.30284066915808605,0.07617995149572192,0.20147225615923597
risk_unit_rb050_sw05,observed_test,2025-09-11,334947.0794623134,1008472.0106124878,1343419.0900748011,1325939.3687238928,0.013182896415339984,33.28400111198425,0.050204408884875866,15,0.24932434110614257,0.07869026210915944,0.25408750535919317
risk_unit_rb050_sw05,observed_test,2025-09-12,268091.669103503,1081864.0029907227,1349955.6720942257,1343419.0900748011,0.004865631334046716,33.41099967956543,0.049740248484492086,16,0.1985929424538841,0.0736735311667303,0.30972572652793084
risk_unit_rb050_sw05,observed_test,2025-09-15,206095.68797748064,1150138.003730774,1356233.6917082546,1349955.6720942257,0.004650537601941895,30.98249931335449,0.04590150618099991,17,0.15196178154068066,0.07207165053411259,0.3050469900744511
risk_unit_rb050_sw05,observed_test,2025-09-16,358977.0280136821,984820.0033187866,1343797.0313324686,1356233.6917082546,-0.009169998099753274,229.66650981903078,0.11289426555475728,15,0.2671363454775096,0.07087231166132658,0.3035897473643746
risk_unit_rb050_sw05,observed_test,2025-09-17,366221.4433825252,990232.9941749573,1356454.4375574824,1343797.0313324686,0.00941913542736672,117.5829984664917,0.08476131188494673,15,0.26998433065099237,0.07335742081547296,0.29813165179118306
risk_unit_rb050_sw05,observed_test,2025-09-18,366221.4433825252,981928.991985321,1348150.4353678462,1356454.4375574824,-0.006121843800805382,0.0,0.0,15,0.27164731307051854,0.07680448483754249,0.29004923178697883
risk_unit_rb050_sw05,observed_test,2025-09-19,579289.8978079078,758992.0034408569,1338281.9012487647,1348150.4353678462,-0.007320054097960327,544.5555042743682,0.32470337717919356,11,0.43286089221364077,0.07372885828538547,0.16575954514698024
risk_unit_rb050_sw05,observed_test,2025-09-22,397312.14916050405,944286.0005378723,1341598.1496983764,1338281.9012487647,0.00247798946284572,264.74949426651,0.263596924963973,15,0.2961484027462541,0.07330063901815607,0.30154260450803877
risk_unit_rb050_sw05,observed_test,2025-09-23,331720.3705993888,1006005.0042152405,1337725.3748146293,1341598.1496983764,-0.002886687704971691,32.779499530792236,0.04886634576555112,16,0.2479734457046954,0.07073349888461596,0.30371705270205585
risk_unit_rb050_sw05,observed_test,2025-09-24,332303.1709270713,1027626.0054588318,1359929.176385903,1337725.3748146293,0.01659817626943827,128.20049629211428,0.09556893984899004,16,0.24435329184582083,0.07258760188709615,0.30450482636953574
risk_unit_rb050_sw05,observed_test,2025-09-25,197640.87411406013,1186725.0044822693,1384365.8785963294,1359929.176385903,0.017969099152184143,67.29749965667725,0.09897206534758607,18,0.14276635762971643,0.0722280166135351,0.3056352416053075
risk_unit_rb050_sw05,observed_test,2025-09-26,152848.4882744071,1220603.996181488,1373452.4844558951,1384365.8785963294,-0.007883316332167767,22.3850004196167,0.03233971707293719,19,0.11128778753125874,0.07128022345729995,0.34487905876337455
risk_unit_rb050_sw05,observed_test,2025-09-29,152848.4882744071,1255846.0039138794,1408694.4921882865,1373452.4844558951,0.02565942989018133,0.0,0.0,19,0.10850364583804828,0.07143351823311948,0.35457226607221226
risk_unit_rb050_sw05,observed_test,2025-09-30,139992.84307563276,1302953.0033111572,1442945.84638679,1408694.4921882865,0.024314252940179415,111.64199824333191,0.08377543924394334,19,0.09701877823494345,0.06888408246247035,0.4086944771608699
risk_unit_rb050_sw05,observed_test,2025-10-09,80142.93490760298,1416215.0129318237,1496357.9478394268,1442945.84638679,0.03701601247640962,29.909999084472656,0.04145685599964658,20,0.053558665574183234,0.07011825013961757,0.4697612698145025
risk_unit_rb050_sw05,observed_test,2025-10-10,143977.03830783337,1307534.9910736084,1451512.029381442,1496357.9478394268,-0.029970047288977453,95.89499759674072,0.04272373364283252,19,0.09919107481953754,0.07252437159086868,0.47141048732300916
