candidate_scope_id,family_id,split,market_regime_bucket,transition_reselection_role,transition_score,pre_replay_any_recall,pre_replay_bridge_recall,incremental_recall_over_e1,incremental_recall_source_status,fast_fail_10d_rate,false_repair_20d_rate,rolling_10d_duplicate_rate,density_granularity,event_uniqueness_10d_p10,cross_family_collision_10d_rate,cell_sample_status,experiment_a_source_caveat,t4_t7_source_rule
08_R1_event_regime_gated,R1_relative_strength_breakout,robustness,transition,transition_support_feature,0.44483005966173733,0.42,0.2222222222222222,0.09,candidate_family_incremental_recall_over_e1,0.1634615384615384,0.2562380038387716,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,robustness,transition,transition_support_feature,0.4393789026142663,0.4,0.2222222222222222,0.07,candidate_family_incremental_recall_over_e1,0.1343638525564803,0.2042755344418052,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R8_event_regime_gated,R8_persistent_distance_above_ema,robustness,transition,transition_support_feature,0.4071624106376122,0.38,0.2,0.08,candidate_family_incremental_recall_over_e1,0.1143523920653442,0.1641443538998835,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_selected_T4_T7_union,selected_T4_T7_union,robustness,transition,transition_quality_filter_candidate,0.056666666666666685,0.12,0.02,0.02,candidate_family_incremental_recall_over_e1,0.1666666666666666,0.2459016393442623,0.0373242850218128,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_T7_gated,T7_board_relative_strength_break,robustness,transition,transition_quality_filter_candidate,0.0266666666666667,0.1,0.01,,not_available_publishable_source,0.1666666666666666,0.5,0.0,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,recall_bridge_from_candidate_10d_retention_by_split_regime
07_E3_channel,E3_persistence_quality,robustness,transition,transition_inconclusive,-0.0186915887850467,,,0.0052146008824709,topn_channel_recall_contribution,0.0373831775700934,,,scope_level_only,,,diagnostic_only,not_in_experiment_a_scope,
07_E6_channel,E6_continuation_tag,robustness,transition,transition_inconclusive,-0.0230125523012552,,,0.0040112314480545,topn_channel_recall_contribution,0.0460251046025104,,,scope_level_only,,,diagnostic_only,not_in_experiment_a_scope,
08_T4_gated,T4_entropy_compression_then_directional_expansion,robustness,transition,transition_quality_filter_candidate,-0.0418181818181818,0.03,0.01,,not_available_publishable_source,0.1636363636363636,0.2321428571428571,0.0,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,recall_bridge_from_candidate_10d_retention_by_split_regime
08_R_core_event_regime_gated,R_core_event_regime_gated,robustness,transition,transition_inconclusive,-0.18081807964681162,,,,not_available_publishable_source,0.1303133726341917,0.2003100775193798,0.5783069666485787,scope_level_only,0.393939393939394,0.5783069666485787,diagnostic_only,scope_capture_not_available,
08_R6_event_regime_gated,R6_market_breadth_thrust,train,transition,transition_primary_candidate,1.2339808152306213,0.9605263157894736,0.4934210526315789,0.3552631578947368,candidate_family_incremental_recall_over_e1,0.2086103197214308,0.2555344718532574,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R1_event_regime_gated,R1_relative_strength_breakout,train,transition,transition_support_feature,1.1958031037117045,0.9703947368421052,0.4671052631578947,0.3618421052631579,candidate_family_incremental_recall_over_e1,0.2520710059171597,0.2925196850393701,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,train,transition,transition_support_feature,1.1714884705062205,0.9375,0.4605263157894737,0.3421052631578947,candidate_family_incremental_recall_over_e1,0.2217529039070749,0.2617414248021108,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R8_event_regime_gated,R8_persistent_distance_above_ema,train,transition,transition_support_feature,1.0117277623591694,0.8782894736842105,0.3828382838283828,0.3453947368421052,candidate_family_incremental_recall_over_e1,0.2674772036474164,0.296543359611886,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_R2_event_regime_gated,R2_near_high_volume_expansion,train,transition,transition_support_feature,0.9524831593288168,0.8585526315789473,0.3366336633663366,0.3125,candidate_family_incremental_recall_over_e1,0.2540834845735027,0.2841628959276018,0.0,scope_level_only,1.0,0.5783069666485787,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
07_full_union,07_full_union,train,transition,transition_inconclusive,0.8834229297908126,0.631578947368421,0.3399339933993399,,not_available_publishable_source,0.1761800219538968,0.221185510428101,0.2959567310863399,scope_level_only,0.7272727272727273,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
07_E1_only,E1_early_ema60_repair,train,transition,transition_context_only,0.8560782454681015,0.6217105263157895,0.3201320132013201,0.0,baseline_zero,0.1715285880980163,0.2100350058343057,0.0019061583577712,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_selected_T4_T7_union,selected_T4_T7_union,train,transition,transition_quality_filter_candidate,0.1720647773279351,0.2302631578947368,0.0855263157894736,0.0822368421052631,candidate_family_incremental_recall_over_e1,0.2874493927125506,0.3052208835341365,0.0373242850218128,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,
08_T4_gated,T4_entropy_compression_then_directional_expansion,train,transition,transition_quality_filter_candidate,0.07036613272311201,0.1578947368421052,0.0592105263157894,,not_available_publishable_source,0.2934782608695652,0.3118279569892473,0.0,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,recall_bridge_from_candidate_10d_retention_by_split_regime
08_T7_gated,T7_board_relative_strength_break,train,transition,transition_quality_filter_candidate,-0.029908906882591152,0.0822368421052631,0.0263157894736842,,not_available_publishable_source,0.2769230769230769,0.2923076923076923,0.0,scope_level_only,1.0,,sufficient_for_cell_readout,pre_replay_capture_only_not_post_filter_retention,recall_bridge_from_candidate_10d_retention_by_split_regime
07_E3_channel,E3_persistence_quality,train,transition,transition_inconclusive,-0.0587467362924282,,,0.0052146008824709,topn_channel_recall_contribution,0.1174934725848564,,,scope_level_only,,,diagnostic_only,not_in_experiment_a_scope,
07_E6_channel,E6_continuation_tag,train,transition,transition_inconclusive,-0.0644329896907216,,,0.0040112314480545,topn_channel_recall_contribution,0.1288659793814432,,,scope_level_only,,,diagnostic_only,not_in_experiment_a_scope,
08_R_core_event_regime_gated,R_core_event_regime_gated,train,transition,transition_inconclusive,-0.2274666777238326,,,,not_available_publishable_source,0.2236105687882337,0.2668747561451424,0.5783069666485787,scope_level_only,0.3787878787878788,0.5783069666485787,diagnostic_only,scope_capture_not_available,
08_R6_event_regime_gated,R6_market_breadth_thrust,validation,transition,transition_support_feature,1.1044705152700005,0.9506172839506172,0.3703703703703703,0.2716049382716049,candidate_family_incremental_recall_over_e1,0.2017114914425428,0.2878664495114006,0.0,scope_level_only,1.0,0.5783069666485787,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
08_R1_event_regime_gated,R1_relative_strength_breakout,validation,transition,transition_support_feature,0.9907335251219405,0.925925925925926,0.2839506172839506,0.2839506172839506,candidate_family_incremental_recall_over_e1,0.206963249516441,0.305944900918318,0.0,scope_level_only,1.0,0.5783069666485787,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
07_full_union,07_full_union,validation,transition,transition_inconclusive,0.9710963231834375,0.7037037037037037,0.3333333333333333,,not_available_publishable_source,0.131881427707199,0.2111312764670296,0.2959567310863399,scope_level_only,0.7272727272727273,,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
08_R7_event_regime_gated,R7_cross_sectional_momentum_rank_jump,validation,transition,transition_support_feature,0.9701994675311452,0.8888888888888888,0.2962962962962963,0.2469135802469135,candidate_family_incremental_recall_over_e1,0.1986486486486486,0.2835921674544227,0.0,scope_level_only,1.0,0.5783069666485787,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
07_E1_only,E1_early_ema60_repair,validation,transition,transition_context_only,0.9422067901234569,0.7037037037037037,0.3086419753086419,0.0,baseline_zero,0.1402777777777777,0.2138888888888888,0.0019061583577712,scope_level_only,1.0,,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
08_R8_event_regime_gated,R8_persistent_distance_above_ema,validation,transition,transition_support_feature,0.7674101598989056,0.8271604938271605,0.1728395061728395,0.2716049382716049,candidate_family_incremental_recall_over_e1,0.2338568935427574,0.3298429319371728,0.0,scope_level_only,1.0,0.5783069666485787,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
08_R2_event_regime_gated,R2_near_high_volume_expansion,validation,transition,transition_support_feature,0.5402777173019515,0.6296296296296297,0.1358024691358024,0.1851851851851851,candidate_family_incremental_recall_over_e1,0.2189859762675296,0.2952586206896552,0.0,scope_level_only,1.0,0.5783069666485787,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
08_T4_gated,T4_entropy_compression_then_directional_expansion,validation,transition,transition_quality_filter_candidate,-0.0039317449083904055,0.0864197530864197,0.037037037037037,,not_available_publishable_source,0.2547770700636942,0.2993630573248407,0.0,scope_level_only,1.0,,low_power_caution,pre_replay_capture_only_not_post_filter_retention,recall_bridge_from_candidate_10d_retention_by_split_regime
08_selected_T4_T7_union,selected_T4_T7_union,validation,transition,transition_quality_filter_candidate,-0.0039317449083904055,0.0864197530864197,0.037037037037037,0.0,candidate_family_incremental_recall_over_e1,0.2547770700636942,0.2993630573248407,0.0373242850218128,scope_level_only,1.0,,low_power_caution,pre_replay_capture_only_not_post_filter_retention,
07_E3_channel,E3_persistence_quality,validation,transition,transition_inconclusive,-0.03100775193798445,,,0.0052146008824709,topn_channel_recall_contribution,0.0620155038759689,,,scope_level_only,,,diagnostic_only,not_in_experiment_a_scope,
07_E6_channel,E6_continuation_tag,validation,transition,transition_inconclusive,-0.0476190476190476,,,0.0040112314480545,topn_channel_recall_contribution,0.0952380952380952,,,scope_level_only,,,diagnostic_only,not_in_experiment_a_scope,
08_R_core_event_regime_gated,R_core_event_regime_gated,validation,transition,transition_inconclusive,-0.21951250515697968,,,,not_available_publishable_source,0.2077022236545278,0.2950080515297906,0.5783069666485787,scope_level_only,0.3712121212121211,0.5783069666485787,diagnostic_only,scope_capture_not_available,
08_T7_gated,T7_board_relative_strength_break,validation,transition,transition_quality_filter_candidate,-0.2253086419753088,0.0123456790123456,0.0123456790123456,,not_available_publishable_source,,,0.0,scope_level_only,,,low_power_caution,pre_replay_capture_only_not_post_filter_retention,recall_bridge_from_candidate_10d_retention_by_split_regime
