left_scope_id,right_scope_id,mapped_left_candidate_scope_id,mapped_right_candidate_scope_id,left_episode_count,right_episode_count,overlap_episode_count,left_overlap_rate,right_overlap_rate,jaccard_overlap,same_day_overlap_count,same_day_jaccard,same_episode_different_day_overlap_count,high_risk_overlap_pair
selected_candidate_union,selected_candidate_union,08_selected_T4_T7_union,08_selected_T4_T7_union,439,439,439,1.0,1.0,1.0,0,,0,False
07_full_union,07_full_union,07_full_union,07_full_union,1796,1796,1796,1.0,1.0,1.0,0,,0,False
T7_board_relative_strength_break__event_regime_gated,T7_board_relative_strength_break__all_variants,08_T7_gated,,158,159,158,1.0,0.9937106918238994,0.9937106918238994,629,0.9332344213649852,10,True
T3_style_rotation_break__ungated,T7_board_relative_strength_break__event_regime_gated,,08_T7_gated,159,158,158,0.9937106918238994,1.0,0.9937106918238994,585,0.8679525222551929,10,True
T3_style_rotation_break__all_variants,T7_board_relative_strength_break__event_regime_gated,,08_T7_gated,159,158,158,0.9937106918238994,1.0,0.9937106918238994,629,0.9332344213649852,10,True
T7_board_relative_strength_break__ungated,T7_board_relative_strength_break__event_regime_gated,,08_T7_gated,159,158,158,0.9937106918238994,1.0,0.9937106918238994,585,0.8679525222551929,10,True
T7_board_relative_strength_break__event_regime_gated,T7_board_relative_strength_break__ungated,08_T7_gated,,158,159,158,1.0,0.9937106918238994,0.9937106918238994,585,0.8679525222551929,10,True
T7_board_relative_strength_break__all_variants,T7_board_relative_strength_break__event_regime_gated,,08_T7_gated,159,158,158,0.9937106918238994,1.0,0.9937106918238994,629,0.9332344213649852,10,True
T7_board_relative_strength_break__event_regime_gated,T3_style_rotation_break__ungated,08_T7_gated,,158,159,158,1.0,0.9937106918238994,0.9937106918238994,585,0.8679525222551929,10,True
T7_board_relative_strength_break__event_regime_gated,T3_style_rotation_break__all_variants,08_T7_gated,,158,159,158,1.0,0.9937106918238994,0.9937106918238994,629,0.9332344213649852,10,True
07_full_union,07_e1_only,07_full_union,07_E1_only,1796,1773,1773,0.9871937639198218,1.0,0.9871937639198218,0,,10,False
07_e1_only,07_full_union,07_E1_only,07_full_union,1773,1796,1773,1.0,0.9871937639198218,0.9871937639198218,0,,10,False
R8_persistent_distance_above_ema__event_regime_gated,R8_persistent_distance_above_ema__all_variants,08_R8_event_regime_gated,,1866,1918,1866,1.0,0.97288842544317,0.97288842544317,12896,0.857389801210026,269,False
R8_persistent_distance_above_ema__all_variants,R8_persistent_distance_above_ema__event_regime_gated,,08_R8_event_regime_gated,1918,1866,1866,0.97288842544317,1.0,0.97288842544317,12896,0.857389801210026,269,False
R8_persistent_distance_above_ema__event_regime_gated,R8_persistent_distance_above_ema__ungated,08_R8_event_regime_gated,,1866,1918,1866,1.0,0.97288842544317,0.97288842544317,11736,0.7802672694634665,270,False
R8_persistent_distance_above_ema__ungated,R8_persistent_distance_above_ema__event_regime_gated,,08_R8_event_regime_gated,1918,1866,1866,0.97288842544317,1.0,0.97288842544317,11736,0.7802672694634665,270,False
R6_market_breadth_thrust__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2297,2200,2200,0.957771005659556,1.0,0.957771005659556,16204,0.7374505074409503,646,False
R6_market_breadth_thrust__event_regime_gated,R6_market_breadth_thrust__all_variants,08_R6_event_regime_gated,,2200,2297,2200,1.0,0.957771005659556,0.957771005659556,16204,0.7374505074409503,646,False
R6_market_breadth_thrust__event_regime_gated,R6_market_breadth_thrust__ungated,08_R6_event_regime_gated,,2200,2294,2197,0.9986363636363637,0.9577157802964256,0.956464954288202,13985,0.6364629317799118,659,False
R6_market_breadth_thrust__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2294,2200,2197,0.9577157802964256,0.9986363636363637,0.956464954288202,13985,0.6364629317799118,659,False
R1_relative_strength_breakout__all_variants,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2244,2126,2126,0.9474153297682708,1.0,0.9474153297682708,14363,0.7747869241557881,471,True
R1_relative_strength_breakout__event_regime_gated,R1_relative_strength_breakout__all_variants,08_R1_event_regime_gated,,2126,2244,2126,1.0,0.9474153297682708,0.9474153297682708,14363,0.7747869241557881,471,True
R1_relative_strength_breakout__ungated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2243,2126,2125,0.9473918858671422,0.9995296331138288,0.946969696969697,12847,0.6930089545797821,472,True
R1_relative_strength_breakout__event_regime_gated,R1_relative_strength_breakout__ungated,08_R1_event_regime_gated,,2126,2243,2125,0.9995296331138288,0.9473918858671422,0.946969696969697,12847,0.6930089545797821,472,True
R2_near_high_volume_expansion__ungated,R2_near_high_volume_expansion__event_regime_gated,,08_R2_event_regime_gated,2012,1901,1901,0.944831013916501,1.0,0.944831013916501,9159,0.8236510791366907,200,False
R2_near_high_volume_expansion__all_variants,R2_near_high_volume_expansion__event_regime_gated,,08_R2_event_regime_gated,2012,1901,1901,0.944831013916501,1.0,0.944831013916501,9537,0.8576438848920863,200,False
R2_near_high_volume_expansion__event_regime_gated,R2_near_high_volume_expansion__all_variants,08_R2_event_regime_gated,,1901,2012,1901,1.0,0.944831013916501,0.944831013916501,9537,0.8576438848920863,200,False
R2_near_high_volume_expansion__event_regime_gated,R2_near_high_volume_expansion__ungated,08_R2_event_regime_gated,,1901,2012,1901,1.0,0.944831013916501,0.944831013916501,9159,0.8236510791366907,200,False
R1_relative_strength_breakout__event_regime_gated,R6_market_breadth_thrust__event_regime_gated,08_R1_event_regime_gated,08_R6_event_regime_gated,2126,2200,2060,0.9689557855127,0.9363636363636364,0.9090909090909092,3388,0.1246550645719121,1515,False
R6_market_breadth_thrust__event_regime_gated,R1_relative_strength_breakout__event_regime_gated,08_R6_event_regime_gated,08_R1_event_regime_gated,2200,2126,2060,0.9363636363636364,0.9689557855127,0.9090909090909092,3388,0.1246550645719121,1515,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R7_cross_sectional_momentum_rank_jump__all_variants,08_R7_event_regime_gated,,1966,2163,1966,1.0,0.908922792417938,0.908922792417938,9786,0.7479364108835218,502,True
R7_cross_sectional_momentum_rank_jump__all_variants,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2163,1966,1966,0.908922792417938,1.0,0.908922792417938,9786,0.7479364108835218,502,True
R7_cross_sectional_momentum_rank_jump__ungated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2161,1966,1964,0.9088385006941232,0.9989827060020344,0.9079981507165972,8689,0.6640935493732804,506,True
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R7_cross_sectional_momentum_rank_jump__ungated,08_R7_event_regime_gated,,1966,2161,1964,0.9989827060020344,0.9088385006941232,0.9079981507165972,8689,0.6640935493732804,506,True
all_new_candidate_union,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2425,2200,2200,0.9072164948453608,1.0,0.9072164948453608,16204,0.1788994877230171,1890,False
R6_market_breadth_thrust__event_regime_gated,all_new_candidate_union,08_R6_event_regime_gated,,2200,2425,2200,1.0,0.9072164948453608,0.9072164948453608,16204,0.1788994877230171,1890,False
R6_market_breadth_thrust__event_regime_gated,R1_relative_strength_breakout__all_variants,08_R6_event_regime_gated,,2200,2244,2110,0.9590909090909092,0.9402852049910874,0.9040274207369324,3401,0.1085160014039118,1773,False
R1_relative_strength_breakout__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2244,2200,2110,0.9402852049910874,0.9590909090909092,0.9040274207369324,3401,0.1085160014039118,1773,False
R6_market_breadth_thrust__event_regime_gated,R1_relative_strength_breakout__ungated,08_R6_event_regime_gated,,2200,2243,2109,0.9586363636363636,0.9402585822559072,0.903598971722365,2621,0.0856396013723247,1772,False
R1_relative_strength_breakout__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2243,2200,2109,0.9402585822559072,0.9586363636363636,0.903598971722365,2621,0.0856396013723247,1772,False
R6_market_breadth_thrust__event_regime_gated,R7_cross_sectional_momentum_rank_jump__all_variants,08_R6_event_regime_gated,,2200,2163,2059,0.9359090909090908,0.951918631530282,0.8936631944444444,2221,0.0820556397088705,1752,False
R7_cross_sectional_momentum_rank_jump__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2163,2200,2059,0.951918631530282,0.9359090909090908,0.8936631944444444,2221,0.0820556397088705,1752,False
R7_cross_sectional_momentum_rank_jump__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2161,2200,2057,0.951874132346136,0.935,0.8927951388888888,1624,0.0611284676478337,1751,False
R6_market_breadth_thrust__event_regime_gated,R7_cross_sectional_momentum_rank_jump__ungated,08_R6_event_regime_gated,,2200,2161,2057,0.935,0.951874132346136,0.8927951388888888,1624,0.0611284676478337,1751,False
R6_market_breadth_thrust__ungated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2294,2126,2081,0.9071490845684396,0.9788334901222954,0.8896964514749893,2638,0.0838018996791511,1778,False
R1_relative_strength_breakout__event_regime_gated,R6_market_breadth_thrust__ungated,08_R1_event_regime_gated,,2126,2294,2081,0.9788334901222954,0.9071490845684396,0.8896964514749893,2638,0.0838018996791511,1778,False
R6_market_breadth_thrust__all_variants,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2297,2126,2082,0.9063996517196344,0.9793038570084666,0.8893635198633063,3417,0.1038002369452292,1771,False
R1_relative_strength_breakout__event_regime_gated,R6_market_breadth_thrust__all_variants,08_R1_event_regime_gated,,2126,2297,2082,0.9793038570084666,0.9063996517196344,0.8893635198633063,3417,0.1038002369452292,1771,False
R6_market_breadth_thrust__event_regime_gated,T5_volume_regime_shift__all_variants,08_R6_event_regime_gated,,2200,2237,2074,0.9427272727272727,0.9271345552078676,0.8776978417266187,2121,0.0711267605633802,1817,False
T5_volume_regime_shift__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2237,2200,2074,0.9271345552078676,0.9427272727272727,0.8776978417266187,2121,0.0711267605633802,1817,False
all_new_candidate_union,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2425,2126,2126,0.876701030927835,1.0,0.876701030927835,14363,0.1585740151916622,1947,False
R1_relative_strength_breakout__event_regime_gated,all_new_candidate_union,08_R1_event_regime_gated,,2126,2425,2126,1.0,0.876701030927835,0.876701030927835,14363,0.1585740151916622,1947,False
R6_market_breadth_thrust__event_regime_gated,T5_volume_regime_shift__ungated,08_R6_event_regime_gated,,2200,2232,2070,0.9409090909090908,0.9274193548387096,0.8763759525825572,1781,0.0605247060422755,1817,False
T5_volume_regime_shift__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2232,2200,2070,0.9274193548387096,0.9409090909090908,0.8763759525825572,1781,0.0605247060422755,1817,False
R6_market_breadth_thrust__event_regime_gated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,08_R6_event_regime_gated,08_R7_event_regime_gated,2200,1966,1933,0.8786363636363637,0.9832146490335708,0.8656515897895208,2220,0.0933950357593605,1388,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R6_market_breadth_thrust__event_regime_gated,08_R7_event_regime_gated,08_R6_event_regime_gated,1966,2200,1933,0.9832146490335708,0.8786363636363637,0.8656515897895208,2220,0.0933950357593605,1388,False
R6_market_breadth_thrust__event_regime_gated,T6_stock_vs_market_CUSUM_break__ungated,08_R6_event_regime_gated,,2200,2135,2009,0.9131818181818182,0.940983606557377,0.8637145313843508,1847,0.0662173305130319,1776,False
R6_market_breadth_thrust__event_regime_gated,T6_stock_vs_market_CUSUM_break__all_variants,08_R6_event_regime_gated,,2200,2135,2009,0.9131818181818182,0.940983606557377,0.8637145313843508,2387,0.0836780480964733,1773,False
T6_stock_vs_market_CUSUM_break__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2135,2200,2009,0.940983606557377,0.9131818181818182,0.8637145313843508,2387,0.0836780480964733,1773,False
T6_stock_vs_market_CUSUM_break__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2135,2200,2009,0.940983606557377,0.9131818181818182,0.8637145313843508,1847,0.0662173305130319,1776,False
R7_cross_sectional_momentum_rank_jump__all_variants,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2163,2126,1983,0.9167822468793344,0.9327375352775163,0.8599306157849089,2895,0.1179130009775171,1557,True
R1_relative_strength_breakout__event_regime_gated,R7_cross_sectional_momentum_rank_jump__all_variants,08_R1_event_regime_gated,,2126,2163,1983,0.9327375352775163,0.9167822468793344,0.8599306157849089,2895,0.1179130009775171,1557,True
T4_entropy_compression_then_directional_expansion__all_variants,T4_entropy_compression_then_directional_expansion__event_regime_gated,,08_T4_gated,349,300,300,0.8595988538681948,1.0,0.8595988538681948,1463,0.8600823045267489,19,True
T4_entropy_compression_then_directional_expansion__ungated,T4_entropy_compression_then_directional_expansion__event_regime_gated,,08_T4_gated,349,300,300,0.8595988538681948,1.0,0.8595988538681948,1420,0.8348030570252792,19,True
T4_entropy_compression_then_directional_expansion__event_regime_gated,T4_entropy_compression_then_directional_expansion__all_variants,08_T4_gated,,300,349,300,1.0,0.8595988538681948,0.8595988538681948,1463,0.8600823045267489,19,True
T4_entropy_compression_then_directional_expansion__event_regime_gated,T4_entropy_compression_then_directional_expansion__ungated,08_T4_gated,,300,349,300,1.0,0.8595988538681948,0.8595988538681948,1420,0.8348030570252792,19,True
R7_cross_sectional_momentum_rank_jump__ungated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2161,2126,1981,0.91670522906062,0.931796801505174,0.8590633130962706,2438,0.1019571763131482,1559,True
R1_relative_strength_breakout__event_regime_gated,R7_cross_sectional_momentum_rank_jump__ungated,08_R1_event_regime_gated,,2126,2161,1981,0.931796801505174,0.91670522906062,0.8590633130962706,2438,0.1019571763131482,1559,True
R1_relative_strength_breakout__event_regime_gated,T6_stock_vs_market_CUSUM_break__ungated,08_R1_event_regime_gated,,2126,2135,1968,0.9256820319849484,0.9217798594847776,0.8582642825992151,3689,0.1523750516315572,1536,True
R1_relative_strength_breakout__event_regime_gated,T6_stock_vs_market_CUSUM_break__all_variants,08_R1_event_regime_gated,,2126,2135,1968,0.9256820319849484,0.9217798594847776,0.8582642825992151,4269,0.1721162762569044,1535,True
T6_stock_vs_market_CUSUM_break__all_variants,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2135,2126,1968,0.9217798594847776,0.9256820319849484,0.8582642825992151,4269,0.1721162762569044,1535,True
T6_stock_vs_market_CUSUM_break__ungated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2135,2126,1968,0.9217798594847776,0.9256820319849484,0.8582642825992151,3689,0.1523750516315572,1536,True
R1_relative_strength_breakout__event_regime_gated,T6_stock_vs_market_CUSUM_break__event_regime_gated,08_R1_event_regime_gated,,2126,1922,1869,0.8791157102539982,0.9724245577523412,0.8577329050022946,4261,0.2041002059682904,1236,True
T6_stock_vs_market_CUSUM_break__event_regime_gated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,1922,2126,1869,0.9724245577523412,0.8791157102539982,0.8577329050022946,4261,0.2041002059682904,1236,True
R1_relative_strength_breakout__event_regime_gated,T5_volume_regime_shift__all_variants,08_R1_event_regime_gated,,2126,2237,2011,0.9459078080903104,0.8989718372820742,0.8550170068027211,3116,0.1154758375333531,1702,False
T5_volume_regime_shift__all_variants,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2237,2126,2011,0.8989718372820742,0.9459078080903104,0.8550170068027211,3116,0.1154758375333531,1702,False
T5_volume_regime_shift__ungated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2232,2126,2007,0.8991935483870968,0.9440263405456256,0.8536792854104637,2796,0.1052314640572073,1702,False
R1_relative_strength_breakout__event_regime_gated,T5_volume_regime_shift__ungated,08_R1_event_regime_gated,,2126,2232,2007,0.9440263405456256,0.8991935483870968,0.8536792854104637,2796,0.1052314640572073,1702,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R1_relative_strength_breakout__event_regime_gated,08_R7_event_regime_gated,08_R1_event_regime_gated,1966,2126,1884,0.958290946083418,0.8861712135465664,0.8532608695652174,2893,0.1361027474595408,1260,True
R1_relative_strength_breakout__event_regime_gated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,08_R1_event_regime_gated,08_R7_event_regime_gated,2126,1966,1884,0.8861712135465664,0.958290946083418,0.8532608695652174,2893,0.1361027474595408,1260,True
R6_market_breadth_thrust__event_regime_gated,T5_volume_regime_shift__event_regime_gated,08_R6_event_regime_gated,,2200,2023,1935,0.8795454545454545,0.9565002471576866,0.8457167832167832,2114,0.0795125437243765,1572,False
T5_volume_regime_shift__event_regime_gated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2023,2200,1935,0.9565002471576866,0.8795454545454545,0.8457167832167832,2114,0.0795125437243765,1572,False
R1_relative_strength_breakout__event_regime_gated,T5_volume_regime_shift__event_regime_gated,08_R1_event_regime_gated,,2126,2023,1898,0.8927563499529633,0.9382105783489868,0.8431808085295425,3108,0.1308521387672617,1473,False
T5_volume_regime_shift__event_regime_gated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,2023,2126,1898,0.9382105783489868,0.8927563499529633,0.8431808085295425,3108,0.1308521387672617,1473,False
R6_market_breadth_thrust__ungated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2294,1966,1944,0.8474280732345248,0.9888097660223804,0.8393782383419689,1628,0.0583261679564345,1632,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R6_market_breadth_thrust__ungated,08_R7_event_regime_gated,,1966,2294,1944,0.9888097660223804,0.8474280732345248,0.8393782383419689,1628,0.0583261679564345,1632,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R6_market_breadth_thrust__all_variants,08_R7_event_regime_gated,,1966,2297,1945,0.9893184130213633,0.8467566390944711,0.8390854184641933,2225,0.0753368998442473,1631,False
R6_market_breadth_thrust__all_variants,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2297,1966,1945,0.8467566390944711,0.9893184130213633,0.8390854184641933,2225,0.0753368998442473,1631,False
T6_stock_vs_market_CUSUM_break__event_regime_gated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,1922,1966,1773,0.9224765868886576,0.9018311291963378,0.8382978723404255,2526,0.140060992514555,1123,True
R7_cross_sectional_momentum_rank_jump__event_regime_gated,T6_stock_vs_market_CUSUM_break__event_regime_gated,08_R7_event_regime_gated,,1966,1922,1773,0.9018311291963378,0.9224765868886576,0.8382978723404255,2526,0.140060992514555,1123,True
T6_stock_vs_market_CUSUM_break__event_regime_gated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,1922,2200,1877,0.9765868886576484,0.8531818181818182,0.8360801781737194,2377,0.0966181611251117,1481,False
R6_market_breadth_thrust__event_regime_gated,T6_stock_vs_market_CUSUM_break__event_regime_gated,08_R6_event_regime_gated,,2200,1922,1877,0.8531818181818182,0.9765868886576484,0.8360801781737194,2377,0.0966181611251117,1481,False
R1_relative_strength_breakout__ungated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2243,1966,1911,0.8519839500668748,0.9720244150559512,0.8315926892950392,2478,0.101849568434032,1459,True
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R1_relative_strength_breakout__ungated,08_R7_event_regime_gated,,1966,2243,1911,0.9720244150559512,0.8519839500668748,0.8315926892950392,2478,0.101849568434032,1459,True
R7_cross_sectional_momentum_rank_jump__event_regime_gated,R1_relative_strength_breakout__all_variants,08_R7_event_regime_gated,,1966,2244,1911,0.9720244150559512,0.8516042780748663,0.8312309699869509,2899,0.1140216322517207,1458,True
R1_relative_strength_breakout__all_variants,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2244,1966,1911,0.8516042780748663,0.9720244150559512,0.8312309699869509,2899,0.1140216322517207,1458,True
T6_stock_vs_market_CUSUM_break__ungated,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2135,1966,1856,0.869320843091335,0.9440488301119024,0.8267260579064588,2163,0.10222600311924,1382,True
R7_cross_sectional_momentum_rank_jump__event_regime_gated,T6_stock_vs_market_CUSUM_break__all_variants,08_R7_event_regime_gated,,1966,2135,1856,0.9440488301119024,0.869320843091335,0.8267260579064588,2530,0.1151832460732984,1381,True
R7_cross_sectional_momentum_rank_jump__event_regime_gated,T6_stock_vs_market_CUSUM_break__ungated,08_R7_event_regime_gated,,1966,2135,1856,0.9440488301119024,0.869320843091335,0.8267260579064588,2163,0.10222600311924,1382,True
T6_stock_vs_market_CUSUM_break__all_variants,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2135,1966,1856,0.869320843091335,0.9440488301119024,0.8267260579064588,2530,0.1151832460732984,1381,True
R2_near_high_volume_expansion__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2012,2200,1891,0.9398608349900596,0.8595454545454545,0.8147350280051702,1348,0.0526603640909446,1740,False
R2_near_high_volume_expansion__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2012,2200,1891,0.9398608349900596,0.8595454545454545,0.8147350280051702,1468,0.0567759900990099,1740,False
R6_market_breadth_thrust__event_regime_gated,R2_near_high_volume_expansion__ungated,08_R6_event_regime_gated,,2200,2012,1891,0.8595454545454545,0.9398608349900596,0.8147350280051702,1348,0.0526603640909446,1740,False
R6_market_breadth_thrust__event_regime_gated,R2_near_high_volume_expansion__all_variants,08_R6_event_regime_gated,,2200,2012,1891,0.8595454545454545,0.9398608349900596,0.8147350280051702,1468,0.0567759900990099,1740,False
R6_market_breadth_thrust__event_regime_gated,T8_volatility_regime_contraction_break__ungated,08_R6_event_regime_gated,,2200,2015,1890,0.8590909090909091,0.9379652605459056,0.8129032258064516,1024,0.0359159622601802,1746,False
T8_volatility_regime_contraction_break__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2015,2200,1890,0.9379652605459056,0.8590909090909091,0.8129032258064516,1024,0.0359159622601802,1746,False
T8_volatility_regime_contraction_break__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,2018,2200,1890,0.9365708622398414,0.8590909090909091,0.8118556701030928,1301,0.0447463456577816,1744,False
R6_market_breadth_thrust__event_regime_gated,T8_volatility_regime_contraction_break__all_variants,08_R6_event_regime_gated,,2200,2018,1890,0.8590909090909091,0.9365708622398414,0.8118556701030928,1301,0.0447463456577816,1744,False
R8_persistent_distance_above_ema__event_regime_gated,R1_relative_strength_breakout__event_regime_gated,08_R8_event_regime_gated,08_R1_event_regime_gated,1866,2126,1788,0.9581993569131833,0.8410159924741298,0.8112522686025408,2710,0.1103914619740111,1554,False
R1_relative_strength_breakout__event_regime_gated,R8_persistent_distance_above_ema__event_regime_gated,08_R1_event_regime_gated,08_R8_event_regime_gated,2126,1866,1788,0.8410159924741298,0.9581993569131833,0.8112522686025408,2710,0.1103914619740111,1554,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,all_new_candidate_union,08_R7_event_regime_gated,,1966,2425,1966,1.0,0.8107216494845361,0.8107216494845361,9786,0.1080418653948065,1796,False
all_new_candidate_union,R7_cross_sectional_momentum_rank_jump__event_regime_gated,,08_R7_event_regime_gated,2425,1966,1966,0.8107216494845361,1.0,0.8107216494845361,9786,0.1080418653948065,1796,False
R1_relative_strength_breakout__event_regime_gated,R8_persistent_distance_above_ema__all_variants,08_R1_event_regime_gated,,2126,1918,1810,0.8513640639698965,0.9436913451511992,0.8102059086839749,2723,0.1020576440163412,1646,False
R8_persistent_distance_above_ema__all_variants,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,1918,2126,1810,0.9436913451511992,0.8513640639698965,0.8102059086839749,2723,0.1020576440163412,1646,False
R1_relative_strength_breakout__event_regime_gated,R8_persistent_distance_above_ema__ungated,08_R1_event_regime_gated,,2126,1918,1810,0.8513640639698965,0.9436913451511992,0.8102059086839749,2357,0.0910495615559933,1647,False
R8_persistent_distance_above_ema__ungated,R1_relative_strength_breakout__event_regime_gated,,08_R1_event_regime_gated,1918,2126,1810,0.9436913451511992,0.8513640639698965,0.8102059086839749,2357,0.0910495615559933,1647,False
R6_market_breadth_thrust__event_regime_gated,R8_persistent_distance_above_ema__ungated,08_R6_event_regime_gated,,2200,1918,1843,0.8377272727272728,0.9608967674661104,0.8101098901098901,1424,0.0496842399078887,1747,False
R8_persistent_distance_above_ema__ungated,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,1918,2200,1843,0.9608967674661104,0.8377272727272728,0.8101098901098901,1424,0.0496842399078887,1747,False
R8_persistent_distance_above_ema__all_variants,R6_market_breadth_thrust__event_regime_gated,,08_R6_event_regime_gated,1918,2200,1843,0.9608967674661104,0.8377272727272728,0.8101098901098901,1823,0.0619604377676568,1747,False
R6_market_breadth_thrust__event_regime_gated,R8_persistent_distance_above_ema__all_variants,08_R6_event_regime_gated,,2200,1918,1843,0.8377272727272728,0.9608967674661104,0.8101098901098901,1823,0.0619604377676568,1747,False
T5_volume_regime_shift__event_regime_gated,R2_near_high_volume_expansion__event_regime_gated,,08_R2_event_regime_gated,2023,1901,1756,0.8680177953534355,0.9237243556023146,0.8099630996309963,3038,0.1599284059802063,1363,False
