condition_group_id,family_id,split,grain,signal_count,complete_h120_count,positive_h120_count,precision_h120_close_anchor,background_prior_global_h120_close_anchor,background_prior_feature_matched_h120_close_anchor,precision_lift_feature_matched_h120_close_anchor,precision_h120_next_open_anchor,incomplete_h120_count,feature_complete_ratio,positive_h120_count_min_gate_pass,bootstrap_precision_lift_ci90_lower,bootstrap_precision_lift_ci90_upper
price_trend__and3__6030760ed19f,price_trend,train,episode,6396,5015,950,0.18943170488534397,0.14272082973206568,0.14272082973206568,1.3272884220262038,0.1892323030907278,1381,1.0,True,1.2669687924137532,1.3872620955618555
price_trend__and3__6030760ed19f,price_trend,validation,episode,3021,2527,162,0.06410763751483974,0.05112444148213977,0.05112444148213977,1.253952818970856,0.06331618519984171,494,1.0,True,1.1128953482426387,1.4031195333173008
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,all,episode,12889,9961,1282,0.12870193755647025,0.10650372317706695,0.10650372317706695,1.2084266513622046,0.12840076297560485,2928,1.0,True,,
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,robustness,episode,3385,2386,256,0.10729253981559095,0.09666945957268538,0.09666945957268538,1.1098907585690816,0.10477787091366303,999,1.0,True,1.01634216354733,1.205123658076754
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,train,episode,6267,4937,869,0.1760178245898319,0.14272082973206568,0.14272082973206568,1.2333015784750951,0.17642292890419284,1330,1.0,True,1.181005821819002,1.2891436536545446
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,validation,episode,3237,2638,157,0.05951478392721759,0.05112444148213977,0.05112444148213977,1.1641160705493274,0.05989385898407885,599,1.0,True,1.0507100079435208,1.278057682659423
range_breakout__and3__00e51295d9c3,range_breakout,all,episode,18249,13935,1594,0.11438823107283817,0.10650372317706695,0.10652708135999629,1.0737948473991887,0.11410118406889128,4314,0.9997142033354747,True,,
range_breakout__and3__00e51295d9c3,range_breakout,robustness,episode,5128,3597,356,0.09897136502641089,0.09666945957268538,0.09667325643811943,1.0237719165875259,0.09841534612176814,1531,0.9999631016733391,True,0.9758524457700365,1.0695187713496364
range_breakout__and3__00e51295d9c3,range_breakout,train,episode,8431,6738,1025,0.15212229148115167,0.14272082973206568,0.14275833448609765,1.0655930669740752,0.15138023152270705,1693,0.9996148156418344,True,1.030181596531879,1.0974368540620594
range_breakout__and3__00e51295d9c3,range_breakout,validation,episode,4690,3600,213,0.059166666666666666,0.05112444148213977,0.051135451525666516,1.157057675279723,0.06,1090,0.9996290973155918,True,1.066079640136416,1.245739311621877
volatility_band__and4__ef9c875dde10,volatility_band,all,episode,12756,9756,1102,0.11295612956129561,0.10650372317706695,0.10652968762419522,1.0603253616942063,0.1121361213612136,3000,0.9997116741614523,True,,
volatility_band__and4__ef9c875dde10,volatility_band,robustness,episode,3675,2506,233,0.09297685554668794,0.09666945957268538,0.09667325643811943,0.9617639766402454,0.09018355945730247,1169,0.9999631016733391,True,0.8877214665374604,1.0358448856475837
volatility_band__and4__ef9c875dde10,volatility_band,train,episode,5910,4765,729,0.15299055613850998,0.14272082973206568,0.14275833448609765,1.0716751262841946,0.15257082896117524,1145,0.9995980684958272,True,1.0237233709850715,1.1233877381803425
volatility_band__and4__ef9c875dde10,volatility_band,validation,episode,3171,2485,140,0.056338028169014086,0.05112444148213977,0.0511465369275033,1.101502302079012,0.05674044265593561,686,0.9996476424498122,True,0.9855076478619624,1.2300244322813467
volume_money__and4__4eb7a99e922f,volume_money,all,episode,15975,12196,1385,0.11356182354870449,0.10650372317706695,0.10650372317706695,1.0662709261337573,0.11265988848802887,3779,1.0,True,,
volume_money__and4__4eb7a99e922f,volume_money,robustness,episode,4350,2936,311,0.10592643051771117,0.09666945957268538,0.09666945957268538,1.0957590017151746,0.10626702997275204,1414,1.0,True,1.0239421251283982,1.1685472321559798
volume_money__and4__4eb7a99e922f,volume_money,train,episode,7577,6145,902,0.1467860048820179,0.14272082973206568,0.14272082973206568,1.0284834046830018,0.1451586655817738,1432,1.0,True,0.9913321324358086,1.0647741100871932
volume_money__and4__4eb7a99e922f,volume_money,validation,episode,4048,3115,172,0.05521669341894061,0.05112444148213977,0.05112444148213977,1.080044922118718,0.05457463884430177,933,1.0,True,0.9784744908558969,1.199486348195458
