condition_group_id,family_id,grain,split,horizon,signal_count,complete_horizon_count,incomplete_horizon_count,endpoint_return_max,endpoint_return_min,endpoint_return_mean,endpoint_return_median,endpoint_return_p25,endpoint_return_p75,endpoint_return_positive_rate,path_max_return_mean,path_max_return_median,path_min_return_mean,path_min_return_median
momentum_rps__and3__68b32373ce93,momentum_rps,episode,robustness,10,3078,2991,87,0.7906976357352222,-0.27786609678753615,0.006754466633896053,-0.004019231410537283,-0.04094648463042383,0.04206669741762925,0.47141424272818455,0.05100289616600981,0.031166553493912952,-0.038170755215173754,-0.031889579676106616
momentum_rps__and3__68b32373ce93,momentum_rps,episode,robustness,20,3078,2930,148,0.8433179075419375,-0.38643921136081616,0.01335189493671189,-0.0013230374067051964,-0.058296428657295174,0.06510101724046835,0.49180887372013654,0.08229645696993075,0.052790268201461266,-0.056267820906016126,-0.045659745852995426
momentum_rps__and3__68b32373ce93,momentum_rps,episode,train,1,5780,5772,8,0.1225296230376054,-0.10965589646515483,0.0026102167259978394,0.0,-0.014337814730640996,0.015619280735948537,0.481981981981982,0.0026102167259978394,0.0,0.0026102167259978394,0.0
momentum_rps__and3__68b32373ce93,momentum_rps,episode,train,3,5780,5756,24,0.4051383821970489,-0.297123733834436,0.001923107318535246,-0.00206918884682622,-0.028209927763461484,0.02870094288295505,0.4777623349548297,0.020851394589674936,0.012799987792968759,-0.016224736719995112,-0.014245998527802617
momentum_rps__and3__68b32373ce93,momentum_rps,episode,train,5,5780,5727,53,0.4802371256557336,-0.3757062063872768,0.0015414721800649915,-0.001963595313329125,-0.03976204933105565,0.03679026380765149,0.48349921424829756,0.0330842142542641,0.021929825295224914,-0.02806344052164021,-0.022334546545335843
momentum_rps__and3__68b32373ce93,momentum_rps,episode,train,10,5780,5683,97,1.057245024345138,-0.347617085963831,0.004513701373618958,-0.0029182620379816226,-0.05303535547586857,0.05483935831302733,0.48108393454161535,0.057919649161294294,0.040189143150685114,-0.04816059384305843,-0.03785495285880669
momentum_rps__and3__68b32373ce93,momentum_rps,episode,train,20,5780,5557,223,1.3083110716990105,-0.5113122169993092,0.009825680491171785,-0.004145073931010157,-0.0767639573901554,0.08205128664931749,0.48353428108691743,0.0942919877491819,0.06783489045090796,-0.07386878076597092,-0.06016672521759908
momentum_rps__and3__68b32373ce93,momentum_rps,episode,validation,1,3021,3010,11,0.11130899830393726,-0.10004059308635649,-5.623539422817858e-05,-0.0021558994873174253,-0.014407136319299046,0.011092421446160294,0.44385382059800665,-5.623539422817858e-05,-0.0021558994873174253,-5.623539422817858e-05,-0.0021558994873174253
momentum_rps__and3__68b32373ce93,momentum_rps,episode,validation,3,3021,2984,37,0.2707818983661008,-0.2100395747561432,-0.0003951460103260487,-0.0034052170272652615,-0.02472014767903416,0.021724536627818147,0.4554289544235925,0.01566487586612465,0.009063927048131637,-0.015522683630916582,-0.013656512876411675
momentum_rps__and3__68b32373ce93,momentum_rps,episode,validation,5,3021,2969,52,0.537448633058921,-0.2175252675411411,-0.002658343239402587,-0.005350320433919475,-0.033997255611695865,0.026785731771771015,0.45503536544291007,0.025200728741333677,0.01595154033612145,-0.02671073345293571,-0.02168714128857807
momentum_rps__and3__68b32373ce93,momentum_rps,episode,validation,10,3021,2961,60,0.5096384873530724,-0.29045834089031786,-0.005275642198041746,-0.008888910687159024,-0.05399999618530271,0.037109329743544306,0.4454576156703816,0.04273798738329321,0.029165299711990222,-0.04590683973939083,-0.0360528322856562
momentum_rps__and3__68b32373ce93,momentum_rps,episode,validation,20,3021,2935,86,0.6902815825137885,-0.37356321037278806,-0.013667331035552094,-0.022935972661378368,-0.08531234879578498,0.045605531145040734,0.40477001703577514,0.06613262907647832,0.042553254089081616,-0.07503442505454119,-0.06084896144373142
oscillator__and4__95dbd99ae828,oscillator,episode,robustness,1,3906,3895,11,0.10461828249097693,-0.10293822717903023,0.0024531123427187617,0.0,-0.010877848389125477,0.011778479838017941,0.48318356867779205,0.0024531123427187617,0.0,0.0024531123427187617,0.0
oscillator__and4__95dbd99ae828,oscillator,episode,robustness,3,3906,3877,29,0.3310878717600769,-0.24259523695510765,0.006277418299391056,0.0009014820771884313,-0.019356338571894338,0.022268078990818285,0.5070931132318803,0.020683243138597217,0.009992322225507833,-0.010901223351929825,-0.008928596237163355
