condition_a,condition_b,signal_count_a,joint_signal_count,p_b_given_a,joint_complete_h120_count,joint_precision_h120
price_trend__and3__6030760ed19f,pullback_drawdown__and3__11795aa42e45,34592,28160,0.8140610545790934,21341,0.15153929056745233
price_trend__and3__6030760ed19f,range_breakout__and3__00e51295d9c3,34592,28700,0.8296716003700277,21876,0.14870177363320533
price_trend__and3__6030760ed19f,volatility_band__and4__ef9c875dde10,34592,19054,0.5508209990749307,14555,0.1344555135692202
price_trend__and3__6030760ed19f,volume_money__and4__4eb7a99e922f,34592,11565,0.33432585568917667,8898,0.13452461227242077
pullback_drawdown__and3__11795aa42e45,momentum_rps__and3__68b32373ce93,56446,38507,0.6821918293590334,28946,0.15228356249568162
pullback_drawdown__and3__11795aa42e45,oscillator__and4__95dbd99ae828,56446,15071,0.26699854728413,11619,0.1327136586625355
pullback_drawdown__and3__11795aa42e45,price_trend__and3__6030760ed19f,56446,28160,0.49888388902668035,21341,0.15153929056745233
pullback_drawdown__and3__11795aa42e45,pullback_drawdown__and3__11795aa42e45,56446,56446,1.0,43340,0.14450853714813106
pullback_drawdown__and3__11795aa42e45,range_breakout__and3__00e51295d9c3,56446,34407,0.6095560358572796,26511,0.14175248010259892
pullback_drawdown__and3__11795aa42e45,volatility_band__and4__ef9c875dde10,56446,19098,0.3383410693406087,14601,0.1284843503869598
pullback_drawdown__and3__11795aa42e45,volume_money__and4__4eb7a99e922f,56446,9694,0.17173936151365907,7481,0.12885977810453147
range_breakout__and3__00e51295d9c3,momentum_rps__and3__68b32373ce93,68679,27795,0.4047088629712139,20969,0.15284467547331776
range_breakout__and3__00e51295d9c3,oscillator__and4__95dbd99ae828,68679,21831,0.3178700912942821,16897,0.11215008581404984
range_breakout__and3__00e51295d9c3,price_trend__and3__6030760ed19f,68679,28700,0.4178861078350005,21876,0.14870177363320533
range_breakout__and3__00e51295d9c3,pullback_drawdown__and3__11795aa42e45,68679,34407,0.5009828331804481,26511,0.14175248010259892
range_breakout__and3__00e51295d9c3,range_breakout__and3__00e51295d9c3,68679,68679,1.0,52949,0.11263668813386467
range_breakout__and3__00e51295d9c3,volatility_band__and4__ef9c875dde10,68679,26652,0.3880662211156249,20397,0.11266362700397117
range_breakout__and3__00e51295d9c3,volume_money__and4__4eb7a99e922f,68679,19056,0.2774647272091906,14612,0.11120996441281139
volatility_band__and4__ef9c875dde10,momentum_rps__and3__68b32373ce93,28211,16382,0.5806954733969019,12296,0.1403708523096942
volatility_band__and4__ef9c875dde10,oscillator__and4__95dbd99ae828,28211,13911,0.49310552621317927,10710,0.11260504201680673
volatility_band__and4__ef9c875dde10,price_trend__and3__6030760ed19f,28211,19054,0.6754103009464393,14555,0.1344555135692202
volatility_band__and4__ef9c875dde10,pullback_drawdown__and3__11795aa42e45,28211,19098,0.6769699762503988,14601,0.1284843503869598
volatility_band__and4__ef9c875dde10,range_breakout__and3__00e51295d9c3,28211,26652,0.9447378682074368,20397,0.11266362700397117
volatility_band__and4__ef9c875dde10,volatility_band__and4__ef9c875dde10,28211,28211,1.0,21594,0.11239233120311197
volatility_band__and4__ef9c875dde10,volume_money__and4__4eb7a99e922f,28211,10549,0.37393215412427777,8076,0.10958395245170877
volume_money__and4__4eb7a99e922f,momentum_rps__and3__68b32373ce93,22806,8785,0.3852056476365869,6630,0.14796380090497738
volume_money__and4__4eb7a99e922f,oscillator__and4__95dbd99ae828,22806,10347,0.453696395685346,8049,0.11554230339172568
volume_money__and4__4eb7a99e922f,price_trend__and3__6030760ed19f,22806,11565,0.5071033938437254,8898,0.13452461227242077
volume_money__and4__4eb7a99e922f,pullback_drawdown__and3__11795aa42e45,22806,9694,0.4250635797597124,7481,0.12885977810453147
volume_money__and4__4eb7a99e922f,range_breakout__and3__00e51295d9c3,22806,19056,0.8355695869508024,14612,0.11120996441281139
volume_money__and4__4eb7a99e922f,volatility_band__and4__ef9c875dde10,22806,10549,0.4625537139349294,8076,0.10958395245170877
volume_money__and4__4eb7a99e922f,volume_money__and4__4eb7a99e922f,22806,22806,1.0,17529,0.11187175537680415
