datetime,cash,position_value,account_value,prev_account_value,return,cost,turnover,positions
2025-03-17,858548.1776677131,136908.0015182495,995456.1791859627,996346.8061943054,-0.0008938925711465817,46.6260012626648,0.09359391925138945,3
2025-03-18,810501.6303606033,183924.99923706055,994426.6295976639,995456.1791859627,-0.0010342490305708107,114.54600248336791,0.13914424967350122,4
2025-03-19,717100.9524102688,277780.0037384033,994880.9561486722,994426.6295976639,0.00045687287275497646,46.67700047492981,0.09387721343265899,6
2025-03-20,630963.9066926481,362384.0049266815,993347.9116193296,994880.9561486722,-0.001540932631052816,43.04699935913086,0.08653698534098393,8
2025-03-21,585610.2422002316,402973.99945259094,988584.2416528226,993347.9116193296,-0.004795570525478188,22.66549949645996,0.045634564146838065,9
2025-03-24,585610.2422002316,406364.00051116943,991974.2427114011,988584.2416528226,0.0034291473763639058,0.0,0.0,9
2025-03-25,585610.2422002316,400767.00234413147,986377.2445443631,991974.2427114011,-0.005642281750924738,0.0,0.0,9
2025-03-26,621247.7060658933,360444.997882843,981692.7039487363,986377.2445443631,-0.004749238307693027,53.53650054931641,0.03618392512967761,8
2025-03-27,621247.7060658933,359390.00663757324,980637.7127034665,981692.7039487363,-0.0010746654640766407,0.0,0.0,8
2025-03-28,710795.1818927289,268422.0022201538,979217.1841128827,980637.7127034665,-0.0014485763418864428,134.52299823760987,0.09145273291380344,6
2025-03-31,843253.1967431545,134094.9987411499,977348.1954843045,979217.1841128827,-0.001908655872161269,198.9855005264282,0.1354725003842045,3
2025-04-01,977775.1078635692,0.0,977775.1078635692,977348.1954843045,0.0004368068424716043,202.0859956741333,0.1378464683708033,0
2025-04-02,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-03,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-07,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-08,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-09,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-10,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-11,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-14,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-15,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-16,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-17,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-18,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-21,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-22,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-23,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-24,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-25,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-28,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-29,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-04-30,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-06,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-07,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-08,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-09,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-12,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-13,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-14,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-15,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-16,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-19,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-20,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-21,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-22,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-23,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-26,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-27,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-28,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-29,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-05-30,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-06-03,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-06-04,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-06-05,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-06-06,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-06-09,977775.1078635692,0.0,977775.1078635692,977775.1078635692,0.0,0.0,0.0,0
2025-06-10,891725.103630781,85730.00106811523,977455.1046988963,977775.1078635692,-0.00032727685753020097,43.00350036621094,0.08796194548288971,2
2025-06-11,891725.103630781,85425.00038146973,977150.1040122508,977455.1046988963,-0.000312035494192342,0.0,0.0,2
2025-06-12,845581.0445581912,133063.00201416016,978644.0465723514,977150.1040122508,0.0015288772461532485,23.060499286651613,0.04719950229133373,3
2025-06-13,754501.5292603968,224596.99573516846,979098.5249955653,978644.0465723514,0.0004643960434906891,45.516999149322515,0.093020540632201,5
2025-06-16,754501.5292603968,222912.9991531372,977414.528413534,979098.5249955653,-0.0017199459901534597,0.0,0.0,5
2025-06-17,754501.5292603968,219231.00109100342,973732.5303514003,977414.528413534,-0.0037670793251970425,0.0,0.0,5
2025-06-18,754501.5292603968,220096.99897766113,974598.528238058,973732.5303514003,0.0008893590998189094,0.0,0.0,5
2025-06-19,663763.1816802977,309563.00077438354,973326.1824546813,974598.528238058,-0.0013055075977561614,45.34650053977967,0.09305678025547605,7
2025-06-20,663763.1816802977,311776.9980430603,975540.179723358,973326.1824546813,0.0022746714396331136,0.0,0.0,7
2025-06-23,745187.8616830824,231870.9942817688,977058.8559648512,975540.179723358,0.0015567541686738462,122.32050075531006,0.08359163691921433,5
2025-06-24,790000.5410355566,186634.99641418457,976635.5374497412,977058.8559648512,-0.000433257948101895,67.3199990272522,0.04593377264584763,4
2025-06-25,790000.5410355566,188220.00188827515,978220.5429238317,976635.5374497412,0.001622924226400313,0.0,0.0,4
2025-06-26,743877.489699745,236390.99550247192,980268.4852022169,978220.5429238317,0.0020935384082856334,23.05000066757202,0.04712638849042611,5
2025-06-27,697874.5015889643,276755.00049591064,974629.5020848749,980268.4852022169,-0.005752488427880786,22.989999055862427,0.04690551497454268,6
2025-06-30,652416.78557744,323607.0025444031,976023.7881218431,974629.5020848749,0.0014305805785539416,22.717499256134033,0.046617713105416944,7
2025-07-01,698484.57978034,285732.998085022,984217.5778653619,976023.7881218431,0.008395071762836936,69.20549955368043,0.04727036396442219,6
2025-07-02,558838.7864141938,425967.99778938293,984806.7842035767,984217.5778653619,0.0005986545571485813,69.78800268173218,0.14181417656265222,9
2025-07-03,514996.8767195222,469868.9995765686,984865.8762960908,984806.7842035767,6.0003742319736375e-05,21.90999984741211,0.044496037596107645,10
2025-07-04,469718.2489637849,527204.9987316132,996923.247695398,984865.8762960908,0.012242653227719558,22.62799987792969,0.045951434449185424,11
2025-07-07,377940.38261265727,626708.998966217,1004649.3815788743,996923.247695398,0.00774997864814253,45.866000175476074,0.09201510804669301,13
2025-07-08,330260.55333027814,672181.0041427612,1002441.5574730394,1004649.3815788743,-0.0021976065942181933,23.828000640869142,0.047435455747599886,14
2025-07-09,241647.2678226945,755492.0032978058,997139.2711205003,1002441.5574730394,-0.005289372046690777,44.284500503540045,0.08835328139262835,16
2025-07-10,241647.2678226945,761919.9980735779,1003567.2658962724,997139.2711205003,0.006446436282214529,0.0,0.0,16
2025-07-11,148154.54710884066,855876.0102748871,1004030.5573837277,1003567.2658962724,0.0004616446781389172,46.72299885749817,0.09311383590370595,18
2025-07-14,193955.7429468152,819076.9927024841,1013032.7356492993,1004030.5573837277,0.008966040126337615,68.8050012588501,0.045685861353423396,17
2025-07-15,240733.47204380008,768375.0065326691,1009108.4785764691,1013032.7356492993,-0.003873771236341139,70.27200164794922,0.046245298350211524,16
2025-07-16,240041.64975719422,764868.002653122,1004909.6524103162,1009108.4785764691,-0.004160926456664216,91.81999778747559,0.09128849958909944,16
2025-07-17,192587.9341656205,820992.9984092712,1013580.9325748917,1004909.6524103162,0.008628915190312947,23.71500029563904,0.04719827347415294,17
2025-07-18,94986.41804146736,930012.9982948303,1024999.4163362976,1013580.9325748917,0.011265487929413398,133.5180009841919,0.17981001239120104,19
2025-07-21,93802.25774788826,929017.9983139038,1022820.256061792,1024999.4163362976,-0.002126011234518277,92.16200256347656,0.0904468824385821,19
2025-07-22,137456.67896676034,886383.996963501,1023840.6759302614,1022820.256061792,0.0009976531677211575,65.58000183105469,0.0427445594292785,18
2025-07-23,91413.66850876779,942578.0076503754,1033991.6761591432,1023840.6759302614,0.009914628777234924,23.010000228881836,0.04494840021466222,19
2025-07-24,90347.02614769907,951586.998128891,1041934.0242765901,1033991.6761591432,0.007681249569580162,93.64049949645997,0.0910326481320328,19
2025-07-25,85870.40179886788,957913.9925956726,1043784.3943945405,1041934.0242765901,0.0017758995049950155,91.62450141906739,0.09004121101420999,19
2025-07-28,85870.40179886788,969343.0142402649,1055213.4160391327,1043784.3943945405,0.010949600038063334,0.0,0.0,19
2025-07-29,126880.52106370896,941217.9971694946,1068098.5182332036,1055213.4160391327,0.012210896865239462,159.87899947166446,0.1320055244012765,18
2025-07-30,25634.923296546636,1036096.0021972656,1061730.9254938122,1068098.5182332036,-0.005961615553895072,50.5975001335144,0.09474313327802443,20
2025-07-31,25634.923296546636,1025834.9961280823,1051469.9194246288,1061730.9254938122,-0.009664412915551979,0.0,0.0,20
2025-08-01,25634.923296546636,1016290.994977951,1041925.9182744977,1051469.9194246288,-0.009076818056149127,0.0,0.0,20
2025-08-04,25634.923296546636,1027658.0048561096,1053292.9281526562,1041925.9182744977,0.010909614281390478,0.0,0.0,20
2025-08-05,116419.54284782379,951434.9949359894,1067854.5377838132,1053292.9281526562,0.013824843252955521,136.38150157928467,0.08632071726933598,18
2025-08-06,16494.605729484247,1065338.0046367645,1081832.6103662488,1067854.5377838132,0.013089865789628119,49.937499809265134,0.09352865590271053,20
2025-08-07,16494.605729484247,1061554.0046215057,1078048.61035099,1081832.6103662488,-0.0034977684893208183,0.0,0.0,20
2025-08-08,16494.605729484247,1071993.9985752106,1088488.6043046948,1078048.61035099,0.009684158815719712,0.0,0.0,20
2025-08-11,65347.21789503066,1026726.9967556,1092074.2146506307,1088488.6043046948,0.0032941184057928563,73.38900175094605,0.04494856535365415,19
2025-08-12,62833.09933977095,1035614.999294281,1098448.0986340519,1092074.2146506307,0.005836493434157486,100.1189977645874,0.09278306930426933,19
2025-08-13,11483.436217689195,1102322.996854782,1113806.4330724713,1098448.0986340519,0.01398184807959324,25.6620005607605,0.04672410210855087,20
2025-08-14,11483.436217689195,1113617.992067337,1125101.4282850262,1113806.4330724713,0.01014089600954926,0.0,0.0,20
2025-08-15,11483.436217689195,1131285.0085258484,1142768.4447435376,1125101.4282850262,0.015702598907407772,0.0,0.0,20
2025-08-18,57114.887931728044,1101991.0112857819,1159105.89921751,1142768.4447435376,0.014296382219093129,68.55000257492065,0.039990605206875356,19
2025-08-19,105519.17209653823,1041647.0023155212,1147166.1744120594,1159105.89921751,-0.010300805831038207,72.71549949645997,0.04182275294865856,18
2025-08-20,52604.72608137099,1111390.0087833405,1163994.7348647115,1147166.1744120594,0.014669679797067792,26.44400100708008,0.04610317423390389,19
2025-08-21,1127.000226401964,1155444.9934959412,1156571.9937223431,1163994.7348647115,-0.0063769542249958455,25.725999927520753,0.04420294896009272,20
2025-08-22,1127.000226401964,1179496.0013866425,1180623.0016130444,1156571.9937223431,0.020795080653211118,0.0,0.0,20
2025-08-25,1127.000226401964,1206241.9928073883,1207368.9930337903,1180623.0016130444,0.02265413377869452,0.0,0.0,20
2025-08-26,1127.000226401964,1206093.999671936,1207220.999898338,1207368.9930337903,-0.00012257490154721218,0.0,0.0,20
2025-08-27,1127.000226401964,1184780.0039291382,1185907.0041555401,1207220.999898338,-0.017655421620890288,0.0,0.0,20
2025-08-28,1127.000226401964,1207416.0013198853,1208543.0015462872,1185907.0041555401,0.019087497848843338,0.0,0.0,20
2025-08-29,1127.000226401964,1241265.005016327,1242392.0052427289,1208543.0015462872,0.028008108650774632,0.0,0.0,20
2025-09-01,1127.000226401964,1259082.0000171661,1260209.000243568,1242392.0052427289,0.0143408802742242,0.0,0.0,20
2025-09-02,1127.000226401964,1242313.0023956299,1243440.0026220318,1260209.000243568,-0.013306521075706623,0.0,0.0,20
2025-09-03,1127.000226401964,1236330.9928894043,1237457.9931158063,1243440.0026220318,-0.004810854961728284,0.0,0.0,20
2025-09-04,45252.71356716124,1144806.997346878,1190059.7109140393,1237457.9931158063,-0.038302942374975,66.28800201416016,0.03571192039537602,19
2025-09-05,143558.03175511328,1080503.0028820038,1224061.034637117,1190059.7109140393,0.028571107324490974,147.67949652671814,0.08272946036368274,17
2025-09-08,2727.6515261169952,1222109.9989414215,1224837.6504675385,1224061.034637117,0.0006344584203283876,70.38000011444092,0.1149942660094652,20
2025-09-09,2727.6515261169952,1224181.0017585754,1226908.6532846924,1224837.6504675385,0.0016908386318492674,0.0,0.0,20
2025-09-10,51261.740233850156,1183620.9966182709,1234882.736852121,1226908.6532846924,0.006499329470112114,72.91049880981446,0.039617455689477624,19
2025-09-11,996.6185545441258,1259781.999015808,1260778.6175703523,1234882.736852121,0.020970315597935496,25.1200008392334,0.04068402624733032,20
2025-09-12,996.6185545441258,1253757.0006370544,1254753.6191915986,1260778.6175703523,-0.004778791688555439,0.0,0.0,20
2025-09-15,996.6185545441258,1254136.0075950623,1255132.6261496064,1254753.6191915986,0.0003020568757170494,0.0,0.0,20
2025-09-16,46064.913091897644,1201912.9920482635,1247977.9051401613,1255132.6261496064,-0.005700370510958508,67.70399780273438,0.035961138763176595,19
2025-09-17,195937.7662366387,1058728.9914608002,1254666.7576974388,1247977.9051401613,0.0053597523880251075,225.14700021743772,0.12027296278783148,16
2025-09-18,136784.20483202903,1096822.001361847,1233606.206193876,1254666.7576974388,-0.016785773094214362,29.561999702453615,0.04712326922043542,17
2025-09-19,239343.34362425774,989667.0104026794,1229010.3540269372,1233606.206193876,-0.0037255423520595743,263.86650257110597,0.17222270677383103,15
2025-09-22,122936.92495617835,1127333.9926719666,1250270.9176281448,1229010.3540269372,0.017298929607505675,163.42149858474733,0.18026129433620613,17
2025-09-23,63744.344303464575,1179980.0018310547,1243724.3461345192,1250270.9176281448,-0.005236122348622585,29.581499576568604,0.047320143433691744,18
2025-09-24,85502.4819228646,1169724.007987976,1255226.4899108408,1243724.3461345192,0.009248145549349385,145.8639980316162,0.10847419497914092,17
2025-09-25,394.9492702004063,1279361.9982719421,1279756.9475421426,1255226.4899108408,0.019542654515715574,42.53250007629395,0.06776864640470588,19
2025-09-26,394.9492702004063,1261430.0052642822,1261824.9545344827,1279756.9475421426,-0.014012030207844917,0.0,0.0,19
2025-09-29,394.9492702004063,1303011.0019683838,1303405.9512385842,1261824.9545344827,0.03295306258976449,0.0,0.0,19
2025-09-30,826.1317446228641,1320509.0062141418,1321335.1379587648,1303405.9512385842,0.013755642824204495,117.81750268936159,0.09018142244103487,19
2025-10-09,826.1317446228641,1352995.0050354004,1353821.1367800233,1321335.1379587648,0.024585737477203384,0.0,0.0,19
2025-10-10,26359.773104715026,1286371.9944000244,1312731.7675047393,1353821.1367800233,-0.030350663140784162,38.35799903869629,0.018888757653726856,18
2025-10-13,134662.07804245915,1185515.0029182434,1320177.0809607026,1312731.7675047393,0.005671618254592392,162.6975036621094,0.08262541147120876,16
2025-10-14,28719.42491497961,1240173.0018615723,1268892.4267765519,1320177.0809607026,-0.038846799360302886,173.65250186920164,0.17159592106928123,18
2025-10-15,185154.41970548598,1089820.9943771362,1274975.4140826222,1268892.4267765519,0.004793934598162242,235.0049996852875,0.12346988324943385,15
2025-10-16,185154.41970548598,1077890.9927368164,1263045.4124423023,1274975.4140826222,-0.009357044464189723,0.0,0.0,15
2025-10-17,194426.5366109845,1022071.0029602051,1216497.5395711896,1263045.4124423023,-0.036853681120700865,126.88650484085083,0.09673999203196727,15
2025-10-20,301487.7023997304,904704.0012359619,1206191.7036356924,1216497.5395711896,-0.008471727726740763,160.8329981803894,0.08813992244055141,13
2025-10-21,380383.1822910306,847340.9864425659,1227724.1687335966,1206191.7036356924,0.01785161101092081,118.52100133895874,0.06550700079802892,12
2025-10-22,139130.3017030713,1090036.0038280487,1229166.30553112,1227724.1687335966,0.0011746423457730248,120.88099994659424,0.19640567949129936,17
2025-10-23,139130.3017030713,1094025.9923934937,1233156.2940965649,1229166.30553112,0.0032460933459455,0.0,0.0,17
2025-10-24,1629.5849702832274,1259455.9948444366,1261085.57981472,1233156.2940965649,0.022648617901769308,68.71600036621095,0.11144734969147388,20
2025-10-27,61182.1233110425,1218271.006679535,1279453.1299905775,1261085.57981472,0.014564872098970616,89.46300201416015,0.047294174398169,19
2025-10-28,61182.1233110425,1187534.9876880646,1248717.1109991071,1279453.1299905775,-0.02402277838164868,0.0,0.0,19
2025-10-29,113276.86147994967,1180862.9931926727,1294139.8546726224,1248717.1109991071,0.03637552755016893,78.25949649810791,0.041781278726661555,18
2025-10-30,53060.76880054446,1212647.9994773865,1265708.768277931,1294139.8546726224,-0.02196909885128573,30.092999839782717,0.04650656531615019,19
2025-10-31,128274.77606086704,1107836.9933128357,1236111.7693737028,1265708.768277931,-0.02338373537895022,112.99049663543701,0.05951368880808552,18
2025-11-03,128274.77606086704,1121849.0178108215,1250123.7938716887,1236111.7693737028,0.011335564343898596,0.0,0.0,18
2025-11-04,165180.02984938596,1051903.0002593994,1217083.0301087853,1250123.7938716887,-0.026429993513342187,167.7495035648346,0.11935858084636039,17
2025-11-05,165180.02984938596,1061112.0058059692,1226292.035655355,1217083.0301087853,0.0075664562883164255,0.0,0.0,17
2025-11-06,92566.60802297568,1174508.9980125427,1267075.6060355185,1226292.035655355,0.03325763292458128,237.42800240516664,0.22312466473040682,19
2025-11-07,33136.90802297568,1235495.99609375,1268632.9041167258,1267075.6060355185,0.0012290490589428327,29.7,0.04687960190935513,20
2025-11-10,33136.90802297568,1229239.0058517456,1262375.9138747214,1268632.9041167258,-0.004932073117211777,0.0,0.0,20
2025-11-11,33136.90802297568,1139766.008090973,1172902.9161139487,1262375.9138747214,-0.07087666738360476,0.0,0.0,20
2025-11-12,83694.95551462148,1155312.997341156,1239007.9528557775,1172902.9161139487,0.0563601947216974,75.95099773406983,0.04316981209079093,19
2025-11-13,131861.8753758428,1150116.9996261597,1281978.8750020023,1239007.9528557775,0.034681716164276066,181.08200035095214,0.12664002604544247,18
2025-11-14,13272.607780551654,1232782.9899787903,1246055.5977593418,1281978.8750020023,-0.02802173884698722,59.26500129699707,0.0924586238550998,20
2025-11-17,13272.607780551654,1220250.9915351868,1233523.5993157383,1246055.5977593418,-0.010057334894316594,0.0,0.0,20
2025-11-18,190645.14779124234,1014587.0121002197,1205232.159891462,1233523.5993157383,-0.022935466690682027,266.45849776268005,0.14400940412246144,17
2025-11-19,304032.8107836244,927883.0015182495,1231915.812301874,1205232.159891462,0.022139844337388803,170.33699998855593,0.09422085119484129,15
2025-11-20,304032.8107836244,925978.9938926697,1230011.804676294,1231915.812301874,-0.0015455663500431038,0.0,0.0,15
2025-11-21,304032.8107836244,874706.0050964355,1178738.81588006,1230011.804676294,-0.041684956681962704,0.0,0.0,15
2025-11-24,415708.04669499374,755687.0012283325,1171395.0479233263,1178738.81588006,-0.006230190995492713,167.76450061798096,0.0948836153567099,13
