schedule_id,gate_name,gate_value,threshold_value,comparison_id,passed,failure_reason,is_hard_stop
fixed_delay_10d,after_cost_lift_vs_random,0.0006931699102801997,0.0,random,True,,True
fixed_delay_10d,big_winner_coverage_loss_vs_buy_all,0.6277372262773723,0.2,buy_all_hold_to_H,False,gate_failed,True
fixed_delay_10d,median_missed_gain_to_exposure,0.006504058737032858,0.08,self,True,,True
fixed_delay_10d,top1_instrument_year_exposure_share,0.003499562554680665,0.1,self,True,,True
fixed_delay_10d,top5_instrument_exposure_share,0.01399825021872266,0.35,self,True,,True
fixed_delay_10d,turnover_reduction_vs_daily_baserate,0.5298911144542104,0.5,baserate_reference,True,,True
fixed_delay_10d,mean_after_cost_diff_vs_buy_all_hold_to_H,-0.00027238598996574045,0.0,buy_all_hold_to_H,False,gate_failed,True
fixed_delay_10d,mean_after_cost_diff_vs_buy_all_same_fast_fail,0.00033888339815209625,0.0,buy_all_same_fast_fail,True,,True
random_probe_within_launch_window,after_cost_lift_vs_random,0.0,0.0,random,False,gate_failed,True
random_probe_within_launch_window,big_winner_coverage_loss_vs_buy_all,-0.44785714285714273,0.2,buy_all_hold_to_H,True,,True
random_probe_within_launch_window,median_missed_gain_to_exposure,0.0,0.08,self,True,,True
random_probe_within_launch_window,top1_instrument_year_exposure_share,0.0020350020350020344,0.1,self,True,,True
random_probe_within_launch_window,top5_instrument_exposure_share,0.009361009361009361,0.35,self,True,,True
random_probe_within_launch_window,turnover_reduction_vs_daily_baserate,-0.010522102105534836,0.5,baserate_reference,False,gate_failed,True
staged_buy_all,after_cost_lift_vs_random,-0.0007442320814854868,0.0,random,False,gate_failed,True
staged_buy_all,big_winner_coverage_loss_vs_buy_all,-0.011331444759206777,0.2,buy_all_hold_to_H,True,,True
staged_buy_all,median_missed_gain_to_exposure,0.0,0.08,self,True,,True
staged_buy_all,top1_instrument_year_exposure_share,0.002043318348998774,0.1,self,True,,True
staged_buy_all,top5_instrument_exposure_share,0.009399264405394361,0.35,self,True,,True
staged_buy_all,turnover_reduction_vs_daily_baserate,0.1009064650432937,0.5,baserate_reference,False,gate_failed,True
staged_buy_all,mean_after_cost_diff_vs_buy_all_hold_to_H,-0.001709787981731427,0.0,buy_all_hold_to_H,False,gate_failed,True
staged_buy_all,mean_after_cost_diff_vs_buy_all_same_fast_fail,-0.0010985185936135903,0.0,buy_all_same_fast_fail,False,gate_failed,True
probe_then_naive_add,after_cost_lift_vs_random,-0.001104636510708119,0.0,random,False,gate_failed,True
probe_then_naive_add,big_winner_coverage_loss_vs_buy_all,-0.15580736543909346,0.2,buy_all_hold_to_H,True,,True
probe_then_naive_add,median_missed_gain_to_exposure,0.0,0.08,self,True,,True
probe_then_naive_add,top1_instrument_year_exposure_share,0.002043318348998774,0.1,self,True,,True
probe_then_naive_add,top5_instrument_exposure_share,0.009399264405394361,0.35,self,True,,True
probe_then_naive_add,turnover_reduction_vs_daily_baserate,0.081538143620413,0.5,baserate_reference,False,gate_failed,True
probe_then_naive_add,mean_after_cost_diff_vs_buy_all_hold_to_H,-0.002070192410954059,0.0,buy_all_hold_to_H,False,gate_failed,True
probe_then_naive_add,mean_after_cost_diff_vs_buy_all_same_fast_fail,-0.0014589230228362225,0.0,buy_all_same_fast_fail,False,gate_failed,True
probe_with_simple_stop,after_cost_lift_vs_random,0.004060326423305317,0.0,random,True,,True
probe_with_simple_stop,big_winner_coverage_loss_vs_buy_all,-0.011331444759206777,0.2,buy_all_hold_to_H,True,,True
probe_with_simple_stop,median_missed_gain_to_exposure,0.0,0.08,self,True,,True
probe_with_simple_stop,top1_instrument_year_exposure_share,0.002043318348998774,0.1,self,True,,True
probe_with_simple_stop,top5_instrument_exposure_share,0.009399264405394361,0.35,self,True,,True
probe_with_simple_stop,turnover_reduction_vs_daily_baserate,0.6979900316281362,0.5,baserate_reference,True,,True
probe_with_simple_stop,mean_after_cost_diff_vs_buy_all_hold_to_H,0.0030947705230593772,0.0,buy_all_hold_to_H,True,,True
probe_with_simple_stop,mean_after_cost_diff_vs_buy_all_same_fast_fail,0.003706039911177214,0.0,buy_all_same_fast_fail,True,,True
