frontier_arm_id,split,window_id,timing_population,matched_event_n,captured_episode_n,event_minus_low_trading_days_p10,event_minus_low_trading_days_p25,event_minus_low_trading_days_median,event_minus_low_trading_days_p75,event_minus_low_trading_days_p90,first_event_minus_low_trading_days_p10,first_event_minus_low_trading_days_p25,first_event_minus_low_trading_days_median,first_event_minus_low_trading_days_p75,first_event_minus_low_trading_days_p90,event_minus_low_calendar_days_median,timing_denominator_status
08_R_core_event_regime_gated_raw,validation,pre120_calendar_to_high,captured_episode_first_event,22,22,-78.0,-59.25,-42.0,-27.25,3.200000000000017,-78.0,-59.25,-42.0,-27.25,3.200000000000017,-59.5,ok
08_R_core_event_regime_gated_raw,validation,low_to_high,all_matched_events,152,22,8.0,17.0,46.5,69.25,93.9,,,,,,68.5,ok
08_R_core_event_regime_gated_raw,validation,low_to_high,captured_episode_first_event,22,22,2.0,3.25,11.0,20.0,30.200000000000017,2.0,3.25,11.0,20.0,30.200000000000017,15.0,ok
08_R_core_event_regime_gated_raw,validation,low_to_first_50pct,all_matched_events,152,22,8.0,17.0,46.5,69.25,93.9,,,,,,68.5,ok
08_R_core_event_regime_gated_raw,validation,low_to_first_50pct,captured_episode_first_event,22,22,2.0,3.25,11.0,20.0,30.200000000000017,2.0,3.25,11.0,20.0,30.200000000000017,15.0,ok
08_R_core_event_regime_gated_raw,robustness,pre120_calendar_to_high,all_matched_events,1749,181,-59.599999999999994,-34.0,11.0,50.0,94.0,,,,,,17.0,ok
08_R_core_event_regime_gated_raw,robustness,pre120_calendar_to_high,captured_episode_first_event,181,181,-78.0,-74.0,-49.0,-31.0,7.0,-78.0,-74.0,-49.0,-31.0,7.0,-75.0,ok
08_R_core_event_regime_gated_raw,robustness,low_to_high,all_matched_events,1021,171,10.0,18.0,43.0,76.0,109.0,,,,,,64.0,ok
08_R_core_event_regime_gated_raw,robustness,low_to_high,captured_episode_first_event,171,171,5.0,8.0,12.0,19.0,43.0,5.0,8.0,12.0,19.0,43.0,20.0,ok
08_R_core_event_regime_gated_raw,robustness,low_to_first_50pct,all_matched_events,1021,171,10.0,18.0,43.0,76.0,109.0,,,,,,64.0,ok
08_R_core_event_regime_gated_raw,robustness,low_to_first_50pct,captured_episode_first_event,171,171,5.0,8.0,12.0,19.0,43.0,5.0,8.0,12.0,19.0,43.0,20.0,ok
08_R6_event_regime_gated_raw,all,pre120_calendar_to_high,all_matched_events,1533,428,-60.0,-33.0,16.0,56.0,87.20000000000005,,,,,,24.0,ok
08_R6_event_regime_gated_raw,all,pre120_calendar_to_high,captured_episode_first_event,427,428,-74.0,-67.0,-48.0,-21.75,18.0,-74.0,-67.0,-48.0,-21.75,18.0,-71.5,ok
08_R6_event_regime_gated_raw,all,low_to_high,all_matched_events,971,409,10.0,19.5,44.0,75.0,102.0,,,,,,68.0,ok
08_R6_event_regime_gated_raw,all,low_to_high,captured_episode_first_event,409,409,6.800000000000004,11.0,17.0,24.0,46.0,6.800000000000004,11.0,17.0,24.0,46.0,27.0,ok
08_R6_event_regime_gated_raw,all,low_to_first_50pct,all_matched_events,971,409,10.0,19.5,44.0,75.0,102.0,,,,,,68.0,ok
08_R6_event_regime_gated_raw,all,low_to_first_50pct,captured_episode_first_event,409,409,6.800000000000004,11.0,17.0,24.0,46.0,6.800000000000004,11.0,17.0,24.0,46.0,27.0,ok
08_R6_event_regime_gated_raw,train,pre120_calendar_to_high,all_matched_events,866,225,-61.0,-33.75,18.0,55.0,84.0,,,,,,27.0,ok
08_R6_event_regime_gated_raw,train,pre120_calendar_to_high,captured_episode_first_event,224,225,-74.6,-68.0,-54.0,-28.0,16.19999999999999,-74.6,-68.0,-54.0,-28.0,16.19999999999999,-81.0,ok
08_R6_event_regime_gated_raw,train,low_to_high,all_matched_events,560,219,11.900000000000006,21.0,43.0,74.25,95.10000000000002,,,,,,67.0,ok
08_R6_event_regime_gated_raw,train,low_to_high,captured_episode_first_event,219,219,6.0,11.0,18.0,24.0,41.400000000000034,6.0,11.0,18.0,24.0,41.400000000000034,27.0,ok
08_R6_event_regime_gated_raw,train,low_to_first_50pct,all_matched_events,560,219,11.900000000000006,21.0,43.0,74.25,95.10000000000002,,,,,,67.0,ok
08_R6_event_regime_gated_raw,train,low_to_first_50pct,captured_episode_first_event,219,219,6.0,11.0,18.0,24.0,41.400000000000034,6.0,11.0,18.0,24.0,41.400000000000034,27.0,ok
08_R6_event_regime_gated_raw,validation,pre120_calendar_to_high,all_matched_events,77,22,-41.8,-15.0,21.0,63.0,77.4,,,,,,38.0,ok
08_R6_event_regime_gated_raw,validation,pre120_calendar_to_high,captured_episode_first_event,22,22,-71.6,-50.75,-32.5,5.75,14.900000000000002,-71.6,-50.75,-32.5,5.75,14.900000000000002,-46.5,ok
08_R6_event_regime_gated_raw,validation,low_to_high,all_matched_events,53,22,7.2,17.0,50.0,70.0,91.60000000000002,,,,,,73.0,ok
08_R6_event_regime_gated_raw,validation,low_to_high,captured_episode_first_event,22,22,2.5000000000000004,7.25,16.0,29.25,36.7,2.5000000000000004,7.25,16.0,29.25,36.7,27.5,ok
08_R6_event_regime_gated_raw,validation,low_to_first_50pct,all_matched_events,53,22,7.2,17.0,50.0,70.0,91.60000000000002,,,,,,73.0,ok
08_R6_event_regime_gated_raw,validation,low_to_first_50pct,captured_episode_first_event,22,22,2.5000000000000004,7.25,16.0,29.25,36.7,2.5000000000000004,7.25,16.0,29.25,36.7,27.5,ok
08_R6_event_regime_gated_raw,robustness,pre120_calendar_to_high,all_matched_events,571,181,-60.599999999999994,-36.0,11.0,54.0,97.0,,,,,,17.0,ok
08_R6_event_regime_gated_raw,robustness,pre120_calendar_to_high,captured_episode_first_event,181,181,-74.0,-66.0,-41.0,-21.0,20.0,-74.0,-66.0,-41.0,-21.0,20.0,-63.0,ok
08_R6_event_regime_gated_raw,robustness,low_to_high,all_matched_events,339,166,10.0,17.0,44.0,76.0,109.0,,,,,,65.0,ok
08_R6_event_regime_gated_raw,robustness,low_to_high,captured_episode_first_event,166,166,7.0,10.25,17.0,25.5,58.0,7.0,10.25,17.0,25.5,58.0,25.5,ok
08_R6_event_regime_gated_raw,robustness,low_to_first_50pct,all_matched_events,339,166,10.0,17.0,44.0,76.0,109.0,,,,,,65.0,ok
08_R6_event_regime_gated_raw,robustness,low_to_first_50pct,captured_episode_first_event,166,166,7.0,10.25,17.0,25.5,58.0,7.0,10.25,17.0,25.5,58.0,25.5,ok
12A2_C0_primary_canonical_union,all,pre120_calendar_to_high,all_matched_events,2415,428,-60.0,-35.0,13.0,53.0,87.0,,,,,,21.0,ok
12A2_C0_primary_canonical_union,all,pre120_calendar_to_high,captured_episode_first_event,427,428,-78.0,-72.0,-60.0,-41.0,-22.69999999999999,-78.0,-72.0,-60.0,-41.0,-22.69999999999999,-88.0,ok
12A2_C0_primary_canonical_union,all,low_to_high,all_matched_events,1526,422,7.0,17.0,41.0,73.0,98.0,,,,,,63.0,ok
12A2_C0_primary_canonical_union,all,low_to_high,captured_episode_first_event,422,422,3.0,5.0,9.0,17.0,24.0,3.0,5.0,9.0,17.0,24.0,15.0,ok
12A2_C0_primary_canonical_union,all,low_to_first_50pct,all_matched_events,1526,422,7.0,17.0,41.0,73.0,98.0,,,,,,63.0,ok
12A2_C0_primary_canonical_union,all,low_to_first_50pct,captured_episode_first_event,422,422,3.0,5.0,9.0,17.0,24.0,3.0,5.0,9.0,17.0,24.0,15.0,ok
12A2_C0_primary_canonical_union,train,pre120_calendar_to_high,all_matched_events,1283,225,-60.0,-32.0,16.0,52.0,82.0,,,,,,25.0,ok
12A2_C0_primary_canonical_union,train,pre120_calendar_to_high,captured_episode_first_event,224,225,-78.0,-72.0,-60.0,-36.0,-18.0,-78.0,-72.0,-60.0,-36.0,-18.0,-89.0,ok
12A2_C0_primary_canonical_union,train,low_to_high,all_matched_events,849,224,8.0,19.0,40.0,70.0,93.0,,,,,,62.0,ok
12A2_C0_primary_canonical_union,train,low_to_high,captured_episode_first_event,224,224,3.0,6.0,11.0,17.0,24.0,3.0,6.0,11.0,17.0,24.0,16.0,ok
12A2_C0_primary_canonical_union,train,low_to_first_50pct,all_matched_events,849,224,8.0,19.0,40.0,70.0,93.0,,,,,,62.0,ok
12A2_C0_primary_canonical_union,train,low_to_first_50pct,captured_episode_first_event,224,224,3.0,6.0,11.0,17.0,24.0,3.0,6.0,11.0,17.0,24.0,16.0,ok
12A2_C0_primary_canonical_union,validation,pre120_calendar_to_high,all_matched_events,132,22,-53.0,-29.0,18.0,53.0,76.80000000000001,,,,,,28.5,ok
12A2_C0_primary_canonical_union,validation,pre120_calendar_to_high,captured_episode_first_event,22,22,-78.0,-76.0,-58.0,-36.75,1.8000000000000043,-78.0,-76.0,-58.0,-36.75,1.8000000000000043,-82.0,ok
12A2_C0_primary_canonical_union,validation,low_to_high,all_matched_events,91,22,4.0,16.0,41.0,64.5,81.0,,,,,,62.0,ok
12A2_C0_primary_canonical_union,validation,low_to_high,captured_episode_first_event,22,22,2.0,2.0,5.5,11.25,16.800000000000004,2.0,2.0,5.5,11.25,16.800000000000004,7.5,ok
12A2_C0_primary_canonical_union,validation,low_to_first_50pct,all_matched_events,91,22,4.0,16.0,41.0,64.5,81.0,,,,,,62.0,ok
12A2_C0_primary_canonical_union,validation,low_to_first_50pct,captured_episode_first_event,22,22,2.0,2.0,5.5,11.25,16.800000000000004,2.0,2.0,5.5,11.25,16.800000000000004,7.5,ok
12A2_C0_primary_canonical_union,robustness,pre120_calendar_to_high,all_matched_events,954,181,-60.0,-39.0,7.0,48.0,90.5,,,,,,10.0,ok
12A2_C0_primary_canonical_union,robustness,pre120_calendar_to_high,captured_episode_first_event,181,181,-77.0,-72.0,-57.0,-43.0,-31.0,-77.0,-72.0,-57.0,-43.0,-31.0,-86.0,ok
12A2_C0_primary_canonical_union,robustness,low_to_high,all_matched_events,547,175,6.0,16.0,39.0,76.0,104.0,,,,,,58.0,ok
12A2_C0_primary_canonical_union,robustness,low_to_high,captured_episode_first_event,175,175,3.400000000000002,6.0,9.0,16.0,26.599999999999994,3.400000000000002,6.0,9.0,16.0,26.599999999999994,13.0,ok
12A2_C0_primary_canonical_union,robustness,low_to_first_50pct,all_matched_events,547,175,6.0,16.0,39.0,76.0,104.0,,,,,,58.0,ok
12A2_C0_primary_canonical_union,robustness,low_to_first_50pct,captured_episode_first_event,175,175,3.400000000000002,6.0,9.0,16.0,26.599999999999994,3.400000000000002,6.0,9.0,16.0,26.599999999999994,13.0,ok
12A2_B1_primary,all,pre120_calendar_to_high,all_matched_events,418,293,-58.0,-35.0,16.0,51.0,77.0,,,,,,25.0,ok
12A2_B1_primary,all,pre120_calendar_to_high,captured_episode_first_event,290,293,-64.0,-48.0,4.0,24.0,69.0,-64.0,-48.0,4.0,24.0,69.0,4.0,ok
12A2_B1_primary,all,low_to_high,all_matched_events,276,228,10.0,17.0,32.0,70.0,91.0,,,,,,49.0,ok
12A2_B1_primary,all,low_to_high,captured_episode_first_event,228,228,9.0,15.75,23.0,55.25,76.30000000000001,9.0,15.75,23.0,55.25,76.30000000000001,35.0,ok
12A2_B1_primary,all,low_to_first_50pct,all_matched_events,276,228,10.0,17.0,32.0,70.0,91.0,,,,,,49.0,ok
12A2_B1_primary,all,low_to_first_50pct,captured_episode_first_event,228,228,9.0,15.75,23.0,55.25,76.30000000000001,9.0,15.75,23.0,55.25,76.30000000000001,35.0,ok
12A2_B1_primary,train,pre120_calendar_to_high,all_matched_events,216,153,-56.0,-30.0,15.0,53.0,76.0,,,,,,24.0,ok
12A2_B1_primary,train,pre120_calendar_to_high,captured_episode_first_event,151,153,-61.599999999999994,-46.0,10.0,24.0,69.0,-61.599999999999994,-46.0,10.0,24.0,69.0,14.0,ok
12A2_B1_primary,train,low_to_high,all_matched_events,149,121,9.8,15.0,24.0,69.0,87.0,,,,,,42.0,ok
12A2_B1_primary,train,low_to_high,captured_episode_first_event,121,121,9.0,14.0,20.0,53.0,72.0,9.0,14.0,20.0,53.0,72.0,30.0,ok
12A2_B1_primary,train,low_to_first_50pct,all_matched_events,149,121,9.8,15.0,24.0,69.0,87.0,,,,,,42.0,ok
12A2_B1_primary,train,low_to_first_50pct,captured_episode_first_event,121,121,9.0,14.0,20.0,53.0,72.0,9.0,14.0,20.0,53.0,72.0,30.0,ok
12A2_B1_primary,validation,pre120_calendar_to_high,all_matched_events,23,18,-53.199999999999996,-31.0,20.0,50.5,74.4,,,,,,32.0,ok
12A2_B1_primary,validation,pre120_calendar_to_high,captured_episode_first_event,18,18,-58.4,-36.5,3.0,46.5,63.3,-58.4,-36.5,3.0,46.5,63.3,4.0,ok
12A2_B1_primary,validation,low_to_high,all_matched_events,15,13,9.200000000000003,28.0,47.0,63.5,84.19999999999999,,,,,,74.0,ok
12A2_B1_primary,validation,low_to_high,captured_episode_first_event,13,13,6.600000000000002,20.0,39.0,52.0,63.8,6.600000000000002,20.0,39.0,52.0,63.8,60.0,ok
12A2_B1_primary,validation,low_to_first_50pct,all_matched_events,15,13,9.200000000000003,28.0,47.0,63.5,84.19999999999999,,,,,,74.0,ok
12A2_B1_primary,validation,low_to_first_50pct,captured_episode_first_event,13,13,6.600000000000002,20.0,39.0,52.0,63.8,6.600000000000002,20.0,39.0,52.0,63.8,60.0,ok
12A2_B1_primary,robustness,pre120_calendar_to_high,all_matched_events,174,122,-59.0,-42.0,16.0,41.25,82.5,,,,,,24.5,ok
12A2_B1_primary,robustness,pre120_calendar_to_high,captured_episode_first_event,121,122,-64.9,-49.0,-26.5,28.25,69.80000000000001,-64.9,-49.0,-26.5,28.25,69.80000000000001,-39.5,ok
12A2_B1_primary,robustness,low_to_high,all_matched_events,108,91,11.700000000000001,18.0,32.0,71.5,97.89999999999999,,,,,,51.0,ok
12A2_B1_primary,robustness,low_to_high,captured_episode_first_event,91,91,10.0,17.0,28.0,60.5,87.0,10.0,17.0,28.0,60.5,87.0,42.0,ok
12A2_B1_primary,robustness,low_to_first_50pct,all_matched_events,108,91,11.700000000000001,18.0,32.0,71.5,97.89999999999999,,,,,,51.0,ok
12A2_B1_primary,robustness,low_to_first_50pct,captured_episode_first_event,91,91,10.0,17.0,28.0,60.5,87.0,10.0,17.0,28.0,60.5,87.0,42.0,ok
12A2_B2_primary,all,pre120_calendar_to_high,all_matched_events,233,190,-63.0,-38.5,6.0,36.25,73.19999999999999,,,,,,9.0,ok
12A2_B2_primary,all,pre120_calendar_to_high,captured_episode_first_event,187,190,-65.0,-48.0,2.0,30.0,61.0,-65.0,-48.0,2.0,30.0,61.0,3.0,ok
12A2_B2_primary,all,low_to_high,all_matched_events,142,125,3.0,9.0,26.5,57.75,93.70000000000002,,,,,,37.0,ok
12A2_B2_primary,all,low_to_high,captured_episode_first_event,125,125,3.0,8.0,20.0,55.0,87.20000000000002,3.0,8.0,20.0,55.0,87.20000000000002,30.0,ok
12A2_B2_primary,all,low_to_first_50pct,all_matched_events,142,125,3.0,9.0,26.5,57.75,93.70000000000002,,,,,,37.0,ok
12A2_B2_primary,all,low_to_first_50pct,captured_episode_first_event,125,125,3.0,8.0,20.0,55.0,87.20000000000002,3.0,8.0,20.0,55.0,87.20000000000002,30.0,ok
12A2_B2_primary,train,pre120_calendar_to_high,all_matched_events,131,105,-63.0,-33.5,12.0,47.5,84.40000000000003,,,,,,16.0,ok
12A2_B2_primary,train,pre120_calendar_to_high,captured_episode_first_event,103,105,-65.0,-45.0,6.0,43.0,76.00000000000004,-65.0,-45.0,6.0,43.0,76.00000000000004,10.0,ok
12A2_B2_primary,train,low_to_high,all_matched_events,87,76,5.0,13.0,37.0,61.0,93.00000000000003,,,,,,60.0,ok
12A2_B2_primary,train,low_to_high,captured_episode_first_event,76,76,4.5,11.75,34.0,56.5,88.5,4.5,11.75,34.0,56.5,88.5,53.5,ok
12A2_B2_primary,train,low_to_first_50pct,all_matched_events,87,76,5.0,13.0,37.0,61.0,93.00000000000003,,,,,,60.0,ok
12A2_B2_primary,train,low_to_first_50pct,captured_episode_first_event,76,76,4.5,11.75,34.0,56.5,88.5,4.5,11.75,34.0,56.5,88.5,53.5,ok
12A2_B2_primary,validation,pre120_calendar_to_high,all_matched_events,11,10,-47.0,-38.5,2.0,7.0,9.0,,,,,,4.0,ok
12A2_B2_primary,validation,pre120_calendar_to_high,captured_episode_first_event,10,10,-47.2,-39.75,-16.5,7.5,9.499999999999998,-47.2,-39.75,-16.5,7.5,9.499999999999998,-23.5,ok
12A2_B2_primary,validation,low_to_high,all_matched_events,6,6,3.0,4.5,7.0,8.75,11.5,,,,,,9.0,ok
12A2_B2_primary,validation,low_to_high,captured_episode_first_event,6,6,3.0,4.5,7.0,8.75,11.5,3.0,4.5,7.0,8.75,11.5,9.0,ok
12A2_B2_primary,validation,low_to_first_50pct,all_matched_events,6,6,3.0,4.5,7.0,8.75,11.5,,,,,,9.0,ok
12A2_B2_primary,validation,low_to_first_50pct,captured_episode_first_event,6,6,3.0,4.5,7.0,8.75,11.5,3.0,4.5,7.0,8.75,11.5,9.0,ok
12A2_B2_primary,robustness,pre120_calendar_to_high,all_matched_events,90,74,-64.0,-48.0,1.0,17.0,59.39999999999999,,,,,,1.0,ok
12A2_B2_primary,robustness,pre120_calendar_to_high,captured_episode_first_event,73,74,-69.19999999999999,-54.75,-19.5,8.5,40.00000000000003,-69.19999999999999,-54.75,-19.5,8.5,40.00000000000003,-28.5,ok
12A2_B2_primary,robustness,low_to_high,all_matched_events,48,42,2.0,7.0,15.5,49.75,90.10000000000002,,,,,,23.0,ok
12A2_B2_primary,robustness,low_to_high,captured_episode_first_event,42,42,2.0,7.0,11.0,32.5,69.29999999999998,2.0,7.0,11.0,32.5,69.29999999999998,16.5,ok
12A2_B2_primary,robustness,low_to_first_50pct,all_matched_events,48,42,2.0,7.0,15.5,49.75,90.10000000000002,,,,,,23.0,ok
12A2_B2_primary,robustness,low_to_first_50pct,captured_episode_first_event,42,42,2.0,7.0,11.0,32.5,69.29999999999998,2.0,7.0,11.0,32.5,69.29999999999998,16.5,ok
12A2_B3_primary,all,pre120_calendar_to_high,all_matched_events,233,168,-64.5,-39.0,8.0,44.0,74.0,,,,,,12.5,ok
12A2_B3_primary,all,pre120_calendar_to_high,captured_episode_first_event,166,168,-70.6,-49.0,4.0,28.25,63.30000000000001,-70.6,-49.0,4.0,28.25,63.30000000000001,6.0,ok
12A2_B3_primary,all,low_to_high,all_matched_events,150,117,5.0,9.25,32.0,63.75,93.19999999999999,,,,,,49.5,ok
12A2_B3_primary,all,low_to_high,captured_episode_first_event,117,117,4.0,7.0,21.0,46.0,72.4,4.0,7.0,21.0,46.0,72.4,31.0,ok
12A2_B3_primary,all,low_to_first_50pct,all_matched_events,150,117,5.0,9.25,32.0,63.75,93.19999999999999,,,,,,49.5,ok
12A2_B3_primary,all,low_to_first_50pct,captured_episode_first_event,117,117,4.0,7.0,21.0,46.0,72.4,4.0,7.0,21.0,46.0,72.4,31.0,ok
12A2_B3_primary,train,pre120_calendar_to_high,all_matched_events,118,96,-62.0,-44.0,12.0,35.0,61.0,,,,,,18.0,ok
12A2_B3_primary,train,pre120_calendar_to_high,captured_episode_first_event,94,96,-68.0,-46.25,10.5,34.25,64.0,-68.0,-46.25,10.5,34.25,64.0,15.5,ok
12A2_B3_primary,train,low_to_high,all_matched_events,80,70,6.0,12.75,28.0,46.25,71.10000000000001,,,,,,43.0,ok
12A2_B3_primary,train,low_to_high,captured_episode_first_event,70,70,5.9,11.0,24.5,44.75,72.0,5.9,11.0,24.5,44.75,72.0,37.0,ok
12A2_B3_primary,train,low_to_first_50pct,all_matched_events,80,70,6.0,12.75,28.0,46.25,71.10000000000001,,,,,,43.0,ok
12A2_B3_primary,train,low_to_first_50pct,captured_episode_first_event,70,70,5.9,11.0,24.5,44.75,72.0,5.9,11.0,24.5,44.75,72.0,37.0,ok
12A2_B3_primary,validation,pre120_calendar_to_high,all_matched_events,11,7,-42.0,1.0,13.0,38.0,48.0,,,,,,17.0,ok
12A2_B3_primary,validation,pre120_calendar_to_high,captured_episode_first_event,7,7,-49.199999999999996,-21.0,2.0,9.0,19.800000000000004,-49.199999999999996,-21.0,2.0,9.0,19.800000000000004,2.0,ok
12A2_B3_primary,validation,low_to_high,all_matched_events,9,6,1.6,5.0,30.0,43.0,59.60000000000001,,,,,,49.0,ok
12A2_B3_primary,validation,low_to_high,captured_episode_first_event,6,6,1.0,2.75,9.0,25.75,31.5,1.0,2.75,9.0,25.75,31.5,12.0,ok
12A2_B3_primary,validation,low_to_first_50pct,all_matched_events,9,6,1.6,5.0,30.0,43.0,59.60000000000001,,,,,,49.0,ok
12A2_B3_primary,validation,low_to_first_50pct,captured_episode_first_event,6,6,1.0,2.75,9.0,25.75,31.5,1.0,2.75,9.0,25.75,31.5,12.0,ok
12A2_B3_primary,robustness,pre120_calendar_to_high,all_matched_events,94,60,-66.7,-39.0,5.0,59.5,99.30000000000003,,,,,,7.0,ok
12A2_B3_primary,robustness,pre120_calendar_to_high,captured_episode_first_event,60,60,-74.0,-49.25,-30.0,7.5,47.80000000000001,-74.0,-49.25,-30.0,7.5,47.80000000000001,-45.0,ok
12A2_B3_primary,robustness,low_to_high,all_matched_events,53,37,5.0,8.0,46.0,81.0,105.80000000000001,,,,,,70.0,ok
12A2_B3_primary,robustness,low_to_high,captured_episode_first_event,37,37,4.0,7.0,9.0,55.0,74.0,4.0,7.0,9.0,55.0,74.0,14.0,ok
12A2_B3_primary,robustness,low_to_first_50pct,all_matched_events,53,37,5.0,8.0,46.0,81.0,105.80000000000001,,,,,,70.0,ok
12A2_B3_primary,robustness,low_to_first_50pct,captured_episode_first_event,37,37,4.0,7.0,9.0,55.0,74.0,4.0,7.0,9.0,55.0,74.0,14.0,ok
12A2_B4_primary,all,pre120_calendar_to_high,all_matched_events,48,38,-51.599999999999994,-32.0,-2.0,54.25,79.2,,,,,,-3.0,ok
12A2_B4_primary,all,pre120_calendar_to_high,captured_episode_first_event,38,38,-58.8,-35.5,-10.5,38.75,64.10000000000008,-58.8,-35.5,-10.5,38.75,64.10000000000008,-14.5,ok
12A2_B4_primary,all,low_to_high,all_matched_events,25,19,10.800000000000002,38.0,55.0,79.0,92.20000000000002,,,,,,84.0,ok
12A2_B4_primary,all,low_to_high,captured_episode_first_event,19,19,7.2,34.5,47.0,67.5,79.0,7.2,34.5,47.0,67.5,79.0,74.0,ok
12A2_B4_primary,all,low_to_first_50pct,all_matched_events,25,19,10.800000000000002,38.0,55.0,79.0,92.20000000000002,,,,,,84.0,ok
12A2_B4_primary,all,low_to_first_50pct,captured_episode_first_event,19,19,7.2,34.5,47.0,67.5,79.0,7.2,34.5,47.0,67.5,79.0,74.0,ok
12A2_B4_primary,train,pre120_calendar_to_high,all_matched_events,16,13,6.0,36.25,48.5,76.5,81.5,,,,,,74.5,ok
12A2_B4_primary,train,pre120_calendar_to_high,captured_episode_first_event,13,13,4.800000000000001,31.0,39.0,59.0,77.6,4.800000000000001,31.0,39.0,59.0,77.6,64.0,ok
12A2_B4_primary,train,low_to_high,all_matched_events,15,12,17.200000000000003,38.0,52.0,77.0,81.6,,,,,,75.0,ok
12A2_B4_primary,train,low_to_high,captured_episode_first_event,12,12,10.300000000000002,36.25,42.0,63.25,77.8,10.300000000000002,36.25,42.0,63.25,77.8,69.0,ok
12A2_B4_primary,train,low_to_first_50pct,all_matched_events,15,12,17.200000000000003,38.0,52.0,77.0,81.6,,,,,,75.0,ok
12A2_B4_primary,train,low_to_first_50pct,captured_episode_first_event,12,12,10.300000000000002,36.25,42.0,63.25,77.8,10.300000000000002,36.25,42.0,63.25,77.8,69.0,ok
12A2_B4_primary,validation,pre120_calendar_to_high,all_matched_events,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,ok
12A2_B4_primary,validation,pre120_calendar_to_high,captured_episode_first_event,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ok
12A2_B4_primary,validation,low_to_high,all_matched_events,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,ok
12A2_B4_primary,validation,low_to_high,captured_episode_first_event,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ok
12A2_B4_primary,validation,low_to_first_50pct,all_matched_events,1,1,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,ok
12A2_B4_primary,validation,low_to_first_50pct,captured_episode_first_event,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ok
12A2_B4_primary,robustness,pre120_calendar_to_high,all_matched_events,31,24,-55.8,-38.0,-30.0,15.0,74.60000000000002,,,,,,-44.0,ok
12A2_B4_primary,robustness,pre120_calendar_to_high,captured_episode_first_event,24,24,-61.199999999999996,-44.0,-31.0,-11.75,32.79999999999996,-61.199999999999996,-44.0,-31.0,-11.75,32.79999999999996,-47.5,ok
12A2_B4_primary,robustness,low_to_high,all_matched_events,9,6,40.6,49.0,57.0,79.0,114.0,,,,,,88.0,ok
12A2_B4_primary,robustness,low_to_high,captured_episode_first_event,6,6,31.0,47.5,52.0,73.0,79.0,31.0,47.5,52.0,73.0,79.0,82.0,ok
