denominator_type,split,candidate_id,candidate_family,stage2_budget_X,common_denominator_n,candidate_matched_selected_n,comparator_matched_selected_n,candidate_matched_rate,complex_model_matched_rate,delta_vs_complex_model,delta_vs_complex_model_ci95_low,delta_vs_complex_model_ci95_high,bootstrap_replicate_valid_n,comparator_feature_list
ground_truth_no_fast_fail_survivor,validation,single_f4f0b5f01efc729c,single_feature_stage2,0.7,1414,758,758,0.10817941952506596,0.10290237467018469,0.0052770448548812715,-0.008928666334769528,0.020764719913449678,2000,stage2_continuation_score
ground_truth_no_fast_fail_survivor,robustness,single_f4f0b5f01efc729c,single_feature_stage2,0.7,3223,2158,2158,0.16589434661723818,0.1607970342910102,0.005097312326227982,-0.0033576947121450582,0.012988985814892053,2000,stage2_continuation_score
stage1_anchor_chained_survivor,all,single_f4f0b5f01efc729c,single_feature_stage2,0.3,3490,925,925,0.17081081081081081,0.17189189189189188,-0.00108108108108107,-0.022365824559616176,0.020185424709811474,2000,stage2_continuation_score
stage1_anchor_chained_survivor,train,single_f4f0b5f01efc729c,single_feature_stage2,0.3,1471,430,430,0.1883720930232558,0.2,-0.011627906976744207,-0.04266272577504267,0.017941186030682437,2000,stage2_continuation_score
stage1_anchor_chained_survivor,validation,single_f4f0b5f01efc729c,single_feature_stage2,0.3,757,170,170,0.13529411764705881,0.11764705882352941,0.017647058823529405,-0.03273046918835438,0.06813179347826077,2000,stage2_continuation_score
stage1_anchor_chained_survivor,robustness,single_f4f0b5f01efc729c,single_feature_stage2,0.3,1262,325,325,0.16615384615384615,0.16307692307692306,0.003076923076923088,-0.03492944312088856,0.03863972984809779,2000,stage2_continuation_score
stage1_anchor_chained_survivor,all,single_f4f0b5f01efc729c,single_feature_stage2,0.5,3490,1603,1603,0.14160948222083594,0.13849033063006863,0.0031191515907673106,-0.008462062316020652,0.013936085092168286,2000,stage2_continuation_score
stage1_anchor_chained_survivor,train,single_f4f0b5f01efc729c,single_feature_stage2,0.5,1471,741,741,0.15654520917678813,0.16734143049932523,-0.010796221322537103,-0.026627666506872944,0.0047852114197777795,2000,stage2_continuation_score
stage1_anchor_chained_survivor,validation,single_f4f0b5f01efc729c,single_feature_stage2,0.5,757,308,308,0.10714285714285714,0.09090909090909091,0.016233766233766225,-0.013808305957830003,0.046428681048988174,2000,stage2_continuation_score
stage1_anchor_chained_survivor,robustness,single_f4f0b5f01efc729c,single_feature_stage2,0.5,1262,554,554,0.1407942238267148,0.1263537906137184,0.0144404332129964,-0.005109547214631077,0.034993521135941945,2000,stage2_continuation_score
stage1_anchor_chained_survivor,all,single_f4f0b5f01efc729c,single_feature_stage2,0.7,3490,2351,2351,0.12590387069332198,0.12165036154827732,0.004253509145044659,-0.002702769941920061,0.011260336107359258,2000,stage2_continuation_score
stage1_anchor_chained_survivor,train,single_f4f0b5f01efc729c,single_feature_stage2,0.7,1471,1022,1022,0.14285714285714285,0.14677103718199608,-0.003913894324853229,-0.013364046599764062,0.006229188056737524,2000,stage2_continuation_score
stage1_anchor_chained_survivor,validation,single_f4f0b5f01efc729c,single_feature_stage2,0.7,757,495,495,0.10101010101010101,0.09494949494949495,0.006060606060606058,-0.009794346011646514,0.02244083029408238,2000,stage2_continuation_score
stage1_anchor_chained_survivor,robustness,single_f4f0b5f01efc729c,single_feature_stage2,0.7,1262,834,834,0.11990407673860912,0.10671462829736211,0.013189448441247004,0.0019882653887050134,0.02561069541066832,2000,stage2_continuation_score
