slice_type,selected_n,selected_continuation_rate,base_continuation_rate,delta_vs_base,random_p50,delta_vs_random_p50,budget_total,budget_rank_evaluable,rank_not_evaluable_rate,direction_status,split,calendar_year,board_bucket,primary_family_id,calendar_month,stage1_anchor_selected_flag
calendar_month,5,0.2,0.07692307692307693,0.12307692307692308,0.07692307692307693,0.12307692307692308,0.38461538461538464,0.38461538461538464,0.0,insufficient_n,robustness,,,,2024-09,
calendar_month,3,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.10344827586206896,0.0,insufficient_n,robustness,,,,2024-11,
calendar_month,25,0.0,0.010309278350515464,-0.010309278350515464,0.010309278350515464,-0.010309278350515464,0.25773195876288657,0.2604166666666667,0.010309278350515464,insufficient_n,robustness,,,,2024-12,
calendar_month,26,0.0,0.029850746268656716,-0.029850746268656716,0.029850746268656716,-0.029850746268656716,0.3880597014925373,0.3880597014925373,0.0,insufficient_n,robustness,,,,2025-02,
calendar_month,17,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,insufficient_n,robustness,,,,2025-03,
calendar_month,1,0.0,0.2,-0.2,0.2,-0.2,0.2,0.2,0.0,insufficient_n,robustness,,,,2025-04,
calendar_month,14,0.0,0.0449438202247191,-0.0449438202247191,0.0449438202247191,-0.0449438202247191,0.15730337078651685,0.15730337078651685,0.0,insufficient_n,robustness,,,,2025-05,
calendar_month,59,0.23728813559322035,0.18579234972677597,0.05149578586644438,0.18579234972677597,0.05149578586644438,0.3224043715846995,0.3224043715846995,0.0,insufficient_n,robustness,,,,2025-06,
calendar_month,32,0.375,0.17647058823529413,0.19852941176470587,0.17647058823529413,0.19852941176470587,0.13445378151260504,0.13445378151260504,0.0,insufficient_n,robustness,,,,2025-07,
calendar_month,18,0.2777777777777778,0.16083916083916083,0.11693861693861696,0.16083916083916083,0.11693861693861696,0.1258741258741259,0.1276595744680851,0.013986013986013986,insufficient_n,robustness,,,,2025-08,
calendar_month,4,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,insufficient_n,robustness,,,,2025-09,
calendar_month,9,0.0,0.014285714285714285,-0.014285714285714285,0.014285714285714285,-0.014285714285714285,0.12857142857142856,0.12857142857142856,0.0,insufficient_n,robustness,,,,2025-10,
calendar_month,4,0.25,0.05555555555555555,0.19444444444444445,0.05555555555555555,0.19444444444444445,0.1111111111111111,0.1111111111111111,0.0,insufficient_n,robustness,,,,2025-11,
calendar_month,0,,0.0,,0.0,,0.0,,1.0,insufficient_n,train,,,,2018-01,
calendar_month,0,,0.0,,0.0,,0.0,,1.0,insufficient_n,train,,,,2018-05,
calendar_month,49,0.1836734693877551,0.15584415584415584,0.02782931354359927,0.15584415584415584,0.02782931354359927,0.3181818181818182,0.4375,0.2727272727272727,insufficient_n,train,,,,2019-02,
calendar_month,3,0.3333333333333333,0.07142857142857142,0.26190476190476186,0.07142857142857142,0.26190476190476186,0.10714285714285714,0.11538461538461539,0.07142857142857142,insufficient_n,train,,,,2019-03,
calendar_month,4,0.25,0.0625,0.1875,0.0625,0.1875,0.25,0.25,0.0,insufficient_n,train,,,,2019-04,
calendar_month,20,0.1,0.06976744186046512,0.03023255813953489,0.06976744186046512,0.03023255813953489,0.46511627906976744,0.4878048780487805,0.046511627906976744,insufficient_n,train,,,,2019-07,
calendar_month,10,0.1,0.05263157894736842,0.04736842105263159,0.05263157894736842,0.04736842105263159,0.10526315789473684,0.10989010989010989,0.042105263157894736,insufficient_n,train,,,,2019-09,
calendar_month,12,0.0,0.015151515151515152,-0.015151515151515152,0.015151515151515152,-0.015151515151515152,0.18181818181818182,0.18461538461538463,0.015151515151515152,insufficient_n,train,,,,2019-10,
calendar_month,7,0.0,0.1111111111111111,-0.1111111111111111,0.1111111111111111,-0.1111111111111111,0.19444444444444445,0.19444444444444445,0.0,insufficient_n,train,,,,2019-11,
calendar_month,42,0.19047619047619047,0.0847457627118644,0.10573042776432606,0.0847457627118644,0.10573042776432606,0.23728813559322035,0.24705882352941178,0.03954802259887006,insufficient_n,train,,,,2019-12,
calendar_month,11,0.5454545454545454,0.4090909090909091,0.1363636363636363,0.4090909090909091,0.1363636363636363,0.5,0.5238095238095238,0.045454545454545456,insufficient_n,train,,,,2020-01,
calendar_month,0,,0.3333333333333333,,0.3333333333333333,,0.0,0.0,0.0,insufficient_n,train,,,,2020-03,
calendar_month,27,0.7407407407407407,0.6938775510204082,0.04686318972033254,0.6938775510204082,0.04686318972033254,0.5510204081632653,0.5869565217391305,0.061224489795918366,insufficient_n,train,,,,2020-05,
calendar_month,56,0.17857142857142858,0.184,-0.0054285714285714215,0.184,-0.0054285714285714215,0.448,0.4628099173553719,0.032,insufficient_n,train,,,,2020-06,
calendar_month,10,0.4,0.14285714285714285,0.2571428571428572,0.14285714285714285,0.2571428571428572,0.10204081632653061,0.10638297872340426,0.04081632653061224,insufficient_n,train,,,,2020-07,
calendar_month,6,0.16666666666666666,0.05,0.11666666666666665,0.05,0.11666666666666665,0.15,0.15789473684210525,0.05,insufficient_n,train,,,,2020-08,
calendar_month,8,0.125,0.045454545454545456,0.07954545454545454,0.045454545454545456,0.07954545454545454,0.36363636363636365,0.38095238095238093,0.045454545454545456,insufficient_n,train,,,,2020-09,
calendar_month,4,0.0,0.045454545454545456,-0.045454545454545456,0.045454545454545456,-0.045454545454545456,0.18181818181818182,0.18181818181818182,0.0,insufficient_n,train,,,,2020-10,
calendar_month,14,0.21428571428571427,0.03529411764705882,0.17899159663865544,0.03529411764705882,0.17899159663865544,0.16470588235294117,0.1728395061728395,0.047058823529411764,insufficient_n,train,,,,2020-11,
calendar_month,24,0.125,0.13725490196078433,-0.012254901960784326,0.13725490196078433,-0.012254901960784326,0.47058823529411764,0.4897959183673469,0.0392156862745098,insufficient_n,train,,,,2020-12,
calendar_month,4,0.0,0.19047619047619047,-0.19047619047619047,0.19047619047619047,-0.19047619047619047,0.19047619047619047,0.2,0.047619047619047616,insufficient_n,train,,,,2021-01,
calendar_month,4,0.25,0.09090909090909091,0.1590909090909091,0.09090909090909091,0.1590909090909091,0.12121212121212122,0.13333333333333333,0.09090909090909091,insufficient_n,train,,,,2021-02,
calendar_month,0,,0.0,,0.0,,0.0,0.0,0.0,insufficient_n,train,,,,2021-03,
calendar_month,1,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,insufficient_n,train,,,,2021-04,
calendar_month,11,0.2727272727272727,0.17391304347826086,0.09881422924901184,0.17391304347826086,0.09881422924901184,0.2391304347826087,0.25,0.043478260869565216,insufficient_n,train,,,,2021-05,
calendar_month,11,0.09090909090909091,0.16666666666666666,-0.07575757575757575,0.16666666666666666,-0.07575757575757575,0.2619047619047619,0.2682926829268293,0.023809523809523808,insufficient_n,train,,,,2021-06,
calendar_month,5,0.8,0.4166666666666667,0.38333333333333336,0.4166666666666667,0.38333333333333336,0.20833333333333334,0.20833333333333334,0.0,insufficient_n,train,,,,2021-07,
calendar_month,17,0.17647058823529413,0.125,0.05147058823529413,0.125,0.05147058823529413,0.425,0.4358974358974359,0.025,insufficient_n,train,,,,2021-08,
calendar_month,6,0.0,0.021739130434782608,-0.021739130434782608,0.021739130434782608,-0.021739130434782608,0.13043478260869565,0.13043478260869565,0.0,insufficient_n,train,,,,2021-09,
calendar_month,4,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,insufficient_n,train,,,,2021-10,
calendar_month,22,0.045454545454545456,0.07017543859649122,-0.02472089314194577,0.07017543859649122,-0.02472089314194577,0.38596491228070173,0.43137254901960786,0.10526315789473684,insufficient_n,train,,,,2021-11,
calendar_month,42,0.023809523809523808,0.008928571428571428,0.01488095238095238,0.008928571428571428,0.01488095238095238,0.375,0.3853211009174312,0.026785714285714284,insufficient_n,train,,,,2021-12,
calendar_month,2,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.0,insufficient_n,validation,,,,2022-01,
calendar_month,2,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.25,insufficient_n,validation,,,,2022-06,
calendar_month,3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,insufficient_n,validation,,,,2022-07,
calendar_month,19,0.05263157894736842,0.016666666666666666,0.035964912280701755,0.016666666666666666,0.035964912280701755,0.31666666666666665,0.3220338983050847,0.016666666666666666,insufficient_n,validation,,,,2022-08,
calendar_month,8,0.0,0.022222222222222223,-0.022222222222222223,0.022222222222222223,-0.022222222222222223,0.17777777777777778,0.18604651162790697,0.044444444444444446,insufficient_n,validation,,,,2022-11,
calendar_month,9,0.1111111111111111,0.06521739130434782,0.04589371980676328,0.06521739130434782,0.04589371980676328,0.1956521739130435,0.2,0.021739130434782608,insufficient_n,validation,,,,2022-12,
calendar_month,76,0.14473684210526316,0.09905660377358491,0.04568023833167825,0.09905660377358491,0.04568023833167825,0.3584905660377358,0.36538461538461536,0.018867924528301886,insufficient_n,validation,,,,2023-01,
calendar_month,43,0.16279069767441862,0.125,0.037790697674418616,0.125,0.037790697674418616,0.35833333333333334,0.3644067796610169,0.016666666666666666,insufficient_n,validation,,,,2023-02,
calendar_month,15,0.26666666666666666,0.25316455696202533,0.01350210970464133,0.25316455696202533,0.01350210970464133,0.189873417721519,0.19230769230769232,0.012658227848101266,insufficient_n,validation,,,,2023-03,
calendar_month,2,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.0,insufficient_n,validation,,,,2023-04,
calendar_month,0,,0.0,,0.0,,0.0,0.0,0.0,insufficient_n,validation,,,,2023-07,
calendar_month,3,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,insufficient_n,validation,,,,2023-08,
calendar_month,9,0.1111111111111111,0.043478260869565216,0.06763285024154589,0.043478260869565216,0.06763285024154589,0.391304347826087,0.391304347826087,0.0,insufficient_n,validation,,,,2023-11,
stage1_anchor_selected_flag,279,0.12903225806451613,0.0932806324110672,0.03575162565344893,0.0932806324110672,0.03575162565344893,0.22055335968379447,0.22107765451664024,0.0023715415019762848,pass,robustness,,,,,True
stage1_anchor_selected_flag,434,0.1935483870967742,0.12199747155499367,0.07155091554178052,0.12199747155499367,0.07155091554178052,0.2743362831858407,0.29503738953093134,0.07016434892541087,pass,train,,,,,True
stage1_anchor_selected_flag,191,0.13089005235602094,0.08062418725617686,0.050265865099844084,0.08062418725617686,0.050265865099844084,0.2483745123537061,0.2523117569352708,0.015604681404421327,pass,validation,,,,,True
