denominator_type,split,candidate_id,candidate_family,stage2_budget_X,common_denominator_n,candidate_matched_selected_n,comparator_matched_selected_n,candidate_matched_rate,single_feature_matched_rate,delta_vs_single_feature,delta_vs_single_feature_ci95_low,delta_vs_single_feature_ci95_high,bootstrap_replicate_valid_n,comparator_feature_list
ground_truth_no_fast_fail_survivor,validation,complex_stage2_score,complex_stage2_score,0.7,1414,838,838,0.10978520286396182,0.11097852028639618,-0.0011933174224343646,-0.01476372988334144,0.011436995979046865,2000,realized_path_volatility_0_20d
ground_truth_no_fast_fail_survivor,robustness,complex_stage2_score,complex_stage2_score,0.7,3223,2107,2107,0.16326530612244897,0.16943521594684385,-0.006169909824394887,-0.015325657417036401,0.0029670357254109915,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,all,complex_stage2_score,complex_stage2_score,0.3,3490,904,904,0.16039823008849557,0.16261061946902655,-0.002212389380530977,-0.023890626426011773,0.019301193027437484,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,train,complex_stage2_score,complex_stage2_score,0.3,1471,434,434,0.1935483870967742,0.1912442396313364,0.002304147465437778,-0.029309062461462594,0.032006019298726776,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,validation,complex_stage2_score,complex_stage2_score,0.3,757,191,191,0.13089005235602094,0.1518324607329843,-0.020942408376963345,-0.06327262253713525,0.023611356102867062,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,robustness,complex_stage2_score,complex_stage2_score,0.3,1262,279,279,0.12903225806451613,0.12544802867383512,0.0035842293906810097,-0.03786247634750491,0.044071972658129746,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,all,complex_stage2_score,complex_stage2_score,0.5,3490,1612,1612,0.14392059553349876,0.14392059553349876,0.0,-0.011702586691597093,0.01180490767084097,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,train,complex_stage2_score,complex_stage2_score,0.5,1471,736,736,0.16847826086956522,0.1644021739130435,0.0040760869565217295,-0.013555697181758114,0.020434484571884067,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,validation,complex_stage2_score,complex_stage2_score,0.5,757,344,344,0.11627906976744186,0.11337209302325581,0.0029069767441860517,-0.022323906341015602,0.02686307469393071,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,robustness,complex_stage2_score,complex_stage2_score,0.5,1262,532,532,0.12781954887218044,0.13533834586466165,-0.007518796992481203,-0.029409045020919233,0.015139025699287623,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,all,complex_stage2_score,complex_stage2_score,0.7,3490,2298,2298,0.12315056570931245,0.1279373368146214,-0.004786771105308965,-0.011636751625243894,0.002131711809839199,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,train,complex_stage2_score,complex_stage2_score,0.7,1471,1004,1004,0.14641434262948208,0.14342629482071714,0.0029880478087649376,-0.0065457851605808665,0.011987843818362575,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,validation,complex_stage2_score,complex_stage2_score,0.7,757,499,499,0.09819639278557114,0.10220440881763528,-0.004008016032064132,-0.01927724364639469,0.01136544632082535,2000,realized_path_volatility_0_20d
stage1_anchor_chained_survivor,robustness,complex_stage2_score,complex_stage2_score,0.7,1262,795,795,0.10943396226415095,0.12452830188679245,-0.015094339622641506,-0.028800136474240286,-0.0025671887313623762,2000,realized_path_volatility_0_20d
