instrument,trigger_decision_date,source_sample_row_idx,exclusion_scope,reason,source_requirement_version,source_manifest_sha256,source_failure_evidence_sha256,registry_sha256,validation_status
SH600376,2020-05-15,168742,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600400,2018-11-27,48507,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600410,2020-05-20,170182,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600435,2019-09-02,107722,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600446,2020-07-08,182041,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600491,2018-12-26,53767,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600507,2019-12-13,132446,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600516,2022-11-11,387099,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600525,2018-08-01,29765,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600529,2021-12-02,302650,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600545,2019-10-11,116088,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600556,2021-11-24,300284,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600596,2022-07-07,354906,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600618,2018-03-15,8390,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600619,2018-10-16,41939,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600621,2021-01-29,229495,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600622,2018-03-21,9675,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600633,2019-03-12,72939,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600635,2019-11-15,124987,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600639,2020-07-06,181121,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600640,2020-06-24,178752,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600641,2022-08-11,364451,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600643,2019-12-30,137151,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600648,2020-05-28,172602,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600649,2019-12-10,131539,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600657,2022-04-01,333224,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600667,2020-12-17,218126,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600681,2019-03-05,70557,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600682,2020-08-06,189251,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600708,2019-05-31,87641,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600715,2018-11-28,49034,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600718,2020-03-27,156425,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600728,2020-05-28,172613,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600729,2019-04-02,76310,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
SH600740,2021-09-22,286029,all_folds_entire_instrument_history,missing_same_instrument_strict_next_approved_feature_key,21C_FULL_v2,e74111de047040f85767ba88972dcfe6b110066de6820649f798826dd8436c87,493dded2a7aaa239d71a340a1cbab33452b1cc895c0082670107b411b6a92dbe,3c3d903821ee56a49f1ea0d83327606b58f87826ae317d6f95e5a5d4236aef11,pass
