upstream_scope,artifact_id,source_file,required_fact,expected_value,observed_value,source_row_filter,derived_gate,contract_gate,hash_verified,validation_outcome_read,authorization_field,authorization_value,blocking_reason
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,B2_cell_decision_state,"""false_positive_burden_blocked""","""false_positive_burden_blocked""",,pass,pass,,False,,,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,model_training_authorized,false,false,,pass,pass,,False,model_training_authorized,False,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,entry_policy_authorized,false,false,,pass,pass,,False,entry_policy_authorized,False,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,exit_policy_authorized,false,false,,pass,pass,,False,exit_policy_authorized,False,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,holding_policy_authorized,false,false,,pass,pass,,False,holding_policy_authorized,False,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,portfolio_backtest_authorized,false,false,,pass,pass,,False,portfolio_backtest_authorized,False,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,model_deployment_authorized,false,false,,pass,pass,,False,model_deployment_authorized,False,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,production_signal_authorized,false,false,,pass,pass,,False,production_signal_authorized,False,
19B,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,live_trading_authorized,false,false,,pass,pass,,False,live_trading_authorized,False,
19B_boundary,robustness_outcome_boundary_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_outcome_boundary_audit.csv,outcome_boundary_gate,true,true,,pass,pass,,False,,,
19B_boundary,robustness_candidate_row_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_candidate_row_manifest.csv,robustness_candidate_manifest_frozen_before_label_readout,true,true,,pass,pass,,False,,,
19B_boundary,robustness_candidate_row_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_candidate_row_manifest.csv,label_read_before_manifest_freeze,false,false,,pass,pass,,False,,,
19B_hash,b2_right_left_tail_lift_balance_figure,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/figures/b2_right_left_tail_lift_balance.png,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,b2_right_left_tail_lift_balance_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/b2_right_left_tail_lift_balance_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,baseline_repair_sweep_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/baseline_repair_sweep_audit.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,baseline_repair_variant_registry,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/baseline_repair_variant_registry.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,capture_vs_burden_figure,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/figures/capture_vs_burden.png,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,capture_vs_burden_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/capture_vs_burden_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,ccdf_survival_curve_figure,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/figures/ccdf_survival_curve.png,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,ccdf_survival_curve_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/ccdf_survival_curve_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,cluster_bootstrap_ci,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/cluster_bootstrap_ci.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,entry_universe_19b_decision,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,false_positive_burden_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/false_positive_burden_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,handoff_contract,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/19B_handoff_contract.md,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,input_artifact_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/input_artifact_audit.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,mfe_mae_joint_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/mfe_mae_joint_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,mfe_mae_joint_scatter_figure,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/figures/mfe_mae_joint_scatter.png,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,report,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/19B_robust_right_tail_enrichment_and_false_positive_burden_readout_report.md,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,robustness_baseline_quality_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_baseline_quality_audit.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,robustness_baseline_row_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_baseline_row_manifest.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,robustness_candidate_row_manifest,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_candidate_row_manifest.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,robustness_metric_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_metric_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,robustness_outcome_boundary_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_outcome_boundary_audit.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,robustness_positive_exposure_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_positive_exposure_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,robustness_residual_alpha_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_residual_alpha_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,search_accounting_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/search_accounting_audit.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,tail_lift_curve_figure,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/figures/tail_lift_curve.png,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,tail_lift_curve_readout,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/tail_lift_curve_readout.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,topk_concentration_sensitivity,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/topk_concentration_sensitivity.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,upstream_19a_contract_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/upstream_19a_contract_audit.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
19B_hash,upstream_19b0_contract_audit,experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/upstream_19b0_contract_audit.csv,observed_hash_matches_19b_output_hashes,true,true,,pass,pass,True,False,,,
