split,seed_episode_id,instrument_id,step_signal_date,step_offset,added_family_set,added_family_count,step_status,included_in_primary_fresh_count
robustness,978f9d3080b40f1e,SH600000,2025-05-06,2,oscillator|pullback_drawdown|volatility_band|volume_money,4,outside_primary_fresh_window,False
robustness,978f9d3080b40f1e,SH600000,2025-05-07,3,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,same_offset_multi_family_step,True
robustness,936ecc763851b285,SH600000,2025-06-20,3,momentum_rps|pullback_drawdown|range_breakout|volatility_band,4,same_offset_multi_family_step,True
robustness,4814440cd5407179,SH600000,2025-08-06,1,oscillator|pullback_drawdown,2,outside_primary_fresh_window,False
robustness,e9cd3e5fa477021a,SH600000,2025-10-15,1,oscillator|pullback_drawdown,2,outside_primary_fresh_window,False
robustness,e9cd3e5fa477021a,SH600000,2025-10-16,2,oscillator|pullback_drawdown,2,outside_primary_fresh_window,False
robustness,adf33d552c8425fa,SH600000,2025-12-29,11,oscillator|volatility_band,2,same_offset_multi_family_step,True
robustness,adf33d552c8425fa,SH600000,2025-12-30,12,price_trend|pullback_drawdown,2,same_offset_multi_family_step,True
train,8272e74216a3c897,SH600009,2017-10-12,1,oscillator|price_trend|pullback_drawdown,3,outside_primary_fresh_window,False
train,8272e74216a3c897,SH600009,2017-10-13,2,momentum_rps|oscillator|pullback_drawdown,3,outside_primary_fresh_window,False
train,8272e74216a3c897,SH600009,2017-10-30,13,momentum_rps|price_trend|volatility_band|volume_money,4,same_offset_multi_family_step,True
train,d6e377c25b9da825,SH600009,2018-01-15,22,price_trend|volume_money,2,same_offset_multi_family_step,True
train,d6e377c25b9da825,SH600009,2018-01-16,23,pullback_drawdown|volatility_band,2,same_offset_multi_family_step,True
train,0310927daba0b535,SH600009,2018-02-01,4,range_breakout|volatility_band,2,same_offset_multi_family_step,True
train,0310927daba0b535,SH600009,2018-02-02,5,oscillator|price_trend,2,same_offset_multi_family_step,True
train,1b594ddc6b0abf31,SH600009,2018-04-27,24,momentum_rps|oscillator|price_trend|range_breakout|volatility_band,5,after_observable_failure,False
train,1b594ddc6b0abf31,SH600009,2018-05-02,25,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,after_observable_failure,False
train,1b594ddc6b0abf31,SH600009,2018-05-03,26,momentum_rps|price_trend|pullback_drawdown|range_breakout,4,after_observable_failure,False
train,1b594ddc6b0abf31,SH600009,2018-05-04,27,momentum_rps|pullback_drawdown|range_breakout,3,after_observable_failure,False
train,1b594ddc6b0abf31,SH600009,2018-05-07,28,momentum_rps|pullback_drawdown|range_breakout,3,after_observable_failure,False
train,8badb7a5f1732841,SH600009,2018-09-21,2,oscillator|price_trend|pullback_drawdown,3,outside_primary_fresh_window,False
train,8badb7a5f1732841,SH600009,2018-09-26,4,momentum_rps|oscillator|price_trend|volatility_band,4,same_offset_multi_family_step,True
train,2da8a3d813785129,SH600009,2018-12-04,1,momentum_rps|pullback_drawdown,2,outside_primary_fresh_window,False
train,1e4527f45a8476ad,SH600009,2019-02-13,13,oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-02-14,14,oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-02-18,16,pullback_drawdown|range_breakout,2,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-02-19,17,momentum_rps|pullback_drawdown|range_breakout|volatility_band,4,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-02-20,18,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-02-21,19,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-02-22,20,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-02-25,21,price_trend|pullback_drawdown|range_breakout|volatility_band,4,after_observable_failure,False
train,1e4527f45a8476ad,SH600009,2019-03-01,25,pullback_drawdown|range_breakout,2,after_observable_failure,False
train,c2c40143ce63183c,SH600009,2019-03-29,8,price_trend|pullback_drawdown|volatility_band,3,same_offset_multi_family_step,True
train,d4af9a2f1b202230,SH600009,2019-05-16,7,momentum_rps|oscillator|volatility_band,3,after_observable_failure,False
train,d4af9a2f1b202230,SH600009,2019-06-10,23,momentum_rps|oscillator|volume_money,3,after_observable_failure,False
train,d4af9a2f1b202230,SH600009,2019-06-11,24,momentum_rps|oscillator|volatility_band,3,after_observable_failure,False
train,81108a822253e534,SH600009,2019-08-16,1,momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money,5,outside_primary_fresh_window,False
train,81108a822253e534,SH600009,2019-08-19,2,oscillator|pullback_drawdown,2,outside_primary_fresh_window,False
train,217d54a0c631e60f,SH600009,2019-11-05,1,momentum_rps|oscillator,2,outside_primary_fresh_window,False
train,217d54a0c631e60f,SH600009,2019-12-06,24,oscillator|volume_money,2,after_observable_failure,False
train,931b69252aef59cd,SH600009,2020-03-05,16,price_trend|volatility_band,2,after_observable_failure,False
train,5da29858541b4eba,SH600009,2020-04-17,6,oscillator|volume_money,2,same_offset_multi_family_step,True
train,5da29858541b4eba,SH600009,2020-04-23,10,price_trend|pullback_drawdown,2,same_offset_multi_family_step,True
train,cc87dd93ca169334,SH600009,2020-06-01,1,pullback_drawdown|volatility_band,2,outside_primary_fresh_window,False
train,9245f947dc348e45,SH600009,2020-08-12,1,momentum_rps|oscillator|price_trend|pullback_drawdown,4,outside_primary_fresh_window,False
train,9245f947dc348e45,SH600009,2020-08-13,2,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,outside_primary_fresh_window,False
train,9245f947dc348e45,SH600009,2020-08-14,3,momentum_rps|price_trend|pullback_drawdown|volatility_band,4,same_offset_multi_family_step,True
train,d4bbe569eafa7847,SH600009,2020-11-10,19,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|volume_money,6,after_observable_failure,False
train,d4bbe569eafa7847,SH600009,2020-11-11,20,momentum_rps|price_trend|pullback_drawdown,3,after_observable_failure,False
train,d4bbe569eafa7847,SH600009,2020-11-12,21,momentum_rps|price_trend|pullback_drawdown,3,after_observable_failure,False
train,d4bbe569eafa7847,SH600009,2020-11-13,22,momentum_rps|pullback_drawdown,2,after_observable_failure,False
train,d4bbe569eafa7847,SH600009,2020-11-16,23,momentum_rps|price_trend|pullback_drawdown|volatility_band,4,after_observable_failure,False
train,d4bbe569eafa7847,SH600009,2020-11-17,24,momentum_rps|pullback_drawdown|volatility_band,3,after_observable_failure,False
train,d4bbe569eafa7847,SH600009,2020-11-18,25,momentum_rps|price_trend|pullback_drawdown|volatility_band,4,after_observable_failure,False
train,d4bbe569eafa7847,SH600009,2020-11-19,26,momentum_rps|pullback_drawdown,2,after_observable_failure,False
train,28b12bd2fa3fbdec,SH600009,2021-01-04,26,oscillator|price_trend|pullback_drawdown|volatility_band,4,after_observable_failure,False
train,26d91f700a9bdcc4,SH600009,2021-01-27,10,momentum_rps|price_trend,2,after_observable_failure,False
train,26d91f700a9bdcc4,SH600009,2021-01-28,11,momentum_rps|oscillator|price_trend|pullback_drawdown,4,after_observable_failure,False
train,26d91f700a9bdcc4,SH600009,2021-01-29,12,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,after_observable_failure,False
train,c2b97441f4b8412a,SH600009,2021-05-25,5,range_breakout|volume_money,2,same_offset_multi_family_step,True
train,c2b97441f4b8412a,SH600009,2021-06-03,12,momentum_rps|oscillator|pullback_drawdown,3,same_offset_multi_family_step,True
train,32485b6ecd3adc97,SH600009,2021-10-08,1,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|volume_money,6,outside_primary_fresh_window,False
train,32485b6ecd3adc97,SH600009,2021-10-11,2,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|volume_money,6,outside_primary_fresh_window,False
train,32485b6ecd3adc97,SH600009,2021-10-12,3,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,same_offset_multi_family_step,True
train,533a6589ee059778,SH600009,2021-12-27,16,momentum_rps|price_trend|range_breakout|volume_money,4,after_observable_failure,False
train,533a6589ee059778,SH600009,2021-12-29,18,momentum_rps|range_breakout|volume_money,3,after_observable_failure,False
train,533a6589ee059778,SH600009,2021-12-30,19,momentum_rps|range_breakout|volatility_band,3,after_observable_failure,False
train,533a6589ee059778,SH600009,2022-01-04,21,momentum_rps|price_trend|range_breakout|volatility_band,4,after_observable_failure,False
train,533a6589ee059778,SH600009,2022-01-05,22,momentum_rps|oscillator|range_breakout|volatility_band|volume_money,5,after_observable_failure,False
train,533a6589ee059778,SH600009,2022-01-06,23,momentum_rps|range_breakout,2,after_observable_failure,False
train,533a6589ee059778,SH600009,2022-01-07,24,momentum_rps|range_breakout|volatility_band,3,after_observable_failure,False
train,533a6589ee059778,SH600009,2022-01-10,25,momentum_rps|range_breakout,2,after_observable_failure,False
validation,920f8bb4e0a00cdb,SH600009,2022-01-21,1,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,outside_primary_fresh_window,False
validation,920f8bb4e0a00cdb,SH600009,2022-01-24,2,momentum_rps|pullback_drawdown,2,outside_primary_fresh_window,False
validation,920f8bb4e0a00cdb,SH600009,2022-01-25,3,momentum_rps|pullback_drawdown,2,same_offset_multi_family_step,True
validation,920f8bb4e0a00cdb,SH600009,2022-02-08,8,price_trend|volatility_band,2,after_observable_failure,False
validation,920f8bb4e0a00cdb,SH600009,2022-02-09,9,oscillator|price_trend|volatility_band,3,after_observable_failure,False
validation,920f8bb4e0a00cdb,SH600009,2022-02-10,10,oscillator|price_trend|volatility_band,3,after_observable_failure,False
validation,920f8bb4e0a00cdb,SH600009,2022-03-03,25,price_trend|volatility_band,2,after_observable_failure,False
validation,d6f4f9c45b12370c,SH600009,2022-08-01,6,momentum_rps|price_trend|pullback_drawdown|volatility_band,4,same_offset_multi_family_step,True
validation,71992c91e234b5b1,SH600009,2022-09-27,12,oscillator|pullback_drawdown,2,same_offset_multi_family_step,True
validation,27dc4702d240f1f1,SH600009,2022-11-02,1,oscillator|price_trend|volatility_band,3,outside_primary_fresh_window,False
validation,27dc4702d240f1f1,SH600009,2022-12-08,27,momentum_rps|volatility_band,2,after_observable_failure,False
validation,9430c7d3e36f6243,SH600009,2023-01-16,22,oscillator|price_trend|volatility_band|volume_money,4,after_observable_failure,False
validation,99fd119a15393754,SH600009,2023-04-04,3,oscillator|pullback_drawdown|volatility_band,3,same_offset_multi_family_step,True
validation,1fa20a4429e12173,SH600009,2023-07-28,29,price_trend|volatility_band|volume_money,3,after_observable_failure,False
validation,1fa20a4429e12173,SH600009,2023-07-31,30,price_trend|pullback_drawdown|volatility_band|volume_money,4,after_observable_failure,False
validation,0fb0121df808ab7c,SH600009,2023-08-10,7,range_breakout|volume_money,2,same_offset_multi_family_step,True
validation,e971febdc5aac464,SH600009,2023-10-30,1,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,6,outside_primary_fresh_window,False
validation,59681ff85b3245cf,SH600009,2024-01-16,12,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,after_observable_failure,False
validation,59681ff85b3245cf,SH600009,2024-01-18,14,momentum_rps|pullback_drawdown|range_breakout,3,after_observable_failure,False
validation,59681ff85b3245cf,SH600009,2024-01-19,15,momentum_rps|pullback_drawdown|range_breakout,3,after_observable_failure,False
validation,59681ff85b3245cf,SH600009,2024-01-25,19,oscillator|range_breakout|volatility_band,3,after_observable_failure,False
validation,59681ff85b3245cf,SH600009,2024-01-26,20,oscillator|range_breakout,2,after_observable_failure,False
validation,59681ff85b3245cf,SH600009,2024-01-29,21,oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
validation,59681ff85b3245cf,SH600009,2024-02-08,29,price_trend|range_breakout|volatility_band,3,after_observable_failure,False
robustness,43ddfe35a1ee4622,SH600009,2024-03-14,17,momentum_rps|price_trend,2,same_offset_multi_family_step,True
robustness,66b4180a1c4885a4,SH600009,2024-04-26,7,oscillator|volume_money,2,same_offset_multi_family_step,True
robustness,aea6fc563871e7cd,SH600009,2024-07-09,4,range_breakout|volume_money,2,same_offset_multi_family_step,True
robustness,aea6fc563871e7cd,SH600009,2024-07-11,6,oscillator|price_trend|pullback_drawdown,3,same_offset_multi_family_step,True
robustness,2b14832396db56d8,SH600009,2024-09-25,1,oscillator|pullback_drawdown|range_breakout|volume_money,4,outside_primary_fresh_window,False
robustness,2b14832396db56d8,SH600009,2024-09-26,2,oscillator|pullback_drawdown|range_breakout,3,outside_primary_fresh_window,False
robustness,2b14832396db56d8,SH600009,2024-09-27,3,oscillator|pullback_drawdown|range_breakout|volume_money,4,same_offset_multi_family_step,True
robustness,d639417afdd14ae9,SH600009,2025-07-18,4,oscillator|volatility_band,2,same_offset_multi_family_step,True
robustness,aede8d8fb0da38bc,SH600009,2025-10-31,1,oscillator|volatility_band|volume_money,3,outside_primary_fresh_window,False
robustness,aede8d8fb0da38bc,SH600009,2025-11-10,7,oscillator|volatility_band|volume_money,3,same_offset_multi_family_step,True
robustness,aede8d8fb0da38bc,SH600009,2025-11-12,9,momentum_rps|pullback_drawdown,2,same_offset_multi_family_step,True
robustness,912140a3d33ccd90,SH600009,2025-12-19,1,momentum_rps|price_trend,2,outside_primary_fresh_window,False
robustness,912140a3d33ccd90,SH600009,2025-12-22,2,momentum_rps|price_trend,2,outside_primary_fresh_window,False
train,9639dd47f5f03ad2,SH600010,2018-07-24,2,oscillator|price_trend|pullback_drawdown|volatility_band,4,outside_primary_fresh_window,False
train,9639dd47f5f03ad2,SH600010,2018-07-25,3,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,same_offset_multi_family_step,True
train,4156277118cb4458,SH600010,2018-09-26,3,oscillator|volume_money,2,same_offset_multi_family_step,True
train,4156277118cb4458,SH600010,2018-09-28,5,momentum_rps|price_trend|pullback_drawdown|volatility_band,4,same_offset_multi_family_step,True
train,9431719bd014e405,SH600010,2018-11-14,1,momentum_rps|price_trend|pullback_drawdown,3,outside_primary_fresh_window,False
train,9431719bd014e405,SH600010,2018-11-15,2,momentum_rps|pullback_drawdown,2,outside_primary_fresh_window,False
train,42c1afa5b0392bd5,SH600010,2019-02-13,18,price_trend|pullback_drawdown|volatility_band,3,same_offset_multi_family_step,True
train,d16f3a07f843ba2b,SH600010,2019-03-06,2,price_trend|volume_money,2,outside_primary_fresh_window,False
train,d16f3a07f843ba2b,SH600010,2019-03-07,3,oscillator|price_trend,2,same_offset_multi_family_step,True
train,10a689f5cab0a39d,SH600010,2019-11-25,30,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,after_observable_failure,False
train,cf4078c7ce215d34,SH600010,2019-12-17,1,oscillator|volume_money,2,outside_primary_fresh_window,False
train,f214113eff2c21b2,SH600010,2020-06-18,16,momentum_rps|price_trend|pullback_drawdown,3,same_offset_multi_family_step,True
train,17fcc67ac8ee6cff,SH600010,2020-08-05,17,range_breakout|volume_money,2,after_observable_failure,False
train,ed4ad028617dfdd7,SH600010,2020-09-09,1,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,outside_primary_fresh_window,False
train,88da545bdb6a3411,SH600010,2020-11-24,13,momentum_rps|price_trend|pullback_drawdown,3,same_offset_multi_family_step,True
train,0ffd5a9a1e2186d2,SH600010,2021-01-20,22,momentum_rps|price_trend|volatility_band,3,same_offset_multi_family_step,True
train,17b6016aa4c84ff4,SH600010,2021-02-18,6,pullback_drawdown|range_breakout|volatility_band,3,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-02-19,7,range_breakout|volatility_band,2,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-02-22,8,momentum_rps|oscillator|price_trend|range_breakout|volatility_band,5,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-02-23,9,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-02-24,10,momentum_rps|price_trend|pullback_drawdown,3,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-02-25,11,momentum_rps|price_trend|pullback_drawdown|range_breakout,4,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-02-26,12,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-03-01,13,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-03-02,14,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-03-03,15,momentum_rps|price_trend|pullback_drawdown|range_breakout|volatility_band,5,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-03-04,16,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,after_observable_failure,False
train,17b6016aa4c84ff4,SH600010,2021-03-05,17,momentum_rps|price_trend|pullback_drawdown,3,after_observable_failure,False
train,62fdf3c7b0937673,SH600010,2021-05-07,19,price_trend|volatility_band,2,after_observable_failure,False
train,62fdf3c7b0937673,SH600010,2021-05-10,20,oscillator|price_trend|volatility_band,3,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-07,23,momentum_rps|oscillator|price_trend|volatility_band,4,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-08,24,momentum_rps|oscillator|price_trend|pullback_drawdown,4,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-09,25,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-12,26,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-13,27,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-14,28,momentum_rps|price_trend|pullback_drawdown,3,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-15,29,momentum_rps|price_trend|pullback_drawdown|volatility_band,4,after_observable_failure,False
train,2f9bf366097a4b28,SH600010,2021-07-16,30,momentum_rps|pullback_drawdown,2,after_observable_failure,False
train,9770b938e52470d2,SH600010,2021-07-21,2,price_trend|pullback_drawdown|range_breakout|volatility_band,4,outside_primary_fresh_window,False
train,9770b938e52470d2,SH600010,2021-07-22,3,oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,5,same_offset_multi_family_step,True
train,19fd6224bdfdc247,SH600010,2021-11-24,1,pullback_drawdown|volatility_band,2,outside_primary_fresh_window,False
train,19fd6224bdfdc247,SH600010,2021-11-26,3,pullback_drawdown|volatility_band,2,same_offset_multi_family_step,True
validation,6535fbc021949521,SH600010,2022-02-09,16,momentum_rps|price_trend,2,after_observable_failure,False
validation,6535fbc021949521,SH600010,2022-02-10,17,momentum_rps|pullback_drawdown,2,after_observable_failure,False
validation,6535fbc021949521,SH600010,2022-02-25,28,price_trend|pullback_drawdown|volume_money,3,after_observable_failure,False
validation,6535fbc021949521,SH600010,2022-02-28,29,price_trend|pullback_drawdown,2,after_observable_failure,False
validation,701178c5be28d7e5,SH600010,2022-04-06,22,range_breakout|volume_money,2,after_observable_failure,False
validation,1765cb57015aa2fb,SH600010,2022-11-07,15,price_trend|volatility_band|volume_money,3,after_observable_failure,False
validation,1765cb57015aa2fb,SH600010,2022-11-08,16,pullback_drawdown|volatility_band,2,after_observable_failure,False
validation,1765cb57015aa2fb,SH600010,2022-11-10,18,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|volume_money,6,after_observable_failure,False
validation,1765cb57015aa2fb,SH600010,2022-11-11,19,momentum_rps|price_trend|pullback_drawdown,3,after_observable_failure,False
validation,01c8cf67f9b05e14,SH600010,2022-12-05,4,oscillator|price_trend|pullback_drawdown|volume_money,4,same_offset_multi_family_step,True
validation,33687c5c45e7f8ea,SH600010,2023-01-30,1,momentum_rps|pullback_drawdown|volatility_band,3,outside_primary_fresh_window,False
validation,33687c5c45e7f8ea,SH600010,2023-01-31,2,momentum_rps|pullback_drawdown,2,outside_primary_fresh_window,False
validation,33687c5c45e7f8ea,SH600010,2023-02-01,3,momentum_rps|pullback_drawdown|volatility_band,3,same_offset_multi_family_step,True
validation,539385f87e7bd984,SH600010,2023-07-05,21,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,5,same_offset_multi_family_step,True
validation,f57130f6a76baae9,SH600010,2023-12-29,1,oscillator|range_breakout,2,outside_primary_fresh_window,False
validation,f57130f6a76baae9,SH600010,2024-01-25,19,oscillator|price_trend|volume_money,3,after_observable_failure,False
validation,f57130f6a76baae9,SH600010,2024-01-26,20,oscillator|pullback_drawdown,2,after_observable_failure,False
validation,f57130f6a76baae9,SH600010,2024-02-07,28,momentum_rps|oscillator|price_trend|volume_money,4,after_observable_failure,False
validation,f57130f6a76baae9,SH600010,2024-02-08,29,momentum_rps|price_trend|pullback_drawdown,3,after_observable_failure,False
robustness,07f51febf33a6168,SH600010,2024-03-19,20,momentum_rps|price_trend|volatility_band,3,same_offset_multi_family_step,True
robustness,962947ca237af408,SH600010,2024-04-09,2,price_trend|pullback_drawdown,2,outside_primary_fresh_window,False
robustness,80def576af987518,SH600010,2024-09-24,19,volatility_band|volume_money,2,same_offset_multi_family_step,True
robustness,80def576af987518,SH600010,2024-09-25,20,oscillator|price_trend|pullback_drawdown,3,same_offset_multi_family_step,True
robustness,6f04b87e1464613e,SH600010,2024-10-28,1,momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money,5,outside_primary_fresh_window,False
robustness,6f04b87e1464613e,SH600010,2024-11-01,5,momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money,5,same_offset_multi_family_step,True
robustness,27cd2ff04eb9b674,SH600010,2024-12-10,1,momentum_rps|price_trend|pullback_drawdown|range_breakout|volume_money,5,outside_primary_fresh_window,False
robustness,27cd2ff04eb9b674,SH600010,2024-12-11,2,momentum_rps|pullback_drawdown|range_breakout,3,outside_primary_fresh_window,False
robustness,df9768a66ea29964,SH600010,2025-02-07,1,oscillator|pullback_drawdown,2,outside_primary_fresh_window,False
robustness,4190119992446920,SH600010,2025-06-11,2,oscillator|volatility_band,2,outside_primary_fresh_window,False
robustness,4190119992446920,SH600010,2025-06-12,3,momentum_rps|oscillator|pullback_drawdown|volatility_band,4,same_offset_multi_family_step,True
robustness,f74431f6563b52dd,SH600010,2025-07-23,1,range_breakout|volatility_band|volume_money,3,outside_primary_fresh_window,False
