episode_split,duration_bucket,union_family,window,target_episode_count,raw_union_recall,canonical_union_recall,density_kept_union_recall,density_loss_recall,raw_captured_count,canonical_captured_count,density_kept_captured_count,density_loss_capture_count
train,fast,setup_inclusive,low_to_plus_20d,18,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.2777777777777778,10,10,5,5
train,fast,setup_inclusive,low_to_plus_30d,18,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.22222222222222227,10,10,6,4
train,fast,setup_inclusive,low_to_plus_60d,18,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.22222222222222227,10,10,6,4
train,fast,setup_inclusive,low_to_plus_120d,18,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,15,15,15,0
train,fast,setup_inclusive,before_first_50pct,18,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.22222222222222227,10,10,6,4
train,fast,setup_inclusive,before_episode_high,18,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.22222222222222227,10,10,6,4
train,fast,reclaim_based,pre_low_20d,18,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,1,1,1,0
train,fast,reclaim_based,low_to_plus_10d,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,6,6,6,0
train,fast,reclaim_based,low_to_plus_20d,18,0.3888888888888889,0.3888888888888889,0.3888888888888889,0.0,7,7,7,0
train,fast,reclaim_based,low_to_plus_30d,18,0.5,0.5,0.5,0.0,9,9,9,0
train,fast,reclaim_based,low_to_plus_60d,18,0.5,0.5,0.5,0.0,9,9,9,0
train,fast,reclaim_based,low_to_plus_120d,18,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.0,13,13,13,0
train,fast,reclaim_based,before_first_50pct,18,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.0,8,8,8,0
train,fast,reclaim_based,before_episode_high,18,0.5,0.5,0.5,0.0,9,9,9,0
train,long,setup_inclusive,pre_low_20d,187,0.5508021390374331,0.5508021390374331,0.5454545454545454,0.005347593582887722,103,103,102,1
train,long,setup_inclusive,low_to_plus_10d,187,0.5561497326203209,0.5561497326203209,0.13903743315508021,0.41711229946524064,104,104,26,78
train,long,setup_inclusive,low_to_plus_20d,187,0.5561497326203209,0.5561497326203209,0.24064171122994651,0.31550802139037437,104,104,45,59
train,long,setup_inclusive,low_to_plus_30d,187,0.6042780748663101,0.6042780748663101,0.39572192513368987,0.20855614973262027,113,113,74,39
train,long,setup_inclusive,low_to_plus_60d,187,0.6737967914438503,0.6737967914438503,0.5347593582887701,0.13903743315508021,126,126,100,26
train,long,setup_inclusive,low_to_plus_120d,187,0.7486631016042781,0.7486631016042781,0.6363636363636364,0.11229946524064172,140,140,119,21
train,long,setup_inclusive,before_first_50pct,187,0.7165775401069518,0.7165775401069518,0.5989304812834224,0.11764705882352944,134,134,112,22
train,long,setup_inclusive,before_episode_high,187,0.7165775401069518,0.7165775401069518,0.5989304812834224,0.11764705882352944,134,134,112,22
train,long,reclaim_based,pre_low_20d,187,0.058823529411764705,0.058823529411764705,0.0481283422459893,0.010695187165775402,11,11,9,2
train,long,reclaim_based,low_to_plus_10d,187,0.1711229946524064,0.1711229946524064,0.16042780748663102,0.010695187165775388,32,32,30,2
train,long,reclaim_based,low_to_plus_20d,187,0.35294117647058826,0.35294117647058826,0.3422459893048128,0.010695187165775444,66,66,64,2
train,long,reclaim_based,low_to_plus_30d,187,0.44919786096256686,0.44919786096256686,0.4385026737967914,0.010695187165775444,84,84,82,2
train,long,reclaim_based,low_to_plus_60d,187,0.5935828877005348,0.5935828877005348,0.5828877005347594,0.010695187165775444,111,111,109,2
train,long,reclaim_based,low_to_plus_120d,187,0.7165775401069518,0.7165775401069518,0.7112299465240641,0.005347593582887722,134,134,133,1
train,long,reclaim_based,before_first_50pct,187,0.7165775401069518,0.7165775401069518,0.7112299465240641,0.005347593582887722,134,134,133,1
train,long,reclaim_based,before_episode_high,187,0.7165775401069518,0.7165775401069518,0.7112299465240641,0.005347593582887722,134,134,133,1
train,medium,setup_inclusive,pre_low_20d,80,0.5625,0.5625,0.5625,0.0,45,45,45,0
train,medium,setup_inclusive,low_to_plus_10d,80,0.5625,0.5625,0.1,0.4625,45,45,8,37
train,medium,setup_inclusive,low_to_plus_20d,80,0.5625,0.5625,0.175,0.3875,45,45,14,31
train,medium,setup_inclusive,low_to_plus_30d,80,0.6,0.6,0.425,0.175,48,48,34,14
train,medium,setup_inclusive,low_to_plus_60d,80,0.6,0.6,0.45,0.14999999999999997,48,48,36,12
train,medium,setup_inclusive,low_to_plus_120d,80,0.8625,0.8625,0.8375,0.025000000000000022,69,69,67,2
train,medium,setup_inclusive,before_first_50pct,80,0.6,0.6,0.45,0.14999999999999997,48,48,36,12
train,medium,setup_inclusive,before_episode_high,80,0.6,0.6,0.45,0.14999999999999997,48,48,36,12
train,medium,reclaim_based,pre_low_20d,80,0.0125,0.0125,0.0125,0.0,1,1,1,0
train,medium,reclaim_based,low_to_plus_10d,80,0.0875,0.0875,0.0875,0.0,7,7,7,0
train,medium,reclaim_based,low_to_plus_20d,80,0.2875,0.2875,0.2875,0.0,23,23,23,0
train,medium,reclaim_based,low_to_plus_30d,80,0.5375,0.5375,0.5375,0.0,43,43,43,0
train,medium,reclaim_based,low_to_plus_60d,80,0.6,0.6,0.6,0.0,48,48,48,0
train,medium,reclaim_based,low_to_plus_120d,80,0.675,0.675,0.675,0.0,54,54,54,0
train,medium,reclaim_based,before_first_50pct,80,0.6,0.6,0.6,0.0,48,48,48,0
train,medium,reclaim_based,before_episode_high,80,0.6,0.6,0.6,0.0,48,48,48,0
validation,fast,setup_inclusive,pre_low_20d,24,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,17,17,17,0
validation,fast,setup_inclusive,low_to_plus_10d,24,0.7083333333333334,0.7083333333333334,0.08333333333333333,0.625,17,17,2,15
validation,fast,setup_inclusive,low_to_plus_20d,24,0.7083333333333334,0.7083333333333334,0.16666666666666666,0.5416666666666667,17,17,4,13
validation,fast,setup_inclusive,low_to_plus_30d,24,0.7083333333333334,0.7083333333333334,0.4166666666666667,0.2916666666666667,17,17,10,7
validation,fast,setup_inclusive,low_to_plus_60d,24,0.75,0.75,0.4583333333333333,0.2916666666666667,18,18,11,7
validation,fast,setup_inclusive,low_to_plus_120d,24,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,23,23,23,0
validation,fast,setup_inclusive,before_first_50pct,24,0.7083333333333334,0.7083333333333334,0.375,0.33333333333333337,17,17,9,8
