event_family,union_family,canonical_event_scope,event_split,label_horizon,event_count,label_complete_20d_count,outcome_complete_120d_count,big_winner_120d_positive_count,near_winner_120d_count,negative_count,positive_rate,events_per_instrument_year_mean,events_per_instrument_year_p95,cluster_positive_count,feature_missing_rate_mean,feature_missing_rate_p95,status,event_concurrency_mean,event_concurrency_p95,average_uniqueness_mean,average_uniqueness_p25
E2_reclaim_quality_burst,raw_family,raw_family,robustness,20,1268,1264,974,180,168,794,0.18480492813141683,1.560407201749958,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,9.575757575757576,40.0,0.10686366738587154,0.026432594447902705
E2_reclaim_quality_burst,raw_family,raw_family,robustness,120,1268,1264,974,180,168,794,0.18480492813141683,1.560407201749958,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,59.522222222222226,229.0,0.016800448011946988,0.004558081368808876
E2_reclaim_quality_burst,raw_family,raw_family,train,20,944,944,944,115,128,829,0.12182203389830508,1.78842515932755,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,14.107033639143731,29.0,0.07303575706126153,0.04564972283572452
E2_reclaim_quality_burst,raw_family,raw_family,train,120,944,944,944,115,128,829,0.12182203389830508,1.78842515932755,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,105.66512488436632,156.0,0.009463860484661716,0.007484109868395085
E2_reclaim_quality_burst,raw_family,raw_family,validation,20,925,925,925,61,105,864,0.06594594594594595,1.828911803765331,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,9.64824120603015,36.0,0.10641393656697973,0.030345345208790588
E2_reclaim_quality_burst,raw_family,raw_family,validation,120,925,925,925,61,105,864,0.06594594594594595,1.828911803765331,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,72.39650711513583,213.0,0.013812821085548358,0.005098151743206826
E3_early_no_false_repair,raw_family,raw_family,robustness,20,2414,2408,1881,304,285,1577,0.16161616161616163,2.9821481582869485,6.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,19.441711229946524,78.0,0.05507238402828218,0.013201620166869547
E3_early_no_false_repair,raw_family,raw_family,robustness,120,2414,2408,1881,304,285,1577,0.16161616161616163,2.9821481582869485,6.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,115.06622851365015,438.14999999999986,0.008690647229142227,0.0023639055131842632
E3_early_no_false_repair,raw_family,raw_family,train,20,1744,1744,1744,221,246,1523,0.12672018348623854,3.386968633338743,6.80749999999999,1,0.0,0.0,ready_for_downstream_model_diagnostic,26.554303278688526,52.0,0.038930130443962,0.024203171570469098
E3_early_no_false_repair,raw_family,raw_family,train,120,1744,1744,1744,221,246,1523,0.12672018348623854,3.386968633338743,6.80749999999999,1,0.0,0.0,ready_for_downstream_model_diagnostic,196.1189591078067,278.0,0.005098946091439837,0.004234823220952745
E3_early_no_false_repair,raw_family,raw_family,validation,20,1712,1712,1712,96,193,1616,0.056074766355140186,3.4504170528266913,6.569999999999995,1,0.0,0.0,ready_for_downstream_model_diagnostic,17.622347949080623,70.0,0.06007748580723017,0.015706463391825982
E3_early_no_false_repair,raw_family,raw_family,validation,120,1712,1712,1712,96,193,1616,0.056074766355140186,3.4504170528266913,6.569999999999995,1,0.0,0.0,ready_for_downstream_model_diagnostic,134.68920676202862,399.0,0.007424499884143045,0.002659494530701315
E4_early_relative_strength_turn,raw_family,raw_family,robustness,20,1107,1103,839,155,144,684,0.18474374255065554,1.4441979703788006,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,8.69434832756632,33.0,0.12081515796269796,0.03324547317323418
E4_early_relative_strength_turn,raw_family,raw_family,robustness,120,1107,1103,839,155,144,684,0.18474374255065554,1.4441979703788006,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,51.272222222222226,197.0,0.019503738216491495,0.005362122637007299
E4_early_relative_strength_turn,raw_family,raw_family,train,20,809,809,809,107,110,702,0.13226205191594562,1.617152957701738,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,11.747433264887064,24.0,0.0876462297685973,0.053147114108801415
E4_early_relative_strength_turn,raw_family,raw_family,train,120,809,809,809,107,110,702,0.13226205191594562,1.617152957701738,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,90.63796296296296,151.0,0.01103290461645333,0.007553496397674737
E4_early_relative_strength_turn,raw_family,raw_family,validation,20,862,862,862,56,98,806,0.06496519721577726,1.7365476868038052,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,9.148888888888889,33.0,0.11276606016013514,0.0334649987541222
E4_early_relative_strength_turn,raw_family,raw_family,validation,120,862,862,862,56,98,806,0.06496519721577726,1.7365476868038052,3.0,1,0.0,0.0,ready_for_downstream_model_diagnostic,67.46571798188874,203.0,0.014822342812218368,0.005522326416418946
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,20,667,665,509,94,82,415,0.18467583497053044,1.2188965223949322,2.9,1,0.0,0.0,ready_for_downstream_model_diagnostic,6.05530253741054,23.0,0.1767672993454434,0.04889280131035414
E5_strict_rank_persistence_reference,raw_family,raw_family,robustness,120,667,665,509,94,82,415,0.18467583497053044,1.2188965223949322,2.9,1,0.0,0.0,ready_for_downstream_model_diagnostic,31.519447287615147,116.0,0.03172644465732517,0.00898133199301932
E5_strict_rank_persistence_reference,raw_family,raw_family,train,20,491,491,491,77,69,414,0.15682281059063136,1.3078657453230953,2.8499999999999996,1,0.0,0.0,ready_for_downstream_model_diagnostic,7.380588876772083,19.199999999999932,0.1410875650611394,0.07288538353300797
E5_strict_rank_persistence_reference,raw_family,raw_family,train,120,491,491,491,77,69,414,0.15682281059063136,1.3078657453230953,2.8499999999999996,1,0.0,0.0,ready_for_downstream_model_diagnostic,56.68988549618321,102.0,0.01763983100772584,0.01163624227287425
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,20,613,613,613,30,65,583,0.048939641109298535,1.4780326867984783,2.9549999999999996,1,0.0,0.0,ready_for_downstream_model_diagnostic,7.450331125827814,26.0,0.14387738190666557,0.04215265991566456
E5_strict_rank_persistence_reference,raw_family,raw_family,validation,120,613,613,613,30,65,583,0.048939641109298535,1.4780326867984783,2.9549999999999996,1,0.0,0.0,ready_for_downstream_model_diagnostic,48.63803278688525,142.79999999999995,0.02056004206382376,0.007663942289572282
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,20,10393,10349,7641,1677,1699,5964,0.2194738908519827,11.457440798093662,32.75999999999998,1677,0.0,0.0,ready_for_downstream_model_diagnostic,78.69757064947943,356.0,0.013719920619080556,0.0029566059849434603
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,robustness,120,10393,10349,7641,1677,1699,5964,0.2194738908519827,11.457440798093662,32.75999999999998,1677,0.0,0.0,ready_for_downstream_model_diagnostic,461.3577844311377,1811.7499999999986,0.0021675151774734167,0.000550406027560883
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,20,7262,7254,7254,830,955,6424,0.1144196305486628,13.017168333949154,31.992499999999993,830,0.0,0.0,ready_for_downstream_model_diagnostic,111.89057750759878,216.79999999999973,0.009016357019106417,0.005917068967247268
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,train,120,7262,7254,7254,830,955,6424,0.1144196305486628,13.017168333949154,31.992499999999993,830,0.0,0.0,ready_for_downstream_model_diagnostic,807.4829806807728,1384.2000000000003,0.0012384161944279247,0.0008766648464995069
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,20,9887,9887,9887,743,1272,9144,0.07514918579953474,17.62936162030509,43.45,743,0.0,0.0,ready_for_downstream_model_diagnostic,97.68864717878994,360.5,0.01102319004611147,0.002999819141737263
E_union_high_recall_repair_candidate,setup_inclusive,canonical_before_density,validation,120,9887,9887,9887,743,1272,9144,0.07514918579953474,17.62936162030509,43.45,743,0.0,0.0,ready_for_downstream_model_diagnostic,761.506683640993,2168.5,0.0013131861104865143,0.0005367668082073042
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,20,2465,2450,1864,400,382,1464,0.2145922746781116,2.7290277789707513,6.0,400,0.0,0.0,ready_for_downstream_model_diagnostic,18.679899497487437,74.0,0.05676647596097725,0.014075431751578885
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,robustness,120,2465,2450,1864,400,382,1464,0.2145922746781116,2.7290277789707513,6.0,400,0.0,0.0,ready_for_downstream_model_diagnostic,112.94141211817727,423.1999999999998,0.00885414819281382,0.002461447944058311
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,20,1926,1922,1922,225,265,1697,0.11706555671175858,3.4728258124784546,6.85,225,0.0,0.0,ready_for_downstream_model_diagnostic,28.50455927051672,45.0,0.03518716677705676,0.026811690586663724
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,train,120,1926,1922,1922,225,265,1697,0.11706555671175858,3.4728258124784546,6.85,225,0.0,0.0,ready_for_downstream_model_diagnostic,213.94848206071757,325.70000000000005,0.0046740224112279734,0.0036100052168963727
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,20,2203,2203,2203,140,259,2063,0.06354970494779846,3.9498269896193774,7.569999999999967,140,0.0,0.0,ready_for_downstream_model_diagnostic,21.10740992522094,64.0,0.050278696793296114,0.017027969270024736
E_union_high_recall_repair_candidate,setup_inclusive,density_kept_canonical,validation,120,2203,2203,2203,140,259,2063,0.06354970494779846,3.9498269896193774,7.569999999999967,140,0.0,0.0,ready_for_downstream_model_diagnostic,169.67727562062382,460.0,0.00589354111410811,0.0023882081146340503
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,20,1573,1568,1216,213,197,1003,0.17516447368421054,1.9264350614466232,4.0,213,0.0,0.0,ready_for_downstream_model_diagnostic,11.945152354570638,49.0,0.08668217871529765,0.021507745223725627
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,robustness,120,1573,1568,1216,213,197,1003,0.17516447368421054,1.9264350614466232,4.0,213,0.0,0.0,ready_for_downstream_model_diagnostic,74.31111111111112,293.0,0.013456937799043061,0.003567010222781833
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,20,1115,1115,1115,132,149,983,0.11838565022421525,2.1353021503633105,4.0,132,0.0,0.0,ready_for_downstream_model_diagnostic,16.80835881753313,36.0,0.06182526704203552,0.039283832492942226
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,train,120,1115,1115,1115,132,149,983,0.11838565022421525,2.1353021503633105,4.0,132,0.0,0.0,ready_for_downstream_model_diagnostic,124.80573543015726,174.0,0.008012452284771893,0.006612419440132931
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,20,1076,1076,1076,68,122,1008,0.06319702602230483,2.127583782516991,4.0,68,0.0,0.0,ready_for_downstream_model_diagnostic,11.348354792560801,43.0,0.09088936310169952,0.025796768428347376
E_union_reclaim_based_candidate,reclaim_based,canonical_before_density,validation,120,1076,1076,1076,68,122,1008,0.06319702602230483,2.127583782516991,4.0,68,0.0,0.0,ready_for_downstream_model_diagnostic,84.21474773609314,247.0,0.011874404743617315,0.004328492368222365
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,20,1268,1264,974,180,168,794,0.18480492813141683,1.560407201749958,3.0,180,0.0,0.0,ready_for_downstream_model_diagnostic,9.575757575757576,40.0,0.10686366738587154,0.026432594447902705
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,robustness,120,1268,1264,974,180,168,794,0.18480492813141683,1.560407201749958,3.0,180,0.0,0.0,ready_for_downstream_model_diagnostic,59.522222222222226,229.0,0.016800448011946988,0.004558081368808876
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,train,20,944,944,944,115,128,829,0.12182203389830508,1.78842515932755,3.0,115,0.0,0.0,ready_for_downstream_model_diagnostic,14.121304791029562,29.0,0.07299756455104997,0.045476538684262276
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,train,120,944,944,944,115,128,829,0.12182203389830508,1.78842515932755,3.0,115,0.0,0.0,ready_for_downstream_model_diagnostic,105.66512488436632,156.0,0.009463860484661718,0.007484109868395085
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,validation,20,925,925,925,61,105,864,0.06594594594594595,1.828911803765331,3.0,61,0.0,0.0,ready_for_downstream_model_diagnostic,9.648959081119886,36.0,0.10641187002661603,0.030345345208790588
E_union_reclaim_based_candidate,reclaim_based,density_kept_canonical,validation,120,925,925,925,61,105,864,0.06594594594594595,1.828911803765331,3.0,61,0.0,0.0,ready_for_downstream_model_diagnostic,72.39650711513583,213.0,0.013812821085548358,0.005097950200437235
